county,precinct,office,district,candidate,party,election_day,absentee,early_voting,votes
Scott,Finley 1,Registered Voters,,,,,,,1144
Scott,Finley 1,Ballots Cast,,,,393,117,311,821
Scott,Finley 1,President,,Trump / Pence,REP,321,49,225,595
Scott,Finley 1,President,,Biden / Harris,DEM,57,63,77,197
Scott,Finley 1,President,,Jorgensen / Cohen,LIB,7,2,4,13
Scott,Finley 1,President,,Write-In,,0,0,1,1
Scott,Finley 1,Governor,,Holcomb / Crouch,REP,258,56,212,526
Scott,Finley 1,Governor,,Myers / Lawson,DEM,42,52,63,157
Scott,Finley 1,Governor,,Rainwater II / Henry,LIB,77,4,33,114
Scott,Finley 1,Attorney General,,Todd Rokita,REP,295,53,216,564
Scott,Finley 1,Attorney General,,Jonathan Weinzapfel,DEM,62,56,77,195
Scott,Finley 1,U.S. House,9,Trey Hollingsworth,REP,306,52,224,582
Scott,Finley 1,U.S. House,9,Andy Ruff,DEM,53,52,72,177
Scott,Finley 1,U.S. House,9,Tonya L. Millis,LIB,21,8,7,36
Scott,Finley 1,U.S. House,9,Write-In,,0,0,0,0
Scott,Finley 1,State Representative,66,Zach Payne,REP,250,35,162,447
Scott,Finley 1,State Representative,66,Terry Goodin,DEM,134,79,144,357
Scott,Jennings 1,Registered Voters,,,,,,,917
Scott,Jennings 1,Ballots Cast,,,,216,106,101,423
Scott,Jennings 1,President,,Trump / Pence,REP,174,64,79,317
Scott,Jennings 1,President,,Biden / Harris,DEM,37,39,22,98
Scott,Jennings 1,President,,Jorgensen / Cohen,LIB,3,0,0,3
Scott,Jennings 1,President,,Write-In,,0,0,0,0
Scott,Jennings 1,Governor,,Holcomb / Crouch,REP,123,48,52,223
Scott,Jennings 1,Governor,,Myers / Lawson,DEM,37,39,21,97
Scott,Jennings 1,Governor,,Rainwater II / Henry,LIB,51,5,23,79
Scott,Jennings 1,Attorney General,,Todd Rokita,REP,138,46,63,247
Scott,Jennings 1,Attorney General,,Jonathan Weinzapfel,DEM,51,43,26,120
Scott,Jennings 1,U.S. House,6,Greg Pence,REP,158,48,66,272
Scott,Jennings 1,U.S. House,6,Jeannine Lee Lake,DEM,38,33,26,97
Scott,Jennings 1,U.S. House,6,Tom Ferkinhoff,LIB,9,4,0,13
Scott,Jennings 1,U.S. House,6,Write-In,,0,0,0,0
Scott,Jennings 1,State Representative,66,Zach Payne,REP,100,13,55,168
Scott,Jennings 1,State Representative,66,Terry Goodin,DEM,113,91,41,245
Scott,Jennings 2,Registered Voters,,,,,,,834
Scott,Jennings 2,Ballots Cast,,,,212,128,90,430
Scott,Jennings 2,President,,Trump / Pence,REP,160,58,62,280
Scott,Jennings 2,President,,Biden / Harris,DEM,47,61,24,132
Scott,Jennings 2,President,,Jorgensen / Cohen,LIB,3,0,1,4
Scott,Jennings 2,President,,Write-In,,0,0,0,0
Scott,Jennings 2,Governor,,Holcomb / Crouch,REP,130,52,54,236
Scott,Jennings 2,Governor,,Myers / Lawson,DEM,44,61,26,131
Scott,Jennings 2,Governor,,Rainwater II / Henry,LIB,33,4,7,44
Scott,Jennings 2,Attorney General,,Todd Rokita,REP,139,39,53,231
Scott,Jennings 2,Attorney General,,Jonathan Weinzapfel,DEM,55,76,29,160
