county,precinct,office,district,party,candidate,election_day,absentee,early_votin,votes
Boone,CENTER 04,Governor,,L,Rainwater II / Henry,42,3,67,112
Boone,CENTER 04,Attorney General,,R,Todd Rokita,95,23,198,316
Boone,CENTER 04,Attorney General,,D,Jonathan Weinzapfel,33,17,84,134
Boone,CENTER 04,U.S. House,4,R,Jim Baird,95,24,206,325
Boone,CENTER 04,U.S. House,4,D,Joe Mackey,32,16,74,122
Boone,CENTER 04,U.S. House,4,,Write-In,0,0,0,0
Boone,CENTER 04,State Representative,41,R,Tim Brown,96,24,201,321
Boone,CENTER 04,State Representative,41,D,Greg A. Woods,30,16,77,123
Boone,CENTER 05,Registered Voters,,,,,,,1043
Boone,CENTER 05,Ballots Cast,,,,149,104,546,799
Boone,CENTER 05,President,,R,Trump\Pence,130,47,423,600
Boone,CENTER 05,President,,D,Biden\Harris,14,55,111,180
Boone,CENTER 05,President,,L,Jorgense\Cohen,4,0,3,7
Boone,CENTER 05,President,,,Write-In,0,0,2,2
Boone,CENTER 05,Governor,,R,Holcomb\Crouch,87,61,343,491
Boone,CENTER 05,Governor,,D,Myers\Lawson,8,34,74,116
Boone,CENTER 05,Governor,,L,Rainwater II / Henry,53,7,121,181
Boone,CENTER 05,Attorney General,,R,Todd Rokita,130,58,420,608
Boone,CENTER 05,Attorney General,,D,Jonathan Weinzapfel,12,43,97,152
Boone,CENTER 05,U.S. House,4,R,Jim Baird,130,55,443,628
Boone,CENTER 05,U.S. House,4,D,Joe Mackey,14,45,87,146
Boone,CENTER 05,U.S. House,4,,Write-In,0,0,0,0
Boone,CENTER 05,State Representative,41,R,Tim Brown,126,54,431,611
Boone,CENTER 05,State Representative,41,D,Greg A. Woods,16,46,102,164
Boone,CENTER 06,Registered Voters,,,,,,,817
Boone,CENTER 06,Ballots Cast,,,,92,77,316,485
Boone,CENTER 06,President,,R,Trump\Pence,64,35,208,307
Boone,CENTER 06,President,,D,Biden\Harris,24,39,95,158
Boone,CENTER 06,President,,L,Jorgense\Cohen,3,1,4,8
Boone,CENTER 06,President,,,Write-In,0,1,3,4
Boone,CENTER 06,Governor,,R,Holcomb\Crouch,42,44,161,247
Boone,CENTER 06,Governor,,D,Myers\Lawson,19,28,82,129
Boone,CENTER 06,Governor,,L,Rainwater II / Henry,31,4,68,103
Boone,CENTER 06,Attorney General,,R,Todd Rokita,65,42,210,317
Boone,CENTER 06,Attorney General,,D,Jonathan Weinzapfel,26,34,96,156
Boone,CENTER 06,U.S. House,4,R,Jim Baird,63,37,214,314
Boone,CENTER 06,U.S. House,4,D,Joe Mackey,25,37,93,155
Boone,CENTER 06,U.S. House,4,,Write-In,0,0,0,0
Boone,CENTER 06,State Representative,41,R,Tim Brown,63,37,209,309
Boone,CENTER 06,State Representative,41,D,Greg A. Woods,25,34,94,153
Boone,CENTER 07,Registered Voters,,,,,,,904
Boone,CENTER 07,Ballots Cast,,,,82,140,370,592
Boone,CENTER 07,President,,R,Trump\Pence,59,67,240,366
Boone,CENTER 07,President,,D,Biden\Harris,22,65,121,208
Boone,CENTER 07,President,,L,Jorgense\Cohen,0,4,6,10
Boone,CENTER 07,President,,,Write-In,0,0,0,0
Boone,CENTER 07,Governor,,R,Holcomb\Crouch,47,89,232,368
Boone,CENTER 07,Governor,,D,Myers\Lawson,10,46,76,132
Boone,CENTER 07,Governor,,L,Rainwater II / Henry,24,1,59,84
Boone,CENTER 07,Attorney General,,R,Todd Rokita,54,84,241,379
Boone,CENTER 07,Attorney General,,D,Jonathan Weinzapfel,24,50,113,187
Boone,CENTER 07,U.S. House,4,R,Jim Baird,59,77,250,386
Boone,CENTER 07,U.S. House,4,D,Joe Mackey,19,55,113,187
Boone,CENTER 07,U.S. House,4,,Write-In,0,0,0,0
Boone,CENTER 07,State Representative,41,R,Tim Brown,59,77,246,382
Boone,CENTER 07,State Representative,41,D,Greg A. Woods,19,55,112,186
Boone,CENTER 08,Registered Voters,,,,,,,688
Boone,CENTER 08,Ballots Cast,,,,83,35,209,327
Boone,CENTER 08,President,,R,Trump\Pence,59,17,136,212
Boone,CENTER 08,President,,D,Biden\Harris,19,18,66,103
Boone,CENTER 08,President,,L,Jorgense\Cohen,5,0,5,10
Boone,CENTER 08,President,,,Write-In,0,0,0,0
Boone,CENTER 08,Governor,,R,Holcomb\Crouch,40,18,118,176
Boone,CENTER 08,Governor,,D,Myers\Lawson,14,14,50,78
Boone,CENTER 08,Governor,,L,Rainwater II / Henry,27,2,37,66
Boone,CENTER 08,Attorney General,,R,Todd Rokita,59,18,129,206
Boone,CENTER 08,Attorney General,,D,Jonathan Weinzapfel,20,16,68,104
Boone,CENTER 08,U.S. House,4,R,Jim Baird,60,18,134,212
Boone,CENTER 08,U.S. House,4,D,Joe Mackey,19,14,68,101
Boone,CENTER 08,U.S. House,4,,Write-In,0,0,0,0
Boone,CENTER 08,State Representative,41,R,Tim Brown,60,18,134,212
Boone,CENTER 08,State Representative,41,D,Greg A. Woods,18,14,65,97
Boone,CENTER 09,Registered Voters,,,,,,,882
Boone,CENTER 09,Ballots Cast,,,,100,81,431,612
Boone,CENTER 09,President,,R,Trump\Pence,73,46,280,399
Boone,CENTER 09,President,,D,Biden\Harris,22,35,135,192
Boone,CENTER 09,President,,L,Jorgense\Cohen,3,0,8,11
Boone,CENTER 09,President,,,Write-In,0,0,4,4
Boone,CENTER 09,Governor,,R,Holcomb\Crouch,67,56,291,414
Boone,CENTER 09,Governor,,D,Myers\Lawson,15,21,80,116
Boone,CENTER 09,Governor,,L,Rainwater II / Henry,17,1,56,74
Boone,CENTER 09,Attorney General,,R,Todd Rokita,68,49,285,402
Boone,CENTER 09,Attorney General,,D,Jonathan Weinzapfel,24,28,120,172
Boone,CENTER 09,U.S. House,4,R,Jim Baird,70,47,295,412
Boone,CENTER 09,U.S. House,4,D,Joe Mackey,18,30,120,168
Boone,CENTER 09,U.S. House,4,,Write-In,0,0,0,0
Boone,CENTER 09,State Representative,41,R,Tim Brown,70,45,304,419
Boone,CENTER 09,State Representative,41,D,Greg A. Woods,19,31,110,160
Boone,CENTER 10,Registered Voters,,,,,,,1081
Boone,CENTER 10,Ballots Cast,,,,143,77,421,641
Boone,CENTER 10,President,,R,Trump\Pence,100,38,258,396
Boone,CENTER 10,President,,D,Biden\Harris,30,37,145,212
Boone,CENTER 10,President,,L,Jorgense\Cohen,11,1,13,25
Boone,CENTER 10,President,,,Write-In,1,0,1,2
Boone,CENTER 10,Governor,,R,Holcomb\Crouch,81,47,233,361
Boone,CENTER 10,Governor,,D,Myers\Lawson,15,21,97,133
Boone,CENTER 10,Governor,,L,Rainwater II / Henry,46,5,83,134
Boone,CENTER 10,Attorney General,,R,Todd Rokita,98,42,249,389
Boone,CENTER 10,Attorney General,,D,Jonathan Weinzapfel,37,31,150,218
Boone,CENTER 10,U.S. House,4,R,Jim Baird,103,43,264,410
Boone,CENTER 10,U.S. House,4,D,Joe Mackey,33,30,138,201
Boone,CENTER 10,U.S. House,4,,Write-In,0,0,0,0
Boone,CENTER 10,State Representative,41,R,Tim Brown,101,43,262,406
Boone,CENTER 10,State Representative,41,D,Greg A. Woods,34,30,141,205
Boone,CENTER 11,Registered Voters,,,,,,,1071
Boone,CENTER 11,Ballots Cast,,,,149,79,405,633
Boone,CENTER 11,President,,R,Trump\Pence,116,46,275,437
Boone,CENTER 11,President,,D,Biden\Harris,23,29,116,168
Boone,CENTER 11,President,,L,Jorgense\Cohen,9,3,10,22
Boone,CENTER 11,President,,,Write-In,0,0,2,2
Boone,CENTER 11,Governor,,R,Holcomb\Crouch,76,53,241,370
Boone,CENTER 11,Governor,,D,Myers\Lawson,19,17,81,117
Boone,CENTER 11,Governor,,L,Rainwater II / Henry,50,6,79,135
Boone,CENTER 11,Attorney General,,R,Todd Rokita,109,49,277,435
Boone,CENTER 11,Attorney General,,D,Jonathan Weinzapfel,30,25,112,167
Boone,CENTER 11,U.S. House,4,R,Jim Baird,112,47,278,437
Boone,CENTER 11,U.S. House,4,D,Joe Mackey,31,27,111,169
Boone,CENTER 11,U.S. House,4,,Write-In,0,0,0,0
Boone,CENTER 11,State Representative,41,R,Tim Brown,115,48,269,432
Boone,CENTER 11,State Representative,41,D,Greg A. Woods,28,27,119,174
Boone,CENTER 12,Registered Voters,,,,,,,993
Boone,CENTER 12,Ballots Cast,,,,135,102,506,743
Boone,CENTER 12,President,,R,Trump\Pence,97,46,343,486
Boone,CENTER 12,President,,D,Biden\Harris,28,56,146,230
Boone,CENTER 12,President,,L,Jorgense\Cohen,6,0,11,17
Boone,CENTER 12,President,,,Write-In,3,0,0,3
Boone,CENTER 12,Governor,,R,Holcomb\Crouch,70,61,339,470
Boone,CENTER 12,Governor,,D,Myers\Lawson,18,33,84,135
Boone,CENTER 12,Governor,,L,Rainwater II / Henry,45,5,78,128
Boone,CENTER 12,Attorney General,,R,Todd Rokita,103,49,363,515
Boone,CENTER 12,Attorney General,,D,Jonathan Weinzapfel,25,48,124,197
Boone,CENTER 12,U.S. House,4,R,Jim Baird,107,45,364,516
Boone,CENTER 12,U.S. House,4,D,Joe Mackey,26,49,124,199
Boone,CENTER 12,U.S. House,4,,Write-In,0,0,0,0
Boone,CENTER 12,State Representative,41,R,Tim Brown,107,51,360,518
Boone,CENTER 12,State Representative,41,D,Greg A. Woods,26,45,129,200
Boone,CENTER 13,Registered Voters,,,,,,,867
Boone,CENTER 13,Ballots Cast,,,,114,87,243,444
Boone,CENTER 13,President,,R,Trump\Pence,74,20,155,249
Boone,CENTER 13,President,,D,Biden\Harris,28,66,78,172
Boone,CENTER 13,President,,L,Jorgense\Cohen,11,1,5,17
Boone,CENTER 13,President,,,Write-In,0,0,1,1
Boone,CENTER 13,Governor,,R,Holcomb\Crouch,54,21,139,214
Boone,CENTER 13,Governor,,D,Myers\Lawson,18,18,52,88
Boone,CENTER 13,Governor,,L,Rainwater II / Henry,42,2,46,90
Boone,CENTER 13,Attorney General,,R,Todd Rokita,72,20,156,248
Boone,CENTER 13,Attorney General,,D,Jonathan Weinzapfel,35,21,72,128
Boone,CENTER 13,U.S. House,4,R,Jim Baird,76,21,164,261
Boone,CENTER 13,U.S. House,4,D,Joe Mackey,30,59,69,158
Boone,CENTER 13,U.S. House,4,,Write-In,0,0,0,0
Boone,CENTER 13,State Representative,41,R,Tim Brown,72,21,162,255
Boone,CENTER 13,State Representative,41,D,Greg A. Woods,33,19,70,122
Boone,CENTER 14,Registered Voters,,,,,,,802
Boone,CENTER 14,Ballots Cast,,,,143,72,367,582
Boone,CENTER 14,President,,R,Trump\Pence,120,42,283,445
Boone,CENTER 14,President,,D,Biden\Harris,15,29,68,112
Boone,CENTER 14,President,,L,Jorgense\Cohen,6,1,11,18
Boone,CENTER 14,President,,,Write-In,0,0,1,1
Boone,CENTER 14,Governor,,R,Holcomb\Crouch,86,45,253,384
Boone,CENTER 14,Governor,,D,Myers\Lawson,12,22,39,73
Boone,CENTER 14,Governor,,L,Rainwater II / Henry,43,3,73,119
Boone,CENTER 14,Attorney General,,R,Todd Rokita,109,41,282,432
Boone,CENTER 14,Attorney General,,D,Jonathan Weinzapfel,27,25,66,118
Boone,CENTER 14,U.S. House,4,R,Jim Baird,125,45,293,463
Boone,CENTER 14,U.S. House,4,D,Joe Mackey,18,23,62,103
Boone,CENTER 14,U.S. House,4,,Write-In,0,0,0,0
Boone,CENTER 14,State Representative,41,R,Tim Brown,127,44,298,469
Boone,CENTER 14,State Representative,41,D,Greg A. Woods,15,24,57,96
Boone,CENTER 15,Registered Voters,,,,,,,151
Boone,CENTER 15,Ballots Cast,,,,15,29,80,124
Boone,CENTER 15,President,,R,Trump\Pence,11,14,54,79
Boone,CENTER 15,President,,D,Biden\Harris,3,13,25,41
Boone,CENTER 15,President,,L,Jorgense\Cohen,1,1,0,2
Boone,CENTER 15,President,,,Write-In,0,0,0,0
Boone,CENTER 15,Governor,,R,Holcomb\Crouch,9,23,56,88
Boone,CENTER 15,Governor,,D,Myers\Lawson,1,6,10,17
Boone,CENTER 15,Governor,,L,Rainwater II / Henry,5,0,12,17
Boone,CENTER 15,Attorney General,,R,Todd Rokita,12,18,55,85
Boone,CENTER 15,Attorney General,,D,Jonathan Weinzapfel,3,10,20,33
Boone,CENTER 15,U.S. House,4,R,Jim Baird,12,18,58,88
Boone,CENTER 15,U.S. House,4,D,Joe Mackey,3,10,17,30
Boone,CENTER 15,U.S. House,4,,Write-In,0,0,0,0
Boone,CENTER 15,State Representative,41,R,Tim Brown,12,19,61,92
Boone,CENTER 15,State Representative,41,D,Greg A. Woods,3,9,16,28
Boone,CENTER 16,Registered Voters,,,,,,,129
Boone,CENTER 16,Ballots Cast,,,,16,10,66,92
Boone,CENTER 16,President,,R,Trump\Pence,12,9,56,77
Boone,CENTER 16,President,,D,Biden\Harris,4,1,7,12
Boone,CENTER 16,President,,L,Jorgense\Cohen,0,0,3,3
Boone,CENTER 16,President,,,Write-In,0,0,0,0
Boone,CENTER 16,Governor,,R,Holcomb\Crouch,12,9,44,65
Boone,CENTER 16,Governor,,D,Myers\Lawson,2,1,8,11
Boone,CENTER 16,Governor,,L,Rainwater II / Henry,2,0,14,16
Boone,CENTER 16,Attorney General,,R,Todd Rokita,13,10,56,79
Boone,CENTER 16,Attorney General,,D,Jonathan Weinzapfel,3,0,7,10
Boone,CENTER 16,U.S. House,4,R,Jim Baird,12,9,59,80
Boone,CENTER 16,U.S. House,4,D,Joe Mackey,3,0,7,10
Boone,CENTER 16,U.S. House,4,,Write-In,0,0,0,0
Boone,CENTER 16,State Representative,41,R,Tim Brown,11,10,8,79
Boone,CENTER 16,State Representative,41,D,Greg A. Woods,3,0,8,11
Boone,CENTER 17,Registered Voters,,,,,,,1000
Boone,CENTER 17,Ballots Cast,,,,143,59,373,575
Boone,CENTER 17,President,,R,Trump\Pence,103,32,256,391
Boone,CENTER 17,President,,D,Biden\Harris,34,22,104,160
Boone,CENTER 17,President,,L,Jorgense\Cohen,3,1,5,9
Boone,CENTER 17,President,,,Write-In,0,0,3,3
Boone,CENTER 17,Governor,,R,Holcomb\Crouch,71,37,220,328
Boone,CENTER 17,Governor,,D,Myers\Lawson,25,13,75,113
Boone,CENTER 17,Governor,,L,Rainwater II / Henry,43,7,75,125
Boone,CENTER 17,Attorney General,,R,Todd Rokita,101,36,256,393
Boone,CENTER 17,Attorney General,,D,Jonathan Weinzapfel,34,21,103,158
Boone,CENTER 17,U.S. House,4,R,Jim Baird,102,33,261,396
Boone,CENTER 17,U.S. House,4,D,Joe Mackey,31,23,105,159
Boone,CENTER 17,U.S. House,4,,Write-In,0,0,0,0
Boone,CENTER 17,State Representative,41,R,Tim Brown,100,35,259,394
Boone,CENTER 17,State Representative,41,D,Greg A. Woods,32,22,104,158
Boone,CLINTON,Registered Voters,,,,,,,716
Boone,CLINTON,Ballots Cast,,,,134,54,347,535
Boone,CLINTON,President,,R,Trump\Pence,108,30,247,385
Boone,CLINTON,President,,D,Biden\Harris,19,23,90,132
Boone,CLINTON,President,,L,Jorgense\Cohen,6,1,6,13
Boone,CLINTON,President,,,Write-In,0,0,0,0
Boone,CLINTON,Governor,,R,Holcomb\Crouch,68,32,211,311
Boone,CLINTON,Governor,,D,Myers\Lawson,12,14,61,87
Boone,CLINTON,Governor,,L,Rainwater II / Henry,47,7,72,126
Boone,CLINTON,Attorney General,,R,Todd Rokita,103,33,249,385
Boone,CLINTON,Attorney General,,D,Jonathan Weinzapfel,20,18,84,122
Boone,CLINTON,U.S. House,4,R,Jim Baird,115,32,258,405
Boone,CLINTON,U.S. House,4,D,Joe Mackey,14,20,77,111
Boone,CLINTON,U.S. House,4,,Write-In,0,0,0,0
Boone,CLINTON,State Senate,7,R,Brian W Buchanan,115,36,265,416
Boone,CLINTON,State Senate,7,D,Tabitha N. Bartley,15,17,70,102
Boone,CLINTON,State Representative,41,R,Tim Brown,114,32,254,400
Boone,CLINTON,State Representative,41,D,Greg A. Woods,15,20,80,115
Boone,EAGLE 01,Registered Voters,,,,,,,1205
Boone,EAGLE 01,Ballots Cast,,,,55,257,627,939
Boone,EAGLE 01,President,,R,Trump\Pence,28,103,311,442
Boone,EAGLE 01,President,,D,Biden\Harris,21,149,290,460
Boone,EAGLE 01,President,,L,Jorgense\Cohen,3,3,8,14
Boone,EAGLE 01,President,,,Write-In,2,1,8,11
Boone,EAGLE 01,Governor,,R,Holcomb\Crouch,42,159,436,637
Boone,EAGLE 01,Governor,,D,Myers\Lawson,6,88,166,260
Boone,EAGLE 01,Governor,,L,Rainwater II / Henry,6,5,23,34
Boone,EAGLE 01,Attorney General,,R,Todd Rokita,36,132,358,526
Boone,EAGLE 01,Attorney General,,D,Jonathan Weinzapfel,16,116,243,375
Boone,EAGLE 01,U.S. House,5,R,Victoria Spartz,37,116,335,488
Boone,EAGLE 01,U.S. House,5,D,Christina Hale,15,130,265,410
Boone,EAGLE 01,U.S. House,5,L,Kenneth Tucker,2,7,13,22
Boone,EAGLE 01,U.S. House,5,,Write-In,0,0,0,0
Boone,EAGLE 01,State Representative,24,R,Donna Schaibley,41,137,380,558
Boone,EAGLE 01,State Representative,24,D,Naomo S Bechtold,13,107,228,348
Boone,EAGLE 02,Registered Voters,,,,,,,864
Boone,EAGLE 02,Ballots Cast,,,,71,193,376,640
Boone,EAGLE 02,President,,R,Trump\Pence,44,84,166,294
Boone,EAGLE 02,President,,D,Biden\Harris,25,104,196,325
Boone,EAGLE 02,President,,L,Jorgense\Cohen,2,2,8,12
Boone,EAGLE 02,President,,,Write-In,0,1,1,2
Boone,EAGLE 02,Governor,,R,Holcomb\Crouch,44,106,235,385
Boone,EAGLE 02,Governor,,D,Myers\Lawson,13,78,119,210
Boone,EAGLE 02,Governor,,L,Rainwater II / Henry,12,7,18,37
Boone,EAGLE 02,Attorney General,,R,Todd Rokita,49,96,189,334
Boone,EAGLE 02,Attorney General,,D,Jonathan Weinzapfel,19,93,162,274
Boone,EAGLE 02,U.S. House,5,R,Victoria Spartz,49,88,188,325
Boone,EAGLE 02,U.S. House,5,D,Christina Hale,21,96,176,293
Boone,EAGLE 02,U.S. House,5,L,Kenneth Tucker,0,7,4,11
Boone,EAGLE 02,U.S. House,5,,Write-In,0,0,0,0
Boone,EAGLE 02,State Representative,24,R,Donna Schaibley,51,93,194,338
Boone,EAGLE 02,State Representative,24,D,Naomo S Bechtold,18,94,168,280
Boone,EAGLE 03,Registered Voters,,,,,,,868
Boone,EAGLE 03,Ballots Cast,,,,74,144,459,677
Boone,EAGLE 03,President,,R,Trump\Pence,35,41,169,245
Boone,EAGLE 03,President,,D,Biden\Harris,33,99,278,410
Boone,EAGLE 03,President,,L,Jorgense\Cohen,4,2,8,14
Boone,EAGLE 03,President,,,Write-In,2,1,1,4
Boone,EAGLE 03,Governor,,R,Holcomb\Crouch,33,82,251,366
Boone,EAGLE 03,Governor,,D,Myers\Lawson,25,54,186,265
Boone,EAGLE 03,Governor,,L,Rainwater II / Henry,16,3,20,39
Boone,EAGLE 03,Attorney General,,R,Todd Rokita,39,57,206,302
Boone,EAGLE 03,Attorney General,,D,Jonathan Weinzapfel,33,82,241,356
Boone,EAGLE 03,U.S. House,5,R,Victoria Spartz,40,47,192,279
Boone,EAGLE 03,U.S. House,5,D,Christina Hale,29,94,258,381
Boone,EAGLE 03,U.S. House,5,L,Kenneth Tucker,5,0,5,10
Boone,EAGLE 03,U.S. House,5,,Write-In,0,0,0,0
Boone,EAGLE 03,State Representative,24,R,Donna Schaibley,38,58,207,303
Boone,EAGLE 03,State Representative,24,D,Naomo S Bechtold,34,83,247,364
Boone,EAGLE 04,Registered Voters,,,,,,,1414
Boone,EAGLE 04,Ballots Cast,,,,153,245,567,965
Boone,EAGLE 04,President,,R,Trump\Pence,87,82,224,393
Boone,EAGLE 04,President,,D,Biden\Harris,58,154,320,532
Boone,EAGLE 04,President,,L,Jorgense\Cohen,5,1,11,17
Boone,EAGLE 04,President,,,Write-In,0,0,5,5
Boone,EAGLE 04,Governor,,R,Holcomb\Crouch,85,137,307,529
Boone,EAGLE 04,Governor,,D,Myers\Lawson,48,96,223,367
Boone,EAGLE 04,Governor,,L,Rainwater II / Henry,15,2,31,48
Boone,EAGLE 04,Attorney General,,R,Todd Rokita,87,108,261,456
Boone,EAGLE 04,Attorney General,,D,Jonathan Weinzapfel,56,126,290,472
Boone,EAGLE 04,U.S. House,5,R,Victoria Spartz,90,93,239,422
Boone,EAGLE 04,U.S. House,5,D,Christina Hale,57,131,299,487
Boone,EAGLE 04,U.S. House,5,L,Kenneth Tucker,3,9,16,28
Boone,EAGLE 04,U.S. House,5,,Write-In,0,0,0,0
Boone,EAGLE 04,State Representative,24,R,Donna Schaibley,96,116,264,476
Boone,EAGLE 04,State Representative,24,D,Naomo S Bechtold,52,111,286,449
Boone,EAGLE 05,Registered Voters,,,,,,,830
Boone,EAGLE 05,Ballots Cast,,,,56,115,498,669
Boone,EAGLE 05,President,,R,Trump\Pence,33,45,244,322
Boone,EAGLE 05,President,,D,Biden\Harris,17,66,236,319
Boone,EAGLE 05,President,,L,Jorgense\Cohen,5,3,9,17
Boone,EAGLE 05,President,,,Write-In,0,0,4,4
Boone,EAGLE 05,Governor,,R,Holcomb\Crouch,40,71,313,424
Boone,EAGLE 05,Governor,,D,Myers\Lawson,6,37,146,189
Boone,EAGLE 05,Governor,,L,Rainwater II / Henry,10,4,35,49
Boone,EAGLE 05,Attorney General,,R,Todd Rokita,43,54,283,380
Boone,EAGLE 05,Attorney General,,D,Jonathan Weinzapfel,11,58,204,273
Boone,EAGLE 05,U.S. House,5,R,Victoria Spartz,40,52,256,348
Boone,EAGLE 05,U.S. House,5,D,Christina Hale,12,57,217,286
Boone,EAGLE 05,U.S. House,5,L,Kenneth Tucker,4,3,22,29
Boone,EAGLE 05,U.S. House,5,,Write-In,0,0,0,0
Boone,EAGLE 05,State Representative,24,R,Donna Schaibley,39,57,292,388
Boone,EAGLE 05,State Representative,24,D,Naomo S Bechtold,16,53,199,268
Boone,EAGLE 06,Registered Voters,,,,,,,1698
Boone,EAGLE 06,Ballots Cast,,,,153,393,913,1369
Boone,EAGLE 06,President,,R,Trump\Pence,100,112,466,678
Boone,EAGLE 06,President,,D,Biden\Harris,44,179,415,638
Boone,EAGLE 06,President,,L,Jorgense\Cohen,7,8,16,31
Boone,EAGLE 06,President,,,Write-In,2,1,8,11
Boone,EAGLE 06,Governor,,R,Holcomb\Crouch,121,181,639,941
Boone,EAGLE 06,Governor,,D,Myers\Lawson,19,115,234,368
Boone,EAGLE 06,Governor,,L,Rainwater II / Henry,11,2,37,50
Boone,EAGLE 06,Attorney General,,R,Todd Rokita,111,152,537,800
Boone,EAGLE 06,Attorney General,,D,Jonathan Weinzapfel,37,137,347,521
Boone,EAGLE 06,U.S. House,5,R,Victoria Spartz,103,128,494,725
Boone,EAGLE 06,U.S. House,5,D,Christina Hale,39,157,387,583
Boone,EAGLE 06,U.S. House,5,L,Kenneth Tucker,7,6,19,32
Boone,EAGLE 06,U.S. House,5,,Write-In,0,0,2,2
Boone,EAGLE 06,State Representative,24,R,Donna Schaibley,111,152,557,820
Boone,EAGLE 06,State Representative,24,D,Naomo S Bechtold,33,135,341,509
Boone,EAGLE 07,Registered Voters,,,,,,,1407
Boone,EAGLE 07,Ballots Cast,,,,89,268,722,1079
Boone,EAGLE 07,President,,R,Trump\Pence,54,116,381,551
Boone,EAGLE 07,President,,D,Biden\Harris,31,149,323,503
Boone,EAGLE 07,President,,L,Jorgense\Cohen,4,3,9,16
Boone,EAGLE 07,President,,,Write-In,0,0,4,4
Boone,EAGLE 07,Governor,,R,Holcomb\Crouch,64,170,501,735
Boone,EAGLE 07,Governor,,D,Myers\Lawson,17,89,175,281
Boone,EAGLE 07,Governor,,L,Rainwater II / Henry,8,4,41,53
Boone,EAGLE 07,Attorney General,,R,Todd Rokita,57,141,437,635
