county,precinct,office,district,party,candidate,election_day,absentee,early_votin,votes
Boone,CENTER 01,Registered Voters,,,,,,,726
Boone,CENTER 01,Ballots Cast,,,,66,98,384,548
Boone,CENTER 01,President,,R,Trump\Pence,50,52,245,347
Boone,CENTER 01,President,,D,Biden\Harris,14,40,120,174
Boone,CENTER 01,President,,L,Jorgense\Cohen,2,2,11,15
Boone,CENTER 01,President,,,Write-In,0,0,2,2
Boone,CENTER 01,Governor,,R,Holcomb\Crouch,37,70,254,361
Boone,CENTER 01,Governor,,D,Myers\Lawson,10,21,63,94
Boone,CENTER 01,Governor,,L,Rainwater II / Henry,18,5,58,81
Boone,CENTER 01,Attorney General,,R,Todd Rokita,50,53,259,362
Boone,CENTER 01,Attorney General,,D,Jonathan Weinzapfel,12,40,103,155
Boone,CENTER 01,U.S. House,4,R,Jim Baird,50,56,268,374
Boone,CENTER 01,U.S. House,4,D,Joe Mackey,12,35,91,138
Boone,CENTER 01,U.S. House,4,,Write-In,0,0,0,0
Boone,CENTER 01,State Representative,41,R,Tim Brown,49,60,263,372
Boone,CENTER 01,State Representative,41,D,Greg A. Woods,13,29,99,141
Boone,CENTER 02,Registered Voters,,,,,,,963
Boone,CENTER 02,Ballots Cast,,,,143,74,367,584
Boone,CENTER 02,President,,R,Trump\Pence,92,35,252,379
Boone,CENTER 02,President,,D,Biden\Harris,45,36,100,181
Boone,CENTER 02,President,,L,Jorgense\Cohen,5,2,11,18
Boone,CENTER 02,President,,,Write-In,1,0,1,2
Boone,CENTER 02,Governor,,R,Holcomb\Crouch,81,44,213,338
Boone,CENTER 02,Governor,,D,Myers\Lawson,31,24,71,126
Boone,CENTER 02,Governor,,L,Rainwater II / Henry,29,2,79,110
Boone,CENTER 02,Attorney General,,R,Todd Rokita,93,44,246,383
Boone,CENTER 02,Attorney General,,D,Jonathan Weinzapfel,45,28,102,175
Boone,CENTER 02,U.S. House,4,R,Jim Baird,97,40,257,394
Boone,CENTER 02,U.S. House,4,D,Joe Mackey,40,34,101,175
Boone,CENTER 02,U.S. House,4,,Write-In,0,0,0,0
Boone,CENTER 02,State Representative,41,R,Tim Brown,92,38,254,384
Boone,CENTER 02,State Representative,41,D,Greg A. Woods,44,36,100,180
Boone,CENTER 03,Registered Voters,,,,,,,982
Boone,CENTER 03,Ballots Cast,,,,121,63,307,491
Boone,CENTER 03,President,,R,Trump\Pence,86,31,216,333
Boone,CENTER 03,President,,D,Biden\Harris,27,31,81,139
Boone,CENTER 03,President,,L,Jorgense\Cohen,8,1,8,17
Boone,CENTER 03,President,,,Write-In,0,0,1,1
Boone,CENTER 03,Governor,,R,Holcomb\Crouch,46,38,153,237
Boone,CENTER 03,Governor,,D,Myers\Lawson,20,22,63,105
Boone,CENTER 03,Governor,,L,Rainwater II / Henry,54,3,84,141
Boone,CENTER 03,Attorney General,,R,Todd Rokita,77,39,204,320
Boone,CENTER 03,Attorney General,,D,Jonathan Weinzapfel,37,24,84,145
Boone,CENTER 03,U.S. House,4,R,Jim Baird,83,33,218,334
Boone,CENTER 03,U.S. House,4,D,Joe Mackey,29,29,77,135
Boone,CENTER 03,U.S. House,4,,Write-In,0,0,0,0
Boone,CENTER 03,State Representative,41,R,Tim Brown,77,33,217,327
Boone,CENTER 03,State Representative,41,D,Greg A. Woods,35,29,77,141
Boone,CENTER 04,Registered Voters,,,,,,,765
Boone,CENTER 04,Ballots Cast,,,,135,42,293,470
Boone,CENTER 04,President,,R,Trump\Pence,97,20,199,316
Boone,CENTER 04,President,,D,Biden\Harris,31,21,79,131
Boone,CENTER 04,President,,L,Jorgense\Cohen,4,1,12,17
Boone,CENTER 04,President,,,Write-In,1,0,1,2
Boone,CENTER 04,Governor,,R,Holcomb\Crouch,66,23,169,258
Boone,CENTER 04,Governor,,D,Myers\Lawson,22,15,53,90
