id,county,precinct,office,district,party,candidate,votes
1,Fountain,Cain,Registered Voters,,,,765
2,Fountain,Cain,Ballots Cast,,,,559
3,Fountain,Cain,Straight Party,,REP,,209
4,Fountain,Cain,Straight Party,,DEM,,30
5,Fountain,Cain,Straight Party,,LIB,,5
6,Fountain,Cain,President,,REP,Donald J Trump,442
7,Fountain,Cain,President,,DEM,Joseph R Biden,96
8,Fountain,Cain,President,,LIB,Jo Jorgensen,16
9,Fountain,Cain,President,,,Brian Carroll,0
10,Fountain,Cain,President,,,Howie Hawkins,1
11,Fountain,Cain,President,,,Write-In Votes,1
12,Fountain,Cain,Governor,,REP,Eric Holcomb,354
13,Fountain,Cain,Governor,,DEM,Woodrow (Woody) Myers,60
14,Fountain,Cain,Governor,,LIB,Donald G Rainwater II,140
15,Fountain,Cain,Attorney General,,REP,Todd Rokita,442
16,Fountain,Cain,Attorney General,,DEM,Jonathan Weinzapfel,99
17,Fountain,Cain,U.S. House,4,REP,Jim Baird,444
18,Fountain,Cain,U.S. House,4,DEM,Joe Mackey,92
19,Fountain,Cain,U.S. House,4,LIB,Write-In Votes,1
20,Fountain,Cain,State Representative,13,REP,Sharon Negele,445
21,Fountain,Cain,State Representative,13,DEM,Loretta Barnes,89
24,Fountain,Davis,Registered Voters,,,,434
25,Fountain,Davis,Ballots Cast,,,,310
26,Fountain,Davis,Straight Party,,REP,,120
27,Fountain,Davis,Straight Party,,DEM,,31
28,Fountain,Davis,Straight Party,,LIB,,1
29,Fountain,Davis,President,,REP,Donald J Trump,241
30,Fountain,Davis,President,,DEM,Joseph R Biden,63
31,Fountain,Davis,President,,LIB,Jo Jorgensen,3
32,Fountain,Davis,President,,,Brian Carroll,0
33,Fountain,Davis,President,,,Howie Hawkins,0
34,Fountain,Davis,President,,,Write-In Votes,0
35,Fountain,Davis,Governor,,REP,Eric Holcomb,194
36,Fountain,Davis,Governor,,DEM,Woodrow (Woody) Myers,44
37,Fountain,Davis,Governor,,LIB,Donald G Rainwater II,66
38,Fountain,Davis,Attorney General,,REP,Todd Rokita,226
39,Fountain,Davis,Attorney General,,DEM,Jonathan Weinzapfel,76
40,Fountain,Davis,U.S. House,4,REP,Jim Baird,231
41,Fountain,Davis,U.S. House,4,DEM,Joe Mackey,64
42,Fountain,Davis,U.S. House,4,LIB,Write-In Votes,0
43,Fountain,Davis,State Representative,13,REP,Sharon Negele,227
44,Fountain,Davis,State Representative,13,DEM,Loretta Barnes,65
47,Fountain,Fulton,Registered Voters,,,,398
48,Fountain,Fulton,Ballots Cast,,,,287
49,Fountain,Fulton,Straight Party,,REP,,120
50,Fountain,Fulton,Straight Party,,DEM,,14
51,Fountain,Fulton,Straight Party,,LIB,,2
52,Fountain,Fulton,President,,REP,Donald J Trump,229
53,Fountain,Fulton,President,,DEM,Joseph R Biden,43
54,Fountain,Fulton,President,,LIB,Jo Jorgensen,5
55,Fountain,Fulton,President,,,Brian Carroll,0
56,Fountain,Fulton,President,,,Howie Hawkins,0
57,Fountain,Fulton,President,,,Write-In Votes,1
58,Fountain,Fulton,Governor,,REP,Eric Holcomb,181
59,Fountain,Fulton,Governor,,DEM,Woodrow (Woody) Myers,31
60,Fountain,Fulton,Governor,,LIB,Donald G Rainwater II,61
61,Fountain,Fulton,Attorney General,,REP,Todd Rokita,217
62,Fountain,Fulton,Attorney General,,DEM,Jonathan Weinzapfel,54
63,Fountain,Fulton,U.S. House,4,REP,Jim Baird,223
64,Fountain,Fulton,U.S. House,4,DEM,Joe Mackey,45
65,Fountain,Fulton,U.S. House,4,LIB,Write-In Votes,0
68,Fountain,Fulton,State Representative,42,REP,Alan Morrison,219
69,Fountain,Fulton,State Representative,42,DEM,Amy Burke Adams,49
70,Fountain,Jackson,Registered Voters,,,,441
71,Fountain,Jackson,Ballots Cast,,,,346
72,Fountain,Jackson,Straight Party,,REP,,143
73,Fountain,Jackson,Straight Party,,DEM,,22
74,Fountain,Jackson,Straight Party,,LIB,,2
75,Fountain,Jackson,President,,REP,Donald J Trump,291
76,Fountain,Jackson,President,,DEM,Joseph R Biden,43
77,Fountain,Jackson,President,,LIB,Jo Jorgensen,8
78,Fountain,Jackson,President,,,Brian Carroll,0
79,Fountain,Jackson,President,,,Howie Hawkins,0
80,Fountain,Jackson,President,,,Write-In Votes,2
81,Fountain,Jackson,Governor,,REP,Eric Holcomb,218
