county,precinct,office,district,party,candidate,votes,absentee,election_day,provisional
Jennings,Bigger,Registered Voters,,,,449,,,
Jennings,Bigger,Ballots Cast,,,,299,122,177,0
Jennings,Bigger,Straight Party,,REP,,79,35,44,0
Jennings,Bigger,Straight Party,,DEM,,8,6,2,0
Jennings,Bigger,Straight Party,,LIB,,0,0,0,0
Jennings,Bigger,President,,REP,Donald J Trump,257,98,159,0
Jennings,Bigger,President,,DEM,Joseph R Biden,36,20,16,0
Jennings,Bigger,President,,LIB,Jo Jorgensen,4,3,1,0
Jennings,Bigger,President,,,Write-In,0,0,0,0
Jennings,Bigger,Governor,,REP,Eric Holcomb,167,71,96,0
Jennings,Bigger,Governor,,DEM,Woodrow (Woody) Myers,35,22,13,0
Jennings,Bigger,Governor,,LIB,Donald G Rainwater II,91,27,64,0
Jennings,Bigger,Attorney General,,REP,Todd Rokita,241,96,145,0
Jennings,Bigger,Attorney General,,DEM,Jonathan Weinzapfel,39,22,17,0
Jennings,Bigger,U.S. House,6,REP,Greg Pence,241,91,150,0
Jennings,Bigger,U.S. House,6,DEM,Jeannine Lee Lake,35,22,13,0
Jennings,Bigger,U.S. House,6,LIB,Tom Ferkinhoff,12,5,7,0
Jennings,Bigger,U.S. House,6,,Write-In,1,0,1,0
Jennings,Bigger,State Representative,67,REP,Randy Frye,243,98,145,0
Jennings,Bigger,State Representative,69,REP,Jim Lucas,,,,
Jennings,Bigger,State Representative,69,DEM,Jeffrey W Prewitt,,,,
Jennings,Bigger,State Representative,69,IND,Katrina (Kat) Hardwick,,,,
Jennings,Campbell,Registered Voters,,,,743,,,
Jennings,Campbell,Ballots Cast,,,,477,168,309,0
Jennings,Campbell,Straight Party,,REP,,125,44,81,0
Jennings,Campbell,Straight Party,,DEM,,37,27,10,0
Jennings,Campbell,Straight Party,,LIB,,3,1,2,0
Jennings,Campbell,President,,REP,Donald J Trump,363,103,260,0
Jennings,Campbell,President,,DEM,Joseph R Biden,107,62,45,0
Jennings,Campbell,President,,LIB,Jo Jorgensen,5,3,2,0
Jennings,Campbell,President,,,Write-In,2,0,2,0
Jennings,Campbell,Governor,,REP,Eric Holcomb,255,84,171,0
Jennings,Campbell,Governor,,DEM,Woodrow (Woody) Myers,85,48,37,0
Jennings,Campbell,Governor,,LIB,Donald G Rainwater II,132,34,98,0
Jennings,Campbell,Attorney General,,REP,Todd Rokita,338,103,235,0
Jennings,Campbell,Attorney General,,DEM,Jonathan Weinzapfel,118,60,58,0
