county,precinct,office,district,candidate,party,votes,election_day,absentee
Crawford,Jennings 1,Registered Voters,,,,604,,
Crawford,Jennings 1,Ballots Cast,,,,382,244,138
Crawford,Jennings 1,Straight Party,,Republican Party,REP,110,75,35
Crawford,Jennings 1,Straight Party,,Democratic,DEM,26,9,17
Crawford,Jennings 1,Straight Party,,Libertarian,LIB,1,1,0
Crawford,Jennings 1,President,,Trump / Pence,REP,283,193,90
Crawford,Jennings 1,President,,Biden / Harris,DEM,94,42,52
Crawford,Jennings 1,President,,Jorgensen / Cohen,LIB,11,8,3
Crawford,Jennings 1,President,,Write-In,,0,0,0
Crawford,Jennings 1,Governor,,Holcomb / Crouch,REP,249,156,93
Crawford,Jennings 1,Governor,,Meyers / Lawson,DEM,88,40,48
Crawford,Jennings 1,Governor,,Rainwater / Henry,LIB,50,45,5
Crawford,Jennings 1,Attorney General,,Todd Rokita,REP,260,175,85
Crawford,Jennings 1,Attorney General,,Jonathan Weinzapfel,DEM,105,50,55
Crawford,Jennings 1,U.S. House,9,Trey Hollingsworth,REP,259,173,86
Crawford,Jennings 1,U.S. House,9,Andy Ruff,DEM,103,47,59
Crawford,Jennings 1,U.S. House,9,Tonya L. Millis,LIB,16,14,2
Crawford,Jennings 1,U.S. House,9,Write-In,,0,0,0
Crawford,Jennings 1,State House,74,Stephen R. Bartels,REP,288,193,95
Crawford,Jennings 2,Registered Voters,,,,506,,
Crawford,Jennings 2,Ballots Cast,,,,366,236,130
Crawford,Jennings 2,Straight Party,,Republican Party,REP,132,85,47
Crawford,Jennings 2,Straight Party,,Democratic,DEM,43,12,31
Crawford,Jennings 2,Straight Party,,Libertarian,LIB,2,2,0
Crawford,Jennings 2,President,,Trump / Pence,REP,261,185,76
Crawford,Jennings 2,President,,Biden / Harris,DEM,93,40,53
Crawford,Jennings 2,President,,Jorgensen / Cohen,LIB,7,7,0
Crawford,Jennings 2,President,,Write-In,,1,1,0
Crawford,Jennings 2,Governor,,Holcomb / Crouch,REP,228,162,66
Crawford,Jennings 2,Governor,,Meyers / Lawson,DEM,90,41,49
Crawford,Jennings 2,Governor,,Rainwater / Henry,LIB,34,25,9
Crawford,Jennings 2,Attorney General,,Todd Rokita,REP,235,166,69
Crawford,Jennings 2,Attorney General,,Jonathan Weinzapfel,DEM,104,53,51
Crawford,Jennings 2,U.S. House,9,Trey Hollingsworth,REP,245,176,69
Crawford,Jennings 2,U.S. House,9,Andy Ruff,DEM,89,42,47
Crawford,Jennings 2,U.S. House,9,Tonya L. Millis,LIB,12,7,5
Crawford,Jennings 2,U.S. House,9,Write-In,,1,1,0
Crawford,Jennings 2,State House,74,Stephen R. Bartels,REP,264,188,76
Crawford,Whiskey Run 1,Registered Voters,,,,662,,
Crawford,Whiskey Run 1,Ballots Cast,,,,387,241,146
Crawford,Whiskey Run 1,Straight Party,,Republican Party,REP,90,64,26
