county,precinct,office,district,party,candidate,election_day,absentee,early_voting,votes
LaGrange,Bloomfield 1,Registered Voters,,,,,,,1000
LaGrange,Bloomfield 1,Ballots Cast,,,,344,105,186,635
LaGrange,Bloomfield 1,President,,REP,Donald J Trump,264,50,111,425
LaGrange,Bloomfield 1,President,,DEM,Joseph R Biden,69,54,69,192
LaGrange,Bloomfield 1,President,,LIB,Jo Jorgensen,7,0,2,9
LaGrange,Bloomfield 1,President,,,Write-In,0,1,0,1
LaGrange,Bloomfield 1,Governor,,REP,Eric Holcomb,241,62,117,420
LaGrange,Bloomfield 1,Governor,,DEM,Woodrow (Woody) Myers,60,40,52,152
LaGrange,Bloomfield 1,Governor,,LIB,Donald G Rainwater II,38,2,13,53
LaGrange,Bloomfield 1,Attorney General,,REP,Todd Rokita,258,52,108,416
LaGrange,Bloomfield 1,Attorney General,,DEM,Jonathan Weinzapfel,71,48,70,189
LaGrange,Bloomfield 1,U.S. House,3,REP,Jim Banks,273,52,116,441
LaGrange,Bloomfield 1,U.S. House,3,DEM,Chip Coldiron,59,51,61,171
LaGrange,Bloomfield 1,U.S. House,3,,Write-In,0,0,0,0
LaGrange,Bloomfield 1,State Senate,13,REP,C Susan Glick,272,70,129,471
LaGrange,Bloomfield 1,State Representative,51,REP,Dennis J Zent,265,53,110,428
LaGrange,Bloomfield 1,State Representative,51,DEM,Michael M Stepphenson,66,45,61,172
LaGrange,Bloomfield 2,Registered Voters,,,,,,,727
LaGrange,Bloomfield 2,Ballots Cast,,,,222,48,146,416
LaGrange,Bloomfield 2,President,,REP,Donald J Trump,159,18,83,260
LaGrange,Bloomfield 2,President,,DEM,Joseph R Biden,47,29,57,133
LaGrange,Bloomfield 2,President,,LIB,Jo Jorgensen,12,0,3,15
LaGrange,Bloomfield 2,President,,,Write-In,2,0,1,3
LaGrange,Bloomfield 2,Governor,,REP,Eric Holcomb,140,22,83,245
LaGrange,Bloomfield 2,Governor,,DEM,Woodrow (Woody) Myers,37,17,51,105
LaGrange,Bloomfield 2,Governor,,LIB,Donald G Rainwater II,41,1,10,52
LaGrange,Bloomfield 2,Attorney General,,REP,Todd Rokita,154,22,86,262
LaGrange,Bloomfield 2,Attorney General,,DEM,Jonathan Weinzapfel,55,17,54,126
LaGrange,Bloomfield 2,U.S. House,3,REP,Jim Banks,165,23,0,278
LaGrange,Bloomfield 2,U.S. House,3,DEM,Chip Coldiron,46,22,54,122
LaGrange,Bloomfield 2,U.S. House,3,,Write-In,0,0,0,0
