county,precinct,office,district,party,candidate,election_day,absentee,early_voting,votes
Jefferson,1~1,Registered Voters,,,,,,,743
Jefferson,1~1,Ballots Cast,,,,161,97,233,491
Jefferson,1~1,President,,R,Trump \ Pence,105,14,106,225
Jefferson,1~1,President,,D,Biden \ Harris,48,80,119,247
Jefferson,1~1,President,,L,Jorgensen \ Cohen,6,0,6,12
Jefferson,1~1,Governor,,,Write-ins,2,0,0,2
Jefferson,1~1,Governor,,R,Holcomb \ Crouch,95,20,114,229
Jefferson,1~1,Governor,,D,Myers \ Lawson,34,74,93,201
Jefferson,1~1,Governor,,L,Rainwater II \ Henry,28,0,22,50
Jefferson,1~1,Attorney General,,R,Todd Rokita,103,10,110,223
Jefferson,1~1,Attorney General,,D,Jonathan Weinzapfel,48,77,112,237
Jefferson,1~1,U.S. House,6,R,Greg Pence,102,14,110,226
Jefferson,1~1,U.S. House,6,D,Jeannine Lee Lake,42,76,108,226
Jefferson,1~1,U.S. House,6,L,Tom Ferkinhoff,9,0,12,21
Jefferson,1~1,U.S. House,6,,Write-ins,0,0,0,0
Jefferson,1~1,State House,66,R,Zach Payne,97,8,102,207
Jefferson,1~1,State House,66,D,Terry Goodin,59,83,123,265
Jefferson,1~1,Straight Party,,R,Republican,,,,90
Jefferson,1~1,Straight Party,,D,Democratic,,,,67
Jefferson,1~1,Straight Party,,L,Libertarian,,,,0
Jefferson,1~2,Registered Voters,,,,,,,585
Jefferson,1~2,Ballots Cast,,,,158,49,142,349
Jefferson,1~2,President,,R,Trump \ Pence,98,14,60,172
Jefferson,1~2,President,,D,Biden \ Harris,54,34,79,167
Jefferson,1~2,President,,L,Jorgensen \ Cohen,6,0,2,8
Jefferson,1~2,Governor,,,Write-ins,0,0,0,0
Jefferson,1~2,Governor,,R,Holcomb \ Crouch,87,17,68,172
Jefferson,1~2,Governor,,D,Myers \ Lawson,45,30,60,135
Jefferson,1~2,Governor,,L,Rainwater II \ Henry,25,0,11,36
Jefferson,1~2,Attorney General,,R,Todd Rokita,93,14,61,168
Jefferson,1~2,Attorney General,,D,Jonathan Weinzapfel,52,33,73,158
Jefferson,1~2,U.S. House,6,R,Greg Pence,90,13,60,163
Jefferson,1~2,U.S. House,6,D,Jeannine Lee Lake,61,33,76,170
