county,precinct,office,district,party,candidate,election_day,absentee,early_voting,votes
Sullivan,Cass 1,Registered Voters,,,,,,,547
Sullivan,Cass 1,Ballots Cast,,,,247,33,96,376
Sullivan,Cass 1,President,,REP,Donald J Trump,206,16,59,281
Sullivan,Cass 1,President,,DEM,Joseph R Biden,32,16,34,82
Sullivan,Cass 1,President,,LIB,Jo Jorgensen,4,1,3,8
Sullivan,Cass 1,President,,,Write-In,1,0,0,1
Sullivan,Cass 1,Governor,,REP,Eric Holcomb,167,22,54,243
Sullivan,Cass 1,Governor,,DEM,Woodrow (Woody) Myers,20,10,29,59
Sullivan,Cass 1,Governor,,LIB,Donald G Rainwater II,51,1,9,61
Sullivan,Cass 1,Attorney General,,REP,Todd Rokita,180,13,53,246
Sullivan,Cass 1,Attorney General,,DEM,Jonathan Weinzapfel,51,20,39,110
Sullivan,Cass 1,U.S. House,8,REP,Larry D Bucshon,187,18,56,261
Sullivan,Cass 1,U.S. House,8,DEM,E. Thomasina Marsili,32,14,35,81
Sullivan,Cass 1,U.S. House,8,LIB,James D. Rodenberger,12,1,3,16
Sullivan,Cass 1,U.S. House,8,,Write-In,0,0,0,0
Sullivan,Cass 1,State Representative,45,REP,Bruce Borders,202,22,65,289
Sullivan,Cass 1,State Representative,45,DEM,No Candidate Filed,0,0,0,0
Sullivan,Cass 2,Registered Voters,,,,,,,836
Sullivan,Cass 2,Ballots Cast,,,,374,53,123,550
Sullivan,Cass 2,President,,REP,Donald J Trump,308,26,85,419
Sullivan,Cass 2,President,,DEM,Joseph R Biden,53,24,34,111
Sullivan,Cass 2,President,,LIB,Jo Jorgensen,6,3,1,10
Sullivan,Cass 2,President,,,Write-In,0,0,0,0
Sullivan,Cass 2,Governor,,REP,Eric Holcomb,245,28,81,354
Sullivan,Cass 2,Governor,,DEM,Woodrow (Woody) Myers,35,21,22,78
Sullivan,Cass 2,Governor,,LIB,Donald G Rainwater II,87,2,17,106
Sullivan,Cass 2,Attorney General,,REP,Todd Rokita,275,20,79,374
Sullivan,Cass 2,Attorney General,,DEM,Jonathan Weinzapfel,74,30,37,141
Sullivan,Cass 2,U.S. House,8,REP,Larry D Bucshon,290,23,87,400
Sullivan,Cass 2,U.S. House,8,DEM,E. Thomasina Marsili,51,25,31,107
Sullivan,Cass 2,U.S. House,8,LIB,James D. Rodenberger,12,3,3,18
Sullivan,Cass 2,U.S. House,8,,Write-In,0,0,0,0
Sullivan,Cass 2,State Representative,45,REP,Bruce Borders,310,28,92,430
Sullivan,Cass 2,State Representative,45,DEM,No Candidate Filed,0,0,0,0
Sullivan,Curry 1,Registered Voters,,,,,,,766
Sullivan,Curry 1,Ballots Cast,,,,340,59,89,488
Sullivan,Curry 1,President,,REP,Donald J Trump,258,33,56,347
Sullivan,Curry 1,President,,DEM,Joseph R Biden,73,26,32,131
Sullivan,Curry 1,President,,LIB,Jo Jorgensen,6,0,0,6
Sullivan,Curry 1,President,,,Write-In,0,0,0,0
Sullivan,Curry 1,Governor,,REP,Eric Holcomb,223,36,50,309
Sullivan,Curry 1,Governor,,DEM,Woodrow (Woody) Myers,52,19,31,102
Sullivan,Curry 1,Governor,,LIB,Donald G Rainwater II,59,2,8,69
Sullivan,Curry 1,Attorney General,,REP,Todd Rokita,224,35,58,317
Sullivan,Curry 1,Attorney General,,DEM,Jonathan Weinzapfel,104,21,30,155
Sullivan,Curry 1,U.S. House,8,REP,Larry D Bucshon,254,33,57,344
Sullivan,Curry 1,U.S. House,8,DEM,E. Thomasina Marsili,68,22,31,121
Sullivan,Curry 1,U.S. House,8,LIB,James D. Rodenberger,12,2,1,15
Sullivan,Curry 1,U.S. House,8,,Write-In,0,0,0,0
Sullivan,Curry 1,State Representative,45,REP,Bruce Borders,280,39,64,383
Sullivan,Curry 1,State Representative,45,DEM,No Candidate Filed,0,0,0,0
Sullivan,Curry 2,Registered Voters,,,,,,,752
Sullivan,Curry 2,Ballots Cast,,,,300,31,93,424
Sullivan,Curry 2,President,,REP,Donald J Trump,216,8,68,292
Sullivan,Curry 2,President,,DEM,Joseph R Biden,78,22,24,124
Sullivan,Curry 2,President,,LIB,Jo Jorgensen,3,0,0,3
Sullivan,Curry 2,President,,,Write-In,0,0,0,0
Sullivan,Curry 2,Governor,,REP,Eric Holcomb,183,17,66,266
Sullivan,Curry 2,Governor,,DEM,Woodrow (Woody) Myers,53,11,13,77
Sullivan,Curry 2,Governor,,LIB,Donald G Rainwater II,53,0,12,65
Sullivan,Curry 2,Attorney General,,REP,Todd Rokita,188,10,73,271
Sullivan,Curry 2,Attorney General,,DEM,Jonathan Weinzapfel,92,18,17,127
Sullivan,Curry 2,U.S. House,8,REP,Larry D Bucshon,200,10,74,284
Sullivan,Curry 2,U.S. House,8,DEM,E. Thomasina Marsili,67,18,17,102
Sullivan,Curry 2,U.S. House,8,LIB,James D. Rodenberger,16,0,0,16
Sullivan,Curry 2,U.S. House,8,,Write-In,0,0,0,0
Sullivan,Curry 2,State Representative,45,REP,Bruce Borders,244,14,81,339
Sullivan,Curry 2,State Representative,45,DEM,No Candidate Filed,0,0,0,0
Sullivan,Curry 3,Registered Voters,,,,,,,924
Sullivan,Curry 3,Ballots Cast,,,,393,66,150,609
Sullivan,Curry 3,President,,REP,Donald J Trump,321,42,97,460
Sullivan,Curry 3,President,,DEM,Joseph R Biden,65,19,50,134
Sullivan,Curry 3,President,,LIB,Jo Jorgensen,5,1,0,6
Sullivan,Curry 3,President,,,Write-In,1,0,0,1
Sullivan,Curry 3,Governor,,REP,Eric Holcomb,260,49,94,403
Sullivan,Curry 3,Governor,,DEM,Woodrow (Woody) Myers,51,14,36,101
Sullivan,Curry 3,Governor,,LIB,Donald G Rainwater II,77,0,19,96
Sullivan,Curry 3,Attorney General,,REP,Todd Rokita,276,36,97,409
Sullivan,Curry 3,Attorney General,,DEM,Jonathan Weinzapfel,100,26,51,177
Sullivan,Curry 3,U.S. House,8,REP,Larry D Bucshon,306,46,102,454
Sullivan,Curry 3,U.S. House,8,DEM,E. Thomasina Marsili,57,20,41,118
Sullivan,Curry 3,U.S. House,8,LIB,James D. Rodenberger,16,0,3,19
Sullivan,Curry 3,U.S. House,8,,Write-In,0,0,0,0
Sullivan,Curry 3,State Representative,45,REP,Bruce Borders,336,55,108,499
Sullivan,Curry 3,State Representative,45,DEM,No Candidate Filed,0,0,0,0
Sullivan,Curry 3,Registered Voters,,,,,,,924
Sullivan,Curry 3,Ballots Cast,,,,391,66,150,607
Sullivan,Curry 3,President,,REP,Donald J Trump,319,42,97,458
Sullivan,Curry 3,President,,DEM,Joseph R Biden,65,19,50,134
Sullivan,Curry 3,President,,LIB,Jo Jorgensen,5,1,0,6
Sullivan,Curry 3,President,,,Write-In,1,0,0,1
Sullivan,Curry 3,Governor,,REP,Eric Holcomb,258,49,94,401
Sullivan,Curry 3,Governor,,DEM,Woodrow (Woody) Myers,51,14,36,101
Sullivan,Curry 3,Governor,,LIB,Donald G Rainwater II,77,0,19,96
Sullivan,Curry 3,Attorney General,,REP,Todd Rokita,274,36,97,407
Sullivan,Curry 3,Attorney General,,DEM,Jonathan Weinzapfel,100,26,51,177
Sullivan,Curry 3,U.S. House,8,REP,Larry D Bucshon,304,46,102,452
Sullivan,Curry 3,U.S. House,8,DEM,E. Thomasina Marsili,57,20,41,118
Sullivan,Curry 3,U.S. House,8,LIB,James D. Rodenberger,16,0,3,19
Sullivan,Curry 3,U.S. House,8,,Write-In,0,0,0,0
Sullivan,Curry 3,State Representative,45,REP,Bruce Borders,334,55,108,497
Sullivan,Curry 3,State Representative,45,DEM,No Candidate Filed,0,0,0,0
Sullivan,Fairbanks,Registered Voters,,,,,,,548
Sullivan,Fairbanks,Ballots Cast,,,,305,37,73,415
Sullivan,Fairbanks,President,,REP,Donald J Trump,257,17,57,331
Sullivan,Fairbanks,President,,DEM,Joseph R Biden,34,19,15,68
Sullivan,Fairbanks,President,,LIB,Jo Jorgensen,8,0,0,8
Sullivan,Fairbanks,President,,,Write-In,2,0,0,2
Sullivan,Fairbanks,Governor,,REP,Eric Holcomb,223,24,55,302
Sullivan,Fairbanks,Governor,,DEM,Woodrow (Woody) Myers,22,11,11,44
Sullivan,Fairbanks,Governor,,LIB,Donald G Rainwater II,53,1,6,60
Sullivan,Fairbanks,Attorney General,,REP,Todd Rokita,235,17,53,305
Sullivan,Fairbanks,Attorney General,,DEM,Jonathan Weinzapfel,59,19,17,95
Sullivan,Fairbanks,U.S. House,8,REP,Larry D Bucshon,250,18,55,323
Sullivan,Fairbanks,U.S. House,8,DEM,E. Thomasina Marsili,35,16,14,65
Sullivan,Fairbanks,U.S. House,8,LIB,James D. Rodenberger,11,1,1,13
Sullivan,Fairbanks,U.S. House,8,,Write-In,0,0,0,0
Sullivan,Fairbanks,State Representative,45,REP,Bruce Borders,263,22,56,341
Sullivan,Fairbanks,State Representative,45,DEM,No Candidate Filed,0,0,0,0
Sullivan,Gill 1,Registered Voters,,,,,,,332
Sullivan,Gill 1,Ballots Cast,,,,200,12,34,246
Sullivan,Gill 1,President,,REP,Donald J Trump,149,5,29,183
Sullivan,Gill 1,President,,DEM,Joseph R Biden,47,7,4,58
Sullivan,Gill 1,President,,LIB,Jo Jorgensen,3,0,1,4
Sullivan,Gill 1,President,,,Write-In,0,0,0,0
Sullivan,Gill 1,Governor,,REP,Eric Holcomb,133,10,27,170
Sullivan,Gill 1,Governor,,DEM,Woodrow (Woody) Myers,37,2,3,42
Sullivan,Gill 1,Governor,,LIB,Donald G Rainwater II,27,0,4,31
Sullivan,Gill 1,Attorney General,,REP,Todd Rokita,134,6,29,169
Sullivan,Gill 1,Attorney General,,DEM,Jonathan Weinzapfel,61,6,4,71
Sullivan,Gill 1,U.S. House,8,REP,Larry D Bucshon,145,6,29,180
Sullivan,Gill 1,U.S. House,8,DEM,E. Thomasina Marsili,44,6,4,54
Sullivan,Gill 1,U.S. House,8,LIB,James D. Rodenberger,2,0,1,3
Sullivan,Gill 1,U.S. House,8,,Write-In,0,0,0,0
Sullivan,Gill 1,State Representative,45,REP,Bruce Borders,140,6,29,175
Sullivan,Gill 1,State Representative,45,DEM,No Candidate Filed,0,0,0,0
Sullivan,Gill 2,Registered Voters,,,,,,,289
Sullivan,Gill 2,Ballots Cast,,,,127,15,33,175
Sullivan,Gill 2,President,,REP,Donald J Trump,93,9,17,119
Sullivan,Gill 2,President,,DEM,Joseph R Biden,31,6,14,51
Sullivan,Gill 2,President,,LIB,Jo Jorgensen,3,0,1,4
Sullivan,Gill 2,President,,,Write-In,0,0,0,0
Sullivan,Gill 2,Governor,,REP,Eric Holcomb,82,11,19,112
Sullivan,Gill 2,Governor,,DEM,Woodrow (Woody) Myers,26,4,12,42
Sullivan,Gill 2,Governor,,LIB,Donald G Rainwater II,17,0,2,19
Sullivan,Gill 2,Attorney General,,REP,Todd Rokita,81,7,17,105
Sullivan,Gill 2,Attorney General,,DEM,Jonathan Weinzapfel,42,8,16,66
Sullivan,Gill 2,U.S. House,8,REP,Larry D Bucshon,92,8,16,116
Sullivan,Gill 2,U.S. House,8,DEM,E. Thomasina Marsili,28,7,16,51
Sullivan,Gill 2,U.S. House,8,LIB,James D. Rodenberger,4,0,1,5
Sullivan,Gill 2,U.S. House,8,,Write-In,0,0,0,0
Sullivan,Gill 2,State Representative,45,REP,Bruce Borders,104,10,22,136
Sullivan,Gill 2,State Representative,45,DEM,No Candidate Filed,0,0,0,0
Sullivan,Haddon 1,Registered Voters,,,,,,,366
Sullivan,Haddon 1,Ballots Cast,,,,170,20,36,226
Sullivan,Haddon 1,President,,REP,Donald J Trump,127,11,28,166
Sullivan,Haddon 1,President,,DEM,Joseph R Biden,40,8,7,55
