county,precinct,office,district,candidate,party,election_day,absentee,early_voting,votes
Knox,Bicknell City 1,Registered Voters,,,,,,,545
Knox,Bicknell City 1,Ballots Cast,,,,233,39,37,309
Knox,Bicknell City 1,President,,Trump / Pence,REP,196,16,23,235
Knox,Bicknell City 1,President,,Biden / Harris,DEM,30,22,12,64
Knox,Bicknell City 1,President,,Jorgensen / Cohen,LIB,5,1,1,7
Knox,Bicknell City 1,President,,Write-In,,0,0,0,0
Knox,Bicknell City 1,Governor,,Holcomb / Crouch,REP,152,20,22,194
Knox,Bicknell City 1,Governor,,Myers / Lawson,DEM,25,16,12,53
Knox,Bicknell City 1,Governor,,Rainwater II / Henry,LIB,52,3,2,57
Knox,Bicknell City 1,Attorney General,,Todd Rokita,REP,164,15,22,201
Knox,Bicknell City 1,Attorney General,,Jonathan Weinzapfel,DEM,57,23,14,94
Knox,Bicknell City 1,U.S. House,8,Larry D. Bucshon,REP,181,18,23,222
Knox,Bicknell City 1,U.S. House,8,E. Thomasina Marsili,DEM,30,20,12,62
Knox,Bicknell City 1,U.S. House,8,James D. Rodenberger,LIB,12,1,1,14
Knox,Bicknell City 1,U.S. House,8,Write-In,,0,0,0,0
Knox,Bicknell City 1,State Representative,45,Bruce Borders,REP,198,26,28,252
Knox,Bicknell City 1,State Representative,45,No Candidate Filed,,0,0,0,0
Knox,Bicknell City 2,Registered Voters,,,,,,,499
Knox,Bicknell City 2,Ballots Cast,,,,204,30,48,282
Knox,Bicknell City 2,President,,Trump / Pence,REP,170,17,25,212
Knox,Bicknell City 2,President,,Biden / Harris,DEM,28,13,22,63
Knox,Bicknell City 2,President,,Jorgensen / Cohen,LIB,3,0,1,4
Knox,Bicknell City 2,President,,Write-In,,0,0,0,0
Knox,Bicknell City 2,Governor,,Holcomb / Crouch,REP,146,20,19,185
Knox,Bicknell City 2,Governor,,Myers / Lawson,DEM,19,8,18,45
Knox,Bicknell City 2,Governor,,Rainwater II / Henry,LIB,34,1,10,45
Knox,Bicknell City 2,Attorney General,,Todd Rokita,REP,149,16,24,189
Knox,Bicknell City 2,Attorney General,,Jonathan Weinzapfel,DEM,45,13,23,81
Knox,Bicknell City 2,U.S. House,8,Larry D. Bucshon,REP,164,17,25,206
Knox,Bicknell City 2,U.S. House,8,E. Thomasina Marsili,DEM,27,9,21,57
Knox,Bicknell City 2,U.S. House,8,James D. Rodenberger,LIB,2,3,2,7
Knox,Bicknell City 2,U.S. House,8,Write-In,,0,0,0,0
Knox,Bicknell City 2,State Representative,45,Bruce Borders,REP,178,19,34,231
Knox,Bicknell City 2,State Representative,45,No Candidate Filed,,0,0,0,0
Knox,Bicknell City 3,Registered Voters,,,,,,,469
Knox,Bicknell City 3,Ballots Cast,,,,222,41,35,298
Knox,Bicknell City 3,President,,Trump / Pence,REP,184,16,29,229
Knox,Bicknell City 3,President,,Biden / Harris,DEM,31,25,6,62
Knox,Bicknell City 3,President,,Jorgensen / Cohen,LIB,4,0,0,4
Knox,Bicknell City 3,President,,Write-In,,1,0,0,1
Knox,Bicknell City 3,Governor,,Holcomb / Crouch,REP,156,16,23,195
Knox,Bicknell City 3,Governor,,Myers / Lawson,DEM,22,21,4,47
Knox,Bicknell City 3,Governor,,Rainwater II / Henry,LIB,39,1,8,48
Knox,Bicknell City 3,Attorney General,,Todd Rokita,REP,167,15,28,210
Knox,Bicknell City 3,Attorney General,,Jonathan Weinzapfel,DEM,49,23,6,78
Knox,Bicknell City 3,U.S. House,8,Larry D. Bucshon,REP,177,15,29,221
Knox,Bicknell City 3,U.S. House,8,E. Thomasina Marsili,DEM,29,22,6,57
Knox,Bicknell City 3,U.S. House,8,James D. Rodenberger,LIB,10,0,0,10
Knox,Bicknell City 3,U.S. House,8,Write-In,,0,0,0,0
Knox,Bicknell City 3,State Representative,45,Bruce Borders,REP,192,20,30,242
Knox,Bicknell City 3,State Representative,45,No Candidate Filed,,0,0,0,0
Knox,Bicknell City 4,Registered Voters,,,,,,,270
Knox,Bicknell City 4,Ballots Cast,,,,116,16,17,149
Knox,Bicknell City 4,President,,Trump / Pence,REP,92,10,14,116
Knox,Bicknell City 4,President,,Biden / Harris,DEM,21,6,3,30
Knox,Bicknell City 4,President,,Jorgensen / Cohen,LIB,1,0,0,1
