county,precinct,office,district,party,candidate,election_day,absentee,votes
 Clark,Bethlehem 01,Registered Voters,,,,,,242
 Clark,Bethlehem 01,Ballots Cast,,,,142,36,178
 Clark,Bethlehem 01,President,,REP,Donald J. Trump,117,20,137
 Clark,Bethlehem 01,President,,DEM,Joseph R. Biden,20,14,34
 Clark,Bethlehem 01,President,,LIB,Jo Jorgensen,2,1,3
 Clark,Bethlehem 01,President,,,Write-ins,0,1,1
 Clark,Bethlehem 01,Governor,,REP,Eric Holcomb,98,18,116
 Clark,Bethlehem 01,Governor,,DEM,Woodrow (Woody) Myers,12,10,22
 Clark,Bethlehem 01,Governor,,LIB,Donald G Rainwater II,30,7,37
 Clark,Bethlehem 01,Attorney General,,REP,Todd Rokita,109,22,131
 Clark,Bethlehem 01,Attorney General,,DEM,Jonathan Weinzapfel,19,13,32
 Clark,Bethlehem 01,U.S. House,9,REP,Trey Hollingsworth,113,22,135
 Clark,Bethlehem 01,U.S. House,9,DEM,Andy Ruff,17,10,27
 Clark,Bethlehem 01,U.S. House,9,LIB,Tonya L Millis,6,3,9
 Clark,Bethlehem 01,U.S. House,9,REP,Write-ins,0,0,0
 Clark,Bethlehem 01,State Representative,66,REP,Zach Payne,87,19,106
 Clark,Bethlehem 01,State Representative,66,DEM,Terry Goodin,53,16,69
 Clark,Carr 01 SCSC,Registered Voters,,,,,,3969
 Clark,Carr 01 SCSC,Ballots Cast,,,,1449,1485,2934
 Clark,Carr 01 SCSC,President,,REP,Donald J. Trump,1163,899,2062
 Clark,Carr 01 SCSC,President,,DEM,Joseph R. Biden,245,551,796
 Clark,Carr 01 SCSC,President,,LIB,Jo Jorgensen,28,24,52
 Clark,Carr 01 SCSC,President,,,Write-ins,4,6,10
 Clark,Carr 01 SCSC,Governor,,REP,Eric Holcomb,1101,971,2072
 Clark,Carr 01 SCSC,Governor,,DEM,Woodrow (Woody) Myers,188,440,628
 Clark,Carr 01 SCSC,Governor,,LIB,Donald G Rainwater II,141,59,200
