county,precinct,office,district,party,candidate,election_day,absentee,early_voting,votes
LaPorte,Cass,Registered Voters,,,,,,,878
LaPorte,Cass,Ballots Cast,,,,202,60,389,651
LaPorte,Cass,President,,DEM,Joseph R Biden,38,36,119,193
LaPorte,Cass,President,,REP,Donald J Trump,153,22,263,438
LaPorte,Cass,President,,LIB,Jo Jorgensen,8,1,4,13
LaPorte,Cass,President,,,Write-In,0,0,1,1
LaPorte,Cass,Governor,,DEM,Woodrow (Woody) Myers,27,30,92,149
LaPorte,Cass,Governor,,REP,Eric Holcomb,130,25,229,384
LaPorte,Cass,Governor,,LIB,Donald G Rainwater II,37,1,58,96
LaPorte,Cass,Attorney General,,DEM,Jonathan Weinzapfel,37,33,116,186
LaPorte,Cass,Attorney General,,REP,Todd Rokita,147,23,248,418
LaPorte,Cass,U.S. House,1,DEM,Frank J Mrvan,39,34,118,191
LaPorte,Cass,U.S. House,1,REP,Mark Leyva,141,19,233,393
LaPorte,Cass,U.S. House,1,LIB,Michael Strauss,9,2,21,32
LaPorte,Cass,U.S. House,1,,Write-In,0,0,0,0
LaPorte,Cass,State Senator,5,DEM,Luke Bohm,34,32,111,177
LaPorte,Cass,State Senator,5,REP,Ed Charbonneau,158,24,262,444
LaPorte,Cass,State Representative,20,DEM,Tim Gust,32,29,100,161
LaPorte,Cass,State Representative,20,REP,Jim Pressel,162,28,274,464
LaPorte,Center 1,Registered Voters,,,,,,,1304
LaPorte,Center 1,Ballots Cast,,,,403,153,390,946
LaPorte,Center 1,President,,DEM,Joseph R Biden,97,106,180,383
LaPorte,Center 1,President,,REP,Donald J Trump,291,43,202,536
LaPorte,Center 1,President,,LIB,Jo Jorgensen,13,4,5,22
LaPorte,Center 1,President,,,Write-In,0,0,0,0
LaPorte,Center 1,Governor,,DEM,Woodrow (Woody) Myers,75,73,143,291
LaPorte,Center 1,Governor,,REP,Eric Holcomb,275,76,216,567
LaPorte,Center 1,Governor,,LIB,Donald G Rainwater II,45,3,21,69
LaPorte,Center 1,Attorney General,,DEM,Jonathan Weinzapfel,107,94,166,367
LaPorte,Center 1,Attorney General,,REP,Todd Rokita,267,54,210,531
LaPorte,Center 1,State Senator,8,DEM,Gary Davis,104,85,170,359
LaPorte,Center 1,State Senator,8,REP,Mike Bohacek,285,65,210,560
LaPorte,Center 1,State Representative,20,DEM,Tim Gust,87,77,158,322
LaPorte,Center 1,State Representative,20,REP,Jim Pressel,304,75,224,603
LaPorte,Center 2,Registered Voters,,,,,,,1383
LaPorte,Center 2,Ballots Cast,,,,322,130,60,1012
LaPorte,Center 2,President,,DEM,Joseph R Biden,89,85,237,411
LaPorte,Center 2,President,,REP,Donald J Trump,224,42,311,577
LaPorte,Center 2,President,,LIB,Jo Jorgensen,8,2,2,12
LaPorte,Center 2,President,,,Write-In,0,0,0,0
LaPorte,Center 2,Governor,,DEM,Woodrow (Woody) Myers,70,62,185,317
LaPorte,Center 2,Governor,,REP,Eric Holcomb,206,62,344,612
LaPorte,Center 2,Governor,,LIB,Donald G Rainwater II,38,1,21,60
LaPorte,Center 2,Attorney General,,DEM,Jonathan Weinzapfel,94,74,225,393
LaPorte,Center 2,Attorney General,,REP,Todd Rokita,208,51,312,571
LaPorte,Center 2,State Senator,8,DEM,Gary Davis,90,71,206,367
LaPorte,Center 2,State Senator,8,REP,Mike Bohacek,220,52,336,608
LaPorte,Center 2,State Representative,20,DEM,Tim Gust,72,60,196,328
LaPorte,Center 2,State Representative,20,REP,Jim Pressel,240,64,346,650
LaPorte,Center 3,Registered Voters,,,,,,,1077
LaPorte,Center 3,Ballots Cast,,,,268,127,395,790
LaPorte,Center 3,President,,DEM,Joseph R Biden,79,77,178,334
LaPorte,Center 3,President,,REP,Donald J Trump,183,47,210,440
LaPorte,Center 3,President,,LIB,Jo Jorgensen,4,0,4,8
LaPorte,Center 3,President,,,Write-In,1,0,2,3
LaPorte,Center 3,Governor,,DEM,Woodrow (Woody) Myers,64,60,136,260
LaPorte,Center 3,Governor,,REP,Eric Holcomb,173,59,221,453
LaPorte,Center 3,Governor,,LIB,Donald G Rainwater II,28,1,24,53
LaPorte,Center 3,Attorney General,,DEM,Jonathan Weinzapfel,84,76,166,326
LaPorte,Center 3,Attorney General,,REP,Todd Rokita,168,42,205,415
LaPorte,Center 3,State Senator,8,DEM,Gary Davis,77,71,154,302
LaPorte,Center 3,State Senator,8,REP,Mike Bohacek,188,49,233,470
LaPorte,Center 3,State Representative,20,DEM,Tim Gust,63,62,156,281
LaPorte,Center 3,State Representative,20,REP,Jim Pressel,200,58,231,489
LaPorte,Center 4,Registered Voters,,,,,,,1058
LaPorte,Center 4,Ballots Cast,,,,259,112,417,788
LaPorte,Center 4,President,,DEM,Joseph R Biden,64,76,173,313
LaPorte,Center 4,President,,REP,Donald J Trump,188,31,237,456
LaPorte,Center 4,President,,LIB,Jo Jorgensen,4,2,4,10
LaPorte,Center 4,President,,,Write-In,0,0,0,0
LaPorte,Center 4,Governor,,DEM,Woodrow (Woody) Myers,46,62,145,253
LaPorte,Center 4,Governor,,REP,Eric Holcomb,179,45,241,465
LaPorte,Center 4,Governor,,LIB,Donald G Rainwater II,27,2,20,49
LaPorte,Center 4,Attorney General,,DEM,Jonathan Weinzapfel,63,63,179,305
LaPorte,Center 4,Attorney General,,REP,Todd Rokita,176,40,222,438
LaPorte,Center 4,State Senator,8,DEM,Gary Davis,60,61,171,292
LaPorte,Center 4,State Senator,8,REP,Mike Bohacek,187,43,231,461
LaPorte,Center 4,State Representative,20,DEM,Tim Gust,51,55,158,264
LaPorte,Center 4,State Representative,20,REP,Jim Pressel,199,49,248,496
LaPorte,Center 5,Registered Voters,,,,,,,1167
LaPorte,Center 5,Ballots Cast,,,,310,141,395,846
LaPorte,Center 5,President,,DEM,Joseph R Biden,82,97,173,352
LaPorte,Center 5,President,,REP,Donald J Trump,218,43,217,478
LaPorte,Center 5,President,,LIB,Jo Jorgensen,7,0,2,9
LaPorte,Center 5,President,,,Write-In,1,0,0,1
LaPorte,Center 5,Governor,,DEM,Woodrow (Woody) Myers,61,73,129,263
LaPorte,Center 5,Governor,,REP,Eric Holcomb,212,61,235,508
LaPorte,Center 5,Governor,,LIB,Donald G Rainwater II,32,2,20,54
LaPorte,Center 5,Attorney General,,DEM,Jonathan Weinzapfel,78,80,159,317
LaPorte,Center 5,Attorney General,,REP,Todd Rokita,212,56,221,489
LaPorte,Center 5,State Senator,8,DEM,Gary Davis,86,81,149,316
LaPorte,Center 5,State Senator,8,REP,Mike Bohacek,216,55,237,508
LaPorte,Center 5,State Representative,20,DEM,Tim Gust,71,67,129,267
LaPorte,Center 5,State Representative,20,REP,Jim Pressel,231,67,260,558
LaPorte,Clinton,Registered Voters,,,,,,,876
LaPorte,Clinton,Ballots Cast,,,,298,80,276,654
LaPorte,Clinton,President,,DEM,Joseph R Biden,54,38,91,183
LaPorte,Clinton,President,,REP,Donald J Trump,235,39,177,451
LaPorte,Clinton,President,,LIB,Jo Jorgensen,9,3,5,17
LaPorte,Clinton,President,,,Write-In,0,0,1,1
LaPorte,Clinton,Governor,,DEM,Woodrow (Woody) Myers,44,31,66,141
LaPorte,Clinton,Governor,,REP,Eric Holcomb,197,44,160,401
LaPorte,Clinton,Governor,,LIB,Donald G Rainwater II,53,4,45,102
LaPorte,Clinton,Attorney General,,DEM,Jonathan Weinzapfel,68,36,83,187
LaPorte,Clinton,Attorney General,,REP,Todd Rokita,212,40,183,435
LaPorte,Clinton,U.S. House,1,DEM,Frank J Mrvan,56,35,88,179
LaPorte,Clinton,U.S. House,1,REP,Mark Leyva,221,36,165,422
