county,precinct,office,district,party,candidate,election_day,absentee,mail,votes
Benton,Union,Governor,,REP,Eric Holcomb,53,23,12,88
Benton,Union,Governor,,DEM,Woody Myers,4,5,1,10
Benton,Union,Governor,,LIB,Donald Rainwater,9,2,0,11
Benton,Union,Attorney General,,REP,Todd Rokita,58,20,12,90
Benton,Union,Attorney General,,DEM,Jonathan Weinzapfel,6,9,1,16
Benton,Union,U.S. House,4,REP,Jim Baird,58,22,11,91
Benton,Union,U.S. House,4,DEM,Joe Mackey,6,8,2,16
Benton,Union,U.S. House,4,,Write-In Votes,0,0,0,0
Benton,Union,State Representative,13,REP,Sharon Negele,57,23,11,91
Benton,Union,State Representative,13,DEM,Loretta Barnes,7,7,2,16
Benton,York,Registered Voters,,,,,,,129
Benton,York,Ballots Cast,,,,74,13,5,92
Benton,York,Straight Party,,REP,,29,7,1,37
Benton,York,Straight Party,,DEM,,3,0,0,3
Benton,York,Straight Party,,LIB,,2,0,0,2
Benton,York,President,,REP,Trump\Pence,61,12,2,75
Benton,York,President,,DEM,Biden\Harris,11,1,2,14
Benton,York,President,,LIB,Jorgense\Cohen,2,0,0,2
Benton,York,President,,,Write-In Votes,0,0,0,0
Benton,York,Governor,,REP,Eric Holcomb,53,12,4,69
Benton,York,Governor,,DEM,Woody Myers,7,0,0,7
Benton,York,Governor,,LIB,Donald Rainwater,14,1,1,16
Benton,York,Attorney General,,REP,Todd Rokita,62,11,3,76
Benton,York,Attorney General,,DEM,Jonathan Weinzapfel,11,1,2,14
Benton,York,U.S. House,4,REP,Jim Baird,63,12,3,78
Benton,York,U.S. House,4,DEM,Joe Mackey,10,1,2,13
Benton,York,U.S. House,4,,Write-In Votes,0,0,0,0
Benton,York,State Representative,13,REP,Sharon Negele,63,13,3,79
Benton,York,State Representative,13,DEM,Loretta Barnes,10,0,2,12
Benton,TOTAL,Registered Voters,,,,,,,6015
Benton,TOTAL,Ballots Cast,,,,2469,1351,346,4166
Benton,TOTAL,Straight Party,,REP,,903,432,74,1409
Benton,TOTAL,Straight Party,,DEM,,160,136,33,329
Benton,TOTAL,Straight Party,,LIB,,20,5,2,27
Benton,TOTAL,President,,REP,Trump\Pence,1928,891,188,3007
Benton,TOTAL,President,,DEM,Biden\Harris,453,410,146,1009
Benton,TOTAL,President,,LIB,Jorgense\Cohen,59,27,6,92
Benton,TOTAL,President,,,Write-In Votes,5,1,1,7
Benton,TOTAL,Governor,,REP,Eric Holcomb,1678,901,236,2815
Benton,TOTAL,Governor,,DEM,Woody Myers,316,267,88,671
Benton,TOTAL,Governor,,LIB,Donald Rainwater,440,162,12,614
Benton,TOTAL,Attorney General,,REP,Todd Rokita,1822,906,209,2937
Benton,TOTAL,Attorney General,,DEM,Jonathan Weinzapfel,582,404,125,1111
Benton,TOTAL,U.S. House,4,REP,Jim Baird,1916,902,195,3013
Benton,TOTAL,U.S. House,4,DEM,Joe Mackey,481,397,140,1018
Benton,TOTAL,U.S. House,4,,Write-In Votes,1,0,0,1
Benton,TOTAL,State Representative,13,REP,Sharon Negele,1959,942,216,3117
Benton,TOTAL,State Representative,13,DEM,Loretta Barnes,428,355,120,903
