county,precinct,office,district,candidate,party,election_day,absentee,early_voting,votes
Warrick,Anderson,Registered Voters,,,,,,,907
Warrick,Anderson,Ballots Cast,,,,313,67,270,650
Warrick,Anderson,President,,Trump / Pence,REP,237,20,194,451
Warrick,Anderson,President,,Biden / Harris,DEM,69,43,72,184
Warrick,Anderson,President,,Jorgensen / Cohen,LIB,2,1,4,7
Warrick,Anderson,President,,Write-In,,0,0,0,0
Warrick,Anderson,Governor,,Holcomb / Crouch,REP,221,34,188,443
Warrick,Anderson,Governor,,Myers / Lawson,DEM,56,28,56,140
Warrick,Anderson,Governor,,Rainwater II / Henry,LIB,31,4,24,59
Warrick,Anderson,Attorney General,,Todd Rokita,REP,208,23,172,403
Warrick,Anderson,Attorney General,,Jonathan Weinzapfel,DEM,95,43,89,227
Warrick,Anderson,U.S. House,8,Larry D. Bucshon,REP,230,31,187,448
Warrick,Anderson,U.S. House,8,E. Thomasina Marsili,DEM,65,34,68,167
Warrick,Anderson,U.S. House,8,James D. Rodenberger,LIB,7,1,8,16
Warrick,Anderson,U.S. House,8,Write-In,,0,0,1,1
Warrick,Anderson,State Representative,75,Cindy Ledbetter,REP,222,27,178,427
Warrick,Anderson,State Representative,75,John Hurley,DEM,81,38,84,203
Warrick,Boon 3,Registered Voters,,,,,,,1240
Warrick,Boon 3,Ballots Cast,,,,321,94,369,784
Warrick,Boon 3,President,,Trump / Pence,REP,228,46,240,514
Warrick,Boon 3,President,,Biden / Harris,DEM,81,46,120,247
Warrick,Boon 3,President,,Jorgensen / Cohen,LIB,8,1,2,11
Warrick,Boon 3,President,,Write-In,,2,0,0,2
Warrick,Boon 3,Governor,,Holcomb / Crouch,REP,227,48,241,516
Warrick,Boon 3,Governor,,Myers / Lawson,DEM,59,41,94,194
Warrick,Boon 3,Governor,,Rainwater II / Henry,LIB,30,1,27,58
Warrick,Boon 3,Attorney General,,Todd Rokita,REP,183,35,216,434
Warrick,Boon 3,Attorney General,,Jonathan Weinzapfel,DEM,124,55,135,314
Warrick,Boon 3,U.S. House,8,Larry D. Bucshon,REP,228,43,245,516
Warrick,Boon 3,U.S. House,8,E. Thomasina Marsili,DEM,69,47,99,215
Warrick,Boon 3,U.S. House,8,James D. Rodenberger,LIB,15,1,10,26
Warrick,Boon 3,U.S. House,8,Write-In,,1,0,0,1
Warrick,Boon 3,State Representative,75,Cindy Ledbetter,REP,207,35,218,460
Warrick,Boon 3,State Representative,75,John Hurley,DEM,105,54,138,297
Warrick,Boon 5,Registered Voters,,,,,,,768
Warrick,Boon 5,Ballots Cast,,,,160,68,317,545
