county,precinct,office,district,candidate,party,election_day,absentee,early_voting,votes
Franklin,Batesville 1,Registered Voters,,,,,,,1270
Franklin,Batesville 1,Ballots Cast,,,,685,139,189,1013
Franklin,Batesville 1,President,,Trump / Pence,REP,516,68,102,686
Franklin,Batesville 1,President,,Biden / Harris,DEM,151,64,81,296
Franklin,Batesville 1,President,,Jorgensen / Cohen,LIB,16,5,5,26
Franklin,Batesville 1,President,,Write-In,,0,1,0,1
Franklin,Batesville 1,Governor,,Holcomb / Crouch,REP,459,80,99,638
Franklin,Batesville 1,Governor,,Myers / Lawson,DEM,113,47,65,225
Franklin,Batesville 1,Governor,,Rainwater II / Henry,LIB,108,7,22,137
Franklin,Batesville 1,Attorney General,,Todd Rokita,REP,512,73,105,690
Franklin,Batesville 1,Attorney General,,Jonathan Weinzapfel,DEM,141,55,73,269
Franklin,Batesville 1,U.S. House,6,Greg Pence,REP,496,68,103,667
Franklin,Batesville 1,U.S. House,6,Jeannine Lee Lake,DEM,131,56,77,264
Franklin,Batesville 1,U.S. House,6,Tom Ferkinoff,LIB,48,8,9,65
Franklin,Batesville 1,U.S. House,6,Write-In,,0,0,0,0
Franklin,Batesville 1,State Senate,42,Jean Leising,REP,589,93,138,820
Franklin,Batesville 1,State Representative,55,Cindy Meyer Ziemke,REP,576,93,131,800
Franklin,Bath 1,Registered Voters,,,,,,,246
Franklin,Bath 1,Ballots Cast,,,,148,14,39,201
Franklin,Bath 1,President,,Trump / Pence,REP,119,5,34,158
Franklin,Bath 1,President,,Biden / Harris,DEM,23,9,4,36
Franklin,Bath 1,President,,Jorgensen / Cohen,LIB,3,0,1,4
Franklin,Bath 1,President,,Write-In,,0,0,0,0
Franklin,Bath 1,Governor,,Holcomb / Crouch,REP,120,6,33,159
Franklin,Bath 1,Governor,,Myers / Lawson,DEM,11,8,3,22
Franklin,Bath 1,Governor,,Rainwater II / Henry,LIB,8,0,2,10
Franklin,Bath 1,Attorney General,,Todd Rokita,REP,116,5,31,152
Franklin,Bath 1,Attorney General,,Jonathan Weinzapfel,DEM,22,9,5,36
Franklin,Bath 1,U.S. House,6,Greg Pence,REP,116,5,31,152
Franklin,Bath 1,U.S. House,6,Jeannine Lee Lake,DEM,20,9,5,34
Franklin,Bath 1,U.S. House,6,Tom Ferkinoff,LIB,5,0,1,6
Franklin,Bath 1,U.S. House,6,Write-In,,0,0,0,0
Franklin,Bath 1,State Representative,68,Randy Lyness,REP,132,8,33,173
Franklin,Blooming GRV 1,Registered Voters,,,,,,,734
Franklin,Blooming GRV 1,Ballots Cast,,,,383,44,149,576
Franklin,Blooming GRV 1,President,,Trump / Pence,REP,333,26,112,471
Franklin,Blooming GRV 1,President,,Biden / Harris,DEM,39,17,33,89
Franklin,Blooming GRV 1,President,,Jorgensen / Cohen,LIB,10,0,3,13
Franklin,Blooming GRV 1,President,,Write-In,,0,0,1,1
Franklin,Blooming GRV 1,Governor,,Holcomb / Crouch,REP,285,27,108,420
Franklin,Blooming GRV 1,Governor,,Myers / Lawson,DEM,31,16,29,76
Franklin,Blooming GRV 1,Governor,,Rainwater II / Henry,LIB,62,0,8,70
Franklin,Blooming GRV 1,Attorney General,,Todd Rokita,REP,315,24,103,442
Franklin,Blooming GRV 1,Attorney General,,Jonathan Weinzapfel,DEM,44,18,32,94
Franklin,Blooming GRV 1,U.S. House,6,Greg Pence,REP,317,26,104,447
Franklin,Blooming GRV 1,U.S. House,6,Jeannine Lee Lake,DEM,38,18,33,89
Franklin,Blooming GRV 1,U.S. House,6,Tom Ferkinoff,LIB,21,0,6,27
Franklin,Blooming GRV 1,U.S. House,6,Write-In,,0,0,0,0
Franklin,Blooming GRV 1,State Representative,68,Randy Lyness,REP,345,31,113,489
Franklin,Brookville 1,Registered Voters,,,,,,,526
Franklin,Brookville 1,Ballots Cast,,,,233,30,132,395
Franklin,Brookville 1,President,,Trump / Pence,REP,195,13,96,304
Franklin,Brookville 1,President,,Biden / Harris,DEM,27,14,32,73
Franklin,Brookville 1,President,,Jorgensen / Cohen,LIB,7,2,1,10
Franklin,Brookville 1,President,,Write-In,,1,0,1,2
Franklin,Brookville 1,Governor,,Holcomb / Crouch,REP,168,12,98,278
Franklin,Brookville 1,Governor,,Myers / Lawson,DEM,18,11,24,53
Franklin,Brookville 1,Governor,,Rainwater II / Henry,LIB,38,3,7,48
Franklin,Brookville 1,Attorney General,,Todd Rokita,REP,174,13,89,276
Franklin,Brookville 1,Attorney General,,Jonathan Weinzapfel,DEM,37,12,34,83
Franklin,Brookville 1,U.S. House,6,Greg Pence,REP,185,13,95,293
Franklin,Brookville 1,U.S. House,6,Jeannine Lee Lake,DEM,26,10,26,62
Franklin,Brookville 1,U.S. House,6,Tom Ferkinoff,LIB,16,4,5,25
Franklin,Brookville 1,U.S. House,6,Write-In,,0,0,0,0
Franklin,Brookville 1,State Representative,68,Randy Lyness,REP,195,14,108,317
Franklin,Brookville 2,Registered Voters,,,,,,,829
Franklin,Brookville 2,Ballots Cast,,,,251,90,333,674
Franklin,Brookville 2,President,,Trump / Pence,REP,226,53,280,559
Franklin,Brookville 2,President,,Biden / Harris,DEM,19,33,49,101
Franklin,Brookville 2,President,,Jorgensen / Cohen,LIB,5,1,1,7
Franklin,Brookville 2,President,,Write-In,,1,0,1,2
Franklin,Brookville 2,Governor,,Holcomb / Crouch,REP,183,55,262,500
Franklin,Brookville 2,Governor,,Myers / Lawson,DEM,16,31,38,85
Franklin,Brookville 2,Governor,,Rainwater II / Henry,LIB,49,1,27,77
Franklin,Brookville 2,Attorney General,,Todd Rokita,REP,212,52,262,526
Franklin,Brookville 2,Attorney General,,Jonathan Weinzapfel,DEM,26,35,48,109
Franklin,Brookville 2,U.S. House,6,Greg Pence,REP,214,51,275,540
Franklin,Brookville 2,U.S. House,6,Jeannine Lee Lake,DEM,27,28,44,99
Franklin,Brookville 2,U.S. House,6,Tom Ferkinoff,LIB,7,5,9,21
Franklin,Brookville 2,U.S. House,6,Write-In,,0,0,0,0
Franklin,Brookville 2,State Representative,68,Randy Lyness,REP,219,57,290,566
Franklin,Brookville 3,Registered Voters,,,,,,,760
Franklin,Brookville 3,Ballots Cast,,,,241,75,266,582
Franklin,Brookville 3,President,,Trump / Pence,REP,215,42,211,468
Franklin,Brookville 3,President,,Biden / Harris,DEM,20,30,50,100
Franklin,Brookville 3,President,,Jorgensen / Cohen,LIB,5,0,2,7
Franklin,Brookville 3,President,,Write-In,,0,0,0,0
Franklin,Brookville 3,Governor,,Holcomb / Crouch,REP,182,46,184,412
Franklin,Brookville 3,Governor,,Myers / Lawson,DEM,15,25,45,85
Franklin,Brookville 3,Governor,,Rainwater II / Henry,LIB,38,0,18,56
Franklin,Brookville 3,Attorney General,,Todd Rokita,REP,204,42,184,430
Franklin,Brookville 3,Attorney General,,Jonathan Weinzapfel,DEM,19,27,48,94
Franklin,Brookville 3,U.S. House,6,Greg Pence,REP,208,41,198,447
Franklin,Brookville 3,U.S. House,6,Jeannine Lee Lake,DEM,19,27,51,97
Franklin,Brookville 3,U.S. House,6,Tom Ferkinoff,LIB,6,2,4,12
Franklin,Brookville 3,U.S. House,6,Write-In,,0,0,0,0
Franklin,Brookville 3,State Representative,68,Randy Lyness,REP,212,45,208,465
Franklin,Brookville 4,Registered Voters,,,,,,,832
Franklin,Brookville 4,Ballots Cast,,,,274,58,297,629
Franklin,Brookville 4,President,,Trump / Pence,REP,239,31,244,514
Franklin,Brookville 4,President,,Biden / Harris,DEM,28,21,47,96
Franklin,Brookville 4,President,,Jorgensen / Cohen,LIB,3,2,3,8
Franklin,Brookville 4,President,,Write-In,,0,1,0,1
Franklin,Brookville 4,Governor,,Holcomb / Crouch,REP,200,39,211,450
Franklin,Brookville 4,Governor,,Myers / Lawson,DEM,24,17,42,83
Franklin,Brookville 4,Governor,,Rainwater II / Henry,LIB,47,1,37,85
Franklin,Brookville 4,Attorney General,,Todd Rokita,REP,219,31,226,476
Franklin,Brookville 4,Attorney General,,Jonathan Weinzapfel,DEM,39,23,47,109
Franklin,Brookville 4,U.S. House,6,Greg Pence,REP,229,32,237,498
Franklin,Brookville 4,U.S. House,6,Jeannine Lee Lake,DEM,28,19,45,92
Franklin,Brookville 4,U.S. House,6,Tom Ferkinoff,LIB,12,6,10,28
Franklin,Brookville 4,U.S. House,6,Write-In,,0,0,1,1
Franklin,Brookville 4,State Representative,68,Randy Lyness,REP,240,39,249,528
