county,precinct,office,district,party,candidate,election_day,absentee,early_voting,votes
Vermillion,Cayuga,Registered Voters,,,,,,,731
Vermillion,Cayuga,Ballots Cast,,,,298,35,155,488
Vermillion,Cayuga,President,,REP,Donald J Trump,236,16,100,352
Vermillion,Cayuga,President,,DEM,Joseph R Biden,52,19,49,120
Vermillion,Cayuga,President,,LIB,Jo Jorgensen,6,0,5,11
Vermillion,Cayuga,President,,,Write-In,0,0,0,0
Vermillion,Cayuga,Governor,,REP,Eric Holcomb,214,18,103,335
Vermillion,Cayuga,Governor,,DEM,Woodrow (Woody) Myers,42,16,37,95
Vermillion,Cayuga,Governor,,LIB,Donald G Rainwater II,32,1,12,45
Vermillion,Cayuga,Attorney General,,REP,Todd Rokita,194,18,90,302
Vermillion,Cayuga,Attorney General,,DEM,Jonathan Weinzapfel,83,17,55,155
Vermillion,Cayuga,U.S. House,8,REP,Larry D. Bucshon,217,16,95,328
Vermillion,Cayuga,U.S. House,8,DEM,E. Thomasina Marsili,55,18,47,120
Vermillion,Cayuga,U.S. House,8,LIB,James D Rodenberger,9,0,8,17
Vermillion,Cayuga,U.S. House,8,,Write-In,0,0,0,0
Vermillion,Cayuga,State Representative,42,REP,Alan Morrison,198,16,90,304
Vermillion,Cayuga,State Representative,42,DEM,Amy Burke Adams,89,19,62,170
Vermillion,Clinton City 1,Registered Voters,,,,,,,848
Vermillion,Clinton City 1,Ballots Cast,,,,296,48,232,576
Vermillion,Clinton City 1,President,,REP,Donald J Trump,201,14,127,342
Vermillion,Clinton City 1,President,,DEM,Joseph R Biden,86,31,95,212
Vermillion,Clinton City 1,President,,LIB,Jo Jorgensen,9,0,5,14
Vermillion,Clinton City 1,President,,,Write-In,0,0,0,0
Vermillion,Clinton City 1,Governor,,REP,Eric Holcomb,173,20,139,332
Vermillion,Clinton City 1,Governor,,DEM,Woodrow (Woody) Myers,62,22,70,154
Vermillion,Clinton City 1,Governor,,LIB,Donald G Rainwater II,54,1,15,70
Vermillion,Clinton City 1,Attorney General,,REP,Todd Rokita,179,14,130,323
Vermillion,Clinton City 1,Attorney General,,DEM,Jonathan Weinzapfel,107,28,86,221
Vermillion,Clinton City 1,U.S. House,8,REP,Larry D. Bucshon,182,13,134,329
Vermillion,Clinton City 1,U.S. House,8,DEM,E. Thomasina Marsili,83,28,83,194
Vermillion,Clinton City 1,U.S. House,8,LIB,James D Rodenberger,21,0,4,25
Vermillion,Clinton City 1,U.S. House,8,,Write-In,0,0,0,0
Vermillion,Clinton City 1,State Representative,42,REP,Alan Morrison,169,11,116,296
Vermillion,Clinton City 1,State Representative,42,DEM,Amy Burke Adams,115,32,104,251
Vermillion,Clinton City 2,Registered Voters,,,,,,,672
Vermillion,Clinton City 2,Ballots Cast,,,,166,29,203,398
Vermillion,Clinton City 2,President,,REP,Donald J Trump,118,11,127,256
Vermillion,Clinton City 2,President,,DEM,Joseph R Biden,39,18,72,129
Vermillion,Clinton City 2,President,,LIB,Jo Jorgensen,7,0,4,11
Vermillion,Clinton City 2,President,,,Write-In,0,0,0,0
Vermillion,Clinton City 2,Governor,,REP,Eric Holcomb,105,14,130,249
Vermillion,Clinton City 2,Governor,,DEM,Woodrow (Woody) Myers,37,13,50,100
Vermillion,Clinton City 2,Governor,,LIB,Donald G Rainwater II,21,0,18,39
Vermillion,Clinton City 2,Attorney General,,REP,Todd Rokita,106,11,119,236
Vermillion,Clinton City 2,Attorney General,,DEM,Jonathan Weinzapfel,55,15,75,145
Vermillion,Clinton City 2,U.S. House,8,REP,Larry D. Bucshon,112,10,126,248
Vermillion,Clinton City 2,U.S. House,8,DEM,E. Thomasina Marsili,42,15,65,122
Vermillion,Clinton City 2,U.S. House,8,LIB,James D Rodenberger,8,0,8,16
Vermillion,Clinton City 2,U.S. House,8,,Write-In,0,0,0,0
Vermillion,Clinton City 2,State Representative,42,REP,Alan Morrison,104,11,120,235
Vermillion,Clinton City 2,State Representative,42,DEM,Amy Burke Adams,58,15,79,152
Vermillion,Clinton City 3,Registered Voters,,,,,,,675
Vermillion,Clinton City 3,Ballots Cast,,,,252,32,186,470
Vermillion,Clinton City 3,President,,REP,Donald J Trump,177,12,101,290
Vermillion,Clinton City 3,President,,DEM,Joseph R Biden,69,17,79,165
Vermillion,Clinton City 3,President,,LIB,Jo Jorgensen,3,0,2,5
Vermillion,Clinton City 3,President,,,Write-In,0,1,0,1
Vermillion,Clinton City 3,Governor,,REP,Eric Holcomb,166,13,112,291
Vermillion,Clinton City 3,Governor,,DEM,Woodrow (Woody) Myers,35,14,58,107
Vermillion,Clinton City 3,Governor,,LIB,Donald G Rainwater II,46,3,15,64
Vermillion,Clinton City 3,Attorney General,,REP,Todd Rokita,160,13,96,269
Vermillion,Clinton City 3,Attorney General,,DEM,Jonathan Weinzapfel,81,14,82,177
Vermillion,Clinton City 3,U.S. House,8,REP,Larry D. Bucshon,178,11,103,292
Vermillion,Clinton City 3,U.S. House,8,DEM,E. Thomasina Marsili,50,13,76,139
Vermillion,Clinton City 3,U.S. House,8,LIB,James D Rodenberger,17,3,3,23
