county,precinct,office,district,party,candidate,election_day,absentee,early_voting,votes
Decatur,Greensburg 1,Registered Voters,,,,,,,1072
Decatur,Greensburg 1,Ballots Cast,,,,284,96,307,687
Decatur,Greensburg 1,President,,REP,Donald J Trump,220,47,234,501
Decatur,Greensburg 1,President,,DEM,Joseph R Biden,53,46,65,164
Decatur,Greensburg 1,President,,LIB,Jo Jorgensen,11,1,5,17
Decatur,Greensburg 1,President,,,Write-In,0,0,0,0
Decatur,Greensburg 1,Governor,,REP,Eric Holcomb,157,55,192,404
Decatur,Greensburg 1,Governor,,DEM,Woodrow (Woody) Myers,40,34,51,125
Decatur,Greensburg 1,Governor,,LIB,Donald G Rainwater II,83,5,60,148
Decatur,Greensburg 1,Attorney General,,REP,Todd Rokita,190,53,220,463
Decatur,Greensburg 1,Attorney General,,DEM,Jonathan Weinzapfel,73,42,67,182
Decatur,Greensburg 1,U.S. House,6,REP,Greg Pence,213,52,231,496
Decatur,Greensburg 1,U.S. House,6,DEM,Jeannine Lee Lake,56,42,65,163
Decatur,Greensburg 1,U.S. House,6,LIB,Tom Ferkinhoff,11,1,9,21
Decatur,Greensburg 1,U.S. House,6,,Write-In,0,0,0,0
Decatur,Greensburg 1,State Representative,55,REP,Cindy Meyer Ziemke,229,71,251,551
Decatur,Greensburg 2,Registered Voters,,,,,,,812
Decatur,Greensburg 2,Ballots Cast,,,,198,54,318,570
Decatur,Greensburg 2,President,,REP,Donald J Trump,150,25,212,387
Decatur,Greensburg 2,President,,DEM,Joseph R Biden,38,29,94,161
Decatur,Greensburg 2,President,,LIB,Jo Jorgensen,9,0,7,16
Decatur,Greensburg 2,President,,,Write-In,0,0,0,0
Decatur,Greensburg 2,Governor,,REP,Eric Holcomb,121,30,217,368
Decatur,Greensburg 2,Governor,,DEM,Woodrow (Woody) Myers,21,20,63,104
Decatur,Greensburg 2,Governor,,LIB,Donald G Rainwater II,53,3,37,93
Decatur,Greensburg 2,Attorney General,,REP,Todd Rokita,145,26,207,378
Decatur,Greensburg 2,Attorney General,,DEM,Jonathan Weinzapfel,40,27,95,162
Decatur,Greensburg 2,U.S. House,6,REP,Greg Pence,148,24,214,386
Decatur,Greensburg 2,U.S. House,6,DEM,Jeannine Lee Lake,41,28,94,163
Decatur,Greensburg 2,U.S. House,6,LIB,Tom Ferkinhoff,7,1,7,15
Decatur,Greensburg 2,U.S. House,6,,Write-In,0,0,0,0
Decatur,Greensburg 2,State Representative,55,REP,Cindy Meyer Ziemke,173,28,238,439
Decatur,Greensburg 3,Registered Voters,,,,,,,765
Decatur,Greensburg 3,Ballots Cast,,,,219,49,267,535
Decatur,Greensburg 3,President,,REP,Donald J Trump,169,20,185,374
Decatur,Greensburg 3,President,,DEM,Joseph R Biden,43,29,75,147
Decatur,Greensburg 3,President,,LIB,Jo Jorgensen,7,0,5,12
Decatur,Greensburg 3,President,,,Write-In,0,0,0,0
Decatur,Greensburg 3,Governor,,REP,Eric Holcomb,145,25,175,345
Decatur,Greensburg 3,Governor,,DEM,Woodrow (Woody) Myers,22,21,44,87
Decatur,Greensburg 3,Governor,,LIB,Donald G Rainwater II,51,1,43,95
Decatur,Greensburg 3,Attorney General,,REP,Todd Rokita,151,23,178,352
Decatur,Greensburg 3,Attorney General,,DEM,Jonathan Weinzapfel,53,26,76,155
Decatur,Greensburg 3,U.S. House,6,REP,Greg Pence,171,21,181,373
Decatur,Greensburg 3,U.S. House,6,DEM,Jeannine Lee Lake,34,27,72,133
Decatur,Greensburg 3,U.S. House,6,LIB,Tom Ferkinhoff,11,1,8,20
Decatur,Greensburg 3,U.S. House,6,,Write-In,0,0,0,0
Decatur,Greensburg 3,State Representative,55,REP,Cindy Meyer Ziemke,181,30,214,425
Decatur,Greensburg 4,Registered Voters,,,,,,,1143
Decatur,Greensburg 4,Ballots Cast,,,,335,112,447,894
Decatur,Greensburg 4,President,,REP,Donald J Trump,273,55,321,649
Decatur,Greensburg 4,President,,DEM,Joseph R Biden,46,53,111,210
Decatur,Greensburg 4,President,,LIB,Jo Jorgensen,12,0,8,20
Decatur,Greensburg 4,President,,,Write-In,0,0,1,1
Decatur,Greensburg 4,Governor,,REP,Eric Holcomb,218,85,314,617
Decatur,Greensburg 4,Governor,,DEM,Woodrow (Woody) Myers,25,24,65,114
Decatur,Greensburg 4,Governor,,LIB,Donald G Rainwater II,87,3,61,151
Decatur,Greensburg 4,Attorney General,,REP,Todd Rokita,262,59,310,631
Decatur,Greensburg 4,Attorney General,,DEM,Jonathan Weinzapfel,56,48,109,213
Decatur,Greensburg 4,U.S. House,6,REP,Greg Pence,271,59,318,648
Decatur,Greensburg 4,U.S. House,6,DEM,Jeannine Lee Lake,45,50,107,202
Decatur,Greensburg 4,U.S. House,6,LIB,Tom Ferkinhoff,11,0,9,20
Decatur,Greensburg 4,U.S. House,6,,Write-In,0,0,0,0
Decatur,Greensburg 4,State Representative,55,REP,Cindy Meyer Ziemke,300,84,365,749
Decatur,Greensburg 5,Registered Voters,,,,,,,896
Decatur,Greensburg 5,Ballots Cast,,,,229,55,336,620
Decatur,Greensburg 5,President,,REP,Donald J Trump,196,29,239,464
Decatur,Greensburg 5,President,,DEM,Joseph R Biden,30,24,86,140
Decatur,Greensburg 5,President,,LIB,Jo Jorgensen,2,1,8,11
Decatur,Greensburg 5,President,,,Write-In,0,0,0,0
Decatur,Greensburg 5,Governor,,REP,Eric Holcomb,134,31,204,369
