county,precinct,office,district,candidate,party,election_day,absentee,early_voting,votes
Parke,Adams 1,Registered Voters,,,,,,,544
Parke,Adams 1,Ballots Cast,,,,153,41,173,367
Parke,Adams 1,President,,Trump / Pence,REP,132,21,123,276
Parke,Adams 1,President,,Biden / Harris,DEM,17,18,43,78
Parke,Adams 1,President,,Jorgensen / Cohen,LIB,3,1,4,8
Parke,Adams 1,President,,Write-In,,0,0,0,0
Parke,Adams 1,Governor,,Holcomb / Crouch,REP,113,24,117,254
Parke,Adams 1,Governor,,Myers / Lawson,DEM,12,13,29,54
Parke,Adams 1,Governor,,Rainwater II / Henry,LIB,27,0,21,48
Parke,Adams 1,Attorney General,,Todd Rokita,REP,120,25,115,260
Parke,Adams 1,Attorney General,,Jonathan Weinzapfel,DEM,23,14,43,80
Parke,Adams 1,U.S. House,8,Larry D. Bucshon,REP,127,24,133,284
Parke,Adams 1,U.S. House,8,E. Thomasina Marsili,DEM,15,12,31,58
Parke,Adams 1,U.S. House,8,James D. Rodenberger,LIB,6,1,5,12
Parke,Adams 1,U.S. House,8,Write-In,,0,1,0,1
Parke,Adams 1,State Representative,42,Alan Morrison,REP,110,21,116,247
Parke,Adams 1,State Representative,42,Amy Burke Adams,DEM,38,17,54,109
Parke,Adams 2,Registered Voters,,,,,,,766
Parke,Adams 2,Ballots Cast,,,,184,53,300,537
Parke,Adams 2,President,,Trump / Pence,REP,146,28,219,393
Parke,Adams 2,President,,Biden / Harris,DEM,27,25,75,127
Parke,Adams 2,President,,Jorgensen / Cohen,LIB,7,0,2,9
Parke,Adams 2,President,,Write-In,,1,0,0,1
Parke,Adams 2,Governor,,Holcomb / Crouch,REP,124,36,202,362
Parke,Adams 2,Governor,,Myers / Lawson,DEM,19,14,51,84
Parke,Adams 2,Governor,,Rainwater II / Henry,LIB,38,1,36,75
Parke,Adams 2,Attorney General,,Todd Rokita,REP,124,30,209,363
Parke,Adams 2,Attorney General,,Jonathan Weinzapfel,DEM,42,19,71,132
Parke,Adams 2,U.S. House,8,Larry D. Bucshon,REP,140,27,212,379
Parke,Adams 2,U.S. House,8,E. Thomasina Marsili,DEM,27,20,64,111
Parke,Adams 2,U.S. House,8,James D. Rodenberger,LIB,7,1,8,16
Parke,Adams 2,U.S. House,8,Write-In,,1,0,1,2
Parke,Adams 2,State Representative,42,Alan Morrison,REP,116,32,189,337
Parke,Adams 2,State Representative,42,Amy Burke Adams,DEM,62,19,99,180
Parke,Adams 3,Registered Voters,,,,,,,764
Parke,Adams 3,Ballots Cast,,,,192,38,321,551
Parke,Adams 3,President,,Trump / Pence,REP,161,18,228,407
Parke,Adams 3,President,,Biden / Harris,DEM,23,20,80,123
Parke,Adams 3,President,,Jorgensen / Cohen,LIB,4,0,5,9
Parke,Adams 3,President,,Write-In,,0,0,0,0
Parke,Adams 3,Governor,,Holcomb / Crouch,REP,131,20,205,356
