county,precinct,office,district,candidate,party,election_day,absentee,early_voting,votes
Jay,04-Knox,Registered Voters,,,,,,,309
Jay,04-Knox,Ballots Cast,,,,81,18,115,214
Jay,04-Knox,President,,Trump / Pence,REP,68,8,97,173
Jay,04-Knox,President,,Biden / Harris,DEM,11,10,14,35
Jay,04-Knox,President,,Jorgensen / Cohen,LIB,2,0,2,4
Jay,04-Knox,President,,Write-In,,0,0,0,0
Jay,04-Knox,Governor,,Holcomb / Crouch,REP,52,10,73,135
Jay,04-Knox,Governor,,Myers / Lawson,DEM,9,8,13,30
Jay,04-Knox,Governor,,Rainwater II / Henry,LIB,19,0,26,45
Jay,04-Knox,Attorney General,,Todd Rokita,REP,68,8,96,172
Jay,04-Knox,Attorney General,,Jonathan Weinzapfel,DEM,7,10,17,34
Jay,04-Knox,U.S. House,3,Jim Banks,REP,69,7,95,171
Jay,04-Knox,U.S. House,3,Chip Coldiron,DEM,8,11,18,37
Jay,04-Knox,U.S. House,3,Write-In,,0,0,0,0
Jay,04-Knox,State Representative,33,John (J.D.) Prescott,REP,70,8,95,173
Jay,04-Knox,State Representative,33,Julie Snider,DEM,8,10,17,35
Jay,02-Dunkirk 3,Registered Voters,,,,,,,762
Jay,02-Dunkirk 3,Ballots Cast,,,,345,34,141,520
Jay,02-Dunkirk 3,President,,Trump / Pence,REP,267,13,86,366
Jay,02-Dunkirk 3,President,,Biden / Harris,DEM,71,20,48,139
Jay,02-Dunkirk 3,President,,Jorgensen / Cohen,LIB,5,1,3,9
Jay,02-Dunkirk 3,President,,Write-In,,0,0,0,0
Jay,02-Dunkirk 3,Governor,,Holcomb / Crouch,REP,194,16,79,289
Jay,02-Dunkirk 3,Governor,,Myers / Lawson,DEM,53,16,39,108
Jay,02-Dunkirk 3,Governor,,Rainwater II / Henry,LIB,95,2,21,118
Jay,02-Dunkirk 3,Attorney General,,Todd Rokita,REP,233,13,78,324
Jay,02-Dunkirk 3,Attorney General,,Jonathan Weinzapfel,DEM,97,21,55,173
Jay,02-Dunkirk 3,U.S. House,3,Jim Banks,REP,256,14,84,354
Jay,02-Dunkirk 3,U.S. House,3,Chip Coldiron,DEM,75,20,51,146
Jay,02-Dunkirk 3,U.S. House,3,Write-In,,0,0,0,0
Jay,02-Dunkirk 3,State Representative,33,John (J.D.) Prescott,REP,245,13,83,341
Jay,02-Dunkirk 3,State Representative,33,Julie Snider,DEM,89,21,53,163
Jay,01-Dunkirk 1,Registered Voters,,,,,,,693
Jay,01-Dunkirk 1,Ballots Cast,,,,245,52,129,426
Jay,01-Dunkirk 1,President,,Trump / Pence,REP,175,24,77,276
Jay,01-Dunkirk 1,President,,Biden / Harris,DEM,54,27,47,128
Jay,01-Dunkirk 1,President,,Jorgensen / Cohen,LIB,14,1,3,18
Jay,01-Dunkirk 1,President,,Write-In,,0,0,0,0
Jay,01-Dunkirk 1,Governor,,Holcomb / Crouch,REP,133,29,70,232
Jay,01-Dunkirk 1,Governor,,Myers / Lawson,DEM,38,22,33,93
Jay,01-Dunkirk 1,Governor,,Rainwater II / Henry,LIB,72,1,23,96
Jay,01-Dunkirk 1,Attorney General,,Todd Rokita,REP,168,25,83,276
Jay,01-Dunkirk 1,Attorney General,,Jonathan Weinzapfel,DEM,65,26,43,134
Jay,01-Dunkirk 1,U.S. House,3,Jim Banks,REP,173,25,77,275
Jay,01-Dunkirk 1,U.S. House,3,Chip Coldiron,DEM,58,25,49,132
Jay,01-Dunkirk 1,U.S. House,3,Write-In,,0,0,0,0
Jay,01-Dunkirk 1,State Representative,33,John (J.D.) Prescott,REP,174,23,80,277
Jay,01-Dunkirk 1,State Representative,33,Julie Snider,DEM,60,26,47,133
Jay,09-Pike,Registered Voters,,,,,,,570
Jay,09-Pike,Ballots Cast,,,,157,48,216,421
Jay,09-Pike,President,,Trump / Pence,REP,137,25,171,333
Jay,09-Pike,President,,Biden / Harris,DEM,16,23,40,79
Jay,09-Pike,President,,Jorgensen / Cohen,LIB,0,0,4,4
Jay,09-Pike,President,,Write-In,,0,0,0,0
Jay,09-Pike,Governor,,Holcomb / Crouch,REP,93,34,127,254
Jay,09-Pike,Governor,,Myers / Lawson,DEM,11,13,31,55
Jay,09-Pike,Governor,,Rainwater II / Henry,LIB,50,1,57,108
Jay,09-Pike,Attorney General,,Todd Rokita,REP,126,29,168,323
Jay,09-Pike,Attorney General,,Jonathan Weinzapfel,DEM,26,19,42,87
Jay,09-Pike,U.S. House,3,Jim Banks,REP,128,32,173,333
Jay,09-Pike,U.S. House,3,Chip Coldiron,DEM,22,15,39,76
