county,precinct,office,district,candidate,party,election_day,absentee,early_voting,votes
Randolph,White River 1,Registered Voters,,,,,,,865
Randolph,White River 1,Ballots Cast,,,,197,78,359,634
Randolph,White River 1,President,,Trump / Pence,REP,158,35,263,456
Randolph,White River 1,President,,Biden / Harris,DEM,33,38,86,157
Randolph,White River 1,President,,Jorgensen / Cohen,LIB,5,4,4,13
Randolph,White River 1,President,,Write-In,,0,0,0,0
Randolph,White River 1,Governor,,Holcomb / Crouch,REP,130,50,247,427
Randolph,White River 1,Governor,,Myers / Lawson,DEM,21,23,62,106
Randolph,White River 1,Governor,,Rainwater II / Henry,LIB,43,4,39,86
Randolph,White River 1,Attorney General,,Todd Rokita,REP,152,40,245,437
Randolph,White River 1,Attorney General,,Jonathan Weinzapfel,DEM,33,33,87,153
Randolph,White River 1,U.S. House,6,Greg Pence,REP,155,32,255,442
Randolph,White River 1,U.S. House,6,Jeannine Lee Lake,DEM,29,38,78,145
Randolph,White River 1,U.S. House,6,Tom Ferkinhoff,LIB,10,6,16,32
Randolph,White River 1,U.S. House,6,Write-In,,0,0,0,0
Randolph,White River 1,State Representative,33,John (J.D.) Prescott,REP,156,41,258,455
Randolph,White River 1,State Representative,33,Julie Snider,DEM,36,36,90,162
Randolph,White River 2,Registered Voters,,,,,,,859
Randolph,White River 2,Ballots Cast,,,,218,95,346,659
Randolph,White River 2,President,,Trump / Pence,REP,168,57,281,506
Randolph,White River 2,President,,Biden / Harris,DEM,38,36,60,134
Randolph,White River 2,President,,Jorgensen / Cohen,LIB,7,2,2,11
Randolph,White River 2,President,,Write-In,,0,0,0,0
Randolph,White River 2,Governor,,Holcomb / Crouch,REP,149,64,259,472
Randolph,White River 2,Governor,,Myers / Lawson,DEM,22,30,41,93
Randolph,White River 2,Governor,,Rainwater II / Henry,LIB,43,1,40,84
Randolph,White River 2,Attorney General,,Todd Rokita,REP,160,59,277,496
Randolph,White River 2,Attorney General,,Jonathan Weinzapfel,DEM,44,34,48,126
Randolph,White River 2,U.S. House,6,Greg Pence,REP,171,52,273,496
Randolph,White River 2,U.S. House,6,Jeannine Lee Lake,DEM,25,29,50,104
Randolph,White River 2,U.S. House,6,Tom Ferkinhoff,LIB,16,11,15,42
Randolph,White River 2,U.S. House,6,Write-In,,0,0,0,0
Randolph,White River 2,State Representative,33,John (J.D.) Prescott,REP,157,57,261,475
Randolph,White River 2,State Representative,33,Julie Snider,DEM,54,35,74,163
Randolph,Winchester 1 2,Registered Voters,,,,,,,1321
Randolph,Winchester 1 2,Ballots Cast,,,,226,92,367,685
Randolph,Winchester 1 2,President,,Trump / Pence,REP,177,47,246,470
Randolph,Winchester 1 2,President,,Biden / Harris,DEM,34,42,99,175
Randolph,Winchester 1 2,President,,Jorgensen / Cohen,LIB,14,2,11,27
Randolph,Winchester 1 2,President,,Write-In,,0,0,2,2
Randolph,Winchester 1 2,Governor,,Holcomb / Crouch,REP,145,53,220,418
Randolph,Winchester 1 2,Governor,,Myers / Lawson,DEM,22,31,74,127
Randolph,Winchester 1 2,Governor,,Rainwater II / Henry,LIB,53,4,62,119
Randolph,Winchester 1 2,Attorney General,,Todd Rokita,REP,152,45,250,447
Randolph,Winchester 1 2,Attorney General,,Jonathan Weinzapfel,DEM,53,39,98,190
Randolph,Winchester 1 2,U.S. House,6,Greg Pence,REP,165,43,247,455
Randolph,Winchester 1 2,U.S. House,6,Jeannine Lee Lake,DEM,30,39,93,162
Randolph,Winchester 1 2,U.S. House,6,Tom Ferkinhoff,LIB,25,2,16,43
