county,precinct,office,district,candidate,party,election_day,absentee,early_voting,votes
Dubois,Bainbridge 1,Registered Voters,,,,,,,569
Dubois,Bainbridge 1,Ballots Cast,,,,62,54,351,467
Dubois,Bainbridge 1,President,,Trump / Pence,REP,52,22,273,347
Dubois,Bainbridge 1,President,,Biden / Harris,DEM,8,31,74,113
Dubois,Bainbridge 1,President,,Jorgensen / Cohen,LIB,2,0,1,3
Dubois,Bainbridge 1,President,,Write-In,,0,0,1,1
Dubois,Bainbridge 1,Governor,,Holcomb / Crouch,REP,45,30,274,349
Dubois,Bainbridge 1,Governor,,Myers / Lawson,DEM,6,19,49,74
Dubois,Bainbridge 1,Governor,,Rainwater II / Henry,LIB,9,1,21,31
Dubois,Bainbridge 1,Attorney General,,Todd Rokita,REP,41,16,236,293
Dubois,Bainbridge 1,Attorney General,,Jonathan Weinzapfel,DEM,21,32,100,153
Dubois,Bainbridge 1,U.S. House,8,Larry D. Bucshon,REP,44,29,274,347
Dubois,Bainbridge 1,U.S. House,8,E. Thomasina Marsili,DEM,9,18,56,83
Dubois,Bainbridge 1,U.S. House,8,James D. Rodenberger,LIB,5,1,6,12
Dubois,Bainbridge 1,U.S. House,8,Write-In,,0,0,0,0
Dubois,Bainbridge 1,State Representative,63,Shane M. Lindauer,REP,42,26,260,328
Dubois,Bainbridge 1,State Representative,63,Teresa Kendall,DEM,18,22,84,124
Dubois,Bainbridge 2E,Registered Voters,,,,,,,856
Dubois,Bainbridge 2E,Ballots Cast,,,,111,54,347,512
Dubois,Bainbridge 2E,President,,Trump / Pence,REP,68,14,200,282
Dubois,Bainbridge 2E,President,,Biden / Harris,DEM,34,39,136,209
Dubois,Bainbridge 2E,President,,Jorgensen / Cohen,LIB,8,0,6,14
Dubois,Bainbridge 2E,President,,Write-In,,1,0,0,1
Dubois,Bainbridge 2E,Governor,,Holcomb / Crouch,REP,56,22,196,274
Dubois,Bainbridge 2E,Governor,,Myers / Lawson,DEM,22,28,104,154
Dubois,Bainbridge 2E,Governor,,Rainwater II / Henry,LIB,29,3,44,76
Dubois,Bainbridge 2E,Attorney General,,Todd Rokita,REP,54,17,177,248
Dubois,Bainbridge 2E,Attorney General,,Jonathan Weinzapfel,DEM,51,37,158,246
Dubois,Bainbridge 2E,U.S. House,8,Larry D. Bucshon,REP,60,17,190,267
Dubois,Bainbridge 2E,U.S. House,8,E. Thomasina Marsili,DEM,33,34,122,189
Dubois,Bainbridge 2E,U.S. House,8,James D. Rodenberger,LIB,12,2,19,33
Dubois,Bainbridge 2E,U.S. House,8,Write-In,,0,0,0,0
