county,precinct,office,district,candidate,party,election_day,absentee,early_voting,votes
Miami,Allen,Registered Voters,,,,,,,433
Miami,Allen,Ballots Cast,,,,236,25,59,320
Miami,Allen,President,,Trump / Pence,REP,192,12,47,251
Miami,Allen,President,,Biden / Harris,DEM,31,12,10,53
Miami,Allen,President,,Jorgensen / Cohen,LIB,9,1,1,11
Miami,Allen,President,,Write-In,,2,0,0,2
Miami,Allen,Governor,,Holcomb / Crouch,REP,131,15,38,184
Miami,Allen,Governor,,Myers / Lawson,DEM,22,8,7,37
Miami,Allen,Governor,,Rainwater II / Henry,LIB,77,1,13,91
Miami,Allen,Attorney General,,Todd Rokita,REP,181,14,44,239
Miami,Allen,Attorney General,,Jonathan Weinzapfel,DEM,43,10,8,61
Miami,Allen,U.S. House,2,Jackie Walorski,REP,193,14,48,255
Miami,Allen,U.S. House,2,Patricia (Pat) Hackett,DEM,37,10,9,56
Miami,Allen,U.S. House,2,Write-In,,0,0,0,0
Miami,Allen,State Senate,18,Stacey A. Donato,REP,186,14,46,246
Miami,Allen,State Senate,18,Laura Fred-Smith,DEM,40,10,8,58
Miami,Allen,State Representative,23,Ethan Manning,REP,193,18,44,255
Miami,Butler,Registered Voters,,,,,,,590
Miami,Butler,Ballots Cast,,,,93,27,299,419
Miami,Butler,President,,Trump / Pence,REP,80,10,255,345
Miami,Butler,President,,Biden / Harris,DEM,9,16,40,65
Miami,Butler,President,,Jorgensen / Cohen,LIB,4,0,2,6
Miami,Butler,President,,Write-In,,0,0,0,0
Miami,Butler,Governor,,Holcomb / Crouch,REP,57,14,217,288
Miami,Butler,Governor,,Myers / Lawson,DEM,10,12,29,51
Miami,Butler,Governor,,Rainwater II / Henry,LIB,24,1,46,71
Miami,Butler,Attorney General,,Todd Rokita,REP,75,11,250,336
Miami,Butler,Attorney General,,Jonathan Weinzapfel,DEM,15,16,39,70
Miami,Butler,U.S. House,2,Jackie Walorski,REP,82,11,254,347
Miami,Butler,U.S. House,2,Patricia (Pat) Hackett,DEM,10,16,36,62
Miami,Butler,U.S. House,2,Write-In,,0,0,0,0
Miami,Butler,State Senate,18,Stacey A. Donato,REP,80,10,254,344
Miami,Butler,State Senate,18,Laura Fred-Smith,DEM,12,17,35,64
Miami,Butler,State Representative,23,Ethan Manning,REP,82,20,259,361
Miami,Clay,Registered Voters,,,,,,,669
Miami,Clay,Ballots Cast,,,,112,39,314,465
Miami,Clay,President,,Trump / Pence,REP,93,24,271,388
Miami,Clay,President,,Biden / Harris,DEM,13,14,40,67
Miami,Clay,President,,Jorgensen / Cohen,LIB,4,0,3,7
Miami,Clay,President,,Write-In,,0,0,0,0
Miami,Clay,Governor,,Holcomb / Crouch,REP,69,29,234,332
Miami,Clay,Governor,,Myers / Lawson,DEM,11,6,29,46
Miami,Clay,Governor,,Rainwater II / Henry,LIB,30,3,48,81
Miami,Clay,Attorney General,,Todd Rokita,REP,87,27,265,379
Miami,Clay,Attorney General,,Jonathan Weinzapfel,DEM,19,10,39,68
Miami,Clay,U.S. House,2,Jackie Walorski,REP,86,27,274,387
Miami,Clay,U.S. House,2,Patricia (Pat) Hackett,DEM,13,10,34,57
Miami,Clay,U.S. House,2,Write-In,,0,0,0,0
Miami,Clay,State Senate,18,Stacey A. Donato,REP,85,24,271,380
Miami,Clay,State Senate,18,Laura Fred-Smith,DEM,15,13,35,63
Miami,Clay,State Representative,23,Ethan Manning,REP,91,33,282,406
Miami,Deer Creek,Registered Voters,,,,,,,1162
Miami,Deer Creek,Ballots Cast,,,,178,94,473,745
Miami,Deer Creek,President,,Trump / Pence,REP,136,57,381,574
Miami,Deer Creek,President,,Biden / Harris,DEM,36,35,79,150
Miami,Deer Creek,President,,Jorgensen / Cohen,LIB,6,1,9,16
Miami,Deer Creek,President,,Write-In,,0,0,1,1
Miami,Deer Creek,Governor,,Holcomb / Crouch,REP,93,69,304,466
Miami,Deer Creek,Governor,,Myers / Lawson,DEM,24,20,63,107
Miami,Deer Creek,Governor,,Rainwater II / Henry,LIB,57,2,101,160
Miami,Deer Creek,Attorney General,,Todd Rokita,REP,115,53,371,539
Miami,Deer Creek,Attorney General,,Jonathan Weinzapfel,DEM,49,37,85,171
Miami,Deer Creek,U.S. House,2,Jackie Walorski,REP,132,53,390,575
Miami,Deer Creek,U.S. House,2,Patricia (Pat) Hackett,DEM,41,34,73,148
Miami,Deer Creek,U.S. House,2,Write-In,,0,1,0,1
Miami,Deer Creek,State Senate,18,Stacey A. Donato,REP,133,56,374,563
Miami,Deer Creek,State Senate,18,Laura Fred-Smith,DEM,37,32,81,150
Miami,Deer Creek,State Representative,23,Ethan Manning,REP,147,66,396,609
Miami,Erie,Registered Voters,,,,,,,421
Miami,Erie,Ballots Cast,,,,65,27,211,303
Miami,Erie,President,,Trump / Pence,REP,54,15,170,239
Miami,Erie,President,,Biden / Harris,DEM,8,12,40,60
Miami,Erie,President,,Jorgensen / Cohen,LIB,3,0,1,4
Miami,Erie,President,,Write-In,,0,0,0,0
Miami,Erie,Governor,,Holcomb / Crouch,REP,41,21,146,208
Miami,Erie,Governor,,Myers / Lawson,DEM,11,5,30,46
Miami,Erie,Governor,,Rainwater II / Henry,LIB,12,1,33,46
Miami,Erie,Attorney General,,Todd Rokita,REP,51,19,160,230
Miami,Erie,Attorney General,,Jonathan Weinzapfel,DEM,12,8,42,62
Miami,Erie,U.S. House,2,Jackie Walorski,REP,51,18,166,235
Miami,Erie,U.S. House,2,Patricia (Pat) Hackett,DEM,11,9,41,61
Miami,Erie,U.S. House,2,Write-In,,0,0,0,0
Miami,Erie,State Senate,18,Stacey A. Donato,REP,55,16,164,235
Miami,Erie,State Senate,18,Laura Fred-Smith,DEM,9,9,39,57
Miami,Erie,State Representative,23,Ethan Manning,REP,55,17,178,250
Miami,Harrison,Registered Voters,,,,,,,462
Miami,Harrison,Ballots Cast,,,,82,34,229,345
Miami,Harrison,President,,Trump / Pence,REP,78,15,194,287
Miami,Harrison,President,,Biden / Harris,DEM,2,17,31,50
Miami,Harrison,President,,Jorgensen / Cohen,LIB,2,2,4,8
Miami,Harrison,President,,Write-In,,0,0,0,0
Miami,Harrison,Governor,,Holcomb / Crouch,REP,57,20,163,240
Miami,Harrison,Governor,,Myers / Lawson,DEM,3,14,21,38
Miami,Harrison,Governor,,Rainwater II / Henry,LIB,22,0,44,66
Miami,Harrison,Attorney General,,Todd Rokita,REP,74,19,193,286
Miami,Harrison,Attorney General,,Jonathan Weinzapfel,DEM,6,15,30,51
Miami,Harrison,U.S. House,2,Jackie Walorski,REP,78,17,200,295
Miami,Harrison,U.S. House,2,Patricia (Pat) Hackett,DEM,3,16,27,46
Miami,Harrison,U.S. House,2,Write-In,,0,0,0,0
Miami,Harrison,State Senate,18,Stacey A. Donato,REP,77,16,193,286
Miami,Harrison,State Senate,18,Laura Fred-Smith,DEM,4,17,32,53
Miami,Harrison,State Representative,23,Ethan Manning,REP,79,22,206,307
Miami,Jackson,Registered Voters,,,,,,,1268
Miami,Jackson,Ballots Cast,,,,306,78,494,878
Miami,Jackson,President,,Trump / Pence,REP,262,34,382,678
Miami,Jackson,President,,Biden / Harris,DEM,32,42,104,178
Miami,Jackson,President,,Jorgensen / Cohen,LIB,9,2,5,16
Miami,Jackson,President,,Write-In,,2,0,1,3
Miami,Jackson,Governor,,Holcomb / Crouch,REP,185,40,323,548
Miami,Jackson,Governor,,Myers / Lawson,DEM,33,34,76,143
Miami,Jackson,Governor,,Rainwater II / Henry,LIB,85,3,91,179
Miami,Jackson,Attorney General,,Todd Rokita,REP,243,37,376,656
Miami,Jackson,Attorney General,,Jonathan Weinzapfel,DEM,49,39,100,188
Miami,Jackson,U.S. House,2,Jackie Walorski,REP,250,36,379,665
