county,precinct,office,district,party,candidate,election_day,early_voting,post_election,absentee,votes
Newton,Beaver 1,Registered Voters,,,,,,,,503
Newton,Beaver 1,Ballots Cast,,,,210,60,0,35,305
Newton,Beaver 1,Straight Party,,REP,,67,28,0,12,107
Newton,Beaver 1,Straight Party,,DEM,,15,10,0,4,29
Newton,Beaver 1,Straight Party,,LIB,,2,0,0,0,2
Newton,Beaver 1,Straight Party,,,Over votes,0,0,0,0,0
Newton,Beaver 1,Straight Party,,,Under votes,126,22,0,19,167
Newton,Beaver 1,President,,REP,Donald J Trump,168,35,0,18,221
Newton,Beaver 1,President,,DEM,Joseph R Biden,36,24,0,14,74
Newton,Beaver 1,President,,LIB,Jo Jorgensen,5,0,0,2,7
Newton,Beaver 1,President,,,Write-In votes,0,0,0,1,1
Newton,Beaver 1,President,,,Over votes,0,0,0,0,0
Newton,Beaver 1,President,,,Under votes,1,1,0,0,2
Newton,Beaver 1,Governor,,REP,Eric Holcomb,145,39,0,19,203
Newton,Beaver 1,Governor,,DEM,Woodrow (Woody) Myers,26,13,0,11,50
Newton,Beaver 1,Governor,,LIB,Donald G Rainwater II,38,6,0,5,49
Newton,Beaver 1,Governor,,,Over votes,0,0,0,0,0
Newton,Beaver 1,Governor,,,Under votes,0,2,0,0,2
Newton,Beaver 1,Attorney General,,REP,Todd Rokita,167,35,0,24,226
Newton,Beaver 1,Attorney General,,DEM,Jonathan Weinzapfel,38,21,0,10,69
Newton,Beaver 1,Attorney General,,,Over votes,0,0,0,0,0
Newton,Beaver 1,Attorney General,,,Under votes,4,4,0,1,9
Newton,Beaver 1,U.S. House,4,REP,Jim Baird,170,36,0,21,227
Newton,Beaver 1,U.S. House,4,DEM,Joe Mackey,35,20,0,13,68
Newton,Beaver 1,U.S. House,4,,Write-In votes,0,0,0,0,0
Newton,Beaver 1,U.S. House,4,,Over votes,0,0,0,0,0
Newton,Beaver 1,U.S. House,4,,Under votes,4,4,0,1,9
Newton,Beaver 1,State Representative,13,REP,Sharon Negele,,,,,
Newton,Beaver 1,State Representative,13,DEM,Loretta Barnes,,,,,
Newton,Beaver 1,State Representative,13,,Over votes,,,,,
Newton,Beaver 1,State Representative,13,,Under votes,,,,,
Newton,Beaver 1,State Representative,16,REP,Douglas L Gutwein,173,38,0,23,234
Newton,Beaver 1,State Representative,16,DEM,Michael A Lovely,33,19,0,11,63
Newton,Beaver 1,State Representative,16,,Over votes,0,0,0,0,0
Newton,Beaver 1,State Representative,16,,Under votes,3,3,0,1,7
Newton,Beaver 2,Registered Voters,,,,,,,,626
Newton,Beaver 2,Ballots Cast,,,,292,90,0,56,438
Newton,Beaver 2,Straight Party,,REP,,103,29,0,8,140
Newton,Beaver 2,Straight Party,,DEM,,11,8,0,13,32
Newton,Beaver 2,Straight Party,,LIB,,2,1,0,0,3
Newton,Beaver 2,Straight Party,,,Over votes,0,0,0,0,0
Newton,Beaver 2,Straight Party,,,Under votes,176,52,0,35,263
Newton,Beaver 2,President,,REP,Donald J Trump,250,65,0,20,335
Newton,Beaver 2,President,,DEM,Joseph R Biden,38,23,0,31,92
Newton,Beaver 2,President,,LIB,Jo Jorgensen,4,1,0,2,7
Newton,Beaver 2,President,,,Write-In votes,0,0,0,0,0
Newton,Beaver 2,President,,,Over votes,0,0,0,0,0
Newton,Beaver 2,President,,,Under votes,0,1,0,3,4
Newton,Beaver 2,Governor,,REP,Eric Holcomb,209,62,0,25,296
Newton,Beaver 2,Governor,,DEM,Woodrow (Woody) Myers,25,15,0,26,66
Newton,Beaver 2,Governor,,LIB,Donald G Rainwater II,54,12,0,3,69
Newton,Beaver 2,Governor,,,Over votes,0,0,0,0,0
Newton,Beaver 2,Governor,,,Under votes,4,1,0,2,7
Newton,Beaver 2,Attorney General,,REP,Todd Rokita,243,69,0,28,340
Newton,Beaver 2,Attorney General,,DEM,Jonathan Weinzapfel,39,18,0,27,84
Newton,Beaver 2,Attorney General,,,Over votes,0,0,0,0,0
Newton,Beaver 2,Attorney General,,,Under votes,10,3,0,1,14
Newton,Beaver 2,U.S. House,4,REP,Jim Baird,245,66,0,25,336
Newton,Beaver 2,U.S. House,4,DEM,Joe Mackey,40,20,0,31,91
Newton,Beaver 2,U.S. House,4,,Write-In votes,0,0,0,0,0
Newton,Beaver 2,U.S. House,4,,Over votes,0,0,0,0,0
Newton,Beaver 2,U.S. House,4,,Under votes,7,4,0,0,11
Newton,Beaver 2,State Representative,13,REP,Sharon Negele,,,,,
Newton,Beaver 2,State Representative,13,DEM,Loretta Barnes,,,,,
Newton,Beaver 2,State Representative,13,,Over votes,,,,,
Newton,Beaver 2,State Representative,13,,Under votes,,,,,
Newton,Beaver 2,State Representative,16,REP,Douglas L Gutwein,245,71,0,25,341
Newton,Beaver 2,State Representative,16,DEM,Michael A Lovely,41,14,0,29,84
Newton,Beaver 2,State Representative,16,,Over votes,0,0,0,0,0
Newton,Beaver 2,State Representative,16,,Under votes,6,5,0,2,13
Newton,Colfax,Registered Voters,,,,,,,,120
Newton,Colfax,Ballots Cast,,,,68,4,0,3,75
Newton,Colfax,Straight Party,,REP,,22,2,0,1,25
Newton,Colfax,Straight Party,,DEM,,4,1,0,0,5
Newton,Colfax,Straight Party,,LIB,,0,0,0,0,0
Newton,Colfax,Straight Party,,,Over votes,0,0,0,0,0
Newton,Colfax,Straight Party,,,Under votes,42,1,0,2,45
Newton,Colfax,President,,REP,Donald J Trump,54,3,0,2,59
Newton,Colfax,President,,DEM,Joseph R Biden,11,1,0,1,13
Newton,Colfax,President,,LIB,Jo Jorgensen,2,0,0,0,2
Newton,Colfax,President,,,Write-In votes,0,0,0,0,0
Newton,Colfax,President,,,Over votes,0,0,0,0,0
Newton,Colfax,President,,,Under votes,1,0,0,0,1
Newton,Colfax,Governor,,REP,Eric Holcomb,46,2,0,2,50
Newton,Colfax,Governor,,DEM,Woodrow (Woody) Myers,10,2,0,0,12
Newton,Colfax,Governor,,LIB,Donald G Rainwater II,11,0,0,1,12
Newton,Colfax,Governor,,,Over votes,0,0,0,0,0
Newton,Colfax,Governor,,,Under votes,1,0,0,0,1
Newton,Colfax,Attorney General,,REP,Todd Rokita,52,3,0,3,58
Newton,Colfax,Attorney General,,DEM,Jonathan Weinzapfel,13,1,0,0,14
Newton,Colfax,Attorney General,,,Over votes,0,0,0,0,0
Newton,Colfax,Attorney General,,,Under votes,3,0,0,0,3
Newton,Colfax,U.S. House,4,REP,Jim Baird,53,3,0,3,59
Newton,Colfax,U.S. House,4,DEM,Joe Mackey,12,1,0,0,13
Newton,Colfax,U.S. House,4,,Write-In votes,0,0,0,0,0
Newton,Colfax,U.S. House,4,,Over votes,0,0,0,0,0
Newton,Colfax,U.S. House,4,,Under votes,3,0,0,0,3
Newton,Colfax,State Representative,13,REP,Sharon Negele,,,,,
Newton,Colfax,State Representative,13,DEM,Loretta Barnes,,,,,
Newton,Colfax,State Representative,13,,Over votes,,,,,
Newton,Colfax,State Representative,13,,Under votes,,,,,
Newton,Colfax,State Representative,16,REP,Douglas L Gutwein,55,3,0,3,61
Newton,Colfax,State Representative,16,DEM,Michael A Lovely,10,1,0,0,11
Newton,Colfax,State Representative,16,,Over votes,0,0,0,0,0
Newton,Colfax,State Representative,16,,Under votes,3,0,0,0,3
Newton,Grant 1,Registered Voters,,,,,,,,453
Newton,Grant 1,Ballots Cast,,,,234,38,0,19,291
Newton,Grant 1,Straight Party,,REP,,87,15,0,5,107
Newton,Grant 1,Straight Party,,DEM,,10,10,0,2,22
Newton,Grant 1,Straight Party,,LIB,,2,0,0,0,2
Newton,Grant 1,Straight Party,,,Over votes,0,0,0,0,0
Newton,Grant 1,Straight Party,,,Under votes,135,13,0,12,160
Newton,Grant 1,President,,REP,Donald J Trump,189,24,0,11,224
Newton,Grant 1,President,,DEM,Joseph R Biden,34,14,0,7,55
Newton,Grant 1,President,,LIB,Jo Jorgensen,6,0,0,0,6
Newton,Grant 1,President,,,Write-In votes,3,0,0,0,3
Newton,Grant 1,President,,,Over votes,0,0,0,0,0
Newton,Grant 1,President,,,Under votes,2,0,0,1,3
Newton,Grant 1,Governor,,REP,Eric Holcomb,170,20,0,11,201
Newton,Grant 1,Governor,,DEM,Woodrow (Woody) Myers,21,12,0,5,38
Newton,Grant 1,Governor,,LIB,Donald G Rainwater II,40,3,0,3,46
Newton,Grant 1,Governor,,,Over votes,0,0,0,0,0
Newton,Grant 1,Governor,,,Under votes,3,3,0,0,6
Newton,Grant 1,Attorney General,,REP,Todd Rokita,189,23,0,14,226
Newton,Grant 1,Attorney General,,DEM,Jonathan Weinzapfel,40,14,0,5,59
Newton,Grant 1,Attorney General,,,Over votes,0,0,0,0,0
Newton,Grant 1,Attorney General,,,Under votes,5,1,0,0,6
Newton,Grant 1,U.S. House,4,REP,Jim Baird,194,25,0,14,233
Newton,Grant 1,U.S. House,4,DEM,Joe Mackey,34,12,0,5,51
Newton,Grant 1,U.S. House,4,,Write-In votes,0,0,0,0,0
Newton,Grant 1,U.S. House,4,,Over votes,0,0,0,0,0
Newton,Grant 1,U.S. House,4,,Under votes,6,1,0,0,7
Newton,Grant 1,State Representative,13,REP,Sharon Negele,197,24,0,14,235
Newton,Grant 1,State Representative,13,DEM,Loretta Barnes,32,12,0,5,49
Newton,Grant 1,State Representative,13,,Over votes,0,0,0,0,0
Newton,Grant 1,State Representative,13,,Under votes,5,2,0,0,7
Newton,Grant 1,State Representative,16,REP,Douglas L Gutwein,,,,,
Newton,Grant 1,State Representative,16,DEM,Michael A Lovely,,,,,
Newton,Grant 1,State Representative,16,,Over votes,,,,,
Newton,Grant 1,State Representative,16,,Under votes,,,,,
Newton,Grant 2,Registered Voters,,,,,,,,282
Newton,Grant 2,Ballots Cast,,,,124,18,0,23,165
Newton,Grant 2,Straight Party,,REP,,39,7,0,10,56
Newton,Grant 2,Straight Party,,DEM,,11,4,0,2,17
Newton,Grant 2,Straight Party,,LIB,,0,0,0,0,0
Newton,Grant 2,Straight Party,,,Over votes,0,0,0,0,0
Newton,Grant 2,Straight Party,,,Under votes,74,7,0,11,92
Newton,Grant 2,President,,REP,Donald J Trump,94,11,0,16,121
Newton,Grant 2,President,,DEM,Joseph R Biden,27,7,0,7,41
Newton,Grant 2,President,,LIB,Jo Jorgensen,3,0,0,0,3
Newton,Grant 2,President,,,Write-In votes,0,0,0,0,0
Newton,Grant 2,President,,,Over votes,0,0,0,0,0
Newton,Grant 2,President,,,Under votes,0,0,0,0,0
Newton,Grant 2,Governor,,REP,Eric Holcomb,91,11,0,17,119
Newton,Grant 2,Governor,,DEM,Woodrow (Woody) Myers,14,6,0,4,24
Newton,Grant 2,Governor,,LIB,Donald G Rainwater II,18,1,0,1,20
Newton,Grant 2,Governor,,,Over votes,0,0,0,0,0
Newton,Grant 2,Governor,,,Under votes,1,0,0,1,2
Newton,Grant 2,Attorney General,,REP,Todd Rokita,94,11,0,16,121
Newton,Grant 2,Attorney General,,DEM,Jonathan Weinzapfel,28,7,0,6,41
Newton,Grant 2,Attorney General,,,Over votes,0,0,0,0,0
Newton,Grant 2,Attorney General,,,Under votes,2,0,0,1,3
Newton,Grant 2,U.S. House,4,REP,Jim Baird,94,10,0,15,119
Newton,Grant 2,U.S. House,4,DEM,Joe Mackey,25,7,0,7,39
Newton,Grant 2,U.S. House,4,,Write-In votes,0,0,0,0,0
Newton,Grant 2,U.S. House,4,,Over votes,0,0,0,0,0
Newton,Grant 2,U.S. House,4,,Under votes,5,1,0,1,7
Newton,Grant 2,State Representative,13,REP,Sharon Negele,96,10,0,15,121
Newton,Grant 2,State Representative,13,DEM,Loretta Barnes,25,8,0,6,39
Newton,Grant 2,State Representative,13,,Over votes,0,0,0,0,0
Newton,Grant 2,State Representative,13,,Under votes,3,0,0,2,5
Newton,Grant 2,State Representative,16,REP,Douglas L Gutwein,,,,,
Newton,Grant 2,State Representative,16,DEM,Michael A Lovely,,,,,
Newton,Grant 2,State Representative,16,,Over votes,,,,,
Newton,Grant 2,State Representative,16,,Under votes,,,,,
Newton,Iroquois 1,Registered Voters,,,,,,,,333
Newton,Iroquois 1,Ballots Cast,,,,173,15,0,33,221
Newton,Iroquois 1,Straight Party,,REP,,65,6,0,9,80
Newton,Iroquois 1,Straight Party,,DEM,,10,1,0,3,14
Newton,Iroquois 1,Straight Party,,LIB,,3,2,0,0,5
Newton,Iroquois 1,Straight Party,,,Over votes,0,0,0,0,0
Newton,Iroquois 1,Straight Party,,,Under votes,95,6,0,21,122
Newton,Iroquois 1,President,,REP,Donald J Trump,144,12,0,17,173
Newton,Iroquois 1,President,,DEM,Joseph R Biden,27,2,0,14,43
Newton,Iroquois 1,President,,LIB,Jo Jorgensen,2,1,0,1,4
Newton,Iroquois 1,President,,,Write-In votes,0,0,0,0,0
Newton,Iroquois 1,President,,,Over votes,0,0,0,0,0
Newton,Iroquois 1,President,,,Under votes,0,0,0,1,1
Newton,Iroquois 1,Governor,,REP,Eric Holcomb,115,10,0,21,146
Newton,Iroquois 1,Governor,,DEM,Woodrow (Woody) Myers,15,2,0,8,25
Newton,Iroquois 1,Governor,,LIB,Donald G Rainwater II,40,3,0,2,45
Newton,Iroquois 1,Governor,,,Over votes,0,0,0,0,0
Newton,Iroquois 1,Governor,,,Under votes,1,0,0,2,3
Newton,Iroquois 1,Attorney General,,REP,Todd Rokita,145,12,0,19,176
Newton,Iroquois 1,Attorney General,,DEM,Jonathan Weinzapfel,23,2,0,12,37
Newton,Iroquois 1,Attorney General,,,Over votes,0,0,0,0,0
Newton,Iroquois 1,Attorney General,,,Under votes,3,1,0,2,6
Newton,Iroquois 1,U.S. House,4,REP,Jim Baird,143,12,0,19,174
Newton,Iroquois 1,U.S. House,4,DEM,Joe Mackey,26,3,0,11,40
Newton,Iroquois 1,U.S. House,4,,Write-In votes,0,0,0,0,0
Newton,Iroquois 1,U.S. House,4,,Over votes,0,0,0,0,0
Newton,Iroquois 1,U.S. House,4,,Under votes,2,0,0,3,5
Newton,Iroquois 1,State Representative,13,REP,Sharon Negele,138,12,0,20,170
Newton,Iroquois 1,State Representative,13,DEM,Loretta Barnes,28,3,0,11,42
Newton,Iroquois 1,State Representative,13,,Over votes,0,0,0,0,0
Newton,Iroquois 1,State Representative,13,,Under votes,5,0,0,2,7
Newton,Iroquois 1,State Representative,16,REP,Douglas L Gutwein,,,,,
Newton,Iroquois 1,State Representative,16,DEM,Michael A Lovely,,,,,
Newton,Iroquois 1,State Representative,16,,Over votes,,,,,
Newton,Iroquois 1,State Representative,16,,Under votes,,,,,
Newton,Iroquois 2,Registered Voters,,,,,,,,484
Newton,Iroquois 2,Ballots Cast,,,,241,45,0,30,316
Newton,Iroquois 2,Straight Party,,REP,,74,17,0,10,101
Newton,Iroquois 2,Straight Party,,DEM,,8,6,0,3,17
Newton,Iroquois 2,Straight Party,,LIB,,2,0,0,0,2
Newton,Iroquois 2,Straight Party,,,Over votes,0,0,0,0,0
Newton,Iroquois 2,Straight Party,,,Under votes,157,22,0,17,196
Newton,Iroquois 2,President,,REP,Donald J Trump,192,33,0,21,246
Newton,Iroquois 2,President,,DEM,Joseph R Biden,33,9,0,8,50
Newton,Iroquois 2,President,,LIB,Jo Jorgensen,9,1,0,1,11
Newton,Iroquois 2,President,,,Write-In votes,1,0,0,0,1
Newton,Iroquois 2,President,,,Over votes,0,0,0,0,0
Newton,Iroquois 2,President,,,Under votes,6,2,0,0,8
Newton,Iroquois 2,Governor,,REP,Eric Holcomb,167,31,0,25,223
