county,precinct,office,district,party,candidate,election_day,absentee,early_voting,votes
Tipton,Cicero 1,Registered Voters,,,,,,,935
Tipton,Cicero 1,Ballots Cast,,,,324,60,214,598
Tipton,Cicero 1,President,,REP,Donald J Trump,250,28,133,411
Tipton,Cicero 1,President,,DEM,Joseph R Biden,57,28,75,160
Tipton,Cicero 1,President,,LIB,Jo Jorgensen,9,3,4,16
Tipton,Cicero 1,President,,,Write-In,3,0,1,4
Tipton,Cicero 1,Governor,,REP,Eric Holcomb,208,32,118,358
Tipton,Cicero 1,Governor,,DEM,Woodrow (Woody) Myers,32,20,52,104
Tipton,Cicero 1,Governor,,LIB,Donald G Rainwater II,78,5,39,122
Tipton,Cicero 1,Attorney General,,REP,Todd Rokita,238,30,128,396
Tipton,Cicero 1,Attorney General,,DEM,Jonathan Weinzapfel,71,26,78,175
Tipton,Cicero 1,U.S. House,5,REP,Victoria Spartz,216,27,118,361
Tipton,Cicero 1,U.S. House,5,DEM,Christina Hale,71,24,77,172
Tipton,Cicero 1,U.S. House,5,LIB,Kenneth Tucker,26,4,14,44
Tipton,Cicero 1,U.S. House,5,,Write-In,1,0,0,1
Tipton,Cicero 1,State Representative,32,REP,Anthony J (Tony) Cook,250,31,134,415
Tipton,Cicero 1,State Representative,32,DEM,Amie Neiling,61,23,72,156
Tipton,Cicero 2,Registered Voters,,,,,,,930
Tipton,Cicero 2,Ballots Cast,,,,254,102,286,642
Tipton,Cicero 2,President,,REP,Donald J Trump,191,42,162,395
Tipton,Cicero 2,President,,DEM,Joseph R Biden,50,52,111,213
Tipton,Cicero 2,President,,LIB,Jo Jorgensen,12,6,7,25
Tipton,Cicero 2,President,,,Write-In,0,0,0,0
Tipton,Cicero 2,Governor,,REP,Eric Holcomb,140,59,176,375
Tipton,Cicero 2,Governor,,DEM,Woodrow (Woody) Myers,32,31,68,131
Tipton,Cicero 2,Governor,,LIB,Donald G Rainwater II,81,9,36,126
Tipton,Cicero 2,Attorney General,,REP,Todd Rokita,183,50,163,396
Tipton,Cicero 2,Attorney General,,DEM,Jonathan Weinzapfel,62,48,105,215
Tipton,Cicero 2,U.S. House,5,REP,Victoria Spartz,172,34,147,353
Tipton,Cicero 2,U.S. House,5,DEM,Christina Hale,55,51,115,221
Tipton,Cicero 2,U.S. House,5,LIB,Kenneth Tucker,23,7,13,43
Tipton,Cicero 2,U.S. House,5,,Write-In,0,0,0,0
Tipton,Cicero 2,State Representative,32,REP,Anthony J (Tony) Cook,194,48,174,416
Tipton,Cicero 2,State Representative,32,DEM,Amie Neiling,46,47,97,190
Tipton,Cicero 3,Registered Voters,,,,,,,934
Tipton,Cicero 3,Ballots Cast,,,,358,81,169,608
Tipton,Cicero 3,President,,REP,Donald J Trump,280,41,113,434
Tipton,Cicero 3,President,,DEM,Joseph R Biden,65,37,54,156
Tipton,Cicero 3,President,,LIB,Jo Jorgensen,11,2,1,14
Tipton,Cicero 3,President,,,Write-In,0,0,0,0
Tipton,Cicero 3,Governor,,REP,Eric Holcomb,224,46,110,380
Tipton,Cicero 3,Governor,,DEM,Woodrow (Woody) Myers,37,25,36,98
Tipton,Cicero 3,Governor,,LIB,Donald G Rainwater II,92,5,22,119
Tipton,Cicero 3,Attorney General,,REP,Todd Rokita,257,39,109,405
Tipton,Cicero 3,Attorney General,,DEM,Jonathan Weinzapfel,77,37,51,165
Tipton,Cicero 3,U.S. House,5,REP,Victoria Spartz,257,33,101,391
Tipton,Cicero 3,U.S. House,5,DEM,Christina Hale,66,36,58,160
Tipton,Cicero 3,U.S. House,5,LIB,Kenneth Tucker,24,5,6,35
Tipton,Cicero 3,U.S. House,5,,Write-In,0,0,0,0
Tipton,Cicero 3,State Representative,32,REP,Anthony J (Tony) Cook,278,39,109,426
Tipton,Cicero 3,State Representative,32,DEM,Amie Neiling,59,32,47,138
Tipton,Cicero 5,Registered Voters,,,,,,,851
Tipton,Cicero 5,Ballots Cast,,,,298,103,235,636
Tipton,Cicero 5,President,,REP,Donald J Trump,254,45,163,462
Tipton,Cicero 5,President,,DEM,Joseph R Biden,41,51,65,157
Tipton,Cicero 5,President,,LIB,Jo Jorgensen,1,4,5,10
Tipton,Cicero 5,President,,,Write-In,1,0,0,1
Tipton,Cicero 5,Governor,,REP,Eric Holcomb,186,63,152,401
Tipton,Cicero 5,Governor,,DEM,Woodrow (Woody) Myers,27,34,31,92
Tipton,Cicero 5,Governor,,LIB,Donald G Rainwater II,81,2,49,132
