county,office,district,candidate,party,votes
Adams,U.S. Senator,,Brad Ellsworth,Democratic,2880
Adams,U.S. Senator,,Rebecca Sink-Burris,Libertarian,465
Adams,U.S. Senator,,Dan Coats,Republican,6181
Adams,U.S. Senator,,Jack Rooney,Independent,0
Adams,U.S. Senator,,Jim Miller,Write-In,0
Adams,Secretary Of State,,Vop Osili,Democratic,2490
Adams,Secretary Of State,,Mike Wherry,Libertarian,646
Adams,Secretary Of State,,Charlie White,Republican,6087
Adams,Auditor Of State,,Sam Locke,Democratic,2470
Adams,Auditor Of State,,Eric Knipe,Libertarian,470
Adams,Auditor Of State,,Tim Berry,Republican,6293
Adams,Treasurer Of State,,Pete Buttigieg,Democratic,2546
Adams,Treasurer Of State,,Richard E Mourdock,Republican,6683
Adams,U.S. House,3,Thomas Hayhurst,Democratic,0
Adams,U.S. House,3,Scott Wise,Libertarian,0
Adams,U.S. House,3,Marlin A Stutzman,Republican,0
Adams,U.S. House,3,Tom Metzger,Independent,0
Adams,U.S. House,3,Wes Stephens,Independent,0
Adams,State Senator,19,Robert Couse,Democratic,2457
Adams,State Senator,19,Travis Holdman,Republican,6804
Adams,State House,79,Matthew S Lehman,Republican,7879
Adams,Prosecuting Attorney,Adams 26Th Circuit,Christopher E Harvey,Democratic,6590
Allen,U.S. Senator,,Brad Ellsworth,Democratic,31347
Allen,U.S. Senator,,Rebecca Sink-Burris,Libertarian,4125
Allen,U.S. Senator,,Dan Coats,Republican,55454
Allen,U.S. Senator,,Jack Rooney,Independent,10
Allen,U.S. Senator,,Jim Miller,Write-In,21
Allen,Secretary Of State,,Vop Osili,Democratic,29814
Allen,Secretary Of State,,Mike Wherry,Libertarian,5377
Allen,Secretary Of State,,Charlie White,Republican,54244
Allen,Auditor Of State,,Sam Locke,Democratic,25221
Allen,Auditor Of State,,Eric Knipe,Libertarian,3415
Allen,Auditor Of State,,Tim Berry,Republican,60030
Allen,Treasurer Of State,,Pete Buttigieg,Democratic,28263
Allen,Treasurer Of State,,Richard E Mourdock,Republican,59755
Allen,U.S. House,3,Thomas Hayhurst,Democratic,33892
Allen,U.S. House,3,Scott Wise,Libertarian,3268
Allen,U.S. House,3,Marlin A Stutzman,Republican,50331
Allen,U.S. House,3,Tom Metzger,Independent,1
Allen,U.S. House,3,Wes Stephens,Independent,1
Allen,State Senator,14,Dennis K Kruse,Republican,20305
Allen,State Senator,15,Jack E Morris,Democratic,12014
Allen,State Senator,15,Thomas J Wyss,Republican,17936
Allen,State House,50,Daniel J Leonard,Republican,0
Allen,State House,52,Steve Smart,Democratic,0
Allen,State House,52,Charles Chuck Hanneman,Libertarian,0
Allen,State House,52,David Yarde Ii,Republican,0
Allen,State House,79,Matthew S Lehman,Republican,5501
Allen,State House,80,Philip K Giaquinta,Democratic,6182
Allen,State House,80,Jonathan Moosey,Republican,2896
Allen,State House,81,"Winfield C Moses, Jr.",Democratic,5352
Allen,State House,81,Elizabeth Sepponen,Libertarian,404
Allen,State House,81,Michael M Obergfell,Republican,4559
Allen,State House,82,Jeffrey K Espich,Republican,10602
Allen,State House,83,Wray Mccalester,Democratic,2790
Allen,State House,83,Kathleen Heuer,Republican,8064
Allen,State House,84,Evan Smith,Democratic,5865
Allen,State House,84,Bob Morris,Republican,12420
Allen,State House,85,Paul W Leslie,Libertarian,2709
Allen,State House,85,Phyllis J Pond,Republican,16915
Allen,Judge Of The Superior Court,Allen Civil No. 1,David J Avery,Non-Partisan,52333
Allen,Judge Of The Superior Court,Allen Civil No. 9,Nancy Eshcoff Boyer,Non-Partisan,52977
Allen,Judge Of The Superior Court,Allen Criminal No. 4,Charles F Pratt,Non-Partisan,60625
Allen,Judge Of The Superior Court,Allen/Scheibenberger,Wendy W Davis,Non-Partisan,35186
Allen,Judge Of The Superior Court,Allen/Scheibenberger,Lewis Griffin,Non-Partisan,8111
Allen,Judge Of The Superior Court,Allen/Scheibenberger,Kenneth R Scheibenberger,Non-Partisan,31861
Allen,Prosecuting Attorney,Allen 38Th Circuit,Karen E Richards,Republican,71018
Bartholomew,U.S. Senator,,Brad Ellsworth,Democratic,6492
Bartholomew,U.S. Senator,,Rebecca Sink-Burris,Libertarian,1035
Bartholomew,U.S. Senator,,Dan Coats,Republican,12243
Bartholomew,U.S. Senator,,Jack Rooney,Independent,2
Bartholomew,U.S. Senator,,Jim Miller,Write-In,4
