county,office,district,candidate,party,votes
Adams,Secretary of State,Statewide,Elizabeth White,Democratic,2146
Adams,Secretary of State,Statewide,Karl Tatgenhorst,Libertarian,242
Adams,Secretary of State,Statewide,Connie Lawson,Republican,5092
Adams,Auditor of State,Statewide,Michael A Claytor,Democratic,1984
Adams,Auditor of State,Statewide,John Schick,Libertarian,305
Adams,Auditor of State,Statewide,Suzanne Crouch,Republican,5198
Adams,Treasurer of State,Statewide,Michael J Boland,Democratic,2012
Adams,Treasurer of State,Statewide,Michael L Mike Jasper,Libertarian,355
Adams,Treasurer of State,Statewide,Kelly Mitchell,Republican,5093
Adams,United States Representative,3,Justin Kuhnle,Democratic,1950
Adams,United States Representative,3,Scott Wise,Libertarian,217
Adams,United States Representative,3,Marlin A Stutzman,Republican,4955
Adams,State Senator,19,Travis Holdman,Republican,5720
Adams,State Representative,79,Matthew S Lehman,Republican,5877
Adams,Judge of the Superior Court,Adams County,Patrick R Miller,Republican,5939
Adams,Prosecuting Attorney,Adams (26Th Circuit),Christopher E Harvey,Democratic,2782
Adams,Prosecuting Attorney,Adams (26Th Circuit),Jeremy W Brown,Republican,4865
Adams,State Convention Delegate,Adams County,William S Borne,Republican,0
Adams,State Convention Delegate,Adams County,Abagail M Dyer,Republican,0
Adams,State Convention Delegate,Adams County,Matthew J Dyer,Republican,0
Adams,State Convention Delegate,Adams County,Arlene M Kuntzman,Republican,0
Adams,State Convention Delegate,Adams County,George W Wes Kuntzman,Republican,0
Adams,State Convention Delegate,Adams County,Matthew S Lehman,Republican,0
Adams,State Convention Delegate,Adams County,Rex Moore,Republican,0
Adams,State Convention Delegate,Adams County,Constance J Moser,Republican,0
Adams,State Convention Delegate,Adams County,Ryan Noblitt,Republican,0
Adams,State Convention Delegate,Adams County,Gerald Walker,Republican,0
Adams,State Convention Delegate,Adams County,Nancy Walker,Republican,0
Allen,Secretary of State,Statewide,Elizabeth White,Democratic,24966
Allen,Secretary of State,Statewide,Karl Tatgenhorst,Libertarian,2457
Allen,Secretary of State,Statewide,Connie Lawson,Republican,45450
Allen,Auditor of State,Statewide,Michael A Claytor,Democratic,22362
Allen,Auditor of State,Statewide,John Schick,Libertarian,2824
Allen,Auditor of State,Statewide,Suzanne Crouch,Republican,48047
Allen,Treasurer of State,Statewide,Michael J Boland,Democratic,23673
Allen,Treasurer of State,Statewide,Michael L Mike Jasper,Libertarian,3165
Allen,Treasurer of State,Statewide,Kelly Mitchell,Republican,46136
Allen,United States Representative,3,Justin Kuhnle,Democratic,23548
Allen,United States Representative,3,Scott Wise,Libertarian,2664
Allen,United States Representative,3,Marlin A Stutzman,Republican,47684
Allen,State Senator,14,Dennis K Kruse,Republican,17515
Allen,State Senator,15,Jack E Morris,Democratic,10482
Allen,State Senator,15,Elizabeth Liz Brown,Republican,15101
Allen,State Representative,50,Daniel Dan J Leonard,Republican,3079
Allen,State Representative,52,Charles E Odier,Democratic,1072
Allen,State Representative,52,Benjamin Charles Smaltz,Republican,3645
Allen,State Representative,79,Matthew S Lehman,Republican,2193
Allen,State Representative,80,Phil Giaquinta,Democratic,6723
