county,office,district,candidate,party,votes
Adams,U.S. House,3,Justin Kuhnle,Democratic,295
Adams,U.S. House,3,Jim Redmond,Democratic,75
Adams,U.S. House,3,Tommy A. Schrader,Democratic,111
Adams,U.S. House,3,Mark William Baringer,Republican,262
Adams,U.S. House,3,James (Jim) E. Mahoney Iii,Republican,238
Adams,U.S. House,3,Marlin A. Stutzman,Republican,2279
Adams,State Senator,19,Travis Holdman,Republican,2521
Adams,State House,79,Matthew S. Lehman,Republican,2622
Adams,Judge of the Superior Court,Adams County,Patrick R. Miller,Republican,2701
Adams,Prosecuting Attorney,Adams 26Th Circuit,Christopher E. Harvey,Democratic,422
Adams,Prosecuting Attorney,Adams 26Th Circuit,Jeremy W. Brown,Republican,2622
Allen,U.S. House,3,Justin Kuhnle,Democratic,1546
Allen,U.S. House,3,Jim Redmond,Democratic,1396
Allen,U.S. House,3,Tommy A. Schrader,Democratic,1339
Allen,U.S. House,3,Mark William Baringer,Republican,2539
Allen,U.S. House,3,James (Jim) E. Mahoney Iii,Republican,1915
Allen,U.S. House,3,Marlin A. Stutzman,Republican,20580
Allen,State Senator,14,Dennis K. Kruse,Republican,7190
Allen,State Senator,14,Liz Brown,Republican,3645
Allen,State Senator,14,Ken Fries,Republican,3296
Allen,State Senator,14,Jeffrey A. Snyder,Republican,567
Allen,State Senator,14,Darren Vogt,Republican,2118
Allen,State House,50,Daniel (Dan) J. Leonard,Republican,1084
Allen,State House,50,Ben Smaltz,Republican,1658
Allen,State House,50,David L. Ober,Republican,394
Allen,State House,50,Christopher N. Judy,Republican,1920
Allen,State House,50,Michael Barranda,Republican,3502
Allen,State House,50,Bob Morris,Republican,3755
Allen,State House,50,Ken Knoblauch,Republican,1148
Allen,State House,50,Denny Worman,Republican,1515
Allen,Judge of the Circuit Court,Allen 38Th,Thomas J. Felts,Republican,21499
Allen,Prosecuting Attorney,Allen 38Th Circuit,J. Michael (Mike) Loomis,Republican,8569
Allen,Prosecuting Attorney,Allen 38Th Circuit,Karen Richards,Republican,16711
Bartholomew,U.S. House,6,Susan Hall Heitzman,Democratic,591
Bartholomew,U.S. House,6,Lane Siekman,Democratic,243
Bartholomew,U.S. House,6,Corinne Nicole Westerfield,Democratic,225
Bartholomew,U.S. House,6,Luke Messer,Republican,6877
Bartholomew,State Senator,41,Andy Talarzyk,Democratic,490
Bartholomew,State Senator,41,Greggory F. Walker,Republican,3189
Bartholomew,State Senator,41,Bill Mcdonald,Republican,351
Bartholomew,State Senator,41,Chip Perfect,Republican,263
Bartholomew,State Senator,41,Mark Schneider,Republican,539
Bartholomew,State House,57,Sean R. Eberhart,Republican,1235
Bartholomew,State House,57,Milo Smith,Republican,4239
Bartholomew,Judge of the Superior Court,"Bartholomew County, No. 2",Kathleen (Kitty) Tighe Coriden,Republican,3766
Bartholomew,Judge of the Superior Court,"Bartholomew County, No. 2",Jeffrey L. (Jeff) Logston,Republican,2077
Bartholomew,Judge of the Superior Court,"Bartholomew County, No. 2",Gregory E. (Greg) Long,Republican,2962
Bartholomew,Prosecuting Attorney,Bartholomew 9Th Circuit,William M. (Bill) Nash,Republican,7637
Benton,U.S. House,4,Jeffrey Oliver Blaydes,Democratic,11
Benton,U.S. House,4,John Dale,Democratic,21
Benton,U.S. House,4,Roger D. Day,Democratic,41
Benton,U.S. House,4,John L. Futrell,Democratic,8
Benton,U.S. House,4,Howard Joseph Pollchik,Democratic,7
Benton,U.S. House,4,Kevin J. Grant,Republican,479
Benton,U.S. House,4,Todd Rokita,Republican,1013
Benton,State Senator,6,Lon P. Childress,Democratic,29
Benton,State Senator,6,Roxanna Hanford,Democratic,61
Benton,State Senator,6,Rick Niemeyer,Republican,709
Benton,State Senator,6,Chris M. Shepherd,Republican,703
Benton,State House,13,Sharon Negele,Republican,1325
Benton,Judge of the Circuit Court,Benton 76Th Circuit,Rex W. Kepner,Republican,1411
Benton,Prosecuting Attorney,Benton 76Th Circuit,John C. Wright,Republican,1308
Blackford,U.S. House,3,Justin Kuhnle,Democratic,17
Blackford,U.S. House,3,Jim Redmond,Democratic,22
Blackford,U.S. House,3,Tommy A. Schrader,Democratic,53
Blackford,U.S. House,3,Mark William Baringer,Republican,44
Blackford,U.S. House,3,James (Jim) E. Mahoney Iii,Republican,32
Blackford,U.S. House,3,Marlin A. Stutzman,Republican,125
Blackford,U.S. House,3,Shawn A. Denney,Republican,55
Blackford,U.S. House,3,David William Ford,Republican,223
Blackford,U.S. House,3,Susan Brooks,Republican,433
Blackford,U.S. House,3,David M. (Mike) Campbell,Republican,100
Blackford,U.S. House,3,David S. Stockdale,Republican,28
Blackford,State Senator,19,Travis Holdman,Republican,741
Blackford,State House,31,Kevin A. Mahan,Republican,785
Blackford,State House,31,Greg Beumer,Republican,5
Blackford,Prosecuting Attorney,Blackford 71St Circuit,Kevin N. Basey,Republican,777
Boone,U.S. House,4,Jeffrey Oliver Blaydes,Democratic,30
Boone,U.S. House,4,John Dale,Democratic,118
Boone,U.S. House,4,Roger D. Day,Democratic,67
Boone,U.S. House,4,John L. Futrell,Democratic,9
Boone,U.S. House,4,Howard Joseph Pollchik,Democratic,24
Boone,U.S. House,4,Kevin J. Grant,Republican,760
Boone,U.S. House,4,Todd Rokita,Republican,2601
Boone,U.S. House,4,Shawn A. Denney,Republican,69
Boone,U.S. House,4,David William Ford,Republican,60
Boone,U.S. House,4,Susan Brooks,Republican,2160
Boone,U.S. House,4,David M. (Mike) Campbell,Republican,346
Boone,U.S. House,4,David S. Stockdale,Republican,415
Boone,State Senator,23,Philip L. (Phil) Boots,Republican,2764
Boone,State Senator,23,Mike Delph,Republican,1506
Boone,State House,24,Steve Braun,Republican,2392
Boone,State House,24,Jeffrey A. Thompson,Republican,232
Boone,Judge of the Superior Court,"Boone County, No. 1",Matt Kincaid,Republican,5478
Boone,Judge of the Superior Court,"Boone County, No. 1",Bruce Petit,Republican,3338
Boone,Prosecuting Attorney,Boone 20Th Circuit,Todd J. Meyer,Republican,5469
Brown,U.S. House,9,Bill Bailey,Democratic,377
Brown,U.S. House,9,James R. Mcclure Jr.,Democratic,174
Brown,U.S. House,9,J.S. Miller,Democratic,259
Brown,U.S. House,9,William Joseph (Billy) Thomas,Democratic,113
Brown,U.S. House,9,Kathy Lowe Heil,Republican,279
Brown,U.S. House,9,Mark G. Jones,Republican,135
Brown,U.S. House,9,Todd Young,Republican,1374
Brown,State House,65,Eric A. Koch,Republican,1642
Brown,Prosecuting Attorney,Brown 88Th Circuit,James R. Oliver,Democratic,921
Carroll,U.S. House,4,Jeffrey Oliver Blaydes,Democratic,52
Carroll,U.S. House,4,John Dale,Democratic,87
Carroll,U.S. House,4,Roger D. Day,Democratic,71
Carroll,U.S. House,4,John L. Futrell,Democratic,14
Carroll,U.S. House,4,Howard Joseph Pollchik,Democratic,24
Carroll,U.S. House,4,Kevin J. Grant,Republican,574
Carroll,U.S. House,4,Todd Rokita,Republican,1447
Carroll,State House,25,Maurice O. Fuller,Democratic,105
Carroll,State House,25,Donald J. Lehe,Republican,749
Carroll,State House,25,Franklyn Voorhies,Republican,343
