county,precinct,office,district,party,candidate,votes,early_voting,election_day,provisional,absentee,federal
Dubois,Bainbridge 1,U.S. Senate,,R,Mike Braun,297,,98,0,199,
Dubois,Bainbridge 1,U.S. Senate,,D,Joe Donnelly,84,,35,0,49,
Dubois,Bainbridge 1,U.S. Senate,,L,Lucy M. Brenton,12,,6,0,6,
Dubois,Bainbridge 1,U.S. Senate,,,Write in,0,,0,0,0,
Dubois,Bainbridge 1,State Secretary,,R,Connie Lawson,283,,90,0,193,
Dubois,Bainbridge 1,State Secretary,,D,Jim Harper,86,,35,0,51,
Dubois,Bainbridge 1,State Secretary,,L,Mark W. Rutherford,7,,7,0,0,
Dubois,Bainbridge 1,State Secretary,,,Write in,0,,0,0,0,
Dubois,Bainbridge 1,State Auditor,,R,Tera Klutz,245,,82,0,163,
Dubois,Bainbridge 1,State Auditor,,D,Joselyn Whitticker,100,,39,0,61,
Dubois,Bainbridge 1,State Auditor,,L,John Schick,10,,8,0,2,
Dubois,Bainbridge 1,State Treasurer,,R,Kelly Mitchell,271,,94,0,177,
Dubois,Bainbridge 1,State Treasurer,,D,John C. Aguilera,84,,37,0,47,
Dubois,Bainbridge 1,U.S. House,8,R,Larry D. Bucshon,292,,103,0,189,
Dubois,Bainbridge 1,U.S. House,8,D,William Tanoos,75,,30,0,45,
Dubois,Bainbridge 1,U.S. House,8,,Write in,0,,0,0,0,
Dubois,Bainbridge 1,State Senate,48,R,Mark Messmer,345,,119,0,226,
Dubois,Bainbridge 1,State Senate,48,D,No Candidate Filed,0,,0,0,0,
Dubois,Bainbridge 1,State House,63,R,Shane M. Lindauer,303,,97,0,206,
Dubois,Bainbridge 1,State House,63,D,"Joseph ""joe"" Lannan",86,,43,0,43,
Dubois,Bainbridge 2e,U.S. Senate,,R,Mike Braun,176,,60,0,116,
Dubois,Bainbridge 2e,U.S. Senate,,D,Joe Donnelly,153,,57,0,96,
Dubois,Bainbridge 2e,U.S. Senate,,L,Lucy M. Brenton,22,,8,0,14,
Dubois,Bainbridge 2e,U.S. Senate,,,Write in,0,,0,0,0,
Dubois,Bainbridge 2e,State Secretary,,R,Connie Lawson,175,,58,0,117,
Dubois,Bainbridge 2e,State Secretary,,D,Jim Harper,148,,53,0,95,
Dubois,Bainbridge 2e,State Secretary,,L,Mark W. Rutherford,24,,13,0,11,
Dubois,Bainbridge 2e,State Secretary,,,Write in,0,,0,0,0,
Dubois,Bainbridge 2e,State Auditor,,R,Tera Klutz,154,,52,0,102,
Dubois,Bainbridge 2e,State Auditor,,D,Joselyn Whitticker,161,,57,0,104,
Dubois,Bainbridge 2e,State Auditor,,L,John Schick,19,,11,0,8,
Dubois,Bainbridge 2e,State Treasurer,,R,Kelly Mitchell,184,,62,0,122,
Dubois,Bainbridge 2e,State Treasurer,,D,John C. Aguilera,151,,58,0,93,
Dubois,Bainbridge 2e,U.S. House,8,R,Larry D. Bucshon,175,,60,0,115,
Dubois,Bainbridge 2e,U.S. House,8,D,William Tanoos,163,,60,0,103,
