county,precinct,office,district,party,candidate,votes,early_voting,election_day,provisional,absentee,federal
Pulaski,Beaver,U.S. Senate,,R,Mike Braun,110,,74,0,36,
Pulaski,Beaver,U.S. Senate,,D,Joe Donnelly,57,,41,0,16,
Pulaski,Beaver,U.S. Senate,,L,Lucy M. Brenton,5,,1,0,4,
Pulaski,Beaver,U.S. Senate,,,Write in,0,,0,0,0,
Pulaski,Beaver,State Secretary,,R,Connie Lawson,130,,88,0,42,
Pulaski,Beaver,State Secretary,,D,Jim Harper,36,,23,0,13,
Pulaski,Beaver,State Secretary,,L,Mark W. Rutherford,2,,2,0,0,
Pulaski,Beaver,State Secretary,,,Write in,0,,0,0,0,
Pulaski,Beaver,State Auditor,,R,Tera Klutz,120,,82,0,38,
Pulaski,Beaver,State Auditor,,,Joselyn Whitticker,42,,28,0,14,
Pulaski,Beaver,State Auditor,,L,John Schick,3,,1,0,2,
Pulaski,Beaver,State Treasurer,,R,Kelly Mitchell,125,,85,0,40,
Pulaski,Beaver,State Treasurer,,D,John C. Aguilera,43,,29,0,14,
Pulaski,Beaver,U.S. House,2,R,Jackie Walorski,129,,89,0,40,
Pulaski,Beaver,U.S. House,2,D,Mel Hall,45,,29,0,16,
Pulaski,Beaver,U.S. House,2,,Write in,0,,0,0,0,
Pulaski,Beaver,State House,16,R,Douglas L. Gutwein,131,,87,0,44,
Pulaski,Beaver,State House,16,D,Christina L Zacny,43,,31,0,12,
Pulaski,Cass,U.S. Senate,,R,Mike Braun,131,,118,0,13,
Pulaski,Cass,U.S. Senate,,D,Joe Donnelly,95,,71,0,24,
Pulaski,Cass,U.S. Senate,,L,Lucy M. Brenton,6,,5,0,1,
Pulaski,Cass,U.S. Senate,,,Write in,0,,0,0,0,
Pulaski,Cass,State Secretary,,R,Connie Lawson,135,,119,0,16,
Pulaski,Cass,State Secretary,,D,Jim Harper,87,,66,0,21,
Pulaski,Cass,State Secretary,,L,Mark W. Rutherford,7,,6,0,1,
Pulaski,Cass,State Secretary,,,Write in,0,,0,0,0,
Pulaski,Cass,State Auditor,,R,Tera Klutz,131,,115,0,16,
Pulaski,Cass,State Auditor,,D,Joselyn Whitticker,87,,66,0,21,
Pulaski,Cass,State Treasurer,,R,Kelly Mitchell,146,,126,0,20,
Pulaski,Cass,State Treasurer,,D,John C. Aguilera,80,,62,0,18,
Pulaski,Cass,U.S. House,2,R,Jackie Walorski,138,,119,0,19,
Pulaski,Cass,U.S. House,2,D,Mel Hall,90,,71,0,19,
Pulaski,Cass,U.S. House,2,,Write in,0,,0,0,0,
Pulaski,Cass,State House,16,R,Douglas L. Gutwein,139,,119,0,20,
Pulaski,Cass,State House,16,D,Christina L Zacny,88,,70,0,18,
Pulaski,Franklin,U.S. Senate,,R,Mike Braun,125,,96,0,29,
Pulaski,Franklin,U.S. Senate,,D,Joe Donnelly,78,,35,0,43,
Pulaski,Franklin,U.S. Senate,,L,Lucy M. Brenton,12,,10,0,2,
Pulaski,Franklin,U.S. Senate,,,Write in,0,,0,0,0,
Pulaski,Franklin,State Secretary,,R,Connie Lawson,147,,104,0,43,
Pulaski,Franklin,State Secretary,,D,Jim Harper,54,,29,0,25,
Pulaski,Franklin,State Secretary,,L,Mark W. Rutherford,9,,8,0,1,
Pulaski,Franklin,State Secretary,,,Write in,0,,0,0,0,
Pulaski,Franklin,State Auditor,,R,Tera Klutz,141,,101,0,40,
Pulaski,Franklin,State Auditor,,D,Joselyn Whitticker,63,,37,0,26,
Pulaski,Franklin,State Auditor,,L,John Schick,6,,4,0,2,
Pulaski,Franklin,State Treasurer,,R,Kelly Mitchell,151,,110,0,41,
Pulaski,Franklin,State Treasurer,,D,John C. Aguilera,57,,31,0,26,
Pulaski,Franklin,U.S. House,2,R,Jackie Walorski,133,,94,0,39,
Pulaski,Franklin,U.S. House,2,D,Mel Hall,80,,45,0,35,
Pulaski,Franklin,U.S. House,2,,Write in,0,,0,0,0,
Pulaski,Franklin,State House,16,,(r) Douglas L. Gutwein,150,,106,0,44,
Pulaski,Franklin,State House,16,D,Christina L Zacny,61,,34,0,27,
Pulaski,Harrison,U.S. Senate,,R,Mike Braun,152,,101,0,51,
Pulaski,Harrison,U.S. Senate,,D,Joe Donnelly,75,,42,0,33,
Pulaski,Harrison,U.S. Senate,,L,Lucy M. Brenton,10,,9,0,1,
Pulaski,Harrison,U.S. Senate,,,Write in,0,,0,0,0,
Pulaski,Harrison,State Secretary,,R,Connie Lawson,164,,108,0,56,
Pulaski,Harrison,State Secretary,,D,Jim Harper,59,,35,0,24,
Pulaski,Harrison,State Secretary,,L,Mark W. Rutherford,7,,6,0,1,
Pulaski,Harrison,State Secretary,,,Write in,0,,0,0,0,
Pulaski,Harrison,State Auditor,,R,Tera Klutz,157,,102,0,55,
Pulaski,Harrison,State Auditor,,D,Joselyn Whitticker,60,,37,0,23,
Pulaski,Harrison,State Auditor,,L,John Schick,11,,7,0,4,
Pulaski,Harrison,State Treasurer,,R,Kelly Mitchell,169,,111,0,58,
Pulaski,Harrison,State Treasurer,,D,John C. Aguilera,60,,36,0,24,
Pulaski,Harrison,U.S. House,2,R,Jackie Walorski,156,,104,0,52,
Pulaski,Harrison,U.S. House,2,D,Mel Hall,75,,44,0,31,
Pulaski,Harrison,U.S. House,2,,Write in,0,,0,0,0,
Pulaski,Harrison,State House,16,R,Douglas L. Gutwein,176,,115,0,61,
Pulaski,Harrison,State House,16,D,Christina L Zacny,57,,36,0,21,
Pulaski,Indian Creek,U.S. Senate,,R,Mike Braun,113,,84,0,29,
Pulaski,Indian Creek,U.S. Senate,,D,Joe Donnelly,112,,75,0,37,
Pulaski,Indian Creek,U.S. Senate,,L,Lucy M. Brenton,9,,5,0,4,
Pulaski,Indian Creek,U.S. Senate,,,Write in,0,,0,0,0,
Pulaski,Indian Creek,State Secretary,,R,Connie Lawson,148,,106,0,42,
Pulaski,Indian Creek,State Secretary,,D,Jim Harper,73,,47,0,26,
Pulaski,Indian Creek,State Secretary,,L,Mark W. Rutherford,5,,5,0,0,
Pulaski,Indian Creek,State Secretary,,,Write in,0,,0,0,0,
Pulaski,Indian Creek,State Auditor,,R,Tera Klutz,134,,95,0,39,
Pulaski,Indian Creek,State Auditor,,D,Joselyn Whitticker,81,,53,0,28,
Pulaski,Indian Creek,State Auditor,,L,John Schick,8,,7,0,1,
Pulaski,Indian Creek,State Treasurer,,R,Kelly Mitchell,152,,111,0,41,
Pulaski,Indian Creek,State Treasurer,,D,John C. Aguilera,73,,46,0,27,
Pulaski,Indian Creek,U.S. House,2,R,Jackie Walorski,144,,104,0,40,
Pulaski,Indian Creek,U.S. House,2,D,Mel Hall,89,,60,0,29,
Pulaski,Indian Creek,State House,16,R,Douglas L. Gutwein,155,,114,0,41,
Pulaski,Indian Creek,State House,16,D,Christina L Zacny,77,,50,0,27,
Pulaski,Jefferson,U.S. Senate,,R,Mike Braun,148,,98,0,50,
Pulaski,Jefferson,U.S. Senate,,D,Joe Donnelly,56,,27,0,29,
Pulaski,Jefferson,U.S. Senate,,L,Lucy M. Brenton,6,,5,0,1,
Pulaski,Jefferson,U.S. Senate,,,Write in,0,,0,0,0,
Pulaski,Jefferson,State Secretary,,R,Connie Lawson,163,,104,0,59,
Pulaski,Jefferson,State Secretary,,D,Jim Harper,38,,17,0,21,
Pulaski,Jefferson,State Secretary,,L,Mark W. Rutherford,7,,7,0,0,
Pulaski,Jefferson,State Secretary,,,Write in,0,,0,0,0,
Pulaski,Jefferson,State Auditor,,R,Tera Klutz,156,,100,0,56,
