county,precinct,office,district,party,candidate,votes,early_voting,election_day,provisional,absentee,federal
Kosciusko,Clay 1,U.S. Senate,,R,Mike Braun,282,,238,0,44,
Kosciusko,Clay 1,U.S. Senate,,D,Joe Donnelly,63,,51,0,12,
Kosciusko,Clay 1,U.S. Senate,,L,Lucy M. Brenton,16,,15,0,1,
Kosciusko,Clay 1,U.S. Senate,,,Write in,0,,0,0,0,
Kosciusko,Clay 1,State Secretary,,R,Connie Lawson,296,,252,0,44,
Kosciusko,Clay 1,State Secretary,,D,Jim Harper,53,,42,0,11,
Kosciusko,Clay 1,State Secretary,,L,Mark W. Rutherford,12,,10,0,2,
Kosciusko,Clay 1,State Secretary,,,Write in,0,,0,0,0,
Kosciusko,Clay 1,State Auditor,,R,Tera Klutz,285,,241,0,44,
Kosciusko,Clay 1,State Auditor,,D,Joselyn Whitticker,50,,40,0,10,
Kosciusko,Clay 1,State Auditor,,L,John Schick,17,,15,0,2,
Kosciusko,Clay 1,State Treasurer,,R,Kelly Mitchell,302,,257,0,45,
Kosciusko,Clay 1,State Treasurer,,D,John C. Aguilera,52,,41,0,11,
Kosciusko,Clay 1,U.S. House,2,R,Jackie Walorski,287,,243,0,44,
Kosciusko,Clay 1,U.S. House,2,D,Mel Hall,73,,61,0,12,
Kosciusko,Clay 1,U.S. House,2,,Write in,0,,0,0,0,
Kosciusko,Clay 2,U.S. Senate,,R,Mike Braun,165,,153,0,12,
Kosciusko,Clay 2,U.S. Senate,,D,Joe Donnelly,62,,56,0,6,
Kosciusko,Clay 2,U.S. Senate,,L,Lucy M. Brenton,11,,9,0,2,
Kosciusko,Clay 2,U.S. Senate,,,Write in,0,,0,0,0,
Kosciusko,Clay 2,State Secretary,,R,Connie Lawson,174,,161,0,13,
Kosciusko,Clay 2,State Secretary,,D,Jim Harper,52,,46,0,6,
Kosciusko,Clay 2,State Secretary,,L,Mark W. Rutherford,8,,7,0,1,
Kosciusko,Clay 2,State Secretary,,,Write in,0,,0,0,0,
Kosciusko,Clay 2,State Auditor,,R,Tera Klutz,172,,162,0,10,
Kosciusko,Clay 2,State Auditor,,D,Joselyn Whitticker,56,,48,0,8,
Kosciusko,Clay 2,State Auditor,,L,John Schick,5,,4,0,1,
Kosciusko,Clay 2,State Treasurer,,R,Kelly Mitchell,176,,164,0,12,
Kosciusko,Clay 2,State Treasurer,,D,John C. Aguilera,56,,49,0,7,
Kosciusko,Clay 2,U.S. House,2,R,Jackie Walorski,165,,151,0,14,
Kosciusko,Clay 2,U.S. House,2,D,Mel Hall,67,,62,0,5,
Kosciusko,Clay 2,U.S. House,2,,Write in,0,,0,0,0,
Kosciusko,Etna,U.S. Senate,,R,Mike Braun,291,,260,0,31,
Kosciusko,Etna,U.S. Senate,,D,Joe Donnelly,80,,69,0,11,
Kosciusko,Etna,U.S. Senate,,L,Lucy M. Brenton,25,,24,0,1,
Kosciusko,Etna,U.S. Senate,,,Write in,0,,0,0,0,
Kosciusko,Etna,State Secretary,,R,Connie Lawson,313,,280,0,33,
Kosciusko,Etna,State Secretary,,D,Jim Harper,63,,54,0,9,
Kosciusko,Etna,State Secretary,,L,Mark W. Rutherford,19,,18,0,1,
Kosciusko,Etna,State Secretary,,,Write in,0,,0,0,0,
Kosciusko,Etna,State Auditor,,R,Tera Klutz,302,,270,0,32,
Kosciusko,Etna,State Auditor,,D,Joselyn Whitticker,64,,55,0,9,
Kosciusko,Etna,State Auditor,,L,John Schick,21,,19,0,2,
Kosciusko,Etna,State Treasurer,,R,Kelly Mitchell,315,,284,0,31,
Kosciusko,Etna,State Treasurer,,D,John C. Aguilera,67,,57,0,10,
Kosciusko,Etna,U.S. House,2,R,Jackie Walorski,295,,264,0,31,
Kosciusko,Etna,U.S. House,2,D,Mel Hall,96,,85,0,11,
Kosciusko,Etna,U.S. House,2,,Write in,0,,0,0,0,
Kosciusko,Franklin 1,U.S. Senate,,R,Mike Braun,138,,123,0,15,
Kosciusko,Franklin 1,U.S. Senate,,D,Joe Donnelly,34,,28,0,6,
Kosciusko,Franklin 1,U.S. Senate,,L,Lucy M. Brenton,7,,7,0,0,
