county,precinct,office,district,party,candidate,votes,early_voting,election_day,provisional,absentee,federal
Marshall,Bourbon 1,U.S. Senate,,R,Mike Braun,338,,252,0,86,
Marshall,Bourbon 1,U.S. Senate,,D,Joe Donnelly,128,,97,0,31,
Marshall,Bourbon 1,U.S. Senate,,L,Lucy M. Brenton,15,,12,0,3,
Marshall,Bourbon 1,U.S. Senate,,,Write in,0,,0,0,0,
Marshall,Bourbon 1,State Secretary,,R,Connie Lawson,374,,284,0,90,
Marshall,Bourbon 1,State Secretary,,D,Jim Harper,85,,62,0,23,
Marshall,Bourbon 1,State Secretary,,L,Mark W. Rutherford,15,,12,0,3,
Marshall,Bourbon 1,State Secretary,,,Write in,0,,0,0,0,
Marshall,Bourbon 1,State Auditor,,R,Tera Klutz,357,,269,0,88,
Marshall,Bourbon 1,State Auditor,,,Joselyn Whitticker,102,,77,0,25,
Marshall,Bourbon 1,State Auditor,,L,John Schick,12,,10,0,2,
Marshall,Bourbon 1,State Treasurer,,R,Kelly Mitchell,376,,289,0,87,
Marshall,Bourbon 1,State Treasurer,,D,John C. Aguilera,92,,67,0,25,
Marshall,Bourbon 1,U.S. House,2,R,Jackie Walorski,359,,269,0,90,
Marshall,Bourbon 1,U.S. House,2,D,Mel Hall,119,,91,0,28,
Marshall,Bourbon 1,U.S. House,2,,Write in,0,,0,0,0,
Marshall,Bourbon 1,State House,17,R,Jack Jordan,364,,278,0,86,
Marshall,Bourbon 1,State House,17,D,Michelle Livinghouse,106,,78,0,28,
Marshall,Bourbon 2,U.S. Senate,,R,Mike Braun,336,,271,0,65,
Marshall,Bourbon 2,U.S. Senate,,D,Joe Donnelly,115,,85,0,30,
Marshall,Bourbon 2,U.S. Senate,,L,Lucy M. Brenton,12,,11,0,1,
Marshall,Bourbon 2,U.S. Senate,,,Write in,0,,0,0,0,
Marshall,Bourbon 2,State Secretary,,R,Connie Lawson,358,,288,0,70,
Marshall,Bourbon 2,State Secretary,,D,Jim Harper,86,,63,0,23,
Marshall,Bourbon 2,State Secretary,,L,Mark W. Rutherford,16,,14,0,2,
Marshall,Bourbon 2,State Secretary,,,Write in,0,,0,0,0,
Marshall,Bourbon 2,State Auditor,,R,Tera Klutz,348,,282,0,66,
Marshall,Bourbon 2,State Auditor,,D,Joselyn Whitticker,97,,70,0,27,
Marshall,Bourbon 2,State Auditor,,L,John Schick,14,,12,0,2,
Marshall,Bourbon 2,State Treasurer,,R,Kelly Mitchell,373,,301,0,72,
Marshall,Bourbon 2,State Treasurer,,D,John C. Aguilera,87,,63,0,24,
Marshall,Bourbon 2,U.S. House,2,R,Jackie Walorski,335,,266,0,69,
Marshall,Bourbon 2,U.S. House,2,D,Mel Hall,124,,97,0,27,
Marshall,Bourbon 2,U.S. House,2,,Write in,1,,1,0,0,
Marshall,Bourbon 2,State House,17,R,Jack Jordan,362,,295,0,67,
Marshall,Bourbon 2,State House,17,D,Michelle Livinghouse,98,,71,0,27,
Marshall,Center 1,U.S. Senate,,R,Mike Braun,184,,115,0,69,
Marshall,Center 1,U.S. Senate,,D,Joe Donnelly,165,,107,0,58,
Marshall,Center 1,U.S. Senate,,L,Lucy M. Brenton,16,,15,0,1,
Marshall,Center 1,U.S. Senate,,,Write in,0,,0,0,0,
