county,precinct,office,district,party,candidate,votes,early_voting,election_day,provisional,absentee,federal
Delaware,Precinct 01,U.S. Senate,,R,Mike Braun,124,,93,0,31,
Delaware,Precinct 01,U.S. Senate,,D,Joe Donnelly,342,,245,0,97,
Delaware,Precinct 01,U.S. Senate,,L,Lucy M. Brenton,31,,25,0,6,
Delaware,Precinct 01,U.S. Senate,,,Write in,2,,2,0,0,
Delaware,Precinct 01,State Secretary,,R,Connie Lawson,146,,109,0,37,
Delaware,Precinct 01,State Secretary,,D,Jim Harper,313,,226,0,87,
Delaware,Precinct 01,State Secretary,,L,Mark W. Rutherford,32,,25,0,7,
Delaware,Precinct 01,State Secretary,,,Write in,4,,2,0,2,
Delaware,Precinct 01,State Auditor,,R,Tera Klutz,137,,106,0,31,
Delaware,Precinct 01,State Auditor,,D,Joselyn Whitticker,317,,223,0,94,
Delaware,Precinct 01,State Auditor,,L,John Schick,25,,17,0,8,
Delaware,Precinct 01,State Treasurer,,R,Kelly Mitchell,152,,113,0,39,
Delaware,Precinct 01,State Treasurer,,D,John C. Aguilera,326,,232,0,94,
Delaware,.,State Senate,25,R,Zaki Ali,138,,105,0,33,
Delaware,.,State Senate,25,D,Tim Lanane,340,,244,0,96,
Delaware,.,State Senate,25,L,Robert O. Jozwiak,19,,14,0,5,
Delaware,.,State Senate,25,R,No Candidate Filed,0,,0,0,0,
Delaware,.,State Senate,25,D,Sue Errington,388,,280,0,108,
Delaware,Precinct 02,U.S. Senate,,R,Mike Braun,255,,187,0,68,
Delaware,Precinct 02,U.S. Senate,,D,Joe Donnelly,253,,195,0,58,
Delaware,Precinct 02,U.S. Senate,,L,Lucy M. Brenton,17,,13,0,4,
Delaware,Precinct 02,U.S. Senate,,,Write in,0,,0,0,0,
Delaware,Precinct 02,State Secretary,,,(d) Jim Harper,0,,160,50,"I,",
Delaware,Precinct 02,State Secretary,,L,Mark W. Rutherford,16,,11,0,5,
Delaware,Precinct 02,State Secretary,,,Write-in,0,,2,0,",",
Delaware,Precinct 02,State Auditor,,R,Tera Klutz,283,,210,0,73,
Delaware,Precinct 02,State Auditor,,D,Joselyn Whitticker,218,,169,0,49,
Delaware,Precinct 02,State Auditor,,L,John Schick,17,,12,0,5,
Delaware,Precinct 02,State Auditor,,R,Kelly Mitchell,303,,228,0,75,
Delaware,Precinct 02,State Auditor,,D,John C. Aguilera,216,,163,0,53,
Delaware,1,U.S. House,6,R,Greg Pence,258,,187,0,71,
Delaware,1,U.S. House,6,D,Jeannine Lee Lake,262,,205,0,57,
Delaware,1,U.S. House,6,L,Tom Ferkinhoff,7,,7,0,0,
Delaware,1,U.S. House,6,,Write in,0,,0,0,0,
Delaware,1,State Senate,25,R,Zaki Ali,284,,208,0,76,
Delaware,1,State Senate,25,D,Tim Lanane,232,,184,0,48,
Delaware,1,State Senate,25,L,Robert O. Jozwiak,9,,4,0,5,
Delaware,1,State House,35,R,Ben W. Fisher,241,,177,0,64,
Delaware,1,State House,35,D,Melanie M. Wright,274,,212,0,62,
Delaware,Precinct 03,U.S. Senate,,R,Mike Braun,188,,151,0,37,
Delaware,Precinct 03,U.S. Senate,,D,Joe Donnelly,219,,156,0,63,
Delaware,Precinct 03,U.S. Senate,,L,Lucy M. Brenton,17,,13,0,4,
Delaware,Precinct 03,U.S. Senate,,,Write in,0,,0,0,0,
Delaware,Precinct 03,State Secretary,,R,Connie Lawson,206,,164,0,42,
Delaware,Precinct 03,State Secretary,,,(d) Jim Harper,0,,136,59,!,
Delaware,Precinct 03,State Secretary,,,(l) Mark W. Rutherford,0,,13,3,1,
Delaware,Precinct 03,State Secretary,,,Write in,3,,2,0,1,
Delaware,Precinct 03,State Auditor,,R,Tera Klutz,206,,166,0,40,
Delaware,Precinct 03,State Auditor,,D,Joselyn Whitticker,182,,127,0,55,
Delaware,Precinct 03,State Auditor,,L,John Schick,18,,14,0,4,
Delaware,Precinct 03,State Treasurer,,R,Kelly Mitchell,217,,176,0,41,
Delaware,Precinct 03,State Treasurer,,D,John C. Aguilera,187,,130,0,57,
Delaware,Precinct 03,U.S. House,6,R,Greg Pence,194,,157,0,37,
Delaware,Precinct 03,U.S. House,6,D,Jeannine Lee Lake,220,,151,0,69,
Delaware,Precinct 03,U.S. House,6,,(l) Tom Ferkinhoff,0,,8,1,',
Delaware,Precinct 03,U.S. House,6,,Write in,2,,2,0,0,
Delaware,Precinct 03,State Senate,25,R,Zaki Ali,191,,155,0,36,
Delaware,Precinct 03,State Senate,25,D,Tim Lanane,213,,148,0,65,
Delaware,Precinct 03,State Senate,25,L,Robert Q. Jozwiak,15,,13,0,2,
Delaware,Precinct 03,State House,34,R,No Candidate Filed,0,,0,0,0,
Delaware,Precinct 03,State House,34,D,Sue Errington,286,,211,0,75,
Delaware,Precinct 04,U.S. Senate,,R,Mike Braun,153,,110,0,43,
Delaware,Precinct 04,U.S. Senate,,,(d) Joe Donnelly,0,,269,73,',
Delaware,Precinct 04,U.S. Senate,,,(l) Lucy M. Brenton,0,,19,5,',
Delaware,Precinct 04,U.S. Senate,,,Write-in,0,,0,1,',
Delaware,Precinct 04,State Secretary,,R,Connie Lawson,188,,139,0,49,
Delaware,Precinct 04,State Secretary,,D,Jim Harper,303,,241,0,62,
Delaware,Precinct 04,State Secretary,,L,Mark W. Rutherford,19,,12,0,7,
Delaware,Precinct 04,State Secretary,,,Write in,8,,6,0,2,
Delaware,Precinct 04,State Auditor,,R,Tera Klutz,190,,140,0,50,
Delaware,Precinct 04,State Auditor,,D,Joselyn Whitticker,298,,235,0,63,
Delaware,Precinct 04,State Auditor,,L,John Schick,22,,16,0,6,
Delaware,Precinct 04,U.S. House,6,R,Greg Pence,156,,110,0,46,
Delaware,Precinct 04,U.S. House,6,L,Tom Ferkinhoff,19,,16,0,3,
Delaware,Precinct 04,U.S. House,6,,Write-in,0,,0,1,.,
Delaware,Precinct 04,State Senate,25,R,Zaki Ali,189,,145,0,44,
Delaware,Precinct 04,State Senate,25,D,Tim Lanane,314,,240,0,74,
Delaware,Precinct 04,State Senate,25,L,Robert Q. Jozwiak,17,,14,0,3,
Delaware,Precinct 04,State House,34,R,No Candidate Filed,0,,0,0,0,
Delaware,Precinct 04,State House,34,D,Sue Errington,405,,315,0,90,
Delaware,Precinct 05,U.S. Senate,,R,Mike Bftaun,8,,7,0,1,
Delaware,Precinct 05,U.S. Senate,,D,Joe Donnelly,2,,2,0,0,
Delaware,Precinct 05,U.S. Senate,,L,Lucy M. Brenton,0,,0,0,0,
Delaware,Precinct 05,U.S. Senate,,,Write in,0,,0,0,0,
Delaware,Precinct 05,State Secretary,,R,Connie Lawson,8,,7,0,1,
Delaware,Precinct 05,State Secretary,,D,Jim Harper,2,,2,0,0,
Delaware,Precinct 05,State Secretary,,L,Mark W. Rutherford,0,,0,0,0,
Delaware,Precinct 05,State Secretary,,,Write in,0,,0,0,0,
Delaware,Precinct 05,State Auditor,,R,Tera Klutz,7,,6,0,1,
Delaware,Precinct 05,State Auditor,,D,Joselyn Whitticker,3,,3,0,0,
Delaware,Precinct 05,State Auditor,,L,John Schick,0,,0,0,0,
Delaware,Precinct 05,State Treasurer,,R,Kelly Mitchell,8,,7,0,1,
Delaware,Precinct 05,State Treasurer,,D,John C. Aguilera,2,,2,0,0,
Delaware,Precinct 05,U.S. House,6,R,Greg Pence,7,,7,0,0,
Delaware,Precinct 05,U.S. House,6,D,Jeannine Lee Lake,3,,2,0,1,
Delaware,Precinct 05,U.S. House,6,L,Tom Ferkinhoff,0,,0,0,0,
Delaware,Precinct 05,U.S. House,6,,Write in,0,,0,0,0,
Delaware,Precinct 05,State Senate,25,R,Zaki Ali,7,,6,0,1,
Delaware,Precinct 05,State Senate,25,D,Tim Lanane,3,,3,0,0,
Delaware,Precinct 05,State Senate,25,L,Robert Q. Jozwiak,0,,0,0,0,
Delaware,Precinct 05,State House,35,R,Ben W. Fisher,6,,5,0,1,
Delaware,Precinct 05,State House,35,D,Melanie M. Wright,4,,4,0,0,
Delaware,Precinct 06,U.S. Senate,,R,Mike Braun,86,,72,0,14,
Delaware,Precinct 06,U.S. Senate,,D,Joe Donnelly,341,,286,0,55,
Delaware,Precinct 06,U.S. Senate,,L,Lucy M. Brenton,30,,28,0,2,
Delaware,Precinct 06,U.S. Senate,,,Write in,0,,0,0,0,
Delaware,Precinct 06,State Secretary,,R,Connie Lawson,103,,87,0,16,
Delaware,Precinct 06,State Secretary,,D,Jim Harper,318,,267,0,51,
Delaware,Precinct 06,State Secretary,,L,Mark W. Rutherford,27,,25,0,2,
Delaware,Precinct 06,State Secretary,,,Write in,8,,6,0,2,
Delaware,Precinct 06,State Auditor,,R,Tera Klutz,108,,93,0,15,
Delaware,Precinct 06,State Auditor,,D,Joselyn Whitticker,317,,265,0,52,
Delaware,Precinct 06,State Auditor,,L,John Schick,17,,16,0,1,
Delaware,Precinct 06,State Treasurer,,R,Kelly Mitchell,124,,105,0,19,
Delaware,Precinct 06,State Treasurer,,D,John C. Aguilera,318,,268,0,50,
Delaware,"Precinct 06,",U.S. House,6,R,Greg Pence,90,,74,0,16,
Delaware,"Precinct 06,",U.S. House,6,D,Jeannine Lee Lake,347,,293,0,54,
Delaware,"Precinct 06,",U.S. House,6,L,Tom Ferkinhoff,15,,15,0,0,
Delaware,"Precinct 06,",U.S. House,6,,Write in,1,,1,0,0,
Delaware,"Precinct 06,",U.S. House,6,R,Zaki Ali,100,,85,0,15,
Delaware,"Precinct 06,",U.S. House,6,D,Tim Lanane,335,,282,0,53,
Delaware,"Precinct 06,",U.S. House,6,L,Robert Q. Jozwiak,21,,20,0,1,
Delaware,"Precinct 06,",State House,34,R,No Candidate Filed,0,,0,0,0,
Delaware,"Precinct 06,",State House,34,D,Sue Errington,385,,327,0,58,
Delaware,Precinct 07,U.S. Senate,,R,Mike Braun,136,,111,0,25,
Delaware,Precinct 07,U.S. Senate,,D,Joe Donnelly,250,,173,0,77,
Delaware,Precinct 07,U.S. Senate,,L,Lucy M. Brenton,30,,24,0,6,
Delaware,Precinct 07,U.S. Senate,,,Write in,0,,0,0,0,
Delaware,Precinct 07,State Secretary,,R,Connie Lawson,161,,131,0,30,
Delaware,Precinct 07,State Secretary,,D,Jim Harper,227,,157,0,70,
Delaware,Precinct 07,State Secretary,,L,Mark W. Rutherford,17,,13,0,4,
Delaware,Precinct 07,State Secretary,,,Write in,2,,1,0,1,
