county,precinct,office,district,party,candidate,votes,early_voting,election_day,provisional,absentee,federal
Randolph,White River 1,U.S. Senate,,R,Mike Braun,294,,203,0,91,
Randolph,White River 1,U.S. Senate,,D,Joe Donnelly,167,,87,0,80,
Randolph,White River 1,U.S. Senate,,L,Lucy M. Brenton,31,,21,0,10,
Randolph,White River 1,U.S. Senate,,,Write in,0,,0,0,0,
Randolph,White River 1,State Secretary,,R,Connie Lawson,354,,237,0,117,
Randolph,White River 1,State Secretary,,D,Jim Harper,118,,61,0,57,
Randolph,White River 1,State Secretary,,L,Mark W. Rutherford,12,,9,0,3,
Randolph,White River 1,State Secretary,,,Write in,0,,0,0,0,
Randolph,White River 1,State Auditor,,R,Tera Klutz,330,,219,0,111,
Randolph,White River 1,State Auditor,,D,Joselyn Whitticker,119,,62,0,57,
Randolph,White River 1,State Auditor,,L,John Schick,13,,11,0,2,
Randolph,White River 1,State Treasurer,,R,Kelly Mitchell,350,,234,0,116,
Randolph,White River 1,State Treasurer,,D,John C. Aguilera,115,,59,0,56,
Randolph,White River 1,U.S. House,6,R,Greg Pence,326,,221,0,105,
Randolph,White River 1,U.S. House,6,D,Jeannine Lee Lake,144,,76,0,68,
Randolph,White River 1,U.S. House,6,L,Tom Ferkinhoff,19,,13,0,6,
Randolph,White River 1,U.S. House,6,,Write in,0,,0,0,0,
Randolph,White River 1,State Senate,27,R,Jeff Raatz,369,,248,0,121,
Randolph,White River 1,State Senate,27,D,Jerome (jake) Hoog,114,,58,0,56,
Randolph,White River 1,State House,33,R,John (jd) Prescott,290,,195,0,95,
Randolph,White River 1,State House,33,D,Shon Byrum,156,,90,0,66,
Randolph,White River 1,State House,33,L,Dale Arnett,43,,26,0,17,
Randolph,White River 2,U.S. Senate,,R,Mike Braun,305,,233,0,72,
Randolph,White River 2,U.S. Senate,,D,Joe Donnelly,134,,99,0,35,
Randolph,White River 2,U.S. Senate,,L,Lucy M. Brenton,33,,29,0,4,
Randolph,White River 2,U.S. Senate,,,Write in,0,,0,0,0,
Randolph,White River 2,State Secretary,,R,Connie Lawson,356,,269,0,87,
Randolph,White River 2,State Secretary,,D,Jim Harper,101,,75,0,26,
Randolph,White River 2,State Secretary,,L,Mark W. Rutherford,16,,15,0,1,
Randolph,White River 2,State Secretary,,,Write in,0,,0,0,0,
Randolph,White River 2,State Auditor,,R,Tera Klutz,329,,245,0,84,
Randolph,White River 2,State Auditor,,D,Joselyn Whitticker,117,,89,0,28,
Randolph,White River 2,State Auditor,,L,John Schick,17,,17,0,0,
Randolph,White River 2,State Treasurer,,R,Kelly Mitchell,359,,275,0,84,
Randolph,White River 2,State Treasurer,,D,John C. Aguilera,102,,76,0,26,
Randolph,White River 2,U.S. House,6,R,Greg Pence,328,,254,0,74,
Randolph,White River 2,U.S. House,6,D,Jeannine Lee Lake,113,,82,0,31,
Randolph,White River 2,U.S. House,6,L,Tom Ferkinhoff,36,,28,0,8,
Randolph,White River 2,U.S. House,6,,Write in,0,,0,0,0,
Randolph,White River 2,State Senate,27,R,Jeff Raatz,373,,289,0,84,
Randolph,White River 2,State Senate,27,D,Jerome (jake) Hoog,101,,74,0,27,
Randolph,White River 2,State House,33,R,John (jd) Prescott,253,,188,0,65,
Randolph,White River 2,State House,33,D,Shon Byrum,182,,143,0,39,
Randolph,White River 2,State House,33,L,Dale Arnett,39,,32,0,7,
Randolph,Winchester 1 2,U.S. Senate,,R,Mike Braun,267,,175,0,92,
Randolph,Winchester 1 2,U.S. Senate,,D,Joe Donnelly,179,,112,0,67,
Randolph,Winchester 1 2,U.S. Senate,,L,Lucy M. Brenton,43,,33,0,10,
Randolph,Winchester 1 2,U.S. Senate,,,Write in,0,,0,0,0,
Randolph,Winchester 1 2,State Secretary,,R,Connie Lawson,312,,208,0,104,
Randolph,Winchester 1 2,State Secretary,,D,Jim Harper,143,,86,0,57,
Randolph,Winchester 1 2,State Secretary,,L,Mark W. Rutherford,24,,19,0,5,
Randolph,Winchester 1 2,State Secretary,,,Write in,1,,1,0,0,
Randolph,Winchester 1 2,State Auditor,,R,Tera Klutz,293,,198,0,95,
Randolph,Winchester 1 2,State Auditor,,D,Joselyn Whitticker,152,,92,0,60,
Randolph,Winchester 1 2,State Auditor,,L,John Schick,27,,20,0,7,
Randolph,Winchester 1 2,State Treasurer,,R,Kelly Mitchell,322,,220,0,102,
Randolph,Winchester 1 2,State Treasurer,,D,John C. Aguilera,146,,86,0,60,
Randolph,Winchester 1 2,U.S. House,6,R,Greg Pence,292,,193,0,99,
Randolph,Winchester 1 2,U.S. House,6,D,Jeannine Lee Lake,151,,94,0,57,
Randolph,Winchester 1 2,U.S. House,6,L,Tom Ferkinhoff,44,,34,0,10,
Randolph,Winchester 1 2,U.S. House,6,,Write in,0,,0,0,0,
Randolph,Winchester 1 2,State Senate,27,R,Jeff Raatz,326,,222,0,104,
Randolph,Winchester 1 2,State Senate,27,D,Jerome (jake) Hoog,153,,92,0,61,
Randolph,Winchester 1 2,State House,33,R,John (jd) Prescott,237,,157,0,80,
Randolph,Winchester 1 2,State House,33,D,Shon Byrum,193,,126,0,67,
Randolph,Winchester 1 2,State House,33,L,Dale Arnett,62,,40,0,22,
Randolph,Winchester 3,U.S. Senate,,R,Mike Braun,246,,141,0,105,
Randolph,Winchester 3,U.S. Senate,,D,Joe Donnelly,176,,95,0,81,
Randolph,Winchester 3,U.S. Senate,,L,Lucy M. Brenton,27,,17,0,10,
Randolph,Winchester 3,U.S. Senate,,,Write in,0,,0,0,0,
Randolph,Winchester 3,State Secretary,,R,Connie Lawson,282,,165,0,117,
Randolph,Winchester 3,State Secretary,,D,Jim Harper,137,,75,0,62,
Randolph,Winchester 3,State Secretary,,L,Mark W. Rutherford,22,,12,0,10,
Randolph,Winchester 3,State Secretary,,,Write in,0,,0,0,0,
Randolph,Winchester 3,State Auditor,,R,Tera Klutz,270,,158,0,112,
Randolph,Winchester 3,State Auditor,,D,Joselyn Whitticker,141,,73,0,68,
Randolph,Winchester 3,State Auditor,,L,John Schick,21,,16,0,5,
Randolph,Winchester 3,State Treasurer,,R,Kelly Mitchell,292,,172,0,120,
Randolph,Winchester 3,State Treasurer,,D,John C. Aguilera,140,,75,0,65,
Randolph,Winchester 3,U.S. House,6,R,Greg Pence,252,,150,0,102,
Randolph,Winchester 3,U.S. House,6,D,Jeannine Lee Lake,153,,80,0,73,
Randolph,Winchester 3,U.S. House,6,L,Tom Ferkinhoff,38,,23,0,15,
Randolph,Winchester 3,U.S. House,6,,Write in,0,,0,0,0,
Randolph,Winchester 3,State Senate,27,R,Jeff Raatz,305,,180,0,125,
Randolph,Winchester 3,State Senate,27,D,Jerome (jake) Hoog,138,,72,0,66,
Randolph,Winchester 3,State House,33,R,John (jd) Prescott,219,,123,0,96,
Randolph,Winchester 3,State House,33,D,Shon Byrum,184,,101,0,83,
Randolph,Winchester 3,State House,33,L,Dale Arnett,42,,30,0,12,
Randolph,Winchester 4,U.S. Senate,,R,Mike Braun,234,,153,0,81,
Randolph,Winchester 4,U.S. Senate,,D,Joe Donnelly,177,,103,0,74,
Randolph,Winchester 4,U.S. Senate,,L,Lucy M. Brenton,46,,35,0,11,
Randolph,Winchester 4,U.S. Senate,,,Write in,0,,0,0,0,
Randolph,Winchester 4,State Secretary,,R,Connie Lawson,295,,187,0,108,
Randolph,Winchester 4,State Secretary,,D,Jim Harper,122,,75,0,47,
Randolph,Winchester 4,State Secretary,,L,Mark W. Rutherford,30,,25,0,5,
Randolph,Winchester 4,State Secretary,,,Write in,0,,0,0,0,
Randolph,Winchester 4,State Auditor,,R,Tera Klutz,269,,176,0,93,
Randolph,Winchester 4,State Auditor,,D,Joselyn Whitticker,142,,84,0,58,
Randolph,Winchester 4,State Auditor,,L,John Schick,24,,20,0,4,
Randolph,Winchester 4,State Treasurer,,R,Kelly Mitchell,298,,191,0,107,
Randolph,Winchester 4,State Treasurer,,D,John C. Aguilera,134,,86,0,48,
Randolph,Winchester 4,U.S. House,6,R,Greg Pence,278,,178,0,100,
Randolph,Winchester 4,U.S. House,6,D,Jeannine Lee Lake,141,,87,0,54,
Randolph,Winchester 4,U.S. House,6,L,Tom Ferkinhoff,35,,26,0,9,
Randolph,Winchester 4,U.S. House,6,,Write in,0,,0,0,0,
Randolph,Winchester 4,State Senate,27,R,Jeff Raatz,308,,200,0,108,
Randolph,Winchester 4,State Senate,27,D,Jerome (jake) Hoog,142,,89,0,53,
Randolph,Winchester 4,State House,33,R,John (jd) Prescott,218,,136,0,82,
Randolph,Winchester 4,State House,33,D,Shon Byrum,184,,111,0,73,
Randolph,Winchester 4,State House,33,L,Dale Arnett,55,,45,0,10,
Randolph,Union City 1,U.S. Senate,,R,Mike Braun,212,,164,0,48,
Randolph,Union City 1,U.S. Senate,,D,Joe Donnelly,153,,99,0,54,
Randolph,Union City 1,U.S. Senate,,L,Lucy M. Brenton,20,,12,0,8,
Randolph,Union City 1,U.S. Senate,,,Write in,0,,0,0,0,
Randolph,Union City 1,State Secretary,,R,Connie Lawson,231,,171,0,60,
Randolph,Union City 1,State Secretary,,D,Jim Harper,136,,88,0,48,
Randolph,Union City 1,State Secretary,,L,Mark W. Rutherford,15,,13,0,2,
