county,precinct,office,district,party,candidate,votes,early_voting,election_day,provisional,absentee,federal
Clinton,Precinct 1,U.S. Senate,,R,Mike Braun,94,,74,0,20,
Clinton,Precinct 1,U.S. Senate,,D,Joe Donnelly,53,,41,0,12,
Clinton,Precinct 1,U.S. Senate,,L,Lucy M. Brenton,11,,10,0,1,
Clinton,Precinct 1,U.S. Senate,,,Write in,0,,0,0,0,
Clinton,Precinct 1,State Secretary,,D,Jim Harper,41,,32,0,9,
Clinton,Precinct 1,State Secretary,,L,Mark W. Rutherford,2,,2,0,0,
Clinton,Precinct 1,State Secretary,,,Write in,0,,0,0,0,
Clinton,Precinct 1,State Auditor,,R,Tera Klutz,109,,84,0,25,
Clinton,Precinct 1,State Auditor,,D,Joselyn Whitticker,45,,35,0,10,
Clinton,Precinct 1,State Auditor,,L,John Schick,3,,3,0,0,
Clinton,Precinct 1,State Treasurer,,R,Kelly Mitchell,116,,90,0,26,
Clinton,Precinct 1,State Treasurer,,D,John C. Aguilera,39,,30,0,9,
Clinton,Precinct 1,U.S. House,4,R,Jim Baird,109,,83,0,26,
Clinton,Precinct 1,U.S. House,4,D,Tobi Beck,46,,37,0,9,
Clinton,Precinct 1,U.S. House,4,,Write in,0,,0,0,0,
Clinton,Precinct 1,State House,38,R,Heath R. Vannatter,107,,83,0,24,
Clinton,Precinct 1,State House,38,D,Thomas (tom) Hedde,46,,36,0,10,
Clinton,Precinct 2,U.S. Senate,,R,Mike Braun,56,,87,0,19,
Clinton,Precinct 2,U.S. Senate,,D,Joe Donnelly,28,,9,0,9,
Clinton,Precinct 2,U.S. Senate,,L,Lucy M. Brenton,10,,5,0,5,
Clinton,Precinct 2,U.S. Senate,,,Write in,0,,0,0,0,
Clinton,Precinct 2,State Secretary,,R,Connie Lawson,65,,40,0,25,
Clinton,Precinct 2,State Secretary,,,(d) Jim Harper,23,,14,0,9,
Clinton,Precinct 2,State Secretary,,L,Mark W. Rutherford,6,,6,0,0,
Clinton,Precinct 2,State Secretary,,,Write in,0,,0,0,0,
Clinton,Precinct 2,State Auditor,,R,Tera Klutz,60,,19,0,21,
