county,precinct,office,district,party,candidate,votes,early_voting,election_day,provisional,absentee,federal
Rush,-n R _,U.S. Senate,,R,Mike Braun,341,,253,0,88,
Rush,-n R _,U.S. Senate,,D,Joe Donnelly,239,,161,0,78,
Rush,-n R _,U.S. Senate,,L,Lucy M Brenton,50,,38,0,12,
Rush,-n R _,U.S. Senate,,,Write in,0,,0,0,0,
Rush,-n R _,State Secretary,,R,Connie Lawson,394,,289,0,105,
Rush,-n R _,State Secretary,,D,Jim Harper,184,,121,0,63,
Rush,-n R _,State Secretary,,L,Mark W Rutherford,34,,29,0,5,
Rush,-n R _,State Secretary,,,Write in,1,,0,0,1,
Rush,-n R _,State Auditor,,R,Tern Klutz,374,,269,0,105,
Rush,-n R _,State Auditor,,D,Joselyn Whitticker,206,,140,0,66,
Rush,-n R _,State Auditor,,L,John Schick,31,,26,0,5,
Rush,Rushville 1,State Treasurer,,R,Kelly Mitchell,405,,295,0,110,
Rush,Rushville 1,State Treasurer,,D,John C Aguilera,199,,133,0,66,
Rush,Rushville 1,U.S. House,6,R,Greg Pence,372,,275,0,97,
Rush,Rushville 1,U.S. House,6,,Jeannine Lee Lake,229,,150,0,79,
Rush,Rushville 1,U.S. House,6,L,Tom Ferkinhoff,22,,19,0,3,
Rush,Rushville 1,U.S. House,6,,Write in,0,,0,0,0,
Rush,Rushville 1,State House,54,R,Thomas E (tom) Saunders,485,,358,0,127,
Rush,Rushville 2,State Secretary,,R,Connie Lawson,326,,209,0,117,
Rush,Rushville 2,State Secretary,,D,Jim Harper,142,,94,0,48,
Rush,Rushville 2,State Secretary,,L,Mark W Rutherford,23,,17,0,6,
Rush,Rushville 2,State Secretary,,,Write in,0,,0,0,0,
Rush,Rushville 2,State Auditor,,R,Tera Klutz,310,,197,0,113,
Rush,Rushville 2,State Auditor,,D,Joselyn Whitticker,150,,102,0,48,
Rush,Rushville 2,State Auditor,,L,John Schick,22,,17,0,5,
Rush,Rushville 2,State Treasurer,,R,Kelly Mitchell,337,,217,0,120,
Rush,Rushville 2,State Treasurer,,D,John C Aguilera,142,,97,0,45,
Rush,Rushville 2,U.S. House,6,R,Greg Pence,311,,196,0,115,
