county,precinct,office,district,party,candidate,votes,early_voting,election_day,provisional,absentee,federal
Morgan,Adams,U.S. Senate,,R,Mike Braun,286,,198,0,88,
Morgan,Adams,U.S. Senate,,D,Joe Donnelly,115,,84,0,31,
Morgan,Adams,U.S. Senate,,L,Lucy M. Brenton,27,,17,0,10,
Morgan,Adams,U.S. Senate,,,Write in,0,,0,0,0,
Morgan,Adams,State Secretary,,R,Connie Lawson,300,,211,0,89,
Morgan,Adams,State Secretary,,D,Jim Harper,96,,65,0,31,
Morgan,Adams,State Secretary,,L,Mark W. Rutherford,23,,15,0,8,
Morgan,Adams,State Secretary,,,Write in,0,,0,0,0,
Morgan,Adams,State Auditor,,R,Tera Klutz,287,,198,0,89,
Morgan,Adams,State Auditor,,D,Joselyn Whitticker,104,,74,0,30,
Morgan,Adams,State Auditor,,L,John Schick,19,,14,0,5,
Morgan,Adams,State Treasurer,,R,Kelly Mitchell,300,,209,0,91,
Morgan,Adams,State Treasurer,,D,John C. Aguilera,107,,74,0,33,
Morgan,Adams,U.S. House,4,R,Jim Baird,303,,213,0,90,
Morgan,Adams,U.S. House,4,D,Tobi Beck,115,,80,0,35,
Morgan,Adams,U.S. House,4,,Write in,0,,0,0,0,
Morgan,Adams,State House,44,R,Beau Baird,283,,199,0,84,
Morgan,Adams,State House,44,D,Kimberly Ann Fidler,130,,92,0,38,
Morgan,Ashland 1,U.S. Senate,,R,Mike Braun,254,,156,0,98,
Morgan,Ashland 1,U.S. Senate,,D,Joe Donnelly,88,,49,0,39,
Morgan,Ashland 1,U.S. Senate,,L,Lucy M. Brenton,17,,13,0,4,
Morgan,Ashland 1,U.S. Senate,,,Write in,0,,0,0,0,
Morgan,Ashland 1,State Secretary,,R,Connie Lawson,270,,166,0,104,
Morgan,Ashland 1,State Secretary,,D,Jim Harper,72,,36,0,36,
Morgan,Ashland 1,State Secretary,,L,Mark W. Rutherford,11,,10,0,1,
Morgan,Ashland 1,State Secretary,,,Write in,0,,0,0,0,
Morgan,Ashland 1,State Auditor,,R,Tera Klutz,261,,160,0,101,
Morgan,Ashland 1,State Auditor,,D,Joselyn Whitticker,78,,43,0,35,
Morgan,Ashland 1,State Auditor,,L,John Schick,13,,10,0,3,
Morgan,Ashland 1,State Treasurer,,R,Kelly Mitchell,281,,176,0,105,
Morgan,Ashland 1,State Treasurer,,D,John C. Aguilera,71,,37,0,34,
Morgan,Ashland 1,U.S. House,4,R,Jim Baird,264,,165,0,99,
Morgan,Ashland 1,U.S. House,4,D,Tobi Beck,86,,47,0,39,
Morgan,Ashland 1,U.S. House,4,,Write in,0,,0,0,0,
Morgan,Ashland 1,State House,44,R,Beau Baird,260,,161,0,99,
Morgan,Ashland 1,State House,44,D,Kimberly Ann Fidler,93,,53,0,40,
Morgan,Ashland 2,U.S. Senate,,R,Mike Braun,204,,143,0,61,
Morgan,Ashland 2,U.S. Senate,,D,Joe Donnelly,39,,20,0,19,
Morgan,Ashland 2,U.S. Senate,,L,Lucy M. Brenton,16,,16,0,0,
Morgan,Ashland 2,U.S. Senate,,,Write in,0,,0,0,0,
Morgan,Ashland 2,State Secretary,,R,Connie Lawson,213,,149,0,64,
Morgan,Ashland 2,State Secretary,,D,Jim Harper,32,,19,0,13,
Morgan,Ashland 2,State Secretary,,L,Mark W. Rutherford,11,,9,0,2,
Morgan,Ashland 2,State Secretary,,,Write in,0,,0,0,0,
Morgan,Ashland 2,State Auditor,,R,Tera Klutz,212,,148,0,64,
Morgan,Ashland 2,State Auditor,,D,Joselyn Whitticker,32,,18,0,14,
Morgan,Ashland 2,State Auditor,,L,John Schick,13,,11,0,2,
Morgan,Ashland 2,State Treasurer,,R,Kelly Mitchell,217,,152,0,65,
Morgan,Ashland 2,State Treasurer,,D,John C. Aguilera,37,,22,0,15,
Morgan,Ashland 2,U.S. House,9,R,Trey Hollingsworth,215,,152,0,63,
Morgan,Ashland 2,U.S. House,9,D,Liz Watson,45,,28,0,17,
Morgan,Ashland 2,U.S. House,9,,Write in,0,,0,0,0,
Morgan,Ashland 2,State House,44,R,Beau Baird,212,,147,0,65,
Morgan,Ashland 2,State House,44,D,Kimberly Ann Fidler,45,,30,0,15,
Morgan,Baker,U.S. Senate,,R,Mike Braun,220,,135,0,85,
Morgan,Baker,U.S. Senate,,D,Joe Donnelly,44,,17,0,27,
Morgan,Baker,U.S. Senate,,L,Lucy M. Brenton,19,,15,0,4,
Morgan,Baker,U.S. Senate,,,Write in,1,,0,0,1,
Morgan,Baker,State Secretary,,R,Connie Lawson,237,,147,0,90,
Morgan,Baker,State Secretary,,D,Jim Harper,33,,10,0,23,
Morgan,Baker,State Secretary,,L,Mark W. Rutherford,8,,7,0,1,
Morgan,Baker,State Secretary,,,Write in,0,,0,0,0,
Morgan,Baker,State Auditor,,R,Tera Klutz,229,,144,0,85,
Morgan,Baker,State Auditor,,D,Joselyn Whitticker,39,,13,0,26,
Morgan,Baker,State Auditor,,L,John Schick,10,,8,0,2,
Morgan,Baker,State Treasurer,,R,Kelly Mitchell,243,,152,0,91,
Morgan,Baker,State Treasurer,,D,John C. Aguilera,35,,13,0,22,
Morgan,Baker,U.S. House,9,R,Trey Hollingsworth,227,,139,0,88,
Morgan,Baker,U.S. House,9,D,Liz Watson,58,,26,0,32,
Morgan,Baker,U.S. House,9,,Write in,1,,1,0,0,
Morgan,Baker,State House,60,R,Peggy Mayfield,242,,152,0,90,
Morgan,Baker,State House,60,D,Penny Githens,46,,17,0,29,
Morgan,Brown 1,U.S. Senate,,R,Mike Braun,355,,212,0,143,
Morgan,Brown 1,U.S. Senate,,D,Joe Donnelly,166,,81,0,85,
Morgan,Brown 1,U.S. Senate,,L,Lucy M. Brenton,36,,21,0,15,
Morgan,Brown 1,U.S. Senate,,,Write in,0,,0,0,0,
Morgan,Brown 1,State Secretary,,R,Connie Lawson,392,,233,0,159,
Morgan,Brown 1,State Secretary,,D,Jim Harper,132,,60,0,72,
Morgan,Brown 1,State Secretary,,L,Mark W. Rutherford,31,,18,0,13,
Morgan,Brown 1,State Secretary,,,Write in,0,,0,0,0,
Morgan,Brown 1,State Auditor,,R,Tera Klutz,379,,228,0,151,
Morgan,Brown 1,State Auditor,,D,Joselyn Whitticker,138,,59,0,79,
Morgan,Brown 1,State Auditor,,L,John Schick,32,,19,0,13,
Morgan,Brown 1,State Treasurer,,R,Kelly Mitchell,408,,242,0,166,
Morgan,Brown 1,State Treasurer,,D,John C. Aguilera,143,,67,0,76,
Morgan,Brown 1,U.S. House,4,R,Jim Baird,396,,237,0,159,
Morgan,Brown 1,U.S. House,4,D,Tobi Beck,152,,69,0,83,
Morgan,Brown 1,U.S. House,4,,Write in,1,,1,0,0,
Morgan,Brown 1,State House,60,R,Peggy Mayfield,390,,231,0,159,
Morgan,Brown 1,State House,60,D,Penny Githens,164,,81,0,83,
Morgan,Brown 2,U.S. Senate,,R,Mike Braun,176,,90,0,86,
Morgan,Brown 2,U.S. Senate,,D,Joe Donnelly,73,,32,0,41,
Morgan,Brown 2,U.S. Senate,,L,Lucy M. Brenton,26,,14,0,12,
Morgan,Brown 2,U.S. Senate,,,Write in,0,,0,0,0,
Morgan,Brown 2,State Secretary,,R,Connie Lawson,187,,97,0,90,
Morgan,Brown 2,State Secretary,,D,Jim Harper,53,,21,0,32,
Morgan,Brown 2,State Secretary,,L,Mark W. Rutherford,30,,16,0,14,
Morgan,Brown 2,State Secretary,,,Write in,0,,0,0,0,
Morgan,Brown 2,State Auditor,,R,Tera Klutz,190,,96,0,94,
Morgan,Brown 2,State Auditor,,D,Joselyn Whitticker,62,,29,0,33,
Morgan,Brown 2,State Auditor,,L,John Schick,16,,9,0,7,
Morgan,Brown 2,State Treasurer,,R,Kelly Mitchell,206,,106,0,100,
Morgan,Brown 2,State Treasurer,,D,John C. Aguilera,60,,26,0,34,
Morgan,Brown 2,U.S. House,4,R,Jim Baird,203,,105,0,98,
Morgan,Brown 2,U.S. House,4,D,Tobi Beck,64,,29,0,35,
Morgan,Brown 2,U.S. House,4,,Write in,0,,0,0,0,
Morgan,Brown 2,State House,60,R,Peggy Mayfield,201,,100,0,101,
Morgan,Brown 2,State House,60,D,Penny Githens,73,,36,0,37,
Morgan,Brown 3,U.S. Senate,,R,Mike Braun,267,,125,0,142,
Morgan,Brown 3,U.S. Senate,,D,Joe Donnelly,96,,46,0,50,
Morgan,Brown 3,U.S. Senate,,L,Lucy M. Brenton,20,,9,0,11,
Morgan,Brown 3,U.S. Senate,,,Write in,0,,0,0,0,
Morgan,Brown 3,State Secretary,,R,Connie Lawson,289,,135,0,154,
Morgan,Brown 3,State Secretary,,D,Jim Harper,72,,33,0,39,
Morgan,Brown 3,State Secretary,,L,Mark W. Rutherford,16,,10,0,6,
Morgan,Brown 3,State Secretary,,,Write in,0,,0,0,0,
Morgan,Brown 3,State Auditor,,R,Tera Klutz,278,,129,0,149,
Morgan,Brown 3,State Auditor,,D,Joselyn Whitticker,76,,37,0,39,
Morgan,Brown 3,State Auditor,,L,John Schick,21,,11,0,10,
Morgan,Brown 3,State Treasurer,,R,Kelly Mitchell,294,,140,0,154,
Morgan,Brown 3,State Treasurer,,D,John C. Aguilera,78,,35,0,43,
Morgan,Brown 3,U.S. House,4,R,Jim Baird,296,,140,0,156,
Morgan,Brown 3,U.S. House,4,D,Tobi Beck,82,,38,0,44,
Morgan,Brown 3,U.S. House,4,,Write in,0,,0,0,0,
Morgan,Brown 3,State House,60,R,Peggy Mayfield,298,,143,0,155,
Morgan,Brown 3,State House,60,D,Penny Githens,81,,37,0,44,
Morgan,Brown 4,U.S. Senate,,R,Mike Braun,215,,124,0,91,
Morgan,Brown 4,U.S. Senate,,D,Joe Donnelly,114,,67,0,47,
Morgan,Brown 4,U.S. Senate,,L,Lucy M. Brenton,20,,15,0,5,
Morgan,Brown 4,U.S. Senate,,,Write in,0,,0,0,0,
Morgan,Brown 4,State Secretary,,R,Connie Lawson,225,,128,0,97,
Morgan,Brown 4,State Secretary,,D,Jim Harper,100,,56,0,44,
Morgan,Brown 4,State Secretary,,L,Mark W. Rutherford,18,,16,0,2,
Morgan,Brown 4,State Secretary,,,Write in,0,,0,0,0,
Morgan,Brown 4,State Auditor,,R,Tera Klutz,219,,125,0,94,
Morgan,Brown 4,State Auditor,,D,Joselyn Whitticker,103,,58,0,45,
Morgan,Brown 4,State Auditor,,L,John Schick,15,,14,0,1,
Morgan,Brown 4,State Treasurer,,R,Kelly Mitchell,236,,137,0,99,
Morgan,Brown 4,State Treasurer,,D,John C. Aguilera,103,,59,0,44,
Morgan,Brown 4,U.S. House,4,R,Jim Baird,235,,140,0,95,
Morgan,Brown 4,U.S. House,4,D,Tobi Beck,106,,59,0,47,
Morgan,Brown 4,U.S. House,4,,Write in,0,,0,0,0,
Morgan,Brown 4,State House,60,R,Peggy Mayfield,230,,136,0,94,
Morgan,Brown 4,State House,60,D,Penny Githens,112,,65,0,47,
Morgan,Brown 5,U.S. Senate,,R,Mike Braun,414,,158,0,256,
Morgan,Brown 5,U.S. Senate,,D,Joe Donnelly,147,,62,0,85,
