county,office,district,candidate,party,votes
Adams,U.S. House,3,Jay Rigdon,Democratic,0
Adams,U.S. House,3,Paul Helmke,Republican,0
Adams,U.S. House,3,William R. Larsen,Republican,0
Adams,U.S. House,3,Mark E. Souder,Republican,0
Adams,State Senator,19,David C. Ford,Republican,1722
Adams,State House,79,Michael A. Ripley,Republican,2240
Adams,Judge Of The Superior Court,Adams County,James A. Heimann,Democratic,1561
Adams,Judge Of The Superior Court,Adams County,Thomas Wade Sheets,Democratic,1091
Adams,Judge Of The Superior Court,Adams County,Patrick R. Miller,Republican,2259
Adams,Prosecuting Attorney,Adams 26Th Circuit,Christopher E. Harvey,Democratic,2088
Allen,U.S. House,3,Jay Rigdon,Democratic,3687
Allen,U.S. House,3,Paul Helmke,Republican,16859
Allen,U.S. House,3,William R. Larsen,Republican,926
Allen,U.S. House,3,Mark E. Souder,Republican,23848
Allen,State Senator,14,Charles Bud Meeks,Republican,8383
Allen,State Senator,14,David Christopher Roach,Republican,546
Allen,State Senator,14,Thomas J. Wyss,Republican,10494
Allen,State House,50,Daniel J. (Dan) Leonard,Republican,0
Allen,State House,50,Bill Overdeer,Republican,0
Allen,State House,50,Randy Plew,Republican,0
Allen,State House,50,David Dan Welker,Republican,0
Allen,State House,50,Les Alligood,Republican,0
Allen,State House,50,Trisha Gensic,Republican,0
Allen,State House,50,Marlin A. Stutzman,Republican,0
Allen,State House,50,Kevin Howell,Republican,2579
Allen,State House,50,Jeffrey K. Espich,Republican,4858
Allen,State House,50,Mark Wehrle,Republican,2774
Allen,Judge Of The Circuit Court,Allen 38Th,Thomas J. Felts,Republican,25939
Allen,Prosecuting Attorney,Allen 38Th,Mike Loomis,Republican,13767
Allen,Prosecuting Attorney,Allen 38Th,Nikos (Nick) Nakos,Republican,3855
Allen,Prosecuting Attorney,Allen 38Th,Karen Richards,Republican,23760
Bartholomew,U.S. House,6,Melina (Mel) Fox,Democratic,1184
Bartholomew,U.S. House,6,Mike Pence,Republican,3807
Bartholomew,State Senator,41,Robert D. Garton,Republican,5942
Bartholomew,State House,57,John R. Wheeler,Democratic,717
Bartholomew,State House,57,Jay B. Carlin,Republican,864
Bartholomew,State House,57,Roland Stine,Republican,726
Bartholomew,State House,57,Charlie Bourne,Republican,336
Bartholomew,State House,57,David Yount,Republican,3303
Bartholomew,State House,57,Ben Newell,Republican,0
Bartholomew,Judge Of The Superior Court,"Bartholomew County, No. 2",Kathleen (Kitty) Tighe Coriden,Democratic,2256
Bartholomew,Judge Of The Superior Court,"Bartholomew County, No. 2",Roderick D. Mcgillivray,Republican,5120
Bartholomew,Prosecuting Attorney,Bartholomew 9Th Circuit,Joseph R. Koenig,Democratic,2492
Bartholomew,Prosecuting Attorney,Bartholomew 9Th Circuit,William M. Nash,Republican,5369
Benton,U.S. House,4,Tim Baynard,Republican,0
Benton,U.S. House,4,Steve Buyer,Republican,0
Benton,U.S. House,4,Thomas J. Herr,Republican,0
Benton,U.S. House,4,Brian Kerns,Republican,0
Benton,U.S. House,4,Bob Smith,Republican,0
Benton,U.S. House,4,R. Michael Young,Republican,0
Benton,State Senator,6,Sue Landske,Republican,637
Benton,State House,13,Chester F. Dobis,Democratic,0
Benton,State House,13,Anthony S. Azcona,Republican,0
Benton,Judge Of The Circuit Court,Benton 76Th Circuit,Rex Kepner,Republican,718
Benton,Prosecuting Attorney,Benton 76Th Circuit,Jud Barce,Republican,667
Blackford,U.S. House,3,Jay Rigdon,Democratic,0
Blackford,U.S. House,3,Paul Helmke,Republican,0
Blackford,U.S. House,3,William R. Larsen,Republican,0
Blackford,U.S. House,3,Mark E. Souder,Republican,0
Blackford,U.S. House,3,Katherine Fox Carr,Republican,0
Blackford,U.S. House,3,Darin Patrick Griesey,Republican,0
Blackford,U.S. House,3,Jerry Hall,Republican,0
Blackford,U.S. House,3,Dan Burton,Republican,0
Blackford,U.S. House,3,George Thomas Holland,Republican,0
Blackford,State Senator,19,David C. Ford,Republican,872
Blackford,State House,31,S. Gopal (Pal) Raju,Democratic,570
Blackford,State House,31,Dean A. Young,Republican,843
Blackford,State House,31,Richard W. Thornburg,Republican,0
Blackford,Prosecuting Attorney,Blackford 71St Circuit,Kevin N. Basey,Republican,792
Boone,U.S. House,4,Tim Baynard,Republican,157
Boone,U.S. House,4,Steve Buyer,Republican,4372
Boone,U.S. House,4,Thomas J. Herr,Republican,282
Boone,U.S. House,4,Brian Kerns,Republican,1986
Boone,U.S. House,4,Bob Smith,Republican,129
Boone,U.S. House,4,R. Michael Young,Republican,319
Boone,U.S. House,4,Katherine Fox Carr,Republican,0
Boone,U.S. House,4,Darin Patrick Griesey,Republican,0
Boone,U.S. House,4,Jerry Hall,Republican,0
Boone,U.S. House,4,Dan Burton,Republican,0
Boone,U.S. House,4,George Thomas Holland,Republican,0
Boone,State Senator,23,Joseph W. Harrison,Republican,3423
Boone,State House,24,Richard W. (Rich) Mcclain,Republican,0
Boone,Judge Of The Superior Court,"Boone County, No. 1",Matt Kincaid,Republican,4540
Boone,Judge Of The Superior Court,"Boone County, No. 1",Paul S. Petticrew,Republican,2958
Boone,Judge Of The Superior Court,"Boone County, No. 1",Eileen Sims,Republican,2801
Boone,Prosecuting Attorney,Boone 20Th Circuit,John B. Buchanan,Republican,5897
Brown,U.S. House,9,Baron P. Hill,Democratic,1314
Brown,U.S. House,9,Jeff Ellington,Republican,339
Brown,U.S. House,9,David Fowler,Republican,154
Brown,U.S. House,9,Chris Redmon,Republican,583
Brown,U.S. House,9,Mike Sodrel,Republican,524
Brown,State House,65,David Rhum,Democratic,1071
Brown,State House,65,R. Dale Cassiday,Republican,766
Brown,State House,65,Darin Kinser,Republican,84
Brown,State House,65,Eric Allan Koch,Republican,513
Brown,State House,65,Michael W. Patton,Republican,135
Brown,State House,65,H. Jay Walton,Republican,71
Brown,Prosecuting Attorney,Brown 88Th Circuit,Jim Oliver,Democratic,1208
Brown,Prosecuting Attorney,Brown 88Th Circuit,James T. Roberts,Republican,1398
Carroll,U.S. House,4,Tim Baynard,Republican,0
Carroll,U.S. House,4,Steve Buyer,Republican,0
Carroll,U.S. House,4,Thomas J. Herr,Republican,0
Carroll,U.S. House,4,Brian Kerns,Republican,0
Carroll,U.S. House,4,Bob Smith,Republican,0
Carroll,U.S. House,4,R. Michael Young,Republican,0
Carroll,State House,25,Jeb Bardon,Democratic,0
Carroll,State House,25,Tom (Red) Taylor,Republican,0
Carroll,Judge Of The Circuit Court,Carroll 74Th Circuit,Joseph W. Carey,Republican,1717
Carroll,Judge Of The Circuit Court,Carroll 74Th Circuit,Don Currie,Republican,855
Carroll,Judge Of The Superior Court,Carroll County,Jeffrey R. Smith,Republican,2119
Carroll,Prosecuting Attorney,Carroll 74Th Circuit,James R. Huffer,Democratic,697
Carroll,Prosecuting Attorney,Carroll 74Th Circuit,Robert T. Ives,Republican,2023
Cass,U.S. House,4,Tim Baynard,Republican,0
Cass,U.S. House,4,Steve Buyer,Republican,0
Cass,U.S. House,4,Thomas J. Herr,Republican,0
Cass,U.S. House,4,Brian Kerns,Republican,0
Cass,U.S. House,4,Bob Smith,Republican,0
Cass,U.S. House,4,R. Michael Young,Republican,0
Cass,State House,23,William C. Friend,Republican,0
Cass,State House,23,Tom (Red) Taylor,Republican,0
Cass,Prosecuting Attorney,Cass 29Th Circuit,James H. Austen,Democratic,1131
Cass,Prosecuting Attorney,Cass 29Th Circuit,Kevin S. Enyeart,Republican,2480
Clark,U.S. House,9,Baron P. Hill,Democratic,6392
Clark,U.S. House,9,Jeff Ellington,Republican,134
Clark,U.S. House,9,David Fowler,Republican,92
Clark,U.S. House,9,Chris Redmon,Republican,225
Clark,U.S. House,9,Mike Sodrel,Republican,1646
Clark,State Senator,45,"James (Jim) A. Lewis, Jr.",Democratic,3508
Clark,State Senator,45,Walter H. Schulz,Republican,693
Clark,State House,66,Terry Goodin,Democratic,1236
Clark,State House,66,Tom Powers,Republican,407
Clark,State House,66,Charles A. (Tony) Singleton,Republican,1007
