candidate,office,district,party,county,precinct,election_day,absentee,provisional,votes
,Registered Voters,,,Tipton,Cicero 1,,,,883
,Ballots Cast,,,Tipton,Cicero 1,,,,353
Mike Braun,U.S. Senate,,R,Tipton,Cicero 1,213,54,0,267
Joe Donnelly,U.S. Senate,,D,Tipton,Cicero 1,102,30,0,132
Lucy M Brenton,U.S. Senate,,L,Tipton,Cicero 1,30,5,0,35
Write in,U.S. Senate,,,Tipton,Cicero 1,1,0,0,1
Connie Lawson,Secretary of State,,R,Tipton,Cicero 1,247,58,0,305
Jim Harper,Secretary of State,,D,Tipton,Cicero 1,81,32,0,113
Mark W. Rutherford,Secretary of State,,L,Tipton,Cicero 1,13,0,0,13
Write in,Secretary of State,,,Tipton,Cicero 1,1,0,0,1
Tera Klutz,Auditor of State,,R,Tipton,Cicero 1,235,58,0,293
Joselyn Whitticker,Auditor of State,,D,Tipton,Cicero 1,87,29,0,116
John Schick,Auditor of State,,L,Tipton,Cicero 1,18,1,0,19
Kelly Mitchell,Treasurer of State,,R,Tipton,Cicero 1,246,62,0,308
John C. Aguilera,Treasurer of State,,D,Tipton,Cicero 1,85,28,0,113
Susan W Brooks,U.S. House,5,R,Tipton,Cicero 1,254,64,0,318
Dee Thornton,U.S. House,5,D,Tipton,Cicero 1,88,27,0,115
James R Buck,State Senate,21,R,Tipton,Cicero 1,242,60,0,302
Christina Fivecoate,State Senate,21,D,Tipton,Cicero 1,100,30,0,130
"Anthony J (""Tony"") Cook",State Representative,32,R,Tipton,Cicero 1,254,59,0,313
Amie Neiling,State Representative,32,D,Tipton,Cicero 1,86,29,0,115
,Registered Voters,,,Tipton,Cicero 2,,,,861
,Ballots Cast,,,Tipton,Cicero 2,,,,340
Mike Braun,U.S. Senate,,R,Tipton,Cicero 2,195,84,0,279
Joe Donnelly,U.S. Senate,,D,Tipton,Cicero 2,109,82,0,171
Lucy M Brenton,U.S. Senate,,L,Tipton,Cicero 2,35,1,0,36
Write in,U.S. Senate,,,Tipton,Cicero 2,0,0,0,0
Connie Lawson,Secretary of State,,R,Tipton,Cicero 2,229,88,0,317
Jim Harper,Secretary of State,,D,Tipton,Cicero 2,91,52,0,143
Mark W. Rutherford,Secretary of State,,L,Tipton,Cicero 2,15,1,0,16
Write in,Secretary of State,,,Tipton,Cicero 2,0,1,0,1
Tera Klutz,Auditor of State,,R,Tipton,Cicero 2,224,92,0,316
Joselyn Whitticker,Auditor of State,,D,Tipton,Cicero 2,92,47,0,139
John Schick,Auditor of State,,L,Tipton,Cicero 2,14,2,0,16
Kelly Mitchell,Treasurer of State,,R,Tipton,Cicero 2,241,90,0,331
John C. Aguilera,Treasurer of State,,D,Tipton,Cicero 2,89,49,0,138
Susan W Brooks,U.S. House,5,R,Tipton,Cicero 2,247,92,0,339
Dee Thornton,U.S. House,5,D,Tipton,Cicero 2,88,53,0,141
James R Buck,State Senate,21,R,Tipton,Cicero 2,227,89,0,316
Christina Fivecoate,State Senate,21,D,Tipton,Cicero 2,109,55,0,164
"Anthony J (""Tony"") Cook",State Representative,32,R,Tipton,Cicero 2,231,95,0,326
Amie Neiling,State Representative,32,D,Tipton,Cicero 2,100,49,0,149
,Registered Voters,,,Tipton,Cicero 4,,,,792
,Ballots Cast,,,Tipton,Cicero 4,,,,296
Mike Braun,U.S. Senate,,R,Tipton,Cicero 4,177,48,0,225
Joe Donnelly,U.S. Senate,,D,Tipton,Cicero 4,93,36,0,129
