county,precinct,office,district,candidate,party,election_day,absentee,provisional,votes
Wells,Bluffton Lancaster East,Ballots Cast,,,,162,73,0,235
Wells,Bluffton Lancaster East,Registered Voters,,,,,,,1128
Wells,Bluffton Lancaster East,U.S. Senate,,Mike Braun,REP,58,23,0,81
Wells,Bluffton Lancaster East,U.S. Senate,,Luke Messer,REP,33,11,0,44
Wells,Bluffton Lancaster East,U.S. Senate,,Todd Rokita,REP,43,19,0,62
Wells,Bluffton Lancaster East,U.S. House,3,Jim Banks,REP,128,48,0,176
Wells,Bluffton Lancaster East,State Senate,19,Travis Holdman,REP,105,47,0,152
Wells,Bluffton Lancaster East,State Senate,19,Eric Orr,REP,37,7,0,44
Wells,Bluffton Lancaster East,State House,79,Matthew S. Lehman,REP,124,50,0,174
Wells,Bluffton Lancaster East,U.S. Senate,,Joe Donnelly,DEM,16,16,0,32
Wells,Bluffton Lancaster East,U.S. House,3,John F. Roberson,DEM,0,5,0,5
Wells,Bluffton Lancaster East,U.S. House,3,Tommy A. Schrader,DEM,3,1,0,4
Wells,Bluffton Lancaster East,U.S. House,3,Courtney Tritch,DEM,13,9,0,22
Wells,Bluffton Lancaster East,State Senate,19,No Candidate Filed,DEM,0,0,0,0
Wells,Bluffton Lancaster East,State House,79,No Candidate Filed,DEM,0,0,0,0
Wells,Bluffton 2,Ballots Cast,,,,80,47,0,127
Wells,Bluffton 2,Registered Voters,,,,,,,887
Wells,Bluffton 2,U.S. Senate,,Mike Braun,REP,24,11,0,35
Wells,Bluffton 2,U.S. Senate,,Luke Messer,REP,14,9,0,23
Wells,Bluffton 2,U.S. Senate,,Todd Rokita,REP,22,13,0,35
Wells,Bluffton 2,U.S. House,3,Jim Banks,REP,59,33,0,92
Wells,Bluffton 2,State Senate,19,Travis Holdman,REP,44,27,0,71
Wells,Bluffton 2,State Senate,19,Eric Orr,REP,17,10,0,27
Wells,Bluffton 2,State House,79,Matthew S. Lehman,REP,55,34,0,89
Wells,Bluffton 2,U.S. Senate,,Joe Donnelly,DEM,15,9,0,24
Wells,Bluffton 2,U.S. House,3,John F. Roberson,DEM,4,3,0,7
Wells,Bluffton 2,U.S. House,3,Tommy A. Schrader,DEM,3,1,0,4
Wells,Bluffton 2,U.S. House,3,Courtney Tritch,DEM,9,4,0,13
Wells,Bluffton 2,State Senate,19,No Candidate Filed,DEM,0,0,0,0
Wells,Bluffton 2,State House,79,No Candidate Filed,DEM,0,0,0,0
Wells,Bluffton 3,Ballots Cast,,,,82,27,0,109
Wells,Bluffton 3,Registered Voters,,,,,,,659
Wells,Bluffton 3,U.S. Senate,,Mike Braun,REP,23,8,0,31
Wells,Bluffton 3,U.S. Senate,,Luke Messer,REP,18,3,0,21
Wells,Bluffton 3,U.S. Senate,,Todd Rokita,REP,18,6,0,24
Wells,Bluffton 3,U.S. House,3,Jim Banks,REP,64,16,0,80
Wells,Bluffton 3,State Senate,19,Travis Holdman,REP,52,16,0,68
Wells,Bluffton 3,State Senate,19,Eric Orr,REP,17,4,0,21
Wells,Bluffton 3,State House,79,Matthew S. Lehman,REP,63,16,0,79
Wells,Bluffton 3,U.S. Senate,,Joe Donnelly,DEM,8,6,0,14
Wells,Bluffton 3,U.S. House,3,John F. Roberson,DEM,1,0,0,1
Wells,Bluffton 3,U.S. House,3,Tommy A. Schrader,DEM,1,0,0,1
Wells,Bluffton 3,U.S. House,3,Courtney Tritch,DEM,5,6,0,11
Wells,Bluffton 3,State Senate,19,No Candidate Filed,DEM,0,0,0,0
Wells,Bluffton 3,State House,79,No Candidate Filed,DEM,0,0,0,0
Wells,Bluffton 4,Ballots Cast,,,,92,48,0,140
Wells,Bluffton 4,Registered Voters,,,,,,,728
