candidate,office,district,party,county,precinct,election_day,absentee,provisional,votes
,Registered Voters,,,Clinton,Precinct 1,,,,243
,Ballots Cast,,,Clinton,Precinct 1,129,35,0,164
Mike Braun,U.S. Senate,,R,Clinton,Precinct 1,74,20,0,94
Joe Donnelly,U.S. Senate,,D,Clinton,Precinct 1,41,12,0,53
Lucy M Brenton,U.S. Senate,,L,Clinton,Precinct 1,10,1,0,11
Write in,U.S. Senate,,,Clinton,Precinct 1,0,0,0,0
Connie Lawson,Secretary of State,,R,Clinton,Precinct 1,88,26,0,114
Jim Harper,Secretary of State,,D,Clinton,Precinct 1,32,9,0,41
Mark W. Rutherford,Secretary of State,,L,Clinton,Precinct 1,2,0,0,2
Write in,Secretary of State,,,Clinton,Precinct 1,0,0,0,0
Tera Klutz,Auditor of State,,R,Clinton,Precinct 1,84,25,0,109
Joselyn Whitticker,Auditor of State,,D,Clinton,Precinct 1,35,10,0,45
John Schick,Auditor of State,,L,Clinton,Precinct 1,3,0,0,3
Kelly Mitchell,Treasurer of State,,R,Clinton,Precinct 1,90,26,0,116
John C. Aguilera,Treasurer of State,,D,Clinton,Precinct 1,30,9,0,39
Jim Baird,U.S. House,4,R,Clinton,Precinct 1,83,26,0,109
Tobi Beck,U.S. House,4,D,Clinton,Precinct 1,37,9,0,46
Write in,U.S. House,4,,Clinton,Precinct 1,0,0,0,0
Heath R Vannatter,State Representative,38,R,Clinton,Precinct 1,83,24,0,107
Thomas (Tom) Hedde,State Representative,38,D,Clinton,Precinct 1,36,10,0,46
,Registered Voters,,,Clinton,Precinct 2,,,,332
,Ballots Cast,,,Clinton,Precinct 2,61,34,0,95
Mike Braun,U.S. Senate,,R,Clinton,Precinct 2,37,19,0,56
Joe Donnelly,U.S. Senate,,D,Clinton,Precinct 2,19,9,0,28
Lucy M Brenton,U.S. Senate,,L,Clinton,Precinct 2,5,5,0,10
Write in,U.S. Senate,,,Clinton,Precinct 2,0,0,0,0
Connie Lawson,Secretary of State,,R,Clinton,Precinct 2,40,25,0,65
Jim Harper,Secretary of State,,D,Clinton,Precinct 2,14,9,0,23
Mark W. Rutherford,Secretary of State,,L,Clinton,Precinct 2,6,0,0,6
Write in,Secretary of State,,,Clinton,Precinct 2,0,0,0,0
Tera Klutz,Auditor of State,,R,Clinton,Precinct 2,39,21,0,60
Joselyn Whitticker,Auditor of State,,D,Clinton,Precinct 2,18,11,0,29
John Schick,Auditor of State,,L,Clinton,Precinct 2,3,2,0,5
