county,precinct,office,district,party,candidate,election_day,absentee,early_voting,provisional,votes
Floyd,FRANKLIN 1,Registered Voters,,,,,,,,4088
Floyd,FRANKLIN 1,Ballots Cast,,,,332,26,222,0,580
Floyd,FRANKLIN 1,Straight Party,,R,,111,7,86,0,204
Floyd,FRANKLIN 1,Straight Party,,D,,46,9,46,0,101
Floyd,FRANKLIN 1,Straight Party,,L,,5,1,1,0,7
Floyd,FRANKLIN 1,U.S. Senate,,R,Mike Braun,209,12,134,0,355
Floyd,FRANKLIN 1,U.S. Senate,,D,Joe Donnelly,99,13,83,0,195
Floyd,FRANKLIN 1,U.S. Senate,,L,Lucy M Brenton,134,83,3,0,220
Floyd,FRANKLIN 1,U.S. Senate,,,Write In,0,0,0,0,0
Floyd,FRANKLIN 1,Secretary of State,,R,Connie Lawson,206,13,140,0,359
Floyd,FRANKLIN 1,Secretary of State,,D,Jim Harper,97,12,77,0,186
Floyd,FRANKLIN 1,Secretary of State,,L,Mark W. Rutherford,10,1,5,0,16
Floyd,FRANKLIN 1,Secretary of State,,,Write In,0,0,0,0,0
Floyd,FRANKLIN 1,Auditor of State,,R,Tera Klutz,200,12,137,0,349
Floyd,FRANKLIN 1,Auditor of State,,D,Joselyn Whitticker,100,13,78,0,191
Floyd,FRANKLIN 1,Auditor of State,,L,John Schick,11,1,6,0,18
Floyd,FRANKLIN 1,Treasurer of State,,R,Kelly Mitchell,215,14,143,0,372
Floyd,FRANKLIN 1,Treasurer of State,,D,John C. Aguilera,91,12,78,0,181
Floyd,FRANKLIN 1,U.S. House,9,R,Trey Hollingsworth,213,12,136,0,361
Floyd,FRANKLIN 1,U.S. House,9,D,Liz Watson,112,12,86,0,210
Floyd,FRANKLIN 1,U.S. House,9,,Write In,0,1,0,0,1
Floyd,FRANKLIN 1,State Senate,46,R,Ron Grooms,209,14,146,0,369
Floyd,FRANKLIN 1,State Senate,46,D,Anna Murray,112,12,76,0,200
Floyd,FRANKLIN 1,State Representative,70,R,Karen Engleman,211,16,142,0,369
Floyd,FRANKLIN 1,State Representative,70,D,Sarah Stivers,105,9,79,0,193
Floyd,GEORGETOWN 1,Registered Voters,,,,,,,,4556
Floyd,GEORGETOWN 1,Ballots Cast,,,,372,39,326,0,737
Floyd,GEORGETOWN 1,Straight Party,,R,,124,14,118,0,256
Floyd,GEORGETOWN 1,Straight Party,,D,,61,9,55,0,125
Floyd,GEORGETOWN 1,Straight Party,,L,,0,0,1,0,1
Floyd,GEORGETOWN 1,U.S. Senate,,R,Mike Braun,210,21,193,0,424
Floyd,GEORGETOWN 1,U.S. Senate,,D,Joe Donnelly,142,16,122,0,280
Floyd,GEORGETOWN 1,U.S. Senate,,L,Lucy M Brenton,16,1,7,0,24
Floyd,GEORGETOWN 1,U.S. Senate,,,Write In,0,0,0,0,0
Floyd,GEORGETOWN 1,Secretary of State,,R,Connie Lawson,233,21,197,0,451
Floyd,GEORGETOWN 1,Secretary of State,,D,Jim Harper,123,16,114,0,253
Floyd,GEORGETOWN 1,Secretary of State,,L,Mark W. Rutherford,9,1,6,0,16
Floyd,GEORGETOWN 1,Secretary of State,,,Write In,0,0,0,0,0
Floyd,GEORGETOWN 1,Auditor of State,,R,Tera Klutz,228,22,196,0,446
Floyd,GEORGETOWN 1,Auditor of State,,D,Joselyn Whitticker,120,15,113,0,248
Floyd,GEORGETOWN 1,Auditor of State,,L,John Schick,12,1,5,0,18
Floyd,GEORGETOWN 1,Treasurer of State,,R,Kelly Mitchell,233,24,203,0,460
Floyd,GEORGETOWN 1,Treasurer of State,,D,John C. Aguilera,124,13,113,0,250
Floyd,GEORGETOWN 1,U.S. House,9,R,Trey Hollingsworth,228,22,196,0,446
Floyd,GEORGETOWN 1,U.S. House,9,D,Liz Watson,138,16,124,0,278
Floyd,GEORGETOWN 1,U.S. House,9,,Write In,0,0,0,0,0
Floyd,GEORGETOWN 1,State Senate,46,R,Ron Grooms,232,23,205,0,460
Floyd,GEORGETOWN 1,State Senate,46,D,Anna Murray,135,15,115,0,265
Floyd,GEORGETOWN 1,State Representative,72,R,Edward D (ED) Clere,231,23,201,0,455
Floyd,GEORGETOWN 1,State Representative,72,D,Sam Charbonne Au,135,15,120,0,270
Floyd,GEORGETOWN 2,Registered Voters,,,,,,,,5612
Floyd,GEORGETOWN 2,Ballots Cast,,,,441,54,339,0,834
Floyd,GEORGETOWN 2,Straight Party,,R,,156,15,111,0,282
Floyd,GEORGETOWN 2,Straight Party,,D,,73,22,62,0,157
Floyd,GEORGETOWN 2,Straight Party,,L,,1,0,1,0,2
Floyd,GEORGETOWN 2,U.S. Senate,,R,Mike Braun,266,25,199,0,490
Floyd,GEORGETOWN 2,U.S. Senate,,D,Joe Donnelly,149,29,126,0,304
Floyd,GEORGETOWN 2,U.S. Senate,,L,Lucy M Brenton,20,0,12,0,32
Floyd,GEORGETOWN 2,U.S. Senate,,,Write In,0,0,0,0,0
Floyd,GEORGETOWN 2,Secretary of State,,R,Connie Lawson,286,24,201,0,511
Floyd,GEORGETOWN 2,Secretary of State,,D,Jim Harper,126,28,126,0,280
Floyd,GEORGETOWN 2,Secretary of State,,L,Mark W. Rutherford,21,1,4,0,26
Floyd,GEORGETOWN 2,Secretary of State,,,Write In,0,0,0,0,0
Floyd,GEORGETOWN 2,Auditor of State,,R,Tera Klutz,282,24,201,0,507
Floyd,GEORGETOWN 2,Auditor of State,,D,Joselyn Whitticker,135,25,123,0,283
Floyd,GEORGETOWN 2,Auditor of State,,L,John Schick,14,4,4,0,22
Floyd,GEORGETOWN 2,Treasurer of State,,R,Kelly Mitchell,301,25,209,0,535
Floyd,GEORGETOWN 2,Treasurer of State,,D,John C. Aguilera,125,29,122,0,276
Floyd,GEORGETOWN 2,U.S. House,9,R,Trey Hollingsworth,281,26,202,0,509
Floyd,GEORGETOWN 2,U.S. House,9,D,Liz Watson,154,28,134,0,316
Floyd,GEORGETOWN 2,U.S. House,9,,Write In,0,0,0,0,0
Floyd,GEORGETOWN 2,State Senate,46,R,Ron Grooms,296,27,211,0,534
Floyd,GEORGETOWN 2,State Senate,46,D,Anna Murray,137,27,125,0,289
Floyd,GEORGETOWN 2,State Representative,72,R,Edward D (ED) Clere,279,27,215,0,521
Floyd,GEORGETOWN 2,State Representative,72,D,Sam Charbonne Au,152,26,119,0,297
Floyd,GEORGETOWN 3,Registered Voters,,,,,,,,4320
Floyd,GEORGETOWN 3,Ballots Cast,,,,375,32,297,0,704
Floyd,GEORGETOWN 3,Straight Party,,R,,145,6,104,0,255
Floyd,GEORGETOWN 3,Straight Party,,D,,61,12,42,0,115
Floyd,GEORGETOWN 3,Straight Party,,L,,2,0,0,0,2
Floyd,GEORGETOWN 3,U.S. Senate,,R,Mike Braun,238,10,191,0,439
Floyd,GEORGETOWN 3,U.S. Senate,,D,Joe Donnelly,125,21,100,0,246
Floyd,GEORGETOWN 3,U.S. Senate,,L,Lucy M Brenton,8,0,3,0,11
Floyd,GEORGETOWN 3,U.S. Senate,,,Write In,0,0,0,0,0
Floyd,GEORGETOWN 3,Secretary of State,,R,Connie Lawson,245,9,194,0,448
Floyd,GEORGETOWN 3,Secretary of State,,D,Jim Harper,117,21,89,0,227
