county,precinct,office,district,candidate,party,election_day,absentee,provisional,votes
Scott,Johnson 1,Ballots Cast,,,,381,99,0,480
Scott,Johnson 1,Registered Voters,,,,,,,1661
Scott,Johnson 1,U.S. Senate,,Joe Donnelly,DEM,192,61,0,253
Scott,Johnson 1,U.S. House,6,George T. Holland,DEM,33,9,0,42
Scott,Johnson 1,U.S. House,6,Jeannine Lee Lake,DEM,48,11,0,59
Scott,Johnson 1,U.S. House,6,K (Jasen) Lave,DEM,4,3,0,7
Scott,Johnson 1,U.S. House,6,Jim Pruett,DEM,95,28,0,123
Scott,Johnson 1,U.S. House,6,Lane Siekman,DEM,12,6,0,18
Scott,Johnson 1,U.S. House,6,Joshua Williamson,DEM,17,4,0,21
Scott,Johnson 1,State Senate,45,John Perkins,DEM,183,55,0,238
Scott,Johnson 1,State House,66,Terry Goodin,DEM,247,80,0,327
Scott,Johnson 1,U.S. Senate,,Mike Braun,REP,28,1,0,29
Scott,Johnson 1,U.S. Senate,,Luke Messer,REP,54,3,0,57
Scott,Johnson 1,U.S. Senate,,Todd Rokita,REP,10,1,0,11
Scott,Johnson 1,U.S. House,6,Mike Campbell,REP,6,0,0,6
Scott,Johnson 1,U.S. House,6,Jonathan M. Lamb,REP,14,0,0,14
Scott,Johnson 1,U.S. House,6,Stephen M. Mackenzie,REP,2,0,0,2
Scott,Johnson 1,U.S. House,6,Greg Pence,REP,66,4,0,70
Scott,Johnson 1,U.S. House,6,Jeff Smith,REP,3,1,0,4
Scott,Johnson 1,State Senate,45,Chris Garten,REP,83,3,0,86
Scott,Johnson 1,State House,66,Mike Bowling,REP,71,5,0,76
Scott,Johnson 1,State House,66,"Joe Van Wye, Sr.",REP,13,0,0,13
Scott,Lexington 1,Ballots Cast,,,,262,30,0,292
Scott,Lexington 1,Registered Voters,,,,,,,1154
Scott,Lexington 1,U.S. Senate,,Joe Donnelly,DEM,124,18,0,140
Scott,Lexington 1,U.S. House,6,George T. Holland,DEM,21,2,0,23
Scott,Lexington 1,U.S. House,6,Jeannine Lee Lake,DEM,42,2,0,44
Scott,Lexington 1,U.S. House,6,K (Jasen) Lave,DEM,0,0,0,0
Scott,Lexington 1,U.S. House,6,Jim Pruett,DEM,45,9,0,54
Scott,Lexington 1,U.S. House,6,Lane Siekman,DEM,9,1,0,10
Scott,Lexington 1,U.S. House,6,Joshua Williamson,DEM,6,1,0,7
Scott,Lexington 1,State Senate,45,John Perkins,DEM,110,18,0,128
Scott,Lexington 1,State House,66,Terry Goodin,DEM,138,21,0,159
Scott,Lexington 1,U.S. Senate,,Mike Braun,REP,39,3,0,42
Scott,Lexington 1,U.S. Senate,,Luke Messer,REP,56,6,0,62
Scott,Lexington 1,U.S. Senate,,Todd Rokita,REP,18,0,0,18
Scott,Lexington 1,U.S. House,6,Mike Campbell,REP,8,0,0,8
Scott,Lexington 1,U.S. House,6,Jonathan M. Lamb,REP,9,2,0,11
Scott,Lexington 1,U.S. House,6,Stephen M. Mackenzie,REP,5,0,0,5
Scott,Lexington 1,U.S. House,6,Greg Pence,REP,84,6,0,90
Scott,Lexington 1,U.S. House,6,Jeff Smith,REP,5,0,0,5
Scott,Lexington 1,State Senate,45,Chris Garten,REP,102,7,0,109
Scott,Lexington 1,State House,66,Mike Bowling,REP,77,4,0,81
Scott,Lexington 1,State House,66,"Joe Van Wye, Sr.",REP,21,1,0,22
Scott,Lexington 2,Ballots Cast,,,,232,51,0,283
Scott,Lexington 2,Registered Voters,,,,,,,1051
Scott,Lexington 2,U.S. Senate,,Joe Donnelly,DEM,105,37,0,142
Scott,Lexington 2,U.S. House,6,George T. Holland,DEM,12,5,0,17
Scott,Lexington 2,U.S. House,6,Jeannine Lee Lake,DEM,21,12,0,33
Scott,Lexington 2,U.S. House,6,K (Jasen) Lave,DEM,1,0,0,1
Scott,Lexington 2,U.S. House,6,Jim Pruett,DEM,46,19,0,65
Scott,Lexington 2,U.S. House,6,Lane Siekman,DEM,9,0,0,9
Scott,Lexington 2,U.S. House,6,Joshua Williamson,DEM,8,0,0,8
Scott,Lexington 2,State Senate,45,John Perkins,DEM,95,31,0,126
Scott,Lexington 2,State House,66,Terry Goodin,DEM,117,41,0,158
Scott,Lexington 2,U.S. Senate,,Mike Braun,REP,34,2,0,36
Scott,Lexington 2,U.S. Senate,,Luke Messer,REP,45,3,0,48
Scott,Lexington 2,U.S. Senate,,Todd Rokita,REP,12,0,0,12
Scott,Lexington 2,U.S. House,6,Mike Campbell,REP,5,0,0,5
Scott,Lexington 2,U.S. House,6,Jonathan M. Lamb,REP,6,1,0,7
Scott,Lexington 2,U.S. House,6,Stephen M. Mackenzie,REP,2,0,0,2
Scott,Lexington 2,U.S. House,6,Greg Pence,REP,70,5,0,75
Scott,Lexington 2,U.S. House,6,Jeff Smith,REP,6,0,0,6
Scott,Lexington 2,State Senate,45,Chris Garten,REP,87,5,0,92
Scott,Lexington 2,State House,66,Mike Bowling,REP,77,3,0,80
Scott,Lexington 2,State House,66,"Joe Van Wye, Sr.",REP,9,2,0,11
Scott,Lexington 3,Ballots Cast,,,,39,2,0,41
Scott,Lexington 3,Registered Voters,,,,,,,205
Scott,Lexington 3,U.S. Senate,,Joe Donnelly,DEM,20,0,0,20
Scott,Lexington 3,U.S. House,9,Dan Canon,DEM,9,0,0,9
Scott,Lexington 3,U.S. House,9,Rob Chatlos,DEM,1,0,0,1
Scott,Lexington 3,U.S. House,9,Liz Watson,DEM,12,0,0,12
Scott,Lexington 3,State Senate,45,John Perkins,DEM,19,0,0,19
Scott,Lexington 3,State House,66,Terry Goodin,DEM,24,0,0,24
