county,precinct,office,district,candidate,party,election_day,absentee,provisional,votes
Blackford,Harrison 1,Ballots Cast,,,,234,40,1,275
Blackford,Harrison 1,Registered Voters,,,,,,,924
Blackford,Harrison 1,U.S. Senate,,Mike Braun,REP,64,11,1,76
Blackford,Harrison 1,U.S. Senate,,Luke Messer,REP,46,5,0,51
Blackford,Harrison 1,U.S. Senate,,Todd Rokita,REP,49,7,0,56
Blackford,Harrison 1,U.S. Senate,,Joe Donnelly,DEM,56,7,0,63
Blackford,Harrison 1,U.S. House,3,Jim Banks,REP,138,22,1,161
Blackford,Harrison 1,U.S. House,3,John F. Roberson,DEM,9,1,0,10
Blackford,Harrison 1,U.S. House,3,Tommy A. Schrader,DEM,20,5,0,25
Blackford,Harrison 1,U.S. House,3,Courtney Tritch,DEM,26,3,0,29
Blackford,Harrison 1,State Senate,19,Travis Holdman,REP,116,21,0,137
Blackford,Harrison 1,State Senate,19,Eric Orr,REP,42,4,1,47
Blackford,Harrison 1,State House,31,Kevin A. Mahan,REP,142,26,1,169
Blackford,Harrison 1,State House,31,Lynn Johnson,DEM,54,9,0,63
Blackford,Harrison 2,Ballots Cast,,,,144,61,0,205
Blackford,Harrison 2,Registered Voters,,,,,,,602
Blackford,Harrison 2,U.S. Senate,,Mike Braun,REP,42,17,0,59
Blackford,Harrison 2,U.S. Senate,,Luke Messer,REP,47,12,0,59
Blackford,Harrison 2,U.S. Senate,,Todd Rokita,REP,26,15,0,41
Blackford,Harrison 2,U.S. Senate,,Joe Donnelly,DEM,18,6,0,24
Blackford,Harrison 2,U.S. House,3,Jim Banks,REP,100,39,0,139
Blackford,Harrison 2,U.S. House,3,John F. Roberson,DEM,1,2,0,3
Blackford,Harrison 2,U.S. House,3,Tommy A. Schrader,DEM,6,1,0,7
Blackford,Harrison 2,U.S. House,3,Courtney Tritch,DEM,11,3,0,14
Blackford,Harrison 2,State Senate,19,Travis Holdman,REP,94,40,0,134
Blackford,Harrison 2,State Senate,19,Eric Orr,REP,24,5,0,29
Blackford,Harrison 2,State House,31,Kevin A. Mahan,REP,101,41,0,142
Blackford,Harrison 2,State House,31,Lynn Johnson,DEM,14,6,0,20
Blackford,Jackson 1,Ballots Cast,,,,5,0,0,5
Blackford,Jackson 1,Registered Voters,,,,,,,64
Blackford,Jackson 1,U.S. Senate,,Mike Braun,REP,0,0,0,0
Blackford,Jackson 1,U.S. Senate,,Luke Messer,REP,0,0,0,0
Blackford,Jackson 1,U.S. Senate,,Todd Rokita,REP,4,0,0,4
Blackford,Jackson 1,U.S. Senate,,Joe Donnelly,DEM,1,0,0,1
Blackford,Jackson 1,U.S. House,5,Susan W. Brooks,REP,3,0,0,3
Blackford,Jackson 1,U.S. House,5,Dion Douglas,DEM,1,0,0,1
Blackford,Jackson 1,U.S. House,5,Sean Dugdale,DEM,0,0,0,0
Blackford,Jackson 1,U.S. House,5,Eshel Faraggi,DEM,0,0,0,0
Blackford,Jackson 1,U.S. House,5,Kyle Moore,DEM,0,0,0,0
Blackford,Jackson 1,U.S. House,5,Dee Thornton,DEM,0,0,0,0
Blackford,Jackson 1,State Senate,19,Travis Holdman,REP,3,0,0,3
Blackford,Jackson 1,State Senate,19,Eric Orr,REP,0,0,0,0
Blackford,Jackson 1,State House,33,Jenae Horn Blasdel,REP,0,0,0,0
Blackford,Jackson 1,State House,33,John (J.D.) Prescott,REP,4,0,0,4
Blackford,Jackson 1,State House,33,Shon Byrum,DEM,1,0,0,1
Blackford,Jackson 2,Ballots Cast,,,,111,77,0,188
Blackford,Jackson 2,Registered Voters,,,,,,,798
Blackford,Jackson 2,U.S. Senate,,Mike Braun,REP,37,25,0,62
Blackford,Jackson 2,U.S. Senate,,Luke Messer,REP,26,14,0,40
Blackford,Jackson 2,U.S. Senate,,Todd Rokita,REP,25,14,0,39
Blackford,Jackson 2,U.S. Senate,,Joe Donnelly,DEM,15,12,0,27
Blackford,Jackson 2,U.S. House,5,Susan W. Brooks,REP,78,49,0,127
Blackford,Jackson 2,U.S. House,5,Dion Douglas,DEM,2,3,0,5
Blackford,Jackson 2,U.S. House,5,Sean Dugdale,DEM,1,2,0,3
Blackford,Jackson 2,U.S. House,5,Eshel Faraggi,DEM,0,1,0,1
Blackford,Jackson 2,U.S. House,5,Kyle Moore,DEM,7,1,0,8
Blackford,Jackson 2,U.S. House,5,Dee Thornton,DEM,5,4,0,9
Blackford,Jackson 2,State Senate,19,Travis Holdman,REP,71,44,0,115
Blackford,Jackson 2,State Senate,19,Eric Orr,REP,17,11,0,28
Blackford,Jackson 2,State House,31,Kevin A. Mahan,REP,78,42,0,120
Blackford,Jackson 2,State House,31,Lynn Johnson,DEM,15,11,0,26
Blackford,Licking 1,Ballots Cast,,,,206,152,0,358
Blackford,Licking 1,Registered Voters,,,,,,,1037
Blackford,Licking 1,U.S. Senate,,Mike Braun,REP,60,23,0,83
Blackford,Licking 1,U.S. Senate,,Luke Messer,REP,50,34,0,84
Blackford,Licking 1,U.S. Senate,,Todd Rokita,REP,45,34,0,79
Blackford,Licking 1,U.S. Senate,,Joe Donnelly,DEM,21,36,0,57
Blackford,Licking 1,U.S. House,5,Susan W. Brooks,REP,148,80,0,228
Blackford,Licking 1,U.S. House,5,Dion Douglas,DEM,3,5,0,8
