candidate,office,district,party,county,precinct,election_day,absentee,provisional,votes
,Registered Voters,,,Starke,California 1,,,,735
,Ballots Cast,,,Starke,California 1,,,,258
Mike Braun,U.S. Senate,,R,Starke,California 1,157,73,0,230
Joe Donnelly,U.S. Senate,,D,Starke,California 1,90,47,0,137
Lucy M Brenton,U.S. Senate,,L,Starke,California 1,6,5,0,11
Write in,U.S. Senate,,,Starke,California 1,0,0,0,0
Connie Lawson,Secretary of State,,R,Starke,California 1,167,76,0,243
Jim Harper,Secretary of State,,D,Starke,California 1,71,44,0,115
Mark W. Rutherford,Secretary of State,,L,Starke,California 1,12,5,0,17
Write in,Secretary of State,,,Starke,California 1,0,0,0,0
Tera Klutz,Auditor of State,,R,Starke,California 1,162,75,0,237
Joselyn Whitticker,Auditor of State,,D,Starke,California 1,71,43,0,114
John Schick,Auditor of State,,L,Starke,California 1,9,6,0,15
Kelly Mitchell,Treasurer of State,,R,Starke,California 1,178,80,0,258
John C. Aguilera,Treasurer of State,,D,Starke,California 1,66,43,0,109
Jackie Walorski,U.S. House,2,R,Starke,California 1,158,75,0,233
Mel Hall,U.S. House,2,D,Starke,California 1,94,50,0,144
Write in,U.S. House,2,,Starke,California 1,0,0,0,0
Douglas L Gutwein,State Representative,16,R,Starke,California 1,178,79,0,257
Christina L Zacny,State Representative,16,D,Starke,California 1,70,44,0,114
,Registered Voters,,,Starke,California 2,,,,816
,Ballots Cast,,,Starke,California 2,,,,279
Mike Braun,U.S. Senate,,R,Starke,California 2,160,91,0,251
Joe Donnelly,U.S. Senate,,D,Starke,California 2,100,51,0,151
Lucy M Brenton,U.S. Senate,,L,Starke,California 2,16,8,0,24
Write in,U.S. Senate,,,Starke,California 2,0,0,0,0
Connie Lawson,Secretary of State,,R,Starke,California 2,177,97,0,274
Jim Harper,Secretary of State,,D,Starke,California 2,85,46,0,131
Mark W. Rutherford,Secretary of State,,L,Starke,California 2,11,6,0,17
Write in,Secretary of State,,,Starke,California 2,0,0,0,0
