candidate,office,district,party,county,precinct,election_day,absentee,provisional,votes
,Registered Voters,,,Dubois,Precinct 1,,,,545
,Ballots Cast,,,Dubois,Precinct 1,,,,142
Mike Braun,U.S. Senate,,R,Dubois,Precinct 1,98,199,0,297
Joe Donnelly,U.S. Senate,,D,Dubois,Precinct 1,35,49,0,84
Lucy M Brenton,U.S. Senate,,L,Dubois,Precinct 1,6,6,0,12
Write in,U.S. Senate,,,Dubois,Precinct 1,0,0,0,0
Connie Lawson,Secretary of State,,R,Dubois,Precinct 1,90,193,0,283
Jim Harper,Secretary of State,,D,Dubois,Precinct 1,35,51,0,86
Mark W. Rutherford,Secretary of State,,L,Dubois,Precinct 1,7,0,0,7
Write in,Secretary of State,,,Dubois,Precinct 1,0,0,0,0
Tera Klutz,Auditor of State,,R,Dubois,Precinct 1,82,163,0,245
Joselyn Whitticker,Auditor of State,,D,Dubois,Precinct 1,39,61,0,100
John Schick,Auditor of State,,L,Dubois,Precinct 1,8,2,0,10
Kelly Mitchell,Treasurer of State,,R,Dubois,Precinct 1,94,177,0,271
John C. Aguilera,Treasurer of State,,D,Dubois,Precinct 1,37,47,0,84
Larry D Bucshon,U.S. House,8,R,Dubois,Precinct 1,103,189,0,292
William Tanoos,U.S. House,8,D,Dubois,Precinct 1,30,45,0,75
Write in,U.S. House,8,,Dubois,Precinct 1,0,0,0,0
Mark Messmer,State Senate,48,R,Dubois,Precinct 1,119,226,0,345
No Candidate Filed,State Senate,48,D,Dubois,Precinct 1,0,0,0,0
Shane M. Lindauer,State Representative,63,R,Dubois,Precinct 1,97,206,0,303
"Joseph ""Joe"" Lannan",State Representative,63,D,Dubois,Precinct 1,43,43,0,86
,Registered Voters,,,Dubois,Precinct 2,,,,797
,Ballots Cast,,,Dubois,Precinct 2,,,,125
Mike Braun,U.S. Senate,,R,Dubois,Precinct 2,60,116,0,176
Joe Donnelly,U.S. Senate,,D,Dubois,Precinct 2,57,96,0,153
Lucy M Brenton,U.S. Senate,,L,Dubois,Precinct 2,8,14,0,22
Write in,U.S. Senate,,,Dubois,Precinct 2,0,0,0,0
Connie Lawson,Secretary of State,,R,Dubois,Precinct 2,58,117,0,175
Jim Harper,Secretary of State,,D,Dubois,Precinct 2,53,95,0,148
Mark W. Rutherford,Secretary of State,,L,Dubois,Precinct 2,13,11,0,24
Write in,Secretary of State,,,Dubois,Precinct 2,0,0,0,0
Tera Klutz,Auditor of State,,R,Dubois,Precinct 2,52,102,0,154
Joselyn Whitticker,Auditor of State,,D,Dubois,Precinct 2,57,104,0,161
John Schick,Auditor of State,,L,Dubois,Precinct 2,11,8,0,19
Kelly Mitchell,Treasurer of State,,R,Dubois,Precinct 2,62,122,0,184
John C. Aguilera,Treasurer of State,,D,Dubois,Precinct 2,58,93,0,151
Larry D Bucshon,U.S. House,8,R,Dubois,Precinct 2,60,115,0,175
William Tanoos,U.S. House,8,D,Dubois,Precinct 2,60,103,0,163
Write in,U.S. House,8,,Dubois,Precinct 2,0,0,0,0
Mark Messmer,State Senate,48,R,Dubois,Precinct 2,97,169,0,266
No Candidate Filed,State Senate,48,D,Dubois,Precinct 2,0,0,0,0
Shane M. Lindauer,State Representative,63,R,Dubois,Precinct 2,65,122,0,187
"Joseph ""Joe"" Lannan",State Representative,63,D,Dubois,Precinct 2,58,99,0,157
,Registered Voters,,,Dubois,Precinct 3,,,,1436
,Ballots Cast,,,Dubois,Precinct 3,,,,290
Mike Braun,U.S. Senate,,R,Dubois,Precinct 3,201,440,0,641
Joe Donnelly,U.S. Senate,,D,Dubois,Precinct 3,66,180,0,246
Lucy M Brenton,U.S. Senate,,L,Dubois,Precinct 3,19,23,0,42
Write in,U.S. Senate,,,Dubois,Precinct 3,0,0,0,0
Connie Lawson,Secretary of State,,R,Dubois,Precinct 3,193,408,0,601
Jim Harper,Secretary of State,,D,Dubois,Precinct 3,69,190,0,259
Mark W. Rutherford,Secretary of State,,L,Dubois,Precinct 3,6,20,0,26
Write in,Secretary of State,,,Dubois,Precinct 3,0,0,0,0
Tera Klutz,Auditor of State,,R,Dubois,Precinct 3,173,363,0,536
Joselyn Whitticker,Auditor of State,,D,Dubois,Precinct 3,78,200,0,278
John Schick,Auditor of State,,L,Dubois,Precinct 3,5,26,0,31
Kelly Mitchell,Treasurer of State,,R,Dubois,Precinct 3,185,418,0,603
John C. Aguilera,Treasurer of State,,D,Dubois,Precinct 3,74,168,0,242
Larry D Bucshon,U.S. House,8,R,Dubois,Precinct 3,205,432,0,637
William Tanoos,U.S. House,8,D,Dubois,Precinct 3,68,174,0,242
Write in,U.S. House,8,,Dubois,Precinct 3,0,0,0,0
Mark Messmer,State Senate,48,R,Dubois,Precinct 3,260,546,0,806
No Candidate Filed,State Senate,48,D,Dubois,Precinct 3,0,0,0,0
Shane M. Lindauer,State Representative,63,R,Dubois,Precinct 3,218,454,0,672
"Joseph ""Joe"" Lannan",State Representative,63,D,Dubois,Precinct 3,65,175,0,240
,Registered Voters,,,Dubois,Precinct 4,,,,1092
,Ballots Cast,,,Dubois,Precinct 4,,,,272
Mike Braun,U.S. Senate,,R,Dubois,Precinct 4,170,247,0,417
Joe Donnelly,U.S. Senate,,D,Dubois,Precinct 4,82,137,0,219
Lucy M Brenton,U.S. Senate,,L,Dubois,Precinct 4,18,9,0,27
Write in,U.S. Senate,,,Dubois,Precinct 4,0,1,0,1
Connie Lawson,Secretary of State,,R,Dubois,Precinct 4,164,232,0,396
Jim Harper,Secretary of State,,D,Dubois,Precinct 4,84,140,0,224
Mark W. Rutherford,Secretary of State,,L,Dubois,Precinct 4,14,10,0,24
Write in,Secretary of State,,,Dubois,Precinct 4,0,0,0,0
Tera Klutz,Auditor of State,,R,Dubois,Precinct 4,155,207,0,362
Joselyn Whitticker,Auditor of State,,D,Dubois,Precinct 4,77,146,0,223
John Schick,Auditor of State,,L,Dubois,Precinct 4,16,10,0,26
Kelly Mitchell,Treasurer of State,,R,Dubois,Precinct 4,166,228,0,394
John C. Aguilera,Treasurer of State,,D,Dubois,Precinct 4,84,139,0,223
Larry D Bucshon,U.S. House,8,R,Dubois,Precinct 4,176,231,0,407
William Tanoos,U.S. House,8,D,Dubois,Precinct 4,76,142,0,218
