county,precinct,election_day,absentee,provisional,votes,office,district,candidate,party
Wabash,001 - Noble 1,97,41,0,138,Public Question,,YES,
Wabash,001 - Noble 1,37,18,0,55,Public Question,,NO,
Wabash,001 - Noble 1,121,51,0,172,U.S. Senate,,MIKE BRAUN,R
Wabash,001 - Noble 1,39,18,0,57,U.S. Senate,,JOE DONNELLY,D
Wabash,001 - Noble 1,11,3,0,14,U.S. Senate,,LUCY M. BRENTON,L
Wabash,001 - Noble 1,0,0,0,0,U.S. Senate,,WRITE-IN,
Wabash,001 - Noble 1,124,53,0,177,Secretary of State,,CONNIE LAWSON,R
Wabash,001 - Noble 1,39,16,0,55,Secretary of State,,JIM HARPER,D
Wabash,001 - Noble 1,8,3,0,11,Secretary of State,,MARK W. RUTHERFORD,L
Wabash,001 - Noble 1,0,0,0,0,Secretary of State,,WRITE-IN,
Wabash,001 - Noble 1,124,49,0,173,Auditor of State,,TERA KLUTZ,R
Wabash,001 - Noble 1,38,18,0,56,Auditor of State,,JOSELYN WHITTICKER,D
Wabash,001 - Noble 1,7,4,0,11,Auditor of State,,JOHN SCHICK,L
Wabash,001 - Noble 1,131,56,0,187,Treasurer of State,,KELLY MITCHELL,R
Wabash,001 - Noble 1,37,16,0,53,Treasurer of State,,JOHN C. AGUILERA,D
Wabash,001 - Noble 1,119,51,0,170,U.S. House,2,JACKIE WALORSKI,R
Wabash,001 - Noble 1,50,19,0,69,U.S. House,2,MEL HALL,D
Wabash,001 - Noble 1,1,0,0,1,U.S. House,2,WRITE-IN,
Wabash,001 - Noble 1,127,53,0,180,State Senate,17,ANDY ZAY,R
Wabash,001 - Noble 1,43,19,0,62,State Senate,17,GARY L. SNYDER,D
Wabash,001 - Noble 1,130,53,0,183,State Representative,18,DAVID A. WOLKINS,R
Wabash,001 - Noble 1,41,19,0,60,State Representative,18,DEE M MOORE,D
Wabash,001 - Noble 1,142,58,0,200,Prosecuting Atty 27th Circuit,,WILLIAM C. HARTLEY JR.,R
Wabash,001 - Noble 1,148,64,0,212,Circuit Court Clerk,,LORI DRAPER,R
Wabash,001 - Noble 1,140,63,0,203,County Recorder,,ERIC RISH,R
Wabash,001 - Noble 1,149,64,0,213,County Sheriff,,RYAN T. BAKER,R
Wabash,001 - Noble 1,148,64,0,212,County Assessor,,KELLY SCHENKEL,R
Wabash,001 - Noble 1,147,64,0,211,County Commissioner District 2,,JEFF DAWES,R
Wabash,001 - Noble 1,141,65,0,206,County Council District 3,,MATT DILLON,R
Wabash,001 - Noble 1,145,62,0,207,Noble Township Trustee,,LORI HARNISH,R
Wabash,001 - Noble 1,93,32,0,125,Noble Township Board Member,,BRENDA HEGEL,R
Wabash,001 - Noble 1,90,41,0,131,Noble Township Board Member,,STEVEN KIRTLAN,R
Wabash,001 - Noble 1,75,31,0,106,Noble Township Board Member,,WILLIAM PLUMMER,R
Wabash,001 - Noble 1,38,20,0,58,Noble Township Board Member,,ANDREW OSBORNE,D
