candidate,office,district,party,county,precinct,election_day,absentee,provisional,votes
,Registered Voters,,,Delaware,Precinct 1,,,,1445
,Ballots Cast,,,Delaware,Precinct 1,368,136,0,504
Mike Braun,U.S. Senate,,R,Delaware,Precinct 1,93,31,0,124
Joe Donnelly,U.S. Senate,,D,Delaware,Precinct 1,245,97,0,342
Lucy M Brenton,U.S. Senate,,L,Delaware,Precinct 1,25,6,0,31
Write in,U.S. Senate,,,Delaware,Precinct 1,2,0,0,2
Connie Lawson,Secretary of State,,R,Delaware,Precinct 1,109,37,0,146
Jim Harper,Secretary of State,,D,Delaware,Precinct 1,226,87,0,313
Mark W. Rutherford,Secretary of State,,L,Delaware,Precinct 1,25,7,0,32
Write in,Secretary of State,,,Delaware,Precinct 1,2,2,0,4
Tera Klutz,Auditor of State,,R,Delaware,Precinct 1,106,31,0,137
Joselyn Whitticker,Auditor of State,,D,Delaware,Precinct 1,223,94,0,317
John Schick,Auditor of State,,L,Delaware,Precinct 1,17,8,0,25
Kelly Mitchell,Treasurer of State,,R,Delaware,Precinct 1,113,39,0,152
John C. Aguilera,Treasurer of State,,D,Delaware,Precinct 1,232,94,0,326
Greg Pence,U.S. House,6,R,Delaware,Precinct 1,95,34,0,129
Jeannine Lee Lake,U.S. House,6,D,Delaware,Precinct 1,254,99,0,353
Tom Ferkinhoff,U.S. House,6,L,Delaware,Precinct 1,13,3,0,16
Write in,Write In,6,,Delaware,Precinct 1,1,0,0,1
Zaki Ali,State Senate,25,R,Delaware,Precinct 1,105,33,0,138
Tim Lanane,State Senate,25,D,Delaware,Precinct 1,244,96,0,340
Robert Q Jozwiak ,State Senate,25,L,Delaware,Precinct 1,14,5,0,19
No Candidate Filed,State Representative,34,R ,Delaware,Precinct 1,0,0,0,0
Sue Errington ,State Representative,34,D,Delaware,Precinct 1,280,108,0,388
,Registered Voters,,,Delaware,Precinct 2,,,,847
,Ballots Cast,,,Delaware,Precinct 2,404,130,0,534
Mike Braun,U.S. Senate,,R,Delaware,Precinct 2,187,68,0,255
Joe Donnelly,U.S. Senate,,D,Delaware,Precinct 2,195,58,0,253
Lucy M Brenton,U.S. Senate,,L,Delaware,Precinct 2,13,4,0,17
Write in,U.S. Senate,,,Delaware,Precinct 2,0,0,0,0
Connie Lawson,Secretary of State,,R,Delaware,Precinct 2,223,74,0,297
Jim Harper,Secretary of State,,D,Delaware,Precinct 2,160,50,0,210
Mark W. Rutherford,Secretary of State,,L,Delaware,Precinct 2,11,5,0,16
Write in,Secretary of State,,,Delaware,Precinct 2,2,0,0,2
Tera Klutz,Auditor of State,,R,Delaware,Precinct 2,210,73,0,283
Joselyn Whitticker,Auditor of State,,D,Delaware,Precinct 2,169,49,0,218
John Schick,Auditor of State,,L,Delaware,Precinct 2,12,5,0,17
Kelly Mitchell,Treasurer of State,,R,Delaware,Precinct 2,228,75,0,303
John C. Aguilera,Treasurer of State,,D,Delaware,Precinct 2,163,53,0,216
Greg Pence,U.S. House,6,R,Delaware,Precinct 2,187,71,0,258
Jeannine Lee Lake,U.S. House,6,D,Delaware,Precinct 2,205,57,0,262
Tom Ferkinhoff,U.S. House,6,L,Delaware,Precinct 2,7,0,0,7
Write in,Write In,6,,Delaware,Precinct 2,0,0,0,0
Zaki Ali,State Senate,25,R,Delaware,Precinct 2,208,76,0,284
Tim Lanane,State Senate,25,D,Delaware,Precinct 2,184,48,0,232
Robert Q Jozwiak ,State Senate,25,L,Delaware,Precinct 2,4,5,0,9
Ben W Fisher,State Representative,35,R ,Delaware,Precinct 2,177,64,0,241
Melanie M Wright,State Representative,35,D,Delaware,Precinct 2,212,62,0,274
,Registered Voters,,,Delaware,Precinct 3,,,,673
,Ballots Cast,,,Delaware,Precinct 3,322,107,0,429
Mike Braun,U.S. Senate,,R,Delaware,Precinct 3,151,37,0,188
Joe Donnelly,U.S. Senate,,D,Delaware,Precinct 3,156,63,0,219
Lucy M Brenton,U.S. Senate,,L,Delaware,Precinct 3,13,4,0,17
Write in,U.S. Senate,,,Delaware,Precinct 3,0,0,0,0
Connie Lawson,Secretary of State,,R,Delaware,Precinct 3,164,42,0,206
Jim Harper,Secretary of State,,D,Delaware,Precinct 3,136,59,0,195
Mark W. Rutherford,Secretary of State,,L,Delaware,Precinct 3,13,3,0,16
Write in,Secretary of State,,,Delaware,Precinct 3,2,1,0,3
Tera Klutz,Auditor of State,,R,Delaware,Precinct 3,166,40,0,206
Joselyn Whitticker,Auditor of State,,D,Delaware,Precinct 3,127,55,0,182
John Schick,Auditor of State,,L,Delaware,Precinct 3,14,4,0,18
Kelly Mitchell,Treasurer of State,,R,Delaware,Precinct 3,176,41,0,217
John C. Aguilera,Treasurer of State,,D,Delaware,Precinct 3,130,57,0,187
Greg Pence,U.S. House,6,R,Delaware,Precinct 3,157,37,0,194
Jeannine Lee Lake,U.S. House,6,D,Delaware,Precinct 3,151,69,0,220
Tom Ferkinhoff,U.S. House,6,L,Delaware,Precinct 3,8,1,0,9
Write in,Write In,6,,Delaware,Precinct 3,2,0,0,2
Zaki Ali,State Senate,25,R,Delaware,Precinct 3,155,36,0,191
Tim Lanane,State Senate,25,D,Delaware,Precinct 3,148,65,0,213
Robert Q Jozwiak ,State Senate,25,L,Delaware,Precinct 3,13,2,0,15
No Candidate Filed,State Representative,34,R ,Delaware,Precinct 3,0,0,0,0
Sue Errington ,State Representative,34,D,Delaware,Precinct 3,211,75,0,286
,Registered Voters,,,Delaware,Precinct 4,,,,1520
,Ballots Cast,,,Delaware,Precinct 4,404,124,0,528
Mike Braun,U.S. Senate,,R,Delaware,Precinct 4,110,43,0,153
Joe Donnelly,U.S. Senate,,D,Delaware,Precinct 4,269,73,0,342
Lucy M Brenton,U.S. Senate,,L,Delaware,Precinct 4,19,5,0,24
Write in,U.S. Senate,,,Delaware,Precinct 4,0,1,0,1
Connie Lawson,Secretary of State,,R,Delaware,Precinct 4,139,49,0,188
Jim Harper,Secretary of State,,D,Delaware,Precinct 4,241,62,0,303
Mark W. Rutherford,Secretary of State,,L,Delaware,Precinct 4,12,7,0,19
Write in,Secretary of State,,,Delaware,Precinct 4,6,2,0,8
Tera Klutz,Auditor of State,,R,Delaware,Precinct 4,140,50,0,190
Joselyn Whitticker,Auditor of State,,D,Delaware,Precinct 4,235,63,0,298
John Schick,Auditor of State,,L,Delaware,Precinct 4,16,6,0,22
Kelly Mitchell,Treasurer of State,,R,Delaware,Precinct 4,151,53,0,204
John C. Aguilera,Treasurer of State,,D,Delaware,Precinct 4,240,65,0,305
Greg Pence,U.S. House,6,R,Delaware,Precinct 4,110,46,0,156
Jeannine Lee Lake,U.S. House,6,D,Delaware,Precinct 4,273,73,0,346
Tom Ferkinhoff,U.S. House,6,L,Delaware,Precinct 4,16,3,0,19
Write in,Write In,6,,Delaware,Precinct 4,0,1,0,1
Zaki Ali,State Senate,25,R,Delaware,Precinct 4,145,44,0,189
Tim Lanane,State Senate,25,D,Delaware,Precinct 4,240,74,0,314
Robert Q Jozwiak ,State Senate,25,L,Delaware,Precinct 4,14,3,0,17
No Candidate Filed,State Representative,34,R ,Delaware,Precinct 4,0,0,0,0
Sue Errington ,State Representative,34,D,Delaware,Precinct 4,315,90,0,405
,Registered Voters,,,Delaware,Precinct 5,,,,13
,Ballots Cast,,,Delaware,Precinct 5,9,1,0,10
Mike Braun,U.S. Senate,,R,Delaware,Precinct 5,7,1,0,8
Joe Donnelly,U.S. Senate,,D,Delaware,Precinct 5,2,0,0,2
Lucy M Brenton,U.S. Senate,,L,Delaware,Precinct 5,0,0,0,0
Write in,U.S. Senate,,,Delaware,Precinct 5,0,0,0,0
Connie Lawson,Secretary of State,,R,Delaware,Precinct 5,7,1,0,8
Jim Harper,Secretary of State,,D,Delaware,Precinct 5,2,0,0,2
Mark W. Rutherford,Secretary of State,,L,Delaware,Precinct 5,0,0,0,0
Write in,Secretary of State,,,Delaware,Precinct 5,0,0,0,0
Tera Klutz,Auditor of State,,R,Delaware,Precinct 5,6,1,0,7
Joselyn Whitticker,Auditor of State,,D,Delaware,Precinct 5,3,0,0,3
John Schick,Auditor of State,,L,Delaware,Precinct 5,0,0,0,0
Kelly Mitchell,Treasurer of State,,R,Delaware,Precinct 5,7,1,0,8
John C. Aguilera,Treasurer of State,,D,Delaware,Precinct 5,2,0,0,2
Greg Pence,U.S. House,6,R,Delaware,Precinct 5,7,0,0,7
Jeannine Lee Lake,U.S. House,6,D,Delaware,Precinct 5,2,1,0,3
Tom Ferkinhoff,U.S. House,6,L,Delaware,Precinct 5,0,0,0,0
Write in,Write In,6,,Delaware,Precinct 5,0,0,0,0
Zaki Ali,State Senate,25,R,Delaware,Precinct 5,6,1,0,7
Tim Lanane,State Senate,25,D,Delaware,Precinct 5,3,0,0,3
Robert Q Jozwiak ,State Senate,25,L,Delaware,Precinct 5,0,0,0,0
Ben W Fisher,State Representative,35,R ,Delaware,Precinct 5,5,1,0,6
Melanie M Wright,State Representative,35,D,Delaware,Precinct 5,4,0,0,4
,Registered Voters,,,Delaware,Precinct 6,,,,1669
,Ballots Cast,,,Delaware,Precinct 6,389,71,0,460
Mike Braun,U.S. Senate,,R,Delaware,Precinct 6,72,14,0,86
Joe Donnelly,U.S. Senate,,D,Delaware,Precinct 6,286,55,0,341
Lucy M Brenton,U.S. Senate,,L,Delaware,Precinct 6,28,2,0,30
Write in,U.S. Senate,,,Delaware,Precinct 6,0,0,0,0
Connie Lawson,Secretary of State,,R,Delaware,Precinct 6,87,16,0,103
Jim Harper,Secretary of State,,D,Delaware,Precinct 6,267,51,0,318
Mark W. Rutherford,Secretary of State,,L,Delaware,Precinct 6,25,2,0,27
Write in,Secretary of State,,,Delaware,Precinct 6,6,2,0,8
Tera Klutz,Auditor of State,,R,Delaware,Precinct 6,93,15,0,108
Joselyn Whitticker,Auditor of State,,D,Delaware,Precinct 6,265,52,0,317
John Schick,Auditor of State,,L,Delaware,Precinct 6,16,1,0,17
Kelly Mitchell,Treasurer of State,,R,Delaware,Precinct 6,105,19,0,124
John C. Aguilera,Treasurer of State,,D,Delaware,Precinct 6,268,50,0,318
Greg Pence,U.S. House,6,R,Delaware,Precinct 6,74,16,0,90
Jeannine Lee Lake,U.S. House,6,D,Delaware,Precinct 6,293,54,0,347
Tom Ferkinhoff,U.S. House,6,L,Delaware,Precinct 6,15,0,0,15
Write in,Write In,6,,Delaware,Precinct 6,1,0,0,1
Zaki Ali,State Senate,25,R,Delaware,Precinct 6,85,15,0,100
Tim Lanane,State Senate,25,D,Delaware,Precinct 6,282,53,0,335
Robert Q Jozwiak ,State Senate,25,L,Delaware,Precinct 6,20,1,0,21
No Candidate Filed,State Representative,34,R ,Delaware,Precinct 6,0,0,0,0
Sue Errington ,State Representative,34,D,Delaware,Precinct 6,327,58,0,385
,Registered Voters,,,Delaware,Precinct 7,,,,1372
,Ballots Cast,,,Delaware,Precinct 7,311,110,0,421
Mike Braun,U.S. Senate,,R,Delaware,Precinct 7,111,25,0,136
Joe Donnelly,U.S. Senate,,D,Delaware,Precinct 7,173,77,0,250
Lucy M Brenton,U.S. Senate,,L,Delaware,Precinct 7,24,6,0,30
Write in,U.S. Senate,,,Delaware,Precinct 7,0,0,0,0
Connie Lawson,Secretary of State,,R,Delaware,Precinct 7,131,30,0,161
Jim Harper,Secretary of State,,D,Delaware,Precinct 7,157,70,0,227
Mark W. Rutherford,Secretary of State,,L,Delaware,Precinct 7,13,4,0,17
Write in,Secretary of State,,,Delaware,Precinct 7,1,1,0,2
Tera Klutz,Auditor of State,,R,Delaware,Precinct 7,116,29,0,145
Joselyn Whitticker,Auditor of State,,D,Delaware,Precinct 7,168,73,0,241
John Schick,Auditor of State,,L,Delaware,Precinct 7,11,4,0,15
Kelly Mitchell,Treasurer of State,,R,Delaware,Precinct 7,130,34,0,164
John C. Aguilera,Treasurer of State,,D,Delaware,Precinct 7,168,73,0,241
Greg Pence,U.S. House,6,R,Delaware,Precinct 7,113,26,0,139
Jeannine Lee Lake,U.S. House,6,D,Delaware,Precinct 7,179,80,0,259
Tom Ferkinhoff,U.S. House,6,L,Delaware,Precinct 7,17,3,0,20
Write in,Write In,6,,Delaware,Precinct 7,0,0,0,0
Zaki Ali,State Senate,25,R,Delaware,Precinct 7,114,27,0,141
Tim Lanane,State Senate,25,D,Delaware,Precinct 7,180,77,0,257
Robert Q Jozwiak ,State Senate,25,L,Delaware,Precinct 7,13,4,0,17
No Candidate Filed,State Representative,34,R ,Delaware,Precinct 7,0,0,0,0
Sue Errington ,State Representative,34,D,Delaware,Precinct 7,233,86,0,319
,Registered Voters,,,Delaware,Precinct 8,,,,1144
,Ballots Cast,,,Delaware,Precinct 8,419,104,0,523
Mike Braun,U.S. Senate,,R,Delaware,Precinct 8,161,36,0,197
Joe Donnelly,U.S. Senate,,D,Delaware,Precinct 8,228,62,0,290
Lucy M Brenton,U.S. Senate,,L,Delaware,Precinct 8,27,4,0,31
Write in,U.S. Senate,,,Delaware,Precinct 8,0,0,0,0
Connie Lawson,Secretary of State,,R,Delaware,Precinct 8,180,35,0,215
Jim Harper,Secretary of State,,D,Delaware,Precinct 8,209,60,0,269
Mark W. Rutherford,Secretary of State,,L,Delaware,Precinct 8,20,1,0,21
Write in,Secretary of State,,,Delaware,Precinct 8,3,2,0,5
Tera Klutz,Auditor of State,,R,Delaware,Precinct 8,181,38,0,219
Joselyn Whitticker,Auditor of State,,D,Delaware,Precinct 8,204,58,0,262
John Schick,Auditor of State,,L,Delaware,Precinct 8,18,0,0,18
Kelly Mitchell,Treasurer of State,,R,Delaware,Precinct 8,194,37,0,231
John C. Aguilera,Treasurer of State,,D,Delaware,Precinct 8,209,58,0,267
Greg Pence,U.S. House,6,R,Delaware,Precinct 8,164,36,0,200
Jeannine Lee Lake,U.S. House,6,D,Delaware,Precinct 8,239,63,0,302
Tom Ferkinhoff,U.S. House,6,L,Delaware,Precinct 8,15,4,0,19
Write in,Write In,6,,Delaware,Precinct 8,0,0,0,0
Zaki Ali,State Senate,25,R,Delaware,Precinct 8,190,34,0,224
Tim Lanane,State Senate,25,D,Delaware,Precinct 8,213,64,0,277
Robert Q Jozwiak ,State Senate,25,L,Delaware,Precinct 8,10,1,0,11
No Candidate Filed,State Representative,34,R ,Delaware,Precinct 8,0,0,0,0
Sue Errington ,State Representative,34,D,Delaware,Precinct 8,301,75,0,376
,Registered Voters,,,Delaware,Precinct 9,,,,1364
,Ballots Cast,,,Delaware,Precinct 9,339,111,0,450
Mike Braun,U.S. Senate,,R,Delaware,Precinct 9,164,45,0,209
Joe Donnelly,U.S. Senate,,D,Delaware,Precinct 9,149,59,0,208
Lucy M Brenton,U.S. Senate,,L,Delaware,Precinct 9,21,6,0,27
Write in,U.S. Senate,,,Delaware,Precinct 9,0,0,0,0
