county,precinct,office,district,candidate,party,election_day,absentee,provisional,votes
Warrick,Anderson,Ballots Cast,,,,115,7,0,122
Warrick,Anderson,Registered Voters,,,,,,,852
Warrick,Anderson,U.S. Senate,,Mike Braun,REP,44,2,0,46
Warrick,Anderson,U.S. Senate,,Luke Messer,REP,16,0,0,16
Warrick,Anderson,U.S. Senate,,Todd Rokita,REP,20,1,0,21
Warrick,Anderson,U.S. Senate,,Joe Donnelly,DEM,24,4,0,28
Warrick,Anderson,U.S. House,8,Larry D. Bucshon,REP,41,3,0,44
Warrick,Anderson,U.S. House,8,Rachel Covington,REP,9,0,0,9
Warrick,Anderson,U.S. House,8,Richard Moss,REP,33,0,0,33
Warrick,Anderson,U.S. House,8,William Tanoos,DEM,26,3,0,29
Warrick,Anderson,State Senate,48,Mark Messmer,REP,73,3,0,76
Warrick,Anderson,State Senate,48,No Candidate Filed,DEM,0,0,0,0
Warrick,Anderson,State House,75,Ron Bacon,REP,75,3,0,78
Warrick,Anderson,State House,75,John Hurley,DEM,24,4,0,28
Warrick,Boon 1,Ballots Cast,,,,39,7,0,46
Warrick,Boon 1,Registered Voters,,,,,,,274
Warrick,Boon 1,U.S. Senate,,Mike Braun,REP,14,1,0,15
Warrick,Boon 1,U.S. Senate,,Luke Messer,REP,7,3,0,10
Warrick,Boon 1,U.S. Senate,,Todd Rokita,REP,10,0,0,10
Warrick,Boon 1,U.S. Senate,,Joe Donnelly,DEM,6,3,0,9
Warrick,Boon 1,U.S. House,8,Larry D. Bucshon,REP,21,1,0,22
Warrick,Boon 1,U.S. House,8,Rachel Covington,REP,3,3,0,6
Warrick,Boon 1,U.S. House,8,Richard Moss,REP,8,0,0,8
Warrick,Boon 1,U.S. House,8,William Tanoos,DEM,3,1,0,4
Warrick,Boon 1,State Senate,48,Mark Messmer,REP,25,4,0,29
Warrick,Boon 1,State Senate,48,No Candidate Filed,DEM,0,0,0,0
Warrick,Boon 1,State House,75,Ron Bacon,REP,28,4,0,32
Warrick,Boon 1,State House,75,John Hurley,DEM,4,2,0,6
Warrick,Boon 2,Ballots Cast,,,,86,17,0,103
Warrick,Boon 2,Registered Voters,,,,,,,710
Warrick,Boon 2,U.S. Senate,,Mike Braun,REP,21,2,0,23
Warrick,Boon 2,U.S. Senate,,Luke Messer,REP,13,3,0,16
Warrick,Boon 2,U.S. Senate,,Todd Rokita,REP,6,4,0,10
Warrick,Boon 2,U.S. Senate,,Joe Donnelly,DEM,39,6,0,45
Warrick,Boon 2,U.S. House,8,Larry D. Bucshon,REP,29,8,0,37
Warrick,Boon 2,U.S. House,8,Rachel Covington,REP,4,0,0,4
Warrick,Boon 2,U.S. House,8,Richard Moss,REP,8,1,0,9
Warrick,Boon 2,U.S. House,8,William Tanoos,DEM,30,5,0,35
Warrick,Boon 2,State Senate,48,Mark Messmer,REP,36,6,0,42
Warrick,Boon 2,State Senate,48,No Candidate Filed,DEM,0,0,0,0
Warrick,Boon 2,State House,75,Ron Bacon,REP,40,6,0,46
Warrick,Boon 2,State House,75,John Hurley,DEM,32,4,0,36
Warrick,Boon 3,Ballots Cast,,,,91,17,0,108
Warrick,Boon 3,Registered Voters,,,,,,,568
Warrick,Boon 3,U.S. Senate,,Mike Braun,REP,27,6,0,33
Warrick,Boon 3,U.S. Senate,,Luke Messer,REP,16,4,0,20
