candidate,office,district,party,county,precinct,election_day,absentee,provisional,votes
,Registered Voters,,,Jay,Bearcreek,,,,0
,Ballots Cast,,,Jay,Bearcreek,163,40,0,203
Mike Braun,U S Senate,,REP,Jay,Bearcreek,41,9,0,50
Luke Messer,U S Senate,,REP,Jay,Bearcreek,28,10,0,38
Todd Rokita,U S Senate,,REP,Jay,Bearcreek,37,13,0,50
Joe Donnelly,U S Senate,,DEM,Jay,Bearcreek,45,5,0,50
Jim Banks,U S House,3,REP,Jay,Bearcreek,96,32,0,128
John F. Roberson,U S House,3,DEM,Jay,Bearcreek,7,0,0,7
Tommy A Schrader,U S House,3,DEM,Jay,Bearcreek,12,2,0,14
Courtney Tritch,U S House,3,DEM,Jay,Bearcreek,24,3,0,27
Travis Holdman,State Senate,19,REP,Jay,Bearcreek,86,23,0,109
Eric Orr,State Senate,19,REP,Jay,Bearcreek,25,10,0,35
No Candidate Filed,State Senate,19,DEM,Jay,Bearcreek,0,0,0,0
Jenae Horn Blasdei,State Representative,33,REP,Jay,Bearcreek,60,16,0,76
John (J.D.) Prescott,State Representative,33,REP,Jay,Bearcreek,51,19,0,70
Shon Byrum,State Representative,33,DEM,Jay,Bearcreek,37,4,0,41
,Registered Voters,,,Jay,Dunkirk 1,,,,633
,Ballots Cast,,,Jay,Dunkirk 1,117,14,0,131
Mike Braun,U S Senate,,REP,Jay,Dunkirk 1,29,5,0,34
Luke Messer,U S Senate,,REP,Jay,Dunkirk 1,23,2,0,25
Todd Rokita,U S Senate,,REP,Jay,Dunkirk 1,27,2,0,29
Joe Donnelly,U S Senate,,DEM,Jay,Dunkirk 1,28,4,0,32
Jim Banks,U S House,3,REP,Jay,Dunkirk 1,61,7,0,68
John F. Roberson,U S House,3,DEM,Jay,Dunkirk 1,4,1,0,5
Tommy A Schrader,U S House,3,DEM,Jay,Dunkirk 1,6,2,0,8
Courtney Tritch,U S House,3,DEM,Jay,Dunkirk 1,21,1,0,22
Travis Holdman,State Senate,19,REP,Jay,Dunkirk 1,54,3,0,57
Eric Orr,State Senate,19,REP,Jay,Dunkirk 1,22,5,0,27
No Candidate Filed,State Senate,19,DEM,Jay,Dunkirk 1,0,0,0,0
Jenae Horn Blasdei,State Representative,33,REP,Jay,Dunkirk 1,30,5,0,35
John (J.D.) Prescott,State Representative,33,REP,Jay,Dunkirk 1,49,3,0,52
Shon Byrum,State Representative,33,DEM,Jay,Dunkirk 1,24,2,0,26
,Registered Voters,,,Jay,Dunkirk 3,,,,717
,Ballots Cast,,,Jay,Dunkirk 3,123,15,0,138
Mike Braun,U S Senate,,REP,Jay,Dunkirk 3,42,0,0,42
Luke Messer,U S Senate,,REP,Jay,Dunkirk 3,25,1,0,26
Todd Rokita,U S Senate,,REP,Jay,Dunkirk 3,17,7,0,24
Joe Donnelly,U S Senate,,DEM,Jay,Dunkirk 3,31,3,0,34
Jim Banks,U S House,3,REP,Jay,Dunkirk 3,68,6,0,74
John F. Roberson,U S House,3,DEM,Jay,Dunkirk 3,9,1,0,10
Tommy A Schrader,U S House,3,DEM,Jay,Dunkirk 3,6,0,0,6
Courtney Tritch,U S House,3,DEM,Jay,Dunkirk 3,17,4,0,21
Travis Holdman,State Senate,19,REP,Jay,Dunkirk 3,64,6,0,70
Eric Orr,State Senate,19,REP,Jay,Dunkirk 3,18,4,0,22
No Candidate Filed,State Senate,19,DEM,Jay,Dunkirk 3,0,0,0,0
Jenae Horn Blasdei,State Representative,33,REP,Jay,Dunkirk 3,43,6,0,49
John (J.D.) Prescott,State Representative,33,REP,Jay,Dunkirk 3,42,2,0,44
Shon Byrum,State Representative,33,DEM,Jay,Dunkirk 3,25,3,0,28
,Registered Voters,,,Jay,Greene,,,,652
,Ballots Cast,,,Jay,Greene,156,107,0,263
Mike Braun,U S Senate,,REP,Jay,Greene,50,33,0,83
Luke Messer,U S Senate,,REP,Jay,Greene,36,18,0,54
Todd Rokita,U S Senate,,REP,Jay,Greene,27,23,0,50
Joe Donnelly,U S Senate,,DEM,Jay,Greene,23,18,0,41
Jim Banks,U S House,3,REP,Jay,Greene,100,63,0,163
John F. Roberson,U S House,3,DEM,Jay,Greene,5,6,0,11
Tommy A Schrader,U S House,3,DEM,Jay,Greene,9,6,0,15
Courtney Tritch,U S House,3,DEM,Jay,Greene,12,8,0,20
Travis Holdman,State Senate,19,REP,Jay,Greene,87,57,0,144
Eric Orr,State Senate,19,REP,Jay,Greene,32,20,0,52
No Candidate Filed,State Senate,19,DEM,Jay,Greene,0,0,0,0
Jenae Horn Blasdei,State Representative,33,REP,Jay,Greene,71,46,0,117
John (J.D.) Prescott,State Representative,33,REP,Jay,Greene,50,34,0,84
Shon Byrum,State Representative,33,DEM,Jay,Greene,17,15,0,32
,Registered Voters,,,Jay,Jackson,,,,0
,Ballots Cast,,,Jay,Jackson,122,33,0,155
Mike Braun,U S Senate,,REP,Jay,Jackson,36,13,0,49
Luke Messer,U S Senate,,REP,Jay,Jackson,28,3,0,31
Todd Rokita,U S Senate,,REP,Jay,Jackson,38,12,0,50
Joe Donnelly,U S Senate,,DEM,Jay,Jackson,15,3,0,18
Jim Banks,U S House,3,REP,Jay,Jackson,92,27,0,119
John F. Roberson,U S House,3,DEM,Jay,Jackson,3,1,0,4
Tommy A Schrader,U S House,3,DEM,Jay,Jackson,4,1,0,5
Courtney Tritch,U S House,3,DEM,Jay,Jackson,9,0,0,9
Travis Holdman,State Senate,19,REP,Jay,Jackson,79,21,0,100
Eric Orr,State Senate,19,REP,Jay,Jackson,26,8,0,34
No Candidate Filed,State Senate,19,DEM,Jay,Jackson,0,0,0,0
Jenae Horn Blasdei,State Representative,33,REP,Jay,Jackson,62,22,0,84
John (J.D.) Prescott,State Representative,33,REP,Jay,Jackson,42,5,0,47
Shon Byrum,State Representative,33,DEM,Jay,Jackson,15,1,0,16
,Registered Voters,,,Jay,Jefferson,,,,446
,Ballots Cast,,,Jay,Jefferson,83,29,0,112
Mike Braun,U S Senate,,REP,Jay,Jefferson,31,7,0,38
Luke Messer,U S Senate,,REP,Jay,Jefferson,19,6,0,25
Todd Rokita,U S Senate,,REP,Jay,Jefferson,15,8,0,23
Joe Donnelly,U S Senate,,DEM,Jay,Jefferson,12,2,0,14
Jim Banks,U S House,3,REP,Jay,Jefferson,54,20,0,74
John F. Roberson,U S House,3,DEM,Jay,Jefferson,0,0,0,0
Tommy A Schrader,U S House,3,DEM,Jay,Jefferson,8,0,0,8
Courtney Tritch,U S House,3,DEM,Jay,Jefferson,4,2,0,6
Travis Holdman,State Senate,19,REP,Jay,Jefferson,50,18,0,68
Eric Orr,State Senate,19,REP,Jay,Jefferson,12,6,0,18
No Candidate Filed,State Senate,19,DEM,Jay,Jefferson,0,0,0,0
Jenae Horn Blasdei,State Representative,33,REP,Jay,Jefferson,31,13,0,44
John (J.D.) Prescott,State Representative,33,REP,Jay,Jefferson,34,12,0,46
Shon Byrum,State Representative,33,DEM,Jay,Jefferson,10,2,0,12
,Registered Voters,,,Jay,Knox,,,,297
,Ballots Cast,,,Jay,Knox,58,16,0,74
Mike Braun,U S Senate,,REP,Jay,Knox,13,5,0,18
Luke Messer,U S Senate,,REP,Jay,Knox,20,4,0,24
Todd Rokita,U S Senate,,REP,Jay,Knox,15,3,0,18
Joe Donnelly,U S Senate,,DEM,Jay,Knox,5,3,0,8
Jim Banks,U S House,3,REP,Jay,Knox,38,7,0,45
John F. Roberson,U S House,3,DEM,Jay,Knox,0,0,0,0
Tommy A Schrader,U S House,3,DEM,Jay,Knox,4,2,0,6
Courtney Tritch,U S House,3,DEM,Jay,Knox,1,2,0,3
Travis Holdman,State Senate,19,REP,Jay,Knox,40,8,0,48
Eric Orr,State Senate,19,REP,Jay,Knox,8,3,0,11
No Candidate Filed,State Senate,19,DEM,Jay,Knox,0,0,0,0
Jenae Horn Blasdei,State Representative,33,REP,Jay,Knox,32,4,0,36
John (J.D.) Prescott,State Representative,33,REP,Jay,Knox,17,7,0,24
Shon Byrum,State Representative,33,DEM,Jay,Knox,6,2,0,8
,Registered Voters,,,Jay,Madison,,,,413
,Ballots Cast,,,Jay,Madison,103,15,0,118
Mike Braun,U S Senate,,REP,Jay,Madison,39,4,0,43
Luke Messer,U S Senate,,REP,Jay,Madison,29,2,0,31
Todd Rokita,U S Senate,,REP,Jay,Madison,17,3,0,20
Joe Donnelly,U S Senate,,DEM,Jay,Madison,7,5,0,12
Jim Banks,U S House,3,REP,Jay,Madison,78,4,0,82
John F. Roberson,U S House,3,DEM,Jay,Madison,3,1,0,4
Tommy A Schrader,U S House,3,DEM,Jay,Madison,2,2,0,4
Courtney Tritch,U S House,3,DEM,Jay,Madison,4,3,0,7
Travis Holdman,State Senate,19,REP,Jay,Madison,67,6,0,73
Eric Orr,State Senate,19,REP,Jay,Madison,21,2,0,23
No Candidate Filed,State Senate,19,DEM,Jay,Madison,0,0,0,0
Jenae Horn Blasdei,State Representative,33,REP,Jay,Madison,29,0,0,29
John (J.D.) Prescott,State Representative,33,REP,Jay,Madison,62,8,0,70
Shon Byrum,State Representative,33,DEM,Jay,Madison,7,4,0,11
,Registered Voters,,,Jay,Noble,,,,0
,Ballots Cast,,,Jay,Noble,72,44,0,116
Mike Braun,U S Senate,,REP,Jay,Noble,27,11,0,38
Luke Messer,U S Senate,,REP,Jay,Noble,17,10,0,27
Todd Rokita,U S Senate,,REP,Jay,Noble,13,11,0,24
Joe Donnelly,U S Senate,,DEM,Jay,Noble,5,6,0,11
Jim Banks,U S House,3,REP,Jay,Noble,51,27,0,78
John F. Roberson,U S House,3,DEM,Jay,Noble,1,1,0,2
Tommy A Schrader,U S House,3,DEM,Jay,Noble,2,2,0,4
Courtney Tritch,U S House,3,DEM,Jay,Noble,3,4,0,7
Travis Holdman,State Senate,19,REP,Jay,Noble,55,26,0,81
Eric Orr,State Senate,19,REP,Jay,Noble,6,8,0,14
No Candidate Filed,State Senate,19,DEM,Jay,Noble,0,0,0,0
Jenae Horn Blasdei,State Representative,33,REP,Jay,Noble,43,15,0,58
John (J.D.) Prescott,State Representative,33,REP,Jay,Noble,23,19,0,42
