candidate,office,district,party,county,precinct,election_day,absentee,provisional,votes
,Registered Voters,,,Knox,Bicknell City 1,,,,572
,Ballots Cast,,,Knox,Bicknell City 1,180,34,0,214
Mike Braun,U.S. Senate,,R,Knox,Bicknell City 1,122,17,0,139
Joe Donnelly,U.S. Senate,,D,Knox,Bicknell City 1,45,16,0,61
Lucy M Brenton,U.S. Senate,,L,Knox,Bicknell City 1,11,1,0,12
Write in,U.S. Senate,,,Knox,Bicknell City 1,0,0,0,0
Connie Lawson,Secretary of State,,R,Knox,Bicknell City 1,119,16,0,135
Jim Harper,Secretary of State,,D,Knox,Bicknell City 1,44,14,0,58
Mark W. Rutherford,Secretary of State,,L,Knox,Bicknell City 1,7,2,0,9
Write in,Secretary of State,,,Knox,Bicknell City 1,0,0,0,0
Tera Klutz,Auditor of State,,R,Knox,Bicknell City 1,120,17,0,137
Joselyn Whitticker,Auditor of State,,D,Knox,Bicknell City 1,41,13,0,54
John Schick,Auditor of State,,L,Knox,Bicknell City 1,7,2,0,9
Kelly Mitchell,Treasurer of State,,R,Knox,Bicknell City 1,122,17,0,139
John C. Aguilera,Treasurer of State,,D,Knox,Bicknell City 1,47,14,0,61
Larry D. Bucshon,U.S. House,8,R,Knox,Bicknell City 1,137,20,0,157
William Tanoos,U.S. House,8,D,Knox,Bicknell City 1,36,14,0,50
Write in,U.S. House,8,,Knox,Bicknell City 1,0,0,0,0
Eric S Bassler,State Senate,39,R,Knox,Bicknell City 1,144,23,0,167
No Candidate Filed,State Senate,39,D,Knox,Bicknell City 1,0,0,0,0
Bruce Borders,State Representative,45,R,Knox,Bicknell City 1,129,14,0,143
Jim Exline,State Representative,45,D,Knox,Bicknell City 1,48,20,0,68
,Registered Voters,,,Knox,Bicknell City 2,,,,519
,Ballots Cast,,,Knox,Bicknell City 2,181,45,0,226
Mike Braun,U.S. Senate,,R,Knox,Bicknell City 2,115,19,0,134
Joe Donnelly,U.S. Senate,,D,Knox,Bicknell City 2,46,21,0,67
Lucy M Brenton,U.S. Senate,,L,Knox,Bicknell City 2,13,5,0,18
Write in,U.S. Senate,,,Knox,Bicknell City 2,0,0,0,0
Connie Lawson,Secretary of State,,R,Knox,Bicknell City 2,113,24,0,137
Jim Harper,Secretary of State,,D,Knox,Bicknell City 2,49,17,0,66
Mark W. Rutherford,Secretary of State,,L,Knox,Bicknell City 2,8,0,0,8
Write in,Secretary of State,,,Knox,Bicknell City 2,0,0,0,0
Tera Klutz,Auditor of State,,R,Knox,Bicknell City 2,103,23,0,126
Joselyn Whitticker,Auditor of State,,D,Knox,Bicknell City 2,44,14,0,58
John Schick,Auditor of State,,L,Knox,Bicknell City 2,11,2,0,13
Kelly Mitchell,Treasurer of State,,R,Knox,Bicknell City 2,115,24,0,139
John C. Aguilera,Treasurer of State,,D,Knox,Bicknell City 2,43,16,0,59
Larry D. Bucshon,U.S. House,8,R,Knox,Bicknell City 2,125,29,0,154
William Tanoos,U.S. House,8,D,Knox,Bicknell City 2,42,12,0,54
Write in,U.S. House,8,,Knox,Bicknell City 2,0,0,0,0
Eric S Bassler,State Senate,39,R,Knox,Bicknell City 2,136,28,0,164
No Candidate Filed,State Senate,39,D,Knox,Bicknell City 2,0,0,0,0
Bruce Borders,State Representative,45,R,Knox,Bicknell City 2,134,28,0,162
Jim Exline,State Representative,45,D,Knox,Bicknell City 2,39,17,0,56
,Registered Voters,,,Knox,Bicknell City 3,,,,449
,Ballots Cast,,,Knox,Bicknell City 3,186,44,0,230
Mike Braun,U.S. Senate,,R,Knox,Bicknell City 3,118,21,0,139
Joe Donnelly,U.S. Senate,,D,Knox,Bicknell City 3,56,19,0,75
Lucy M Brenton,U.S. Senate,,L,Knox,Bicknell City 3,11,3,0,14
Write in,U.S. Senate,,,Knox,Bicknell City 3,0,0,0,0
Connie Lawson,Secretary of State,,R,Knox,Bicknell City 3,116,18,0,134
Jim Harper,Secretary of State,,D,Knox,Bicknell City 3,54,23,0,77
Mark W. Rutherford,Secretary of State,,L,Knox,Bicknell City 3,7,0,0,7
Write in,Secretary of State,,,Knox,Bicknell City 3,0,0,0,0
Tera Klutz,Auditor of State,,R,Knox,Bicknell City 3,116,19,0,135
Joselyn Whitticker,Auditor of State,,D,Knox,Bicknell City 3,52,23,0,75
John Schick,Auditor of State,,L,Knox,Bicknell City 3,7,1,0,8
Kelly Mitchell,Treasurer of State,,R,Knox,Bicknell City 3,126,19,0,145
John C. Aguilera,Treasurer of State,,D,Knox,Bicknell City 3,48,25,0,73
Larry D. Bucshon,U.S. House,8,R,Knox,Bicknell City 3,133,23,0,156
William Tanoos,U.S. House,8,D,Knox,Bicknell City 3,48,19,0,67
Write in,U.S. House,8,,Knox,Bicknell City 3,0,0,0,0
Eric S Bassler,State Senate,39,R,Knox,Bicknell City 3,144,25,0,169
No Candidate Filed,State Senate,39,D,Knox,Bicknell City 3,0,0,0,0
Bruce Borders,State Representative,45,R,Knox,Bicknell City 3,131,18,0,149
Jim Exline,State Representative,45,D,Knox,Bicknell City 3,53,22,0,75
,Registered Voters,,,Knox,Bicknell City 4,,,,282
,Ballots Cast,,,Knox,Bicknell City 4,110,22,0,132
Mike Braun,U.S. Senate,,R,Knox,Bicknell City 4,58,13,0,71
Joe Donnelly,U.S. Senate,,D,Knox,Bicknell City 4,33,9,0,42
Lucy M Brenton,U.S. Senate,,L,Knox,Bicknell City 4,11,0,0,11
Write in,U.S. Senate,,,Knox,Bicknell City 4,0,0,0,0
Connie Lawson,Secretary of State,,R,Knox,Bicknell City 4,61,12,0,73
Jim Harper,Secretary of State,,D,Knox,Bicknell City 4,34,9,0,43
Mark W. Rutherford,Secretary of State,,L,Knox,Bicknell City 4,8,0,0,8
Write in,Secretary of State,,,Knox,Bicknell City 4,0,0,0,0
Tera Klutz,Auditor of State,,R,Knox,Bicknell City 4,62,11,0,73
Joselyn Whitticker,Auditor of State,,D,Knox,Bicknell City 4,32,9,0,41
John Schick,Auditor of State,,L,Knox,Bicknell City 4,4,1,0,5
Kelly Mitchell,Treasurer of State,,R,Knox,Bicknell City 4,67,14,0,81
John C. Aguilera,Treasurer of State,,D,Knox,Bicknell City 4,30,8,0,38
Larry D. Bucshon,U.S. House,8,R,Knox,Bicknell City 4,64,14,0,78
William Tanoos,U.S. House,8,D,Knox,Bicknell City 4,39,8,0,47
Write in,U.S. House,8,,Knox,Bicknell City 4,0,0,0,0
Eric S Bassler,State Senate,39,R,Knox,Bicknell City 4,75,15,0,90
No Candidate Filed,State Senate,39,D,Knox,Bicknell City 4,0,0,0,0
Bruce Borders,State Representative,45,R,Knox,Bicknell City 4,67,15,0,82
Jim Exline,State Representative,45,D,Knox,Bicknell City 4,36,7,0,43
,Registered Voters,,,Knox,Busseron,,,,865
,Ballots Cast,,,Knox,Busseron,337,115,0,452
Mike Braun,U.S. Senate,,R,Knox,Busseron,220,54,0,274
Joe Donnelly,U.S. Senate,,D,Knox,Busseron,79,51,0,130
Lucy M Brenton,U.S. Senate,,L,Knox,Busseron,30,3,0,33
Write in,U.S. Senate,,,Knox,Busseron,0,0,0,0
Connie Lawson,Secretary of State,,R,Knox,Busseron,227,63,0,290
Jim Harper,Secretary of State,,D,Knox,Busseron,81,41,0,122
Mark W. Rutherford,Secretary of State,,L,Knox,Busseron,10,5,0,15
Write in,Secretary of State,,,Knox,Busseron,0,0,0,0
Tera Klutz,Auditor of State,,R,Knox,Busseron,209,57,0,266
Joselyn Whitticker,Auditor of State,,D,Knox,Busseron,83,43,0,126
John Schick,Auditor of State,,L,Knox,Busseron,14,3,0,17
Kelly Mitchell,Treasurer of State,,R,Knox,Busseron,225,60,0,285
John C. Aguilera,Treasurer of State,,D,Knox,Busseron,81,45,0,126
Larry D. Bucshon,U.S. House,8,R,Knox,Busseron,240,73,0,313
William Tanoos,U.S. House,8,D,Knox,Busseron,75,35,0,110
Write in,U.S. House,8,,Knox,Busseron,0,0,0,0
Eric S Bassler,State Senate,39,R,Knox,Busseron,262,76,0,338
No Candidate Filed,State Senate,39,D,Knox,Busseron,0,0,0,0
Bruce Borders,State Representative,45,R,Knox,Busseron,223,59,0,282
Jim Exline,State Representative,45,D,Knox,Busseron,101,50,0,151
,Registered Voters,,,Knox,Decker,,,,139
,Ballots Cast,,,Knox,Decker,76,11,0,87
Mike Braun,U.S. Senate,,R,Knox,Decker,52,8,0,60
Joe Donnelly,U.S. Senate,,D,Knox,Decker,18,2,0,20
Lucy M Brenton,U.S. Senate,,L,Knox,Decker,6,1,0,7
Write in,U.S. Senate,,,Knox,Decker,0,0,0,0
Connie Lawson,Secretary of State,,R,Knox,Decker,53,6,0,59
Jim Harper,Secretary of State,,D,Knox,Decker,18,2,0,20
Mark W. Rutherford,Secretary of State,,L,Knox,Decker,5,2,0,7
Write in,Secretary of State,,,Knox,Decker,0,0,0,0
Tera Klutz,Auditor of State,,R,Knox,Decker,51,7,0,58
Joselyn Whitticker,Auditor of State,,D,Knox,Decker,18,1,0,19
John Schick,Auditor of State,,L,Knox,Decker,4,2,0,6
Kelly Mitchell,Treasurer of State,,R,Knox,Decker,57,9,0,66
John C. Aguilera,Treasurer of State,,D,Knox,Decker,17,1,0,18
Larry D. Bucshon,U.S. House,8,R,Knox,Decker,56,9,0,65
William Tanoos,U.S. House,8,D,Knox,Decker,19,1,0,20
Write in,U.S. House,8,,Knox,Decker,0,0,0,0
Mark Messmer,State Senate,48,R,Knox,Decker,61,8,0,69
No Candidate Filed,State Senate,48,D,Knox,Decker,0,0,0,0
Matt Hostettler,State Representative,64,R,Knox,Decker,62,8,0,70
No Candidate Filed,State Representative,64,D,Knox,Decker,0,0,0,0
,Registered Voters,,,Knox,Harrison,,,,1353
,Ballots Cast,,,Knox,Harrison,569,280,0,849
Mike Braun,U.S. Senate,,R,Knox,Harrison,386,174,0,560
Joe Donnelly,U.S. Senate,,D,Knox,Harrison,139,91,0,230
Lucy M Brenton,U.S. Senate,,L,Knox,Harrison,33,11,0,44
Write in,U.S. Senate,,,Knox,Harrison,0,0,0,0
Connie Lawson,Secretary of State,,R,Knox,Harrison,382,171,0,553
Jim Harper,Secretary of State,,D,Knox,Harrison,128,90,0,218
Mark W. Rutherford,Secretary of State,,L,Knox,Harrison,22,7,0,29
Write in,Secretary of State,,,Knox,Harrison,0,0,0,0
Tera Klutz,Auditor of State,,R,Knox,Harrison,358,159,0,517
Joselyn Whitticker,Auditor of State,,D,Knox,Harrison,131,89,0,220
John Schick,Auditor of State,,L,Knox,Harrison,25,7,0,32
Kelly Mitchell,Treasurer of State,,R,Knox,Harrison,384,173,0,557
John C. Aguilera,Treasurer of State,,D,Knox,Harrison,135,86,0,221
Larry D. Bucshon,U.S. House,8,R,Knox,Harrison,416,180,0,596
William Tanoos,U.S. House,8,D,Knox,Harrison,130,89,0,219
Write in,U.S. House,8,,Knox,Harrison,0,0,0,0
Mark Messmer,State Senate,48,R,Knox,Harrison,459,198,0,657
No Candidate Filed,State Senate,48,D,Knox,Harrison,0,0,0,0
Matt Hostettler,State Representative,64,R,Knox,Harrison,460,198,0,658
No Candidate Filed,State Representative,64,D,Knox,Harrison,0,0,0,0
,Registered Voters,,,Knox,Johnson,,,,1003
,Ballots Cast,,,Knox,Johnson,410,224,0,634
Mike Braun,U.S. Senate,,R,Knox,Johnson,274,131,0,405
Joe Donnelly,U.S. Senate,,D,Knox,Johnson,99,83,0,182
Lucy M Brenton,U.S. Senate,,L,Knox,Johnson,31,7,0,38
Write in,U.S. Senate,,,Knox,Johnson,0,0,0,0
Connie Lawson,Secretary of State,,R,Knox,Johnson,265,120,0,385
Jim Harper,Secretary of State,,D,Knox,Johnson,89,78,0,167
Mark W. Rutherford,Secretary of State,,L,Knox,Johnson,29,9,0,38
Write in,Secretary of State,,,Knox,Johnson,0,0,0,0
Tera Klutz,Auditor of State,,R,Knox,Johnson,254,108,0,362
Joselyn Whitticker,Auditor of State,,D,Knox,Johnson,96,75,0,171
John Schick,Auditor of State,,L,Knox,Johnson,25,7,0,32
Kelly Mitchell,Treasurer of State,,R,Knox,Johnson,280,116,0,396
John C. Aguilera,Treasurer of State,,D,Knox,Johnson,98,74,0,172
Larry D. Bucshon,U.S. House,8,R,Knox,Johnson,302,142,0,444
William Tanoos,U.S. House,8,D,Knox,Johnson,86,66,0,152
Write in,U.S. House,8,,Knox,Johnson,0,0,0,0
Mark Messmer,State Senate,48,R,Knox,Johnson,318,419,0,467
No Candidate Filed,State Senate,48,D,Knox,Johnson,0,0,0,0
Matt Hostettler,State Representative,64,R,Knox,Johnson,316,144,0,460
No Candidate Filed,State Representative,64,D,Knox,Johnson,0,0,0,0
,Registered Voters,,,Knox,Palmyra,,,,1155
,Ballots Cast,,,Knox,Palmyra,480,251,0,731
Mike Braun,U.S. Senate,,R,Knox,Palmyra,327,152,0,479
Joe Donnelly,U.S. Senate,,D,Knox,Palmyra,126,85,0,211
Lucy M Brenton,U.S. Senate,,L,Knox,Palmyra,22,9,0,31
Write in,U.S. Senate,,,Knox,Palmyra,0,0,0,0
Connie Lawson,Secretary of State,,R,Knox,Palmyra,335,147,0,482
Jim Harper,Secretary of State,,D,Knox,Palmyra,108,81,0,189
Mark W. Rutherford,Secretary of State,,L,Knox,Palmyra,18,9,0,27
