county,precinct,office,district,candidate,party,election_day,absentee,provisional,votes
Sullivan,Cass 1,Ballots Cast,,,,127,24,0,151
Sullivan,Cass 1,Registered Voters,,,,,,,538
Sullivan,Cass 1,U.S. Senate,,Mike Braun,REP,29,2,0,31
Sullivan,Cass 1,U.S. Senate,,Luke Messer,REP,12,0,0,12
Sullivan,Cass 1,U.S. Senate,,Todd Rokita,REP,6,2,0,8
Sullivan,Cass 1,U.S. Senate,,Joe Donnelly,DEM,56,11,0,67
Sullivan,Cass 1,U.S. House,8,Larry D. Bucshon,REP,29,3,0,32
Sullivan,Cass 1,U.S. House,8,Rachel Covington,REP,10,1,0,11
Sullivan,Cass 1,U.S. House,8,Richard Moss,REP,9,0,0,9
Sullivan,Cass 1,U.S. House,8,William Tanoos,DEM,41,11,0,52
Sullivan,Cass 1,State Senate,39,Eric S. Bassler,REP,39,3,0,42
Sullivan,Cass 1,State Senate,39,No Candidate Filed,DEM,0,0,0,0
Sullivan,Cass 1,State House,45,Bruce Borders,REP,44,3,0,47
Sullivan,Cass 1,State House,45,Jim Exline,DEM,45,14,0,59
Sullivan,Cass 2,Ballots Cast,,,,174,26,0,200
Sullivan,Cass 2,Registered Voters,,,,,,,837
Sullivan,Cass 2,U.S. Senate,,Mike Braun,REP,39,2,0,41
Sullivan,Cass 2,U.S. Senate,,Luke Messer,REP,10,0,0,10
Sullivan,Cass 2,U.S. Senate,,Todd Rokita,REP,8,1,0,9
Sullivan,Cass 2,U.S. Senate,,Joe Donnelly,DEM,82,18,0,100
Sullivan,Cass 2,U.S. House,8,Larry D. Bucshon,REP,37,1,0,38
Sullivan,Cass 2,U.S. House,8,Rachel Covington,REP,9,0,0,9
Sullivan,Cass 2,U.S. House,8,Richard Moss,REP,12,2,0,14
Sullivan,Cass 2,U.S. House,8,William Tanoos,DEM,62,13,0,75
Sullivan,Cass 2,State Senate,39,Eric S. Bassler,REP,49,2,0,51
Sullivan,Cass 2,State Senate,39,No Candidate Filed,DEM,0,0,0,0
Sullivan,Cass 2,State House,45,Bruce Borders,REP,56,1,0,57
Sullivan,Cass 2,State House,45,Jim Exline,DEM,66,12,0,78
Sullivan,Curry 1,Ballots Cast,,,,156,13,0,169
Sullivan,Curry 1,Registered Voters,,,,,,,723
Sullivan,Curry 1,U.S. Senate,,Mike Braun,REP,35,6,0,41
Sullivan,Curry 1,U.S. Senate,,Luke Messer,REP,22,1,0,23
Sullivan,Curry 1,U.S. Senate,,Todd Rokita,REP,19,0,0,19
Sullivan,Curry 1,U.S. Senate,,Joe Donnelly,DEM,68,5,0,73
Sullivan,Curry 1,U.S. House,8,Larry D. Bucshon,REP,48,6,0,54
Sullivan,Curry 1,U.S. House,8,Rachel Covington,REP,19,2,0,21
Sullivan,Curry 1,U.S. House,8,Richard Moss,REP,12,0,0,12
Sullivan,Curry 1,U.S. House,8,William Tanoos,DEM,59,3,0,62
Sullivan,Curry 1,State Senate,39,Eric S. Bassler,REP,66,8,0,74
Sullivan,Curry 1,State Senate,39,No Candidate Filed,DEM,0,0,0,0
Sullivan,Curry 1,State House,45,Bruce Borders,REP,74,8,0,82
Sullivan,Curry 1,State House,45,Jim Exline,DEM,60,3,0,63
