candidate,office,district,party,county,precinct,election_day,absentee,provisional,votes
,Registered Voters,,,Whitley,Cleveland NORTHEAST,,,,692
,Ballots Cast,,,Whitley,Cleveland NORTHEAST,,,,309
Mike Braun,U.S. Senate,,R,Whitley,Cleveland NORTHEAST,203,56,0,259
Joe Donnelly,U.S. Senate,,D,Whitley,Cleveland NORTHEAST,96,30,0,126
Lucy M Brenton,U.S. Senate,,L,Whitley,Cleveland NORTHEAST,10,5,0,15
Write in,U.S. Senate,,,Whitley,Cleveland NORTHEAST,0,0,0,0
Connie Lawson,Secretary of State,,R,Whitley,Cleveland NORTHEAST,227,64,0,291
Jim Harper,Secretary of State,,D,Whitley,Cleveland NORTHEAST,70,26,0,96
Mark W. Rutherford,Secretary of State,,L,Whitley,Cleveland NORTHEAST,7,1,0,8
Write in,Secretary of State,,,Whitley,Cleveland NORTHEAST,1,0,0,1
Tera Klutz,Auditor of State,,R,Whitley,Cleveland NORTHEAST,217,59,0,276
Joselyn Whitticker,Auditor of State,,D,Whitley,Cleveland NORTHEAST,73,28,0,101
John Schick,Auditor of State,,L,Whitley,Cleveland NORTHEAST,9,2,0,11
Kelly Mitchell,Treasurer of State,,R,Whitley,Cleveland NORTHEAST,228,64,0,292
John C. Aguilera,Treasurer of State,,D,Whitley,Cleveland NORTHEAST,72,26,0,98
Jim Banks,U.S. House,3,R,Whitley,Cleveland NORTHEAST,230,60,0,290
Courtney Tritch,U.S. House,3,D,Whitley,Cleveland NORTHEAST,77,32,0,109
Write in,U.S. House,3,,Whitley,Cleveland NORTHEAST,0,1,0,1
Andy Zay,State Senate,17,R,Whitley,Cleveland NORTHEAST,220,61,0,281
Gary L Snyder,State Senate,17,D,Whitley,Cleveland NORTHEAST,80,27,0,107
Christopher Judy,State Representative,83,R,Whitley,Cleveland NORTHEAST,256,72,0,328
,Registered Voters,,,Whitley,Cleveland NORTHWEST,,,,851
,Ballots Cast,,,Whitley,Cleveland NORTHWEST,,,,405
Mike Braun,U.S. Senate,,R,Whitley,Cleveland NORTHWEST,274,57,0,331
Joe Donnelly,U.S. Senate,,D,Whitley,Cleveland NORTHWEST,105,32,0,137
Lucy M Brenton,U.S. Senate,,L,Whitley,Cleveland NORTHWEST,22,4,0,26
Write in,U.S. Senate,,,Whitley,Cleveland NORTHWEST,0,1,0,1
Connie Lawson,Secretary of State,,R,Whitley,Cleveland NORTHWEST,286,67,0,353
Jim Harper,Secretary of State,,D,Whitley,Cleveland NORTHWEST,90,23,0,113
Mark W. Rutherford,Secretary of State,,L,Whitley,Cleveland NORTHWEST,22,3,0,25
Write in,Secretary of State,,,Whitley,Cleveland NORTHWEST,0,0,0,0
Tera Klutz,Auditor of State,,R,Whitley,Cleveland NORTHWEST,275,64,0,339
Joselyn Whitticker,Auditor of State,,D,Whitley,Cleveland NORTHWEST,94,26,0,120
John Schick,Auditor of State,,L,Whitley,Cleveland NORTHWEST,20,2,0,22
Kelly Mitchell,Treasurer of State,,R,Whitley,Cleveland NORTHWEST,304,70,0,374
John C. Aguilera,Treasurer of State,,D,Whitley,Cleveland NORTHWEST,85,22,0,107
Jim Banks,U.S. House,3,R,Whitley,Cleveland NORTHWEST,307,67,0,374
Courtney Tritch,U.S. House,3,D,Whitley,Cleveland NORTHWEST,93,25,0,118
Write in,U.S. House,3,,Whitley,Cleveland NORTHWEST,0,0,0,0
Andy Zay,State Senate,17,R,Whitley,Cleveland NORTHWEST,297,67,0,364
Gary L Snyder,State Senate,17,D,Whitley,Cleveland NORTHWEST,95,26,0,121
Christopher Judy,State Representative,83,R,Whitley,Cleveland NORTHWEST,340,80,0,420
,Registered Voters,,,Whitley,Cleveland SOUTH,,,,452
,Ballots Cast,,,Whitley,Cleveland SOUTH,,,,224
Mike Braun,U.S. Senate,,R,Whitley,Cleveland SOUTH,173,33,0,206
Joe Donnelly,U.S. Senate,,D,Whitley,Cleveland SOUTH,39,29,0,68
Lucy M Brenton,U.S. Senate,,L,Whitley,Cleveland SOUTH,8,0,0,8
Write in,U.S. Senate,,,Whitley,Cleveland SOUTH,0,0,0,0
Connie Lawson,Secretary of State,,R,Whitley,Cleveland SOUTH,178,38,0,216
Jim Harper,Secretary of State,,D,Whitley,Cleveland SOUTH,34,25,0,59
Mark W. Rutherford,Secretary of State,,L,Whitley,Cleveland SOUTH,4,0,0,4
Write in,Secretary of State,,,Whitley,Cleveland SOUTH,1,0,0,1
Tera Klutz,Auditor of State,,R,Whitley,Cleveland SOUTH,173,38,0,211
Joselyn Whitticker,Auditor of State,,D,Whitley,Cleveland SOUTH,35,23,0,58
John Schick,Auditor of State,,L,Whitley,Cleveland SOUTH,6,2,0,8
Kelly Mitchell,Treasurer of State,,R,Whitley,Cleveland SOUTH,181,40,0,221
John C. Aguilera,Treasurer of State,,D,Whitley,Cleveland SOUTH,33,23,0,56
Jim Banks,U.S. House,3,R,Whitley,Cleveland SOUTH,181,37,0,218
Courtney Tritch,U.S. House,3,D,Whitley,Cleveland SOUTH,39,25,0,64
Write in,U.S. House,3,,Whitley,Cleveland SOUTH,0,0,0,0
Andy Zay,State Senate,17,R,Whitley,Cleveland SOUTH,178,39,0,217
Gary L Snyder,State Senate,17,D,Whitley,Cleveland SOUTH,40,25,0,65
Christopher Judy,State Representative,83,R,Whitley,Cleveland SOUTH,196,41,0,237
,Registered Voters,,,Whitley,Columbia NORTHEAST,,,,393
,Ballots Cast,,,Whitley,Columbia NORTHEAST,,,,165
Mike Braun,U.S. Senate,,R,Whitley,Columbia NORTHEAST,121,64,0,185
Joe Donnelly,U.S. Senate,,D,Whitley,Columbia NORTHEAST,39,29,0,68
Lucy M Brenton,U.S. Senate,,L,Whitley,Columbia NORTHEAST,5,2,0,7
Write in,U.S. Senate,,,Whitley,Columbia NORTHEAST,0,0,0,0
Connie Lawson,Secretary of State,,R,Whitley,Columbia NORTHEAST,130,71,0,201
Jim Harper,Secretary of State,,D,Whitley,Columbia NORTHEAST,29,23,0,52
Mark W. Rutherford,Secretary of State,,L,Whitley,Columbia NORTHEAST,6,0,0,6
Write in,Secretary of State,,,Whitley,Columbia NORTHEAST,0,0,0,0
Tera Klutz,Auditor of State,,R,Whitley,Columbia NORTHEAST,126,64,0,190
Joselyn Whitticker,Auditor of State,,D,Whitley,Columbia NORTHEAST,30,26,0,56
John Schick,Auditor of State,,L,Whitley,Columbia NORTHEAST,6,2,0,8
