candidate,office,district,party,county,precinct,votes
,Registered Voters,,,Howard,1 Clay 1,84
,Ballots Cast,,,Howard,1 Clay 1,50
,Straight Party,,R,Howard,1 Clay 1,15
,Straight Party,,D,Howard,1 Clay 1,11
,Straight Party,,L,Howard,1 Clay 1,0
Mike Braun,U.S. Senate,,R,Howard,1 Clay 1,27
Joe Donnelly,U.S. Senate,,D,Howard,1 Clay 1,21
Lucy M Brenton,U.S. Senate,,L,Howard,1 Clay 1,1
Write in,U.S. Senate,,,Howard,1 Clay 1,0
Connie Lawson,Secretary of State,,R,Howard,1 Clay 1,29
Jim Harper,Secretary of State,,D,Howard,1 Clay 1,19
Mark W. Rutherford,Secretary of State,,L,Howard,1 Clay 1,0
Write in,Secretary of State,,,Howard,1 Clay 1,0
Tera Klutz,Auditor of State,,R,Howard,1 Clay 1,29
Joselyn Whitticker,Auditor of State,,D,Howard,1 Clay 1,18
John Schick,Auditor of State,,L,Howard,1 Clay 1,0
Write in,Auditor of State,,,Howard,1 Clay 1,0
Kelly Mitchell,Treasurer of State,,R,Howard,1 Clay 1,29
John C. Aguilera,Treasurer of State,,D,Howard,1 Clay 1,19
Write in,Treasurer of State,,,Howard,1 Clay 1,0
Jim Baird,U.S. House,4,R,Howard,1 Clay 1,29
Tobi Beck,U.S. House,4,D,Howard,1 Clay 1,19
Write in,U.S. House,4,,Howard,1 Clay 1,0
James R Buck,State Senate,21,R,Howard,1 Clay 1,29
Christina Fivecoate,State Senate,21,D,Howard,1 Clay 1,19
Write in,State Senate,21,,Howard,1 Clay 1,0
Mike Karickhoff,State Representative,30,R,Howard,1 Clay 1,35
,Registered Voters,,,Howard,1Clay2,52
,Ballots Cast,,,Howard,1Clay2,25
,Straight Party,,R,Howard,1Clay2,6
,Straight Party,,D,Howard,1Clay2,4
,Straight Party,,L,Howard,1Clay2,0
Mike Braun,U.S. Senate,,R,Howard,1Clay2,16
Joe Donnelly,U.S. Senate,,D,Howard,1Clay2,6
Lucy M Brenton,U.S. Senate,,L,Howard,1Clay2,3
Write in,U.S. Senate,,,Howard,1Clay2,0
Connie Lawson,Secretary of State,,R,Howard,1Clay2,19
Jim Harper,Secretary of State,,D,Howard,1Clay2,5
Mark W. Rutherford,Secretary of State,,L,Howard,1Clay2,0
Write in,Secretary of State,,,Howard,1Clay2,0
Tera Klutz,Auditor of State,,R,Howard,1Clay2,17
Joselyn Whitticker,Auditor of State,,D,Howard,1Clay2,6
John Schick,Auditor of State,,L,Howard,1Clay2,1
Write in,Auditor of State,,,Howard,1Clay2,0
Kelly Mitchell,Treasurer of State,,R,Howard,1Clay2,19
John C. Aguilera,Treasurer of State,,D,Howard,1Clay2,5
Write in,Treasurer of State,,,Howard,1Clay2,0
