candidate,office,district,party,county,precinct,election_day,absentee,provisional,votes
,Registered Voters,,,Rush,Rushville 1,,,,1210
,Ballots Cast,,,Rush,Rushville 1,,,,454
Mike Braun,U.S. Senate,,R,Rush,Rushville 1,253,88,0,341
Joe Donnelly,U.S. Senate,,D,Rush,Rushville 1,161,78,0,239
Lucy M Brenton,U.S. Senate,,L,Rush,Rushville 1,38,12,0,50
Write in,U.S. Senate,,,Rush,Rushville 1,0,0,0,0
Connie Lawson,Secretary of State,,R,Rush,Rushville 1,289,105,0,394
Jim Harper,Secretary of State,,D,Rush,Rushville 1,121,63,0,184
Mark W. Rutherford,Secretary of State,,L,Rush,Rushville 1,29,5,0,34
Write in,Secretary of State,,,Rush,Rushville 1,0,1,0,1
Tera Klutz,Auditor of State,,R,Rush,Rushville 1,269,105,0,374
Joselyn Whitticker,Auditor of State,,D,Rush,Rushville 1,140,66,0,206
John Schick,Auditor of State,,L,Rush,Rushville 1,26,5,0,31
Kelly Mitchell,Treasurer of State,,R,Rush,Rushville 1,295,110,0,405
John C. Aguilera,Treasurer of State,,D,Rush,Rushville 1,133,66,0,199
Greg Pence,U.S. House,6,R,Rush,Rushville 1,275,97,0,372
Jeannine Lee Lake,U.S. House,6,D,Rush,Rushville 1,150,79,0,229
Tom Ferkinhogg,U.S. House,6,L,Rush,Rushville 1,19,3,0,22
Write in,U.S. House,6,,Rush,Rushville 1,0,0,0,0
Thomas E (Tom) Saunders,State Representative,54,R,Rush,Rushville 1,358,127,0,485
,Registered Voters,,,Rush,Rushville 2,,,,1166
,Ballots Cast,,,Rush,Rushville 2,,,,328
Mike Braun,U.S. Senate,,R,Rush,Rushville 2,173,107,0,280
Joe Donnelly,U.S. Senate,,D,Rush,Rushville 2,111,58,0,169
Lucy M Brenton,U.S. Senate,,L,Rush,Rushville 2,38,8,0,46
Write in,U.S. Senate,,,Rush,Rushville 2,0,0,0,0
Connie Lawson,Secretary of State,,R,Rush,Rushville 2,209,117,0,326
Jim Harper,Secretary of State,,D,Rush,Rushville 2,94,48,0,142
Mark W. Rutherford,Secretary of State,,L,Rush,Rushville 2,17,6,0,23
Write in,Secretary of State,,,Rush,Rushville 2,0,0,0,0
Tera Klutz,Auditor of State,,R,Rush,Rushville 2,197,113,0,310
Joselyn Whitticker,Auditor of State,,D,Rush,Rushville 2,102,48,0,150
John Schick,Auditor of State,,L,Rush,Rushville 2,17,5,0,22
Kelly Mitchell,Treasurer of State,,R,Rush,Rushville 2,217,120,0,337
John C. Aguilera,Treasurer of State,,D,Rush,Rushville 2,97,45,0,142
Greg Pence,U.S. House,6,R,Rush,Rushville 2,196,115,0,311
Jeannine Lee Lake,U.S. House,6,D,Rush,Rushville 2,110,54,0,164
Tom Ferkinhogg,U.S. House,6,L,Rush,Rushville 2,14,1,0,15
Write in,U.S. House,6,,Rush,Rushville 2,0,0,0,0
Thomas E (Tom) Saunders,State Representative,54,R,Rush,Rushville 2,266,147,0,413
,Registered Voters,,,Rush,Rushville 3,,,,1359
,Ballots Cast,,,Rush,Rushville 3,,,,501
Mike Braun,U.S. Senate,,R,Rush,Rushville 3,284,127,0,411
Joe Donnelly,U.S. Senate,,D,Rush,Rushville 3,151,82,0,233
Lucy M Brenton,U.S. Senate,,L,Rush,Rushville 3,53,9,0,62
Write in,U.S. Senate,,,Rush,Rushville 3,0,0,0,0
Connie Lawson,Secretary of State,,R,Rush,Rushville 3,338,137,0,475
Jim Harper,Secretary of State,,D,Rush,Rushville 3,120,71,0,191
Mark W. Rutherford,Secretary of State,,L,Rush,Rushville 3,31,9,0,40
Write in,Secretary of State,,,Rush,Rushville 3,0,0,0,0
Tera Klutz,Auditor of State,,R,Rush,Rushville 3,320,141,0,461
Joselyn Whitticker,Auditor of State,,D,Rush,Rushville 3,135,68,0,203
John Schick,Auditor of State,,L,Rush,Rushville 3,24,8,0,32
Kelly Mitchell,Treasurer of State,,R,Rush,Rushville 3,353,149,0,502
John C. Aguilera,Treasurer of State,,D,Rush,Rushville 3,122,66,0,188
Greg Pence,U.S. House,6,R,Rush,Rushville 3,311,130,0,441
Jeannine Lee Lake,U.S. House,6,D,Rush,Rushville 3,150,82,0,232
Tom Ferkinhogg,U.S. House,6,L,Rush,Rushville 3,25,4,0,29
