county,precinct,office,district,candidate,party,election_day,absentee,provisional,votes
Spencer,Carter 1,Ballots Cast,,,,63,9,0,72
Spencer,Carter 1,Registered Voters,,,,,,,523
Spencer,Carter 1,U.S. Senate,,Mike Braun,REP,27,2,0,29
Spencer,Carter 1,U.S. Senate,,Luke Messer,REP,5,0,0,5
Spencer,Carter 1,U.S. Senate,,Todd Rokita,REP,7,1,0,8
Spencer,Carter 1,U.S. Senate,,Joe Donnelly,DEM,21,3,0,24
Spencer,Carter 1,U.S. House,8,Larry D. Bucshon,REP,19,1,0,20
Spencer,Carter 1,U.S. House,8,Rachel Covington,REP,3,1,0,4
Spencer,Carter 1,U.S. House,8,Richard Moss,REP,16,1,0,17
Spencer,Carter 1,U.S. House,8,William Tanoos,DEM,16,2,0,18
Spencer,Carter 1,State Senate,48,Mark Messmer,REP,37,3,0,40
Spencer,Carter 1,State Senate,48,No Candidate Filed,DEM,0,0,0,0
Spencer,Carter 1,State House,74,Stephen R. Bartels,REP,34,2,0,36
Spencer,Carter 1,State House,74,Larry K. Kleeman,DEM,22,4,0,26
Spencer,Carter 2,Ballots Cast,,,,110,10,0,120
Spencer,Carter 2,Registered Voters,,,,,,,426
Spencer,Carter 2,U.S. Senate,,Mike Braun,REP,35,5,0,40
Spencer,Carter 2,U.S. Senate,,Luke Messer,REP,14,2,0,16
Spencer,Carter 2,U.S. Senate,,Todd Rokita,REP,13,3,0,16
Spencer,Carter 2,U.S. Senate,,Joe Donnelly,DEM,38,0,0,38
Spencer,Carter 2,U.S. House,8,Larry D. Bucshon,REP,37,4,0,41
Spencer,Carter 2,U.S. House,8,Rachel Covington,REP,3,1,0,4
Spencer,Carter 2,U.S. House,8,Richard Moss,REP,22,5,0,27
Spencer,Carter 2,U.S. House,8,William Tanoos,DEM,33,0,0,33
Spencer,Carter 2,State Senate,48,Mark Messmer,REP,56,9,0,65
Spencer,Carter 2,State Senate,48,No Candidate Filed,DEM,0,0,0,0
Spencer,Carter 2,State House,74,Stephen R. Bartels,REP,52,9,0,61
Spencer,Carter 2,State House,74,Larry K. Kleeman,DEM,37,0,0,37
Spencer,Carter 3,Ballots Cast,,,,101,14,0,115
Spencer,Carter 3,Registered Voters,,,,,,,884
Spencer,Carter 3,U.S. Senate,,Mike Braun,REP,32,5,0,37
Spencer,Carter 3,U.S. Senate,,Luke Messer,REP,12,0,0,12
Spencer,Carter 3,U.S. Senate,,Todd Rokita,REP,9,1,0,10
Spencer,Carter 3,U.S. Senate,,Joe Donnelly,DEM,37,6,0,43
Spencer,Carter 3,U.S. House,8,Larry D. Bucshon,REP,29,5,0,34
Spencer,Carter 3,U.S. House,8,Rachel Covington,REP,13,1,0,14
Spencer,Carter 3,U.S. House,8,Richard Moss,REP,17,0,0,17
Spencer,Carter 3,U.S. House,8,William Tanoos,DEM,34,6,0,40
Spencer,Carter 3,State Senate,48,Mark Messmer,REP,51,6,0,57
Spencer,Carter 3,State Senate,48,No Candidate Filed,DEM,0,0,0,0
Spencer,Carter 3,State House,74,Stephen R. Bartels,REP,51,5,0,56
Spencer,Carter 3,State House,74,Larry K. Kleeman,DEM,36,7,0,43
Spencer,Carter 4,Ballots Cast,,,,21,7,0,28
Spencer,Carter 4,Registered Voters,,,,,,,237
Spencer,Carter 4,U.S. Senate,,Mike Braun,REP,12,1,0,13
Spencer,Carter 4,U.S. Senate,,Luke Messer,REP,2,0,0,2
Spencer,Carter 4,U.S. Senate,,Todd Rokita,REP,3,2,0,5
