candidate,office,district,party,county,precinct,election_day,absentee,provisional,votes
,Registered Voters,,,Greene,Beech Creek 1,,,,634
,Ballots Cast,,,Greene,Beech Creek 1,264,94,0,358
Mike Braun,U.S. Senate,,R,Greene,Beech Creek 1,169,57,0,226
Joe Donnelly,U.S. Senate,,D,Greene,Beech Creek 1,81,35,0,116
Lucy M Brenton,U.S. Senate,,L,Greene,Beech Creek 1,13,2,0,15
Write in,U.S. Senate,,,Greene,Beech Creek 1,0,0,0,0
Connie Lawson,Secretary of State,,R,Greene,Beech Creek 1,170,57,0,227
Jim Harper,Secretary of State,,D,Greene,Beech Creek 1,75,34,0,109
Mark W. Rutherford,Secretary of State,,L,Greene,Beech Creek 1,15,3,0,18
Write in,Secretary of State,,,Greene,Beech Creek 1,0,0,0,0
Tera Klutz,Auditor of State,,R,Greene,Beech Creek 1,173,57,0,230
Joselyn Whitticker,Auditor of State,,D,Greene,Beech Creek 1,76,35,0,111
John Schick,Auditor of State,,L,Greene,Beech Creek 1,9,0,0,9
Kelly Mitchell,Treasurer of State,,R,Greene,Beech Creek 1,178,58,0,236
John C. Aguilera,Treasurer of State,,D,Greene,Beech Creek 1,79,35,0,114
Larry D Bucshon,U.S. House,8,R,Greene,Beech Creek 1,180,62,0,242
William Tanoos,U.S. House,8,D,Greene,Beech Creek 1,,,,110
Tom Ferkinhoff,Write In,8,,Greene,Beech Creek 1,0,0,0,0
Eric S Bassler,State Senate,39,R ,Greene,Beech Creek 1,197,67,0,264
No Candidate Filed,State Senate,39,D,Greene,Beech Creek 1,0,0,0,0
Jeff Ellington,State Representative,62,R,Greene,Beech Creek 1,172,58,0,230
Amy Swain,State Representative,62,D,Greene,Beech Creek 1,88,35,0,123
,Registered Voters,,,Greene,Beech Creek 2,,,,651
,Ballots Cast,,,Greene,Beech Creek 2,306,97,0,403
Mike Braun,U.S. Senate,,R,Greene,Beech Creek 2,201,57,0,258
Joe Donnelly,U.S. Senate,,D,Greene,Beech Creek 2,95,35,0,130
Lucy M Brenton,U.S. Senate,,L,Greene,Beech Creek 2,8,4,0,12
Write in,U.S. Senate,,,Greene,Beech Creek 2,0,0,0,0
Connie Lawson,Secretary of State,,R,Greene,Beech Creek 2,213,60,0,273
Jim Harper,Secretary of State,,D,Greene,Beech Creek 2,82,35,0,117
Mark W. Rutherford,Secretary of State,,L,Greene,Beech Creek 2,9,1,0,10
Write in,Secretary of State,,,Greene,Beech Creek 2,0,0,0,0
Tera Klutz,Auditor of State,,R,Greene,Beech Creek 2,209,58,0,267
Joselyn Whitticker,Auditor of State,,D,Greene,Beech Creek 2,81,36,0,117
John Schick,Auditor of State,,L,Greene,Beech Creek 2,3,0,0,3
Kelly Mitchell,Treasurer of State,,R,Greene,Beech Creek 2,217,59,0,276
John C. Aguilera,Treasurer of State,,D,Greene,Beech Creek 2,77,35,0,112
Larry D Bucshon,U.S. House,8,R,Greene,Beech Creek 2,210,58,0,268
William Tanoos,U.S. House,8,D,Greene,Beech Creek 2,,,,126
Tom Ferkinhoff,Write In,8,,Greene,Beech Creek 2,0,0,0,0
Eric S Bassler,State Senate,39,R ,Greene,Beech Creek 2,236,66,0,302
No Candidate Filed,State Senate,39,D,Greene,Beech Creek 2,0,0,0,0
Jeff Ellington,State Representative,62,R,Greene,Beech Creek 2,205,54,0,259
Amy Swain,State Representative,62,D,Greene,Beech Creek 2,95,43,0,138
,Registered Voters,,,Greene,Cass,,,,177
,Ballots Cast,,,Greene,Cass,72,21,0,93
Mike Braun,U.S. Senate,,R,Greene,Cass,38,10,0,48
Joe Donnelly,U.S. Senate,,D,Greene,Cass,29,10,0,39
Lucy M Brenton,U.S. Senate,,L,Greene,Cass,4,1,0,5
Write in,U.S. Senate,,,Greene,Cass,0,0,0,0
Connie Lawson,Secretary of State,,R,Greene,Cass,41,13,0,54
Jim Harper,Secretary of State,,D,Greene,Cass,27,8,0,35
Mark W. Rutherford,Secretary of State,,L,Greene,Cass,1,0,0,1
Write in,Secretary of State,,,Greene,Cass,0,0,0,0
Tera Klutz,Auditor of State,,R,Greene,Cass,36,11,0,47
Joselyn Whitticker,Auditor of State,,D,Greene,Cass,30,5,0,35
John Schick,Auditor of State,,L,Greene,Cass,3,1,0,4
Kelly Mitchell,Treasurer of State,,R,Greene,Cass,43,13,0,56
John C. Aguilera,Treasurer of State,,D,Greene,Cass,26,5,0,31
Larry D Bucshon,U.S. House,8,R,Greene,Cass,45,13,0,58
William Tanoos,U.S. House,8,D,Greene,Cass,,,,32
Tom Ferkinhoff,Write In,8,,Greene,Cass,0,0,0,0
Eric S Bassler,State Senate,39,R ,Greene,Cass,49,15,0,64
No Candidate Filed,State Senate,39,D,Greene,Cass,0,0,0,0
Jeff Ellington,State Representative,62,R,Greene,Cass,41,11,0,52
Amy Swain,State Representative,62,D,Greene,Cass,30,9,0,39
,Registered Voters,,,Greene,Center 1,,,,617
,Ballots Cast,,,Greene,Center 1,248,89,0,337
Mike Braun,U.S. Senate,,R,Greene,Center 1,158,45,0,203
Joe Donnelly,U.S. Senate,,D,Greene,Center 1,77,42,0,119
Lucy M Brenton,U.S. Senate,,L,Greene,Center 1,11,0,0,11
Write in,U.S. Senate,,,Greene,Center 1,0,0,0,0
Connie Lawson,Secretary of State,,R,Greene,Center 1,170,44,0,214
Jim Harper,Secretary of State,,D,Greene,Center 1,58,42,0,100
Mark W. Rutherford,Secretary of State,,L,Greene,Center 1,12,2,0,14
Write in,Secretary of State,,,Greene,Center 1,0,0,0,0
Tera Klutz,Auditor of State,,R,Greene,Center 1,166,47,0,213
Joselyn Whitticker,Auditor of State,,D,Greene,Center 1,57,40,0,97
John Schick,Auditor of State,,L,Greene,Center 1,11,1,0,12
Kelly Mitchell,Treasurer of State,,R,Greene,Center 1,174,49,0,223
John C. Aguilera,Treasurer of State,,D,Greene,Center 1,54,38,0,92
Larry D Bucshon,U.S. House,8,R,Greene,Center 1,173,50,0,223
William Tanoos,U.S. House,8,D,Greene,Center 1,,,,98
Tom Ferkinhoff,Write In,8,,Greene,Center 1,1,0,0,1
Eric S Bassler,State Senate,39,R ,Greene,Center 1,184,52,0,236
No Candidate Filed,State Senate,39,D,Greene,Center 1,0,0,0,0
Jeff Ellington,State Representative,62,R,Greene,Center 1,161,42,0,203
Amy Swain,State Representative,62,D,Greene,Center 1,79,47,0,126
,Registered Voters,,,Greene,Center 2,,,,1239
,Ballots Cast,,,Greene,Center 2,441,272,0,713
Mike Braun,U.S. Senate,,R,Greene,Center 2,293,152,0,445
Joe Donnelly,U.S. Senate,,D,Greene,Center 2,117,102,0,219
Lucy M Brenton,U.S. Senate,,L,Greene,Center 2,25,13,0,38
Write in,U.S. Senate,,,Greene,Center 2,0,0,0,0
Connie Lawson,Secretary of State,,R,Greene,Center 2,307,162,0,469
Jim Harper,Secretary of State,,D,Greene,Center 2,106,92,0,198
Mark W. Rutherford,Secretary of State,,L,Greene,Center 2,13,11,0,24
Write in,Secretary of State,,,Greene,Center 2,0,0,0,0
Tera Klutz,Auditor of State,,R,Greene,Center 2,300,151,0,451
Joselyn Whitticker,Auditor of State,,D,Greene,Center 2,98,98,0,196
