county,precinct,office,district,candidate,party,absentee,early_voting,election_day,votes
Wahington,FEDERAL,Ballots Cast,,,,0,0,0,0
Wahington,SAL1,Ballots Cast,,,,66,22,343,431
Wahington,SAL2,Ballots Cast,,,,72,31,305,408
Wahington,SAL3,Ballots Cast,,,,105,47,424,576
Wahington,SAL4,Ballots Cast,,,,88,30,400,518
Wahington,WAS1,Ballots Cast,,,,55,15,270,340
Wahington,WAS2,Ballots Cast,,,,40,13,180,233
Wahington,WAS3,Ballots Cast,,,,131,45,521,697
Wahington,WAS4,Ballots Cast,,,,55,37,360,452
Wahington,BROW,Ballots Cast,,,,39,21,324,384
Wahington,FRAN,Ballots Cast,,,,70,28,596,694
Wahington,GIBS,Ballots Cast,,,,38,18,338,394
Wahington,HOWD,Ballots Cast,,,,58,20,309,387
Wahington,JACK,Ballots Cast,,,,85,34,626,745
Wahington,JEFF,Ballots Cast,,,,21,14,235,270
Wahington,MADI,Ballots Cast,,,,6,7,185,198
Wahington,MONR,Ballots Cast,,,,22,6,228,256
Wahington,PIER,Ballots Cast,,,,108,41,705,854
Wahington,POLK,Ballots Cast,,,,93,46,698,837
Wahington,POSY,Ballots Cast,,,,65,24,510,599
Wahington,VERN,Ballots Cast,,,,26,16,226,268
Wahington,Totals,Ballots Cast,,,,1243,515,7783,9541
Wahington,FEDERAL,Straight Party,,Republican Party,,,,,0
Wahington,SAL1,Straight Party,,Republican Party,,,,,90
Wahington,SAL2,Straight Party,,Republican Party,,,,,73
Wahington,SAL3,Straight Party,,Republican Party,,,,,89
Wahington,SAL4,Straight Party,,Republican Party,,,,,98
Wahington,WAS1,Straight Party,,Republican Party,,,,,41
Wahington,WAS2,Straight Party,,Republican Party,,,,,32
Wahington,WAS3,Straight Party,,Republican Party,,,,,121
Wahington,WAS4,Straight Party,,Republican Party,,,,,69
Wahington,BROW,Straight Party,,Republican Party,,,,,60
Wahington,FRAN,Straight Party,,Republican Party,,,,,205
Wahington,GIBS,Straight Party,,Republican Party,,,,,98
Wahington,HOWD,Straight Party,,Republican Party,,,,,82
Wahington,JACK,Straight Party,,Republican Party,,,,,242
Wahington,JEFF,Straight Party,,Republican Party,,,,,83
Wahington,MADI,Straight Party,,Republican Party,,,,,52
Wahington,MONR,Straight Party,,Republican Party,,,,,54
Wahington,PIER,Straight Party,,Republican Party,,,,,171
Wahington,POLK,Straight Party,,Republican Party,,,,,208
Wahington,POSY,Straight Party,,Republican Party,,,,,156
Wahington,VERN,Straight Party,,Republican Party,,,,,32
Wahington,Totals,Straight Party,,Republican Party,,,,,2056
Wahington,FEDERAL,Straight Party,,Democratic Party,,,,,0
Wahington,SAL1,Straight Party,,Democratic Party,,,,,36
Wahington,SAL2,Straight Party,,Democratic Party,,,,,37
Wahington,SAL3,Straight Party,,Democratic Party,,,,,47
Wahington,SAL4,Straight Party,,Democratic Party,,,,,36
Wahington,WAS1,Straight Party,,Democratic Party,,,,,21
Wahington,WAS2,Straight Party,,Democratic Party,,,,,9
Wahington,WAS3,Straight Party,,Democratic Party,,,,,45
Wahington,WAS4,Straight Party,,Democratic Party,,,,,23
Wahington,BROW,Straight Party,,Democratic Party,,,,,19
Wahington,FRAN,Straight Party,,Democratic Party,,,,,62
Wahington,GIBS,Straight Party,,Democratic Party,,,,,46
Wahington,HOWD,Straight Party,,Democratic Party,,,,,30
Wahington,JACK,Straight Party,,Democratic Party,,,,,86
Wahington,JEFF,Straight Party,,Democratic Party,,,,,16
Wahington,MADI,Straight Party,,Democratic Party,,,,,25
Wahington,MONR,Straight Party,,Democratic Party,,,,,11
Wahington,PIER,Straight Party,,Democratic Party,,,,,76
Wahington,POLK,Straight Party,,Democratic Party,,,,,73
Wahington,POSY,Straight Party,,Democratic Party,,,,,73
Wahington,VERN,Straight Party,,Democratic Party,,,,,7
Wahington,Totals,Straight Party,,Democratic Party,,,,,778
Wahington,FEDERAL,Straight Party,,Libertarian Party,,,,,0
Wahington,SAL1,Straight Party,,Libertarian Party,,,,,2
Wahington,SAL2,Straight Party,,Libertarian Party,,,,,3
Wahington,SAL3,Straight Party,,Libertarian Party,,,,,3
Wahington,SAL4,Straight Party,,Libertarian Party,,,,,3
Wahington,WAS1,Straight Party,,Libertarian Party,,,,,0
Wahington,WAS2,Straight Party,,Libertarian Party,,,,,1
Wahington,WAS3,Straight Party,,Libertarian Party,,,,,2
Wahington,WAS4,Straight Party,,Libertarian Party,,,,,0
Wahington,BROW,Straight Party,,Libertarian Party,,,,,3
Wahington,FRAN,Straight Party,,Libertarian Party,,,,,5
Wahington,GIBS,Straight Party,,Libertarian Party,,,,,2
Wahington,HOWD,Straight Party,,Libertarian Party,,,,,4
Wahington,JACK,Straight Party,,Libertarian Party,,,,,3
Wahington,JEFF,Straight Party,,Libertarian Party,,,,,1
Wahington,MADI,Straight Party,,Libertarian Party,,,,,0
Wahington,MONR,Straight Party,,Libertarian Party,,,,,2
Wahington,PIER,Straight Party,,Libertarian Party,,,,,4
Wahington,POLK,Straight Party,,Libertarian Party,,,,,9
Wahington,POSY,Straight Party,,Libertarian Party,,,,,7
Wahington,VERN,Straight Party,,Libertarian Party,,,,,0
Wahington,Totals,Straight Party,,Libertarian Party,,,,,54
Wahington,FEDERAL,U.S. Senate,,Mike Braun,REP,,,,0
Wahington,SAL1,U.S. Senate,,Mike Braun,REP,,,,257
Wahington,SAL2,U.S. Senate,,Mike Braun,REP,,,,228
Wahington,SAL3,U.S. Senate,,Mike Braun,REP,,,,312
Wahington,SAL4,U.S. Senate,,Mike Braun,REP,,,,301
Wahington,WAS1,U.S. Senate,,Mike Braun,REP,,,,220
Wahington,WAS2,U.S. Senate,,Mike Braun,REP,,,,159
Wahington,WAS3,U.S. Senate,,Mike Braun,REP,,,,453
Wahington,WAS4,U.S. Senate,,Mike Braun,REP,,,,318
Wahington,BROW,U.S. Senate,,Mike Braun,REP,,,,242
Wahington,FRAN,U.S. Senate,,Mike Braun,REP,,,,493
Wahington,GIBS,U.S. Senate,,Mike Braun,REP,,,,230
Wahington,HOWD,U.S. Senate,,Mike Braun,REP,,,,265
Wahington,JACK,U.S. Senate,,Mike Braun,REP,,,,498
Wahington,JEFF,U.S. Senate,,Mike Braun,REP,,,,185
Wahington,MADI,U.S. Senate,,Mike Braun,REP,,,,131
Wahington,MONR,U.S. Senate,,Mike Braun,REP,,,,170
Wahington,PIER,U.S. Senate,,Mike Braun,REP,,,,570
Wahington,POLK,U.S. Senate,,Mike Braun,REP,,,,552
Wahington,POSY,U.S. Senate,,Mike Braun,REP,,,,362
Wahington,VERN,U.S. Senate,,Mike Braun,REP,,,,181
Wahington,Totals,U.S. Senate,,Mike Braun,REP,,,,6127
Wahington,FEDERAL,U.S. Senate,,Joe Donnelly,DEM,,,,0
Wahington,SAL1,U.S. Senate,,Joe Donnelly,DEM,,,,136
Wahington,SAL2,U.S. Senate,,Joe Donnelly,DEM,,,,141
Wahington,SAL3,U.S. Senate,,Joe Donnelly,DEM,,,,215
Wahington,SAL4,U.S. Senate,,Joe Donnelly,DEM,,,,169
Wahington,WAS1,U.S. Senate,,Joe Donnelly,DEM,,,,107
Wahington,WAS2,U.S. Senate,,Joe Donnelly,DEM,,,,61
Wahington,WAS3,U.S. Senate,,Joe Donnelly,DEM,,,,198
Wahington,WAS4,U.S. Senate,,Joe Donnelly,DEM,,,,114
Wahington,BROW,U.S. Senate,,Joe Donnelly,DEM,,,,115
Wahington,FRAN,U.S. Senate,,Joe Donnelly,DEM,,,,164
Wahington,GIBS,U.S. Senate,,Joe Donnelly,DEM,,,,144
Wahington,HOWD,U.S. Senate,,Joe Donnelly,DEM,,,,104
Wahington,JACK,U.S. Senate,,Joe Donnelly,DEM,,,,205
Wahington,JEFF,U.S. Senate,,Joe Donnelly,DEM,,,,57
Wahington,MADI,U.S. Senate,,Joe Donnelly,DEM,,,,56
Wahington,MONR,U.S. Senate,,Joe Donnelly,DEM,,,,64
Wahington,PIER,U.S. Senate,,Joe Donnelly,DEM,,,,237
Wahington,POLK,U.S. Senate,,Joe Donnelly,DEM,,,,239
Wahington,POSY,U.S. Senate,,Joe Donnelly,DEM,,,,207
Wahington,VERN,U.S. Senate,,Joe Donnelly,DEM,,,,73
Wahington,Totals,U.S. Senate,,Joe Donnelly,DEM,,,,2806
Wahington,FEDERAL,U.S. Senate,,Lucy M.Brenton,LIB,,,,0
Wahington,SAL1,U.S. Senate,,Lucy M.Brenton,LIB,,,,33
Wahington,SAL2,U.S. Senate,,Lucy M.Brenton,LIB,,,,29
Wahington,SAL3,U.S. Senate,,Lucy M.Brenton,LIB,,,,33
Wahington,SAL4,U.S. Senate,,Lucy M.Brenton,LIB,,,,36
Wahington,WAS1,U.S. Senate,,Lucy M.Brenton,LIB,,,,8
Wahington,WAS2,U.S. Senate,,Lucy M.Brenton,LIB,,,,12
Wahington,WAS3,U.S. Senate,,Lucy M.Brenton,LIB,,,,29
Wahington,WAS4,U.S. Senate,,Lucy M.Brenton,LIB,,,,12
Wahington,BROW,U.S. Senate,,Lucy M.Brenton,LIB,,,,21
Wahington,FRAN,U.S. Senate,,Lucy M.Brenton,LIB,,,,28
Wahington,GIBS,U.S. Senate,,Lucy M.Brenton,LIB,,,,17
Wahington,HOWD,U.S. Senate,,Lucy M.Brenton,LIB,,,,11
Wahington,JACK,U.S. Senate,,Lucy M.Brenton,LIB,,,,34
Wahington,JEFF,U.S. Senate,,Lucy M.Brenton,LIB,,,,21
Wahington,MADI,U.S. Senate,,Lucy M.Brenton,LIB,,,,11
Wahington,MONR,U.S. Senate,,Lucy M.Brenton,LIB,,,,17
Wahington,PIER,U.S. Senate,,Lucy M.Brenton,LIB,,,,30
Wahington,POLK,U.S. Senate,,Lucy M.Brenton,LIB,,,,33
Wahington,POSY,U.S. Senate,,Lucy M.Brenton,LIB,,,,24
Wahington,VERN,U.S. Senate,,Lucy M.Brenton,LIB,,,,9
Wahington,Totals,U.S. Senate,,Lucy M.Brenton,LIB,,,,448
Wahington,FEDERAL,U.S. Senate,,Nathan Altman,,,,,0
Wahington,SAL1,U.S. Senate,,Nathan Altman,,,,,0
Wahington,SAL2,U.S. Senate,,Nathan Altman,,,,,0
Wahington,SAL3,U.S. Senate,,Nathan Altman,,,,,0
Wahington,SAL4,U.S. Senate,,Nathan Altman,,,,,0
Wahington,WAS1,U.S. Senate,,Nathan Altman,,,,,0
Wahington,WAS2,U.S. Senate,,Nathan Altman,,,,,0
Wahington,WAS3,U.S. Senate,,Nathan Altman,,,,,0
Wahington,WAS4,U.S. Senate,,Nathan Altman,,,,,0
Wahington,BROW,U.S. Senate,,Nathan Altman,,,,,0
Wahington,FRAN,U.S. Senate,,Nathan Altman,,,,,0
Wahington,GIBS,U.S. Senate,,Nathan Altman,,,,,0
Wahington,HOWD,U.S. Senate,,Nathan Altman,,,,,0
Wahington,JACK,U.S. Senate,,Nathan Altman,,,,,0
Wahington,JEFF,U.S. Senate,,Nathan Altman,,,,,0
Wahington,MADI,U.S. Senate,,Nathan Altman,,,,,0
Wahington,MONR,U.S. Senate,,Nathan Altman,,,,,0
Wahington,PIER,U.S. Senate,,Nathan Altman,,,,,0
Wahington,POLK,U.S. Senate,,Nathan Altman,,,,,0
Wahington,POSY,U.S. Senate,,Nathan Altman,,,,,0
Wahington,VERN,U.S. Senate,,Nathan Altman,,,,,0
Wahington,Totals,U.S. Senate,,Nathan Altman,,,,,0
Wahington,FEDERAL,U.S. Senate,,Christopher Fischer,,,,,0
Wahington,SAL1,U.S. Senate,,Christopher Fischer,,,,,0
Wahington,SAL2,U.S. Senate,,Christopher Fischer,,,,,0
Wahington,SAL3,U.S. Senate,,Christopher Fischer,,,,,0
Wahington,SAL4,U.S. Senate,,Christopher Fischer,,,,,0
Wahington,WAS1,U.S. Senate,,Christopher Fischer,,,,,0
Wahington,WAS2,U.S. Senate,,Christopher Fischer,,,,,0
Wahington,WAS3,U.S. Senate,,Christopher Fischer,,,,,0
Wahington,WAS4,U.S. Senate,,Christopher Fischer,,,,,0
Wahington,BROW,U.S. Senate,,Christopher Fischer,,,,,0
Wahington,FRAN,U.S. Senate,,Christopher Fischer,,,,,0
Wahington,GIBS,U.S. Senate,,Christopher Fischer,,,,,0
Wahington,HOWD,U.S. Senate,,Christopher Fischer,,,,,0
Wahington,JACK,U.S. Senate,,Christopher Fischer,,,,,0
Wahington,JEFF,U.S. Senate,,Christopher Fischer,,,,,0
Wahington,MADI,U.S. Senate,,Christopher Fischer,,,,,0
Wahington,MONR,U.S. Senate,,Christopher Fischer,,,,,0
Wahington,PIER,U.S. Senate,,Christopher Fischer,,,,,0
Wahington,POLK,U.S. Senate,,Christopher Fischer,,,,,0
Wahington,POSY,U.S. Senate,,Christopher Fischer,,,,,0
Wahington,VERN,U.S. Senate,,Christopher Fischer,,,,,0
Wahington,Totals,U.S. Senate,,Christopher Fischer,,,,,0
Wahington,FEDERAL,U.S. Senate,,James L Johnson Jr,,,,,0
Wahington,SAL1,U.S. Senate,,James L Johnson Jr,,,,,0
Wahington,SAL2,U.S. Senate,,James L Johnson Jr,,,,,0
Wahington,SAL3,U.S. Senate,,James L Johnson Jr,,,,,0
Wahington,SAL4,U.S. Senate,,James L Johnson Jr,,,,,0
Wahington,WAS1,U.S. Senate,,James L Johnson Jr,,,,,0
Wahington,WAS2,U.S. Senate,,James L Johnson Jr,,,,,0
Wahington,WAS3,U.S. Senate,,James L Johnson Jr,,,,,0
Wahington,WAS4,U.S. Senate,,James L Johnson Jr,,,,,0
Wahington,BROW,U.S. Senate,,James L Johnson Jr,,,,,0
Wahington,FRAN,U.S. Senate,,James L Johnson Jr,,,,,0
Wahington,GIBS,U.S. Senate,,James L Johnson Jr,,,,,0
Wahington,HOWD,U.S. Senate,,James L Johnson Jr,,,,,0
Wahington,JACK,U.S. Senate,,James L Johnson Jr,,,,,0
Wahington,JEFF,U.S. Senate,,James L Johnson Jr,,,,,0
Wahington,MADI,U.S. Senate,,James L Johnson Jr,,,,,0
Wahington,MONR,U.S. Senate,,James L Johnson Jr,,,,,0
Wahington,PIER,U.S. Senate,,James L Johnson Jr,,,,,1
Wahington,POLK,U.S. Senate,,James L Johnson Jr,,,,,0
Wahington,POSY,U.S. Senate,,James L Johnson Jr,,,,,0
Wahington,VERN,U.S. Senate,,James L Johnson Jr,,,,,0
Wahington,Totals,U.S. Senate,,James L Johnson Jr,,,,,1
Wahington,SAL1,Secretory of State,,Connie Lawson,REP,,,,267
Wahington,SAL2,Secretory of State,,Connie Lawson,REP,,,,249
Wahington,SAL3,Secretory of State,,Connie Lawson,REP,,,,331
Wahington,SAL4,Secretory of State,,Connie Lawson,REP,,,,326
Wahington,WAS1,Secretory of State,,Connie Lawson,REP,,,,217
Wahington,WAS2,Secretory of State,,Connie Lawson,REP,,,,159
Wahington,WAS3,Secretory of State,,Connie Lawson,REP,,,,466
Wahington,WAS4,Secretory of State,,Connie Lawson,REP,,,,328
Wahington,BROW,Secretory of State,,Connie Lawson,REP,,,,244
Wahington,FRAN,Secretory of State,,Connie Lawson,REP,,,,504
Wahington,GIBS,Secretory of State,,Connie Lawson,REP,,,,238
Wahington,HOWD,Secretory of State,,Connie Lawson,REP,,,,261
Wahington,JACK,Secretory of State,,Connie Lawson,REP,,,,510
Wahington,JEFF,Secretory of State,,Connie Lawson,REP,,,,183
Wahington,MADI,Secretory of State,,Connie Lawson,REP,,,,131
Wahington,MONR,Secretory of State,,Connie Lawson,REP,,,,184
Wahington,PIER,Secretory of State,,Connie Lawson,REP,,,,580
Wahington,POLK,Secretory of State,,Connie Lawson,REP,,,,559
Wahington,POSY,Secretory of State,,Connie Lawson,REP,,,,376
Wahington,VERN,Secretory of State,,Connie Lawson,REP,,,,195
Wahington,Totals,Secretory of State,,Connie Lawson,REP,,,,6308
Wahington,SAL1,Secretory of State,,Jim Harper,DEM,,,,132
Wahington,SAL2,Secretory of State,,Jim Harper,DEM,,,,123
Wahington,SAL3,Secretory of State,,Jim Harper,DEM,,,,184
Wahington,SAL4,Secretory of State,,Jim Harper,DEM,,,,148
Wahington,WAS1,Secretory of State,,Jim Harper,DEM,,,,98
Wahington,WAS2,Secretory of State,,Jim Harper,DEM,,,,54
Wahington,WAS3,Secretory of State,,Jim Harper,DEM,,,,173
Wahington,WAS4,Secretory of State,,Jim Harper,DEM,,,,100
Wahington,BROW,Secretory of State,,Jim Harper,DEM,,,,99
Wahington,FRAN,Secretory of State,,Jim Harper,DEM,,,,151
Wahington,GIBS,Secretory of State,,Jim Harper,DEM,,,,132
Wahington,HOWD,Secretory of State,,Jim Harper,DEM,,,,95
Wahington,JACK,Secretory of State,,Jim Harper,DEM,,,,189
Wahington,JEFF,Secretory of State,,Jim Harper,DEM,,,,51
Wahington,MADI,Secretory of State,,Jim Harper,DEM,,,,48
Wahington,MONR,Secretory of State,,Jim Harper,DEM,,,,47
Wahington,PIER,Secretory of State,,Jim Harper,DEM,,,,220
Wahington,POLK,Secretory of State,,Jim Harper,DEM,,,,223
Wahington,POSY,Secretory of State,,Jim Harper,DEM,,,,188
Wahington,VERN,Secretory of State,,Jim Harper,DEM,,,,55
Wahington,Totals,Secretory of State,,Jim Harper,DEM,,,,2510
Wahington,SAL1,Secretory of State,,Mark W. Rutherford,LIB,,,,22
Wahington,SAL2,Secretory of State,,Mark W. Rutherford,LIB,,,,14
Wahington,SAL3,Secretory of State,,Mark W. Rutherford,LIB,,,,33
