county,precinct,office,district,candidate,party,election_day,absentee,provisional,votes
Jasper,Barkley North,Ballots Cast,,,,89,20,0,109
Jasper,Barkley North,Registered Voters,,,,,,,349
Jasper,Barkley North,U.S. Senate,,Mike Braun,REP,37,1,0,38
Jasper,Barkley North,U.S. Senate,,Luke Messer,REP,17,2,0,19
Jasper,Barkley North,U.S. Senate,,Todd Rokita,REP,19,11,0,30
Jasper,Barkley North,U.S. Senate,,Joe Donnelly,DEM,9,4,0,13
Jasper,Barkley North,U.S. House,4,Jim Baird,REP,21,6,0,27
Jasper,Barkley North,U.S. House,4,Steve Braun,REP,22,3,0,25
Jasper,Barkley North,U.S. House,4,Kevin J. Grant,REP,1,0,0,1
Jasper,Barkley North,U.S. House,4,Diego Morales,REP,7,3,0,10
Jasper,Barkley North,U.S. House,4,James Nease,REP,3,0,0,3
Jasper,Barkley North,U.S. House,4,Tim Radice,REP,3,0,0,3
Jasper,Barkley North,U.S. House,4,Jared Guy Thomas,REP,14,2,0,16
Jasper,Barkley North,U.S. House,4,Tobi Beck,DEM,2,0,0,2
Jasper,Barkley North,U.S. House,4,Roger D. Day,DEM,1,0,0,1
Jasper,Barkley North,U.S. House,4,Roland Ellis,DEM,5,0,0,5
Jasper,Barkley North,U.S. House,4,Darin Patrick Griesey,DEM,0,0,0,0
Jasper,Barkley North,U.S. House,4,Joseph W. Mackey,DEM,3,1,0,4
Jasper,Barkley North,U.S. House,4,Veronikka M Ziol,DEM,1,4,0,5
Jasper,Barkley North,State House,16,Douglas L. Gutwein,REP,67,13,0,80
Jasper,Barkley North,State House,16,Joshua Bolen,DEM,2,2,0,4
Jasper,Barkley North,State House,16,Christina L. Zacny,DEM,10,3,0,13
Jasper,Barkley South,Ballots Cast,,,,106,24,0,130
Jasper,Barkley South,Registered Voters,,,,,,,247
Jasper,Barkley South,U.S. Senate,,Mike Braun,REP,42,7,0,49
Jasper,Barkley South,U.S. Senate,,Luke Messer,REP,15,3,0,18
Jasper,Barkley South,U.S. Senate,,Todd Rokita,REP,36,13,0,49
Jasper,Barkley South,U.S. Senate,,Joe Donnelly,DEM,2,0,0,2
Jasper,Barkley South,U.S. House,4,Jim Baird,REP,24,7,0,31
