candidate,office,district,party,county,precinct,votes
,Registered Voters,,,Franklin,Batesville I,1302
,Ballots Cast,,,Franklin,Batesville I,732
,Straight Party,,R,Franklin,Batesville I,250
,Straight Party,,D,Franklin,Batesville I,74
,Straight Party,,L,Franklin,Batesville I,0
Mike Braun,U.S. Senate,,R,Franklin,Batesville I,490
Joe Donnelly,U.S. Senate,,D,Franklin,Batesville I,207
Lucy M Brenton,U.S. Senate,,L,Franklin,Batesville I,19
Write in,U.S. Senate,,,Franklin,Batesville I,0
Connie Lawson,Secretary of State,,R,Franklin,Batesville I,513
Jim Harper,Secretary of State,,D,Franklin,Batesville I,176
Mark W. Rutherford,Secretary of State,,L,Franklin,Batesville I,22
Write in,Secretary of State,,,Franklin,Batesville I,1
Tera Klutz,Auditor of State,,R,Franklin,Batesville I,496
Joselyn Whitticker,Auditor of State,,D,Franklin,Batesville I,184
John Schick,Auditor of State,,L,Franklin,Batesville I,24
Kelly Mitchell,Treasurer of State,,R,Franklin,Batesville I,532
John C. Aguilera,Treasurer of State,,D,Franklin,Batesville I,165
Greg Pence,U.S. House,6,R,Franklin,Batesville I,479
Jeannine Lee Lake,U.S. House,6,D,Franklin,Batesville I,185
Tom Ferkinhoff,U.S. House,6,L,Franklin,Batesville I,55
Write in,U.S. House,6,,Franklin,Batesville I,0
Cindy Meyer Ziemke,State Representative,55,R,Franklin,Batesville I,539
Corinne Westerfield,State Representative,55,D,Franklin,Batesville I,170
,Registered Voters,,,Franklin,Bath,257
,Ballots Cast,,,Franklin,Bath,147
,Straight Party,,R,Franklin,Bath,48
,Straight Party,,D,Franklin,Bath,12
,Straight Party,,L,Franklin,Bath,2
Mike Braun,U.S. Senate,,R,Franklin,Bath,103
Joe Donnelly,U.S. Senate,,D,Franklin,Bath,34
Lucy M Brenton,U.S. Senate,,L,Franklin,Bath,5
Write in,U.S. Senate,,,Franklin,Bath,0
Connie Lawson,Secretary of State,,R,Franklin,Bath,105
Jim Harper,Secretary of State,,D,Franklin,Bath,31
Mark W. Rutherford,Secretary of State,,L,Franklin,Bath,7
Write in,Secretary of State,,,Franklin,Bath,0
