candidate,office,district,party,county,precinct,votes
,Registered Voters,,,Switzerland,Cotton I,809
,Ballots Cast,,,Switzerland,Cotton I,346
,Straight Party,,R,Switzerland,Cotton I,103
,Straight Party,,D,Switzerland,Cotton I,49
,Straight Party,,L,Switzerland,Cotton I,8
Mike Braun,U.S. Senate,,R,Switzerland,Cotton I,192
Joe Donnelly,U.S. Senate,,D,Switzerland,Cotton I,130
Lucy M Brenton,U.S. Senate,,L,Switzerland,Cotton I,12
Write in,U.S. Senate,,,Switzerland,Cotton I,0
Connie Lawson,Secretary of State,,R,Switzerland,Cotton I,193
Jim Harper,Secretary of State,,D,Switzerland,Cotton I,124
Mark W. Rutherford,Secretary of State,,L,Switzerland,Cotton I,15
Write in,Secretary of State,,,Switzerland,Cotton I,0
Tera Klutz,Auditor of State,,R,Switzerland,Cotton I,183
Joselyn Whitticker,Auditor of State,,D,Switzerland,Cotton I,130
John Schick,Auditor of State,,L,Switzerland,Cotton I,16
Kelly Mitchell,Treasurer of State,,R,Switzerland,Cotton I,203
John C. Aguilera,Treasurer of State,,D,Switzerland,Cotton I,119
Greg Pence,U.S. House,6,R,Switzerland,Cotton I,203
Jeannine Lee Lake,U.S. House,6,D,Switzerland,Cotton I,124
Tom Ferkinhoff,U.S. House,6,L,Switzerland,Cotton I,8
Chris Garten,State Senate,45,R,Switzerland,Cotton I,188
John Perkins,State Senate,45,D,Switzerland,Cotton I,129
Charles Johnson,State Senate,45,L,Switzerland,Cotton I,10
Randy Frye,State Representative,67,R,Switzerland,Cotton I,223
Cordelle Feuston,State Representative,67,D,Switzerland,Cotton I,107
,Registered Voters,,,Switzerland,Cotton II,340
,Ballots Cast,,,Switzerland,Cotton II,166
,Straight Party,,R,Switzerland,Cotton II,47
,Straight Party,,D,Switzerland,Cotton II,9
,Straight Party,,L,Switzerland,Cotton II,2
Mike Braun,U.S. Senate,,R,Switzerland,Cotton II,109
Joe Donnelly,U.S. Senate,,D,Switzerland,Cotton II,48
Lucy M Brenton,U.S. Senate,,L,Switzerland,Cotton II,5
Write in,U.S. Senate,,,Switzerland,Cotton II,0
Connie Lawson,Secretary of State,,R,Switzerland,Cotton II,103
Jim Harper,Secretary of State,,D,Switzerland,Cotton II,45
Mark W. Rutherford,Secretary of State,,L,Switzerland,Cotton II,7
Write in,Secretary of State,,,Switzerland,Cotton II,0
Tera Klutz,Auditor of State,,R,Switzerland,Cotton II,102
Joselyn Whitticker,Auditor of State,,D,Switzerland,Cotton II,45
John Schick,Auditor of State,,L,Switzerland,Cotton II,9
Kelly Mitchell,Treasurer of State,,R,Switzerland,Cotton II,110
John C. Aguilera,Treasurer of State,,D,Switzerland,Cotton II,45
Greg Pence,U.S. House,6,R,Switzerland,Cotton II,114
Jeannine Lee Lake,U.S. House,6,D,Switzerland,Cotton II,46
Tom Ferkinhoff,U.S. House,6,L,Switzerland,Cotton II,0
Chris Garten,State Senate,45,R,Switzerland,Cotton II,101
John Perkins,State Senate,45,D,Switzerland,Cotton II,51
Charles Johnson,State Senate,45,L,Switzerland,Cotton II,4
Randy Frye,State Representative,67,R,Switzerland,Cotton II,122
Cordelle Feuston,State Representative,67,D,Switzerland,Cotton II,38
,Registered Voters,,,Switzerland,Craig I,305
,Ballots Cast,,,Switzerland,Craig I,175
,Straight Party,,R,Switzerland,Craig I,59
,Straight Party,,D,Switzerland,Craig I,24
,Straight Party,,L,Switzerland,Craig I,4
Mike Braun,U.S. Senate,,R,Switzerland,Craig I,113
Joe Donnelly,U.S. Senate,,D,Switzerland,Craig I,41
Lucy M Brenton,U.S. Senate,,L,Switzerland,Craig I,10
Write in,U.S. Senate,,,Switzerland,Craig I,0
Connie Lawson,Secretary of State,,R,Switzerland,Craig I,111
Jim Harper,Secretary of State,,D,Switzerland,Craig I,40
Mark W. Rutherford,Secretary of State,,L,Switzerland,Craig I,12
Write in,Secretary of State,,,Switzerland,Craig I,0
Tera Klutz,Auditor of State,,R,Switzerland,Craig I,110
Joselyn Whitticker,Auditor of State,,D,Switzerland,Craig I,41
John Schick,Auditor of State,,L,Switzerland,Craig I,10
Kelly Mitchell,Treasurer of State,,R,Switzerland,Craig I,120
John C. Aguilera,Treasurer of State,,D,Switzerland,Craig I,41
Greg Pence,U.S. House,6,R,Switzerland,Craig I,117
Jeannine Lee Lake,U.S. House,6,D,Switzerland,Craig I,40
Tom Ferkinhoff,U.S. House,6,L,Switzerland,Craig I,10
Chris Garten,State Senate,45,R,Switzerland,Craig I,117
John Perkins,State Senate,45,D,Switzerland,Craig I,39
Charles Johnson,State Senate,45,L,Switzerland,Craig I,8
Randy Frye,State Representative,67,R,Switzerland,Craig I,128
Cordelle Feuston,State Representative,67,D,Switzerland,Craig I,41
,Registered Voters,,,Switzerland,Craig II,304
,Ballots Cast,,,Switzerland,Craig II,171
,Straight Party,,R,Switzerland,Craig II,57
,Straight Party,,D,Switzerland,Craig II,20
,Straight Party,,L,Switzerland,Craig II,4
Mike Braun,U.S. Senate,,R,Switzerland,Craig II,109
Joe Donnelly,U.S. Senate,,D,Switzerland,Craig II,35
Lucy M Brenton,U.S. Senate,,L,Switzerland,Craig II,8
Write in,U.S. Senate,,,Switzerland,Craig II,0
Connie Lawson,Secretary of State,,R,Switzerland,Craig II,102
Jim Harper,Secretary of State,,D,Switzerland,Craig II,34
Mark W. Rutherford,Secretary of State,,L,Switzerland,Craig II,9
Write in,Secretary of State,,,Switzerland,Craig II,0
Tera Klutz,Auditor of State,,R,Switzerland,Craig II,100
Joselyn Whitticker,Auditor of State,,D,Switzerland,Craig II,37
John Schick,Auditor of State,,L,Switzerland,Craig II,6
Kelly Mitchell,Treasurer of State,,R,Switzerland,Craig II,103
John C. Aguilera,Treasurer of State,,D,Switzerland,Craig II,38
Greg Pence,U.S. House,6,R,Switzerland,Craig II,103
Jeannine Lee Lake,U.S. House,6,D,Switzerland,Craig II,37
Tom Ferkinhoff,U.S. House,6,L,Switzerland,Craig II,6
Chris Garten,State Senate,45,R,Switzerland,Craig II,102
John Perkins,State Senate,45,D,Switzerland,Craig II,37
Charles Johnson,State Senate,45,L,Switzerland,Craig II,7
Randy Frye,State Representative,67,R,Switzerland,Craig II,111
Cordelle Feuston,State Representative,67,D,Switzerland,Craig II,36
,Registered Voters,,,Switzerland,Jefferson I,766
,Ballots Cast,,,Switzerland,Jefferson I,348
,Straight Party,,R,Switzerland,Jefferson I,92
,Straight Party,,D,Switzerland,Jefferson I,35
,Straight Party,,L,Switzerland,Jefferson I,5
Mike Braun,U.S. Senate,,R,Switzerland,Jefferson I,185
Joe Donnelly,U.S. Senate,,D,Switzerland,Jefferson I,130
Lucy M Brenton,U.S. Senate,,L,Switzerland,Jefferson I,14
Write in,U.S. Senate,,,Switzerland,Jefferson I,0
Connie Lawson,Secretary of State,,R,Switzerland,Jefferson I,189
Jim Harper,Secretary of State,,D,Switzerland,Jefferson I,120
Mark W. Rutherford,Secretary of State,,L,Switzerland,Jefferson I,15
Write in,Secretary of State,,,Switzerland,Jefferson I,0
Tera Klutz,Auditor of State,,R,Switzerland,Jefferson I,192
Joselyn Whitticker,Auditor of State,,D,Switzerland,Jefferson I,118
John Schick,Auditor of State,,L,Switzerland,Jefferson I,12
Kelly Mitchell,Treasurer of State,,R,Switzerland,Jefferson I,204
John C. Aguilera,Treasurer of State,,D,Switzerland,Jefferson I,115
Greg Pence,U.S. House,6,R,Switzerland,Jefferson I,205
Jeannine Lee Lake,U.S. House,6,D,Switzerland,Jefferson I,116
Tom Ferkinhoff,U.S. House,6,L,Switzerland,Jefferson I,9
Chris Garten,State Senate,45,R,Switzerland,Jefferson I,189
John Perkins,State Senate,45,D,Switzerland,Jefferson I,122
Charles Johnson,State Senate,45,L,Switzerland,Jefferson I,14
Randy Frye,State Representative,67,R,Switzerland,Jefferson I,246
Cordelle Feuston,State Representative,67,D,Switzerland,Jefferson I,87
,Registered Voters,,,Switzerland,Jefferson II,975
,Ballots Cast,,,Switzerland,Jefferson II,492
,Straight Party,,R,Switzerland,Jefferson II,123
,Straight Party,,D,Switzerland,Jefferson II,49
