county,precinct,office,district,candidate,party,election_day,absentee,provisional,votes
DeKalb,Butler 1,Ballots Cast,,,,73,18,0,91
DeKalb,Butler 1,Registered Voters,,,,,,,409
DeKalb,Butler 1,U.S. Senate,,Mike Braun,REP,29,2,0,31
DeKalb,Butler 1,U.S. Senate,,Luke Messer,REP,17,5,0,22
DeKalb,Butler 1,U.S. Senate,,Todd Rokita,REP,21,7,0,28
DeKalb,Butler 1,U.S. House,3,Jim Banks,REP,56,13,0,69
DeKalb,Butler 1,State House,52,William Carlin,REP,22,4,0,26
DeKalb,Butler 1,State House,52,Ben Smaltz,REP,45,10,0,55
DeKalb,Butler 1,U.S. Senate,,Joe Donnelly,DEM,6,4,0,10
DeKalb,Butler 1,U.S. House,3,John F. Roberson,DEM,0,1,0,1
DeKalb,Butler 1,U.S. House,3,Tommy A. Schrader,DEM,1,0,0,1
DeKalb,Butler 1,U.S. House,3,Courtney Tritch,DEM,5,3,0,8
DeKalb,Butler 1,State House,52,Martha Lemert,DEM,6,2,0,8
DeKalb,Butler 2,Ballots Cast,,,,149,37,0,186
DeKalb,Butler 2,Registered Voters,,,,,,,827
DeKalb,Butler 2,U.S. Senate,,Mike Braun,REP,48,12,0,60
DeKalb,Butler 2,U.S. Senate,,Luke Messer,REP,27,4,0,31
DeKalb,Butler 2,U.S. Senate,,Todd Rokita,REP,40,16,0,56
DeKalb,Butler 2,U.S. House,3,Jim Banks,REP,94,26,0,120
DeKalb,Butler 2,State House,52,William Carlin,REP,56,13,0,69
DeKalb,Butler 2,State House,52,Ben Smaltz,REP,60,17,0,77
DeKalb,Butler 2,U.S. Senate,,Joe Donnelly,DEM,30,5,0,35
DeKalb,Butler 2,U.S. House,3,John F. Roberson,DEM,1,0,0,1
DeKalb,Butler 2,U.S. House,3,Tommy A. Schrader,DEM,3,1,0,4
DeKalb,Butler 2,U.S. House,3,Courtney Tritch,DEM,24,3,0,27
DeKalb,Butler 2,State House,52,Martha Lemert,DEM,24,4,0,28
DeKalb,Concord,Ballots Cast,,,,163,26,0,189
DeKalb,Concord,Registered Voters,,,,,,,866
DeKalb,Concord,U.S. Senate,,Mike Braun,REP,66,12,0,78
DeKalb,Concord,U.S. Senate,,Luke Messer,REP,33,6,0,39
DeKalb,Concord,U.S. Senate,,Todd Rokita,REP,44,4,0,48
DeKalb,Concord,U.S. House,3,Jim Banks,REP,129,19,0,148
DeKalb,Concord,State Senate,14,Dennis K. Kruse,REP,129,15,0,144
DeKalb,Concord,State House,52,William Carlin,REP,45,14,0,59
DeKalb,Concord,State House,52,Ben Smaltz,REP,101,8,0,109
DeKalb,Concord,U.S. Senate,,Joe Donnelly,DEM,12,4,0,16
DeKalb,Concord,U.S. House,3,John F. Roberson,DEM,1,0,0,1
