candidate,office,district,party,county,precinct,election_day,absentee,provisional,votes
,Registered Voters,,,Jefferson,1-1,,,,710
,Ballots Cast,,,Jefferson,1-1,146,47,0,193
Mike Braun,U S Senate,,REP,Jefferson,1-1,15,3,0,18
Luke Messer,U S Senate,,REP,Jefferson,1-1,44,6,0,50
Todd Rokita,U S Senate,,REP,Jefferson,1-1,7,4,0,11
Mike Campbell,U S House,6,REP,Jefferson,1-1,3,1,0,4
Jonathan M Lamb,U S House,6,REP,Jefferson,1-1,13,2,0,15
Stephen M Mackenzie,U S House,6,REP,Jefferson,1-1,1,1,0,2
Greg Pence,U S House,6,REP,Jefferson,1-1,45,9,0,54
Jeff Smith,U S House,6,REP,Jefferson,1-1,2,0,0,2
Chris Garten,State Senate,45,REP,Jefferson,1-1,57,10,0,67
Mike Bowling,State Representative,66,REP,Jefferson,1-1,48,7,0,55
"Joe Van Wye, Sr.",State Representative,66,REP,Jefferson,1-1,15,4,0,19
Joe Donnelly,U S Senate,,DEM,Jefferson,1-1,67,28,0,95
George T Holland,U S House,6,DEM,Jefferson,1-1,4,1,0,5
Jeannine Lee Lake,U S House,6,DEM,Jefferson,1-1,14,8,0,22
K (Jasen) Lave,U S House,6,DEM,Jefferson,1-1,0,0,0,0
Jim Pruett,U S House,6,DEM,Jefferson,1-1,38,14,0,52
Lane Siekman,U S House,6,DEM,Jefferson,1-1,15,7,0,22
Joshua Williamson,U S House,6,DEM,Jefferson,1-1,3,0,0,3
John Perkins,State Senate,45,DEM,Jefferson,1-1,65,27,0,92
Terry Goodin ,State Representative,66,DEM,Jefferson,1-1,70,27,0,97
,Registered Voters,,,Jefferson,1-2,,,,526
,Ballots Cast,,,Jefferson,1-2,91,20,0,111
Mike Braun,U S Senate,,REP,Jefferson,1-2,5,3,0,8
Luke Messer,U S Senate,,REP,Jefferson,1-2,16,5,0,21
Todd Rokita,U S Senate,,REP,Jefferson,1-2,8,2,0,10
Mike Campbell,U S House,6,REP,Jefferson,1-2,0,1,0,1
Jonathan M Lamb,U S House,6,REP,Jefferson,1-2,3,1,0,4
Stephen M Mackenzie,U S House,6,REP,Jefferson,1-2,1,0,0,1
Greg Pence,U S House,6,REP,Jefferson,1-2,23,8,0,31
Jeff Smith,U S House,6,REP,Jefferson,1-2,0,0,0,0
Chris Garten,State Senate,45,REP,Jefferson,1-2,22,9,0,31
Mike Bowling,State Representative,66,REP,Jefferson,1-2,18,10,0,28
"Joe Van Wye, Sr.",State Representative,66,REP,Jefferson,1-2,7,0,0,7
Joe Donnelly,U S Senate,,DEM,Jefferson,1-2,51,9,0,60
George T Holland,U S House,6,DEM,Jefferson,1-2,5,2,0,7
Jeannine Lee Lake,U S House,6,DEM,Jefferson,1-2,14,1,0,15
K (Jasen) Lave,U S House,6,DEM,Jefferson,1-2,1,0,0,1
Jim Pruett,U S House,6,DEM,Jefferson,1-2,28,3,0,31
Lane Siekman,U S House,6,DEM,Jefferson,1-2,8,1,0,9
Joshua Williamson,U S House,6,DEM,Jefferson,1-2,2,0,0,2
John Perkins,State Senate,45,DEM,Jefferson,1-2,52,7,0,59
Terry Goodin ,State Representative,66,DEM,Jefferson,1-2,54,9,0,63
,Registered Voters,,,Jefferson,2-1,,,,772
,Ballots Cast,,,Jefferson,2-1,152,42,0,194
Mike Braun,U S Senate,,REP,Jefferson,2-1,23,2,0,25
Luke Messer,U S Senate,,REP,Jefferson,2-1,32,18,0,50
Todd Rokita,U S Senate,,REP,Jefferson,2-1,16,3,0,19
Mike Campbell,U S House,6,REP,Jefferson,2-1,5,1,0,6
Jonathan M Lamb,U S House,6,REP,Jefferson,2-1,11,8,0,19
Stephen M Mackenzie,U S House,6,REP,Jefferson,2-1,2,1,0,3
Greg Pence,U S House,6,REP,Jefferson,2-1,49,13,0,62
Jeff Smith,U S House,6,REP,Jefferson,2-1,1,1,0,2
Chris Garten,State Senate,45,REP,Jefferson,2-1,58,21,0,79
Mike Bowling,State Representative,66,REP,Jefferson,2-1,49,18,0,67
"Joe Van Wye, Sr.",State Representative,66,REP,Jefferson,2-1,17,2,0,19
