candidate,office,district,party,county,precinct,election_day,absentee,provisional,votes
,Registered Voters,,,Owen,Clay I,,,,846
,Ballots Cast,,,Owen,Clay I,,,,281
Mike Braun,U.S. Senate,,R,Owen,Clay I,184,119,0,303
Joe Donnelly,U.S. Senate,,D,Owen,Clay I,76,72,0,148
Lucy M Brenton,U.S. Senate,,L,Owen,Clay I,17,7,0,24
Write in,U.S. Senate,,,Owen,Clay I,0,0,0,0
Connie Lawson,Secretary of State,,R,Owen,Clay I,193,128,0,321
Jim Harper,Secretary of State,,D,Owen,Clay I,70,67,0,137
Mark W. Rutherford,Secretary of State,,L,Owen,Clay I,8,2,0,10
Write in,Secretary of State,,,Owen,Clay I,0,0,0,0
Tera Klutz,Auditor of State,,R,Owen,Clay I,187,126,0,313
Joselyn Whitticker,Auditor of State,,D,Owen,Clay I,72,65,0,137
John Schick,Auditor of State,,L,Owen,Clay I,10,2,0,12
Kelly Mitchell,Treasurer of State,,R,Owen,Clay I,195,133,0,328
John C. Aguilera,Treasurer of State,,D,Owen,Clay I,76,62,0,138
Larry D Bucshon,U S House,8,R,Owen,Clay I,195,126,0,321
William Tanoos,U S House,8,D,Owen,Clay I,76,67,0,143
Write in,U S House,8,,Owen,Clay I,0,0,0,0
Eric S Bassler,State Senate ,39,R,Owen,Clay I,226,144,0,370
No Candidate Filed,State Senate ,39,D,Owen,Clay I,0,0,0,0
Bob Heaton,State Representative,46,R,Owen,Clay I,197,128,0,325
E Thomasina Marsili,State Representative,46,D,Owen,Clay I,77,70,0,147
,Registered Voters,,,Owen,Clay II,,,,879
,Ballots Cast,,,Owen,Clay II,,,,265
Mike Braun,U.S. Senate,,R,Owen,Clay II,185,109,0,294
Joe Donnelly,U.S. Senate,,D,Owen,Clay II,71,80,0,151
Lucy M Brenton,U.S. Senate,,L,Owen,Clay II,8,7,0,15
Write in,U.S. Senate,,,Owen,Clay II,0,0,0,0
Connie Lawson,Secretary of State,,R,Owen,Clay II,196,118,0,314
Jim Harper,Secretary of State,,D,Owen,Clay II,59,74,0,133
Mark W. Rutherford,Secretary of State,,L,Owen,Clay II,8,3,0,11
Write in,Secretary of State,,,Owen,Clay II,0,0,0,0
Tera Klutz,Auditor of State,,R,Owen,Clay II,193,114,0,307
Joselyn Whitticker,Auditor of State,,D,Owen,Clay II,61,72,0,133
John Schick,Auditor of State,,L,Owen,Clay II,7,7,0,14
Kelly Mitchell,Treasurer of State,,R,Owen,Clay II,201,119,0,320
John C. Aguilera,Treasurer of State,,D,Owen,Clay II,59,73,0,132
Larry D Bucshon,U S House,8,R,Owen,Clay II,196,119,0,315
William Tanoos,U S House,8,D,Owen,Clay II,66,72,0,138
Write in,U S House,8,,Owen,Clay II,0,0,0,0
Eric S Bassler,State Senate ,39,R,Owen,Clay II,216,132,0,348
No Candidate Filed,State Senate ,39,D,Owen,Clay II,0,0,0,0
Bob Heaton,State Representative,46,R,Owen,Clay II,192,120,0,312
E Thomasina Marsili,State Representative,46,D,Owen,Clay II,68,73,0,141
,Registered Voters,,,Owen,Franklin,,,,831
,Ballots Cast,,,Owen,Franklin,,,,297
Mike Braun,U.S. Senate,,R,Owen,Franklin,183,101,0,284
Joe Donnelly,U.S. Senate,,D,Owen,Franklin,88,68,0,156
Lucy M Brenton,U.S. Senate,,L,Owen,Franklin,16,4,0,20
