county,precinct,office,district,candidate,party,absentee,early_voting,election day,votes
Cass,Adams,Ballots Cast,,,,,,,189
Cass,Adams,U.S. Senate,,Mike Braun,,1,20,62,83
Cass,Adams,U.S. Senate,,Luke Messer,,0,1,23,24
Cass,Adams,U.S. Senate,,Todd Rokita,,3,9,39,51
Cass,Adams,U.S. Senate,,Over Votes,,0,0,0,0
Cass,Adams,U.S. Senate,,Under Votes,,0,3,9,12
Cass,Adams,U.S. Senate,,Joe Donnelly,,0,4,12,16
Cass,Adams,U.S. Senate,,Over Votes,,0,0,0,0
Cass,Adams,U.S. Senate,,Under Votes,,0,0,3,3
Cass,Adams,U.S. House,4,Jim Baird,,0,4,41,45
Cass,Adams,U.S. House,4,Steve Braun,,0,16,56,72
Cass,Adams,U.S. House,4,Kevin J. Grant,,0,1,6,7
Cass,Adams,U.S. House,4,Diego Morales,,3,2,11,16
Cass,Adams,U.S. House,4,James Nease,,0,0,4,4
Cass,Adams,U.S. House,4,Tim Radice,,0,0,1,1
Cass,Adams,U.S. House,4,Jared Guy Thomas,,1,6,3,10
Cass,Adams,U.S. House,4,Over Votes,,0,0,0,0
Cass,Adams,U.S. House,4,Under Votes,,0,4,11,15
Cass,Adams,U.S. House,4,Tobi Beck,,0,1,2,3
Cass,Adams,U.S. House,4,Roger D. Day,,0,0,3,3
Cass,Adams,U.S. House,4,Roland Ellis,,0,0,1,1
Cass,Adams,U.S. House,4,Darin Patrick Griesey,,0,0,1,1
Cass,Adams,U.S. House,4,Joseph W. Mackey,,0,1,2,3
Cass,Adams,U.S. House,4,Veronikka M. Ziol,,0,2,2,4
Cass,Adams,U.S. House,4,Over Votes,,0,0,0,0
Cass,Adams,U.S. House,4,Under Votes,,0,0,4,4
Cass,Adams,State House,23,Ethan Manning,,3,26,107,136
Cass,Adams,State House,23,Over Votes,,0,0,0,0
Cass,Adams,State House,23,Under Votes,,1,7,26,34
Cass,Adams,State House,23,Terry Doran,,0,4,12,16
Cass,Adams,State House,23,Over Votes,,0,0,0,0
Cass,Adams,State House,23,Under Votes,,0,0,3,3
Cass,Bethlehem,Ballots Cast,,,,,,,204
